HRG|MSP,|MSP|YUL|FRA|IST|HRG|
HRG|NAS,|NAS|EWR|BHX|IST|HRG|
HRG|PHL,|PHL|IAD|IST|HRG|
HRG|PHX,|PHX|DEN|FRA|IST|HRG|
HRG|PIT,|PIT|YYZ|IST|HRG|
HRG|PLS,|PLS|EWR|BHX|IST|HRG|
HRG|POP,|POP|EWR|BHX|IST|HRG|
HRG|RDU,|RDU|EWR|BHX|IST|HRG|
HRG|ROC,|ROC|YYZ|IST|HRG|
HRG|RSW,|RSW|MCO|FRA|IST|HRG|
HRG|SAN,|SAN|LAX|IST|HRG|
HRG|SJO,|SJO|EWR|BHX|IST|HRG|
HRG|STL,|STL|ORD|IST|HRG|
HRG|SYR,|SYR|EWR|BHX|IST|HRG|
HRG|TLV,|TLV|IST|HRG|
HRG|TPA,|TPA|EWR|BHX|IST|HRG|
HRG|UVF,|UVF|EWR|BHX|IST|HRG|
HRG|VIE,|VIE|IST|HRG|
HRG|YAM,|YAM|YYZ|IST|HRG|
HRG|YGK,|YGK|YYZ|IST|HRG|
HRG|YQG,|YQG|YYZ|IST|HRG|
HRG|YSB,|YSB|YYZ|IST|HRG|
HRG|YTS,|YTS|YYZ|IST|HRG|
HRG|YYB,|YYB|YYZ|IST|HRG|
HRG|YZR,|YZR|YYZ|IST|HRG|
HRG|CAN,|CAN|IST|HRG|
HRG|URC,|URC|IST|HRG|
HRG|CTU,|CTU|URC|IST|HRG|
HRG|HGH,|HGH|URC|IST|HRG|
HRG|XMN,|XMN|CSX|URC|IST|HRG|
HRG|CGO,|CGO|URC|IST|HRG|
HRG|CSX,|CSX|URC|IST|HRG|
HRG|SHE,|SHE|PEK|IST|HRG|
HRG|SJW,|SJW|URC|IST|HRG|
HRG|WUH,|WUH|URC|IST|HRG|
HRG|SZX,|SZX|CKG|URC|IST|HRG|
HRG|CKG,|CKG|URC|IST|HRG|
HRG|KMG,|KMG|CTU|URC|IST|HRG|
HRG|FOC,|FOC|XIY|URC|IST|HRG|
HRG|NNG,|NNG|KWE|URC|IST|HRG|
HRG|SWA,|SWA|CAN|IST|HRG|
HRG|ACX,|ACX|CAN|IST|HRG|
HRG|AQG,|AQG|CAN|IST|HRG|
HRG|AVA,|AVA|CAN|IST|HRG|
HRG|BFJ,|BFJ|CAN|IST|HRG|
HRG|BHY,|BHY|CKG|URC|IST|HRG|
HRG|BNE,|BNE|BKK|IST|HRG|
HRG|CGD,|CGD|PEK|IST|HRG|
HRG|CGK,|CGK|SIN|IST|HRG|
HRG|CGQ,|CGQ|HET|URC|IST|HRG|
HRG|CIH,|CIH|PEK|IST|HRG|
HRG|CNX,|CNX|CAN|IST|HRG|
HRG|CZX,|CZX|TYN|URC|IST|HRG|
HRG|DAC,|DAC|IST|HRG|
HRG|DAD,|DAD|CAN|IST|HRG|
HRG|DEL,|DEL|IST|HRG|
HRG|DIG,|DIG|KMG|CTU|URC|IST|HRG|
HRG|DLC,|DLC|PEK|IST|HRG|
HRG|DPS,|DPS|CAN|IST|HRG|
HRG|DXB,|DXB|IST|HRG|
HRG|DYG,|DYG|CSX|URC|IST|HRG|
