SAH|MIA,|MIA|ZRH|IST|ADE|SAH|
SAH|MKE,|MKE|YYZ|IST|ADE|SAH|
SAH|MSP,|MSP|YUL|FRA|IST|ADE|SAH|
SAH|NAS,|NAS|EWR|BHX|IST|ADE|SAH|
SAH|PHL,|PHL|IAD|IST|ADE|SAH|
SAH|PHX,|PHX|DEN|FRA|IST|ADE|SAH|
SAH|PIT,|PIT|YYZ|IST|ADE|SAH|
SAH|PLS,|PLS|EWR|BHX|IST|ADE|SAH|
SAH|POP,|POP|EWR|BHX|IST|ADE|SAH|
SAH|RDU,|RDU|EWR|BHX|IST|ADE|SAH|
SAH|ROC,|ROC|YYZ|IST|ADE|SAH|
SAH|RSW,|RSW|MCO|FRA|IST|ADE|SAH|
SAH|SAN,|SAN|LAX|IST|ADE|SAH|
SAH|SJO,|SJO|EWR|BHX|IST|ADE|SAH|
SAH|STL,|STL|ORD|IST|ADE|SAH|
SAH|SYR,|SYR|EWR|BHX|IST|ADE|SAH|
SAH|TLV,|TLV|IST|ADE|SAH|
SAH|TPA,|TPA|EWR|BHX|IST|ADE|SAH|
SAH|UVF,|UVF|EWR|BHX|IST|ADE|SAH|
SAH|VIE,|VIE|IST|ADE|SAH|
SAH|YAM,|YAM|YYZ|IST|ADE|SAH|
SAH|YGK,|YGK|YYZ|IST|ADE|SAH|
SAH|YQG,|YQG|YYZ|IST|ADE|SAH|
SAH|YSB,|YSB|YYZ|IST|ADE|SAH|
SAH|YTS,|YTS|YYZ|IST|ADE|SAH|
SAH|YYB,|YYB|YYZ|IST|ADE|SAH|
SAH|YZR,|YZR|YYZ|IST|ADE|SAH|
SAH|CAN,|CAN|IST|ADE|SAH|
SAH|URC,|URC|IST|ADE|SAH|
SAH|CTU,|CTU|URC|IST|ADE|SAH|
SAH|HGH,|HGH|URC|IST|ADE|SAH|
SAH|XMN,|XMN|CSX|URC|IST|ADE|SAH|
SAH|CGO,|CGO|URC|IST|ADE|SAH|
SAH|CSX,|CSX|URC|IST|ADE|SAH|
SAH|SHE,|SHE|PEK|IST|ADE|SAH|
SAH|SJW,|SJW|URC|IST|ADE|SAH|
SAH|WUH,|WUH|URC|IST|ADE|SAH|
SAH|SZX,|SZX|CKG|URC|IST|ADE|SAH|
SAH|CKG,|CKG|URC|IST|ADE|SAH|
SAH|KMG,|KMG|CTU|URC|IST|ADE|SAH|
SAH|FOC,|FOC|XIY|URC|IST|ADE|SAH|
SAH|NNG,|NNG|KWE|URC|IST|ADE|SAH|
SAH|SWA,|SWA|CAN|IST|ADE|SAH|
SAH|ACX,|ACX|CAN|IST|ADE|SAH|
SAH|AQG,|AQG|CAN|IST|ADE|SAH|
SAH|AVA,|AVA|CAN|IST|ADE|SAH|
SAH|BFJ,|BFJ|CAN|IST|ADE|SAH|
SAH|BHY,|BHY|CKG|URC|IST|ADE|SAH|
SAH|BNE,|BNE|BKK|IST|ADE|SAH|
SAH|CGD,|CGD|PEK|IST|ADE|SAH|
SAH|CGK,|CGK|SIN|IST|ADE|SAH|
SAH|CGQ,|CGQ|HET|URC|IST|ADE|SAH|
SAH|CIH,|CIH|PEK|IST|ADE|SAH|
SAH|CNX,|CNX|CAN|IST|ADE|SAH|
SAH|CZX,|CZX|TYN|URC|IST|ADE|SAH|
SAH|DAC,|DAC|IST|ADE|SAH|
SAH|DAD,|DAD|CAN|IST|ADE|SAH|
SAH|DEL,|DEL|IST|ADE|SAH|
SAH|DIG,|DIG|KMG|CTU|URC|IST|ADE|SAH|
SAH|DLC,|DLC|PEK|IST|ADE|SAH|
SAH|DPS,|DPS|CAN|IST|ADE|SAH|
SAH|DXB,|DXB|IST|ADE|SAH|
SAH|DYG,|DYG|CSX|URC|IST|ADE|SAH|
SAH|FUG,|FUG|CAN|IST|ADE|SAH|
SAH|FUK,|FUK|ICN|IST|ADE|SAH|
SAH|HAK,|HAK|CTU|URC|IST|ADE|SAH|
SAH|HAN,|HAN|CAN|IST|ADE|SAH|
SAH|HDG,|HDG|CAN|IST|ADE|SAH|
SAH|HET,|HET|URC|IST|ADE|SAH|
SAH|HFE,|HFE|XIY|URC|IST|ADE|SAH|
SAH|HJJ,|HJJ|CSX|URC|IST|ADE|SAH|
SAH|HKT,|HKT|KWE|URC|IST|ADE|SAH|
SAH|HRB,|HRB|PEK|IST|ADE|SAH|
SAH|HZH,|HZH|CAN|IST|ADE|SAH|
SAH|JIU,|JIU|CAN|IST|ADE|SAH|
SAH|JJN,|JJN|CSX|URC|IST|ADE|SAH|
SAH|JNG,|JNG|CAN|IST|ADE|SAH|
SAH|KHN,|KHN|XIY|URC|IST|ADE|SAH|
SAH|KIX,|KIX|IST|ADE|SAH|
