STR|ADA,|ADA|IST|STR|
STR|ADB,|ADB|IST|STR|
STR|ADF,|ADF|IST|STR|
STR|AJI,|AJI|IST|STR|
STR|BAL,|BAL|IST|STR|
STR|BJV,|BJV|IST|STR|
STR|CKZ,|CKZ|ESB|IST|STR|
STR|DIY,|DIY|IST|STR|
STR|ECN,|ECN|IST|STR|
STR|ERC,|ERC|IST|STR|
STR|ERZ,|ERZ|IST|STR|
STR|EZS,|EZS|IST|STR|
STR|GNY,|GNY|IST|STR|
STR|GZP,|GZP|ESB|IST|STR|
STR|GZT,|GZT|IST|STR|
STR|HTY,|HTY|IST|STR|
STR|KCM,|KCM|IST|STR|
STR|KSY,|KSY|IST|STR|
STR|MLX,|MLX|IST|STR|
STR|MQM,|MQM|IST|STR|
STR|MSR,|MSR|IST|STR|
STR|TEQ,|TEQ|ESB|IST|STR|
STR|TZX,|TZX|IST|STR|
STR|VAN,|VAN|IST|STR|
STR|ULN,|ULN|FRU|IST|STR|
STR|HIJ,|HIJ|ICN|IST|STR|
STR|VVO,|VVO|ICN|IST|STR|
STR|ACC,|ACC|IST|STR|
STR|AER,|AER|IST|STR|
STR|AGP,|AGP|IST|STR|
STR|ALG,|ALG|IST|STR|
STR|AMM,|AMM|IST|STR|
STR|AQJ,|AQJ|IST|STR|
STR|ARN,|ARN|IST|STR|
STR|ASR,|ASR|IST|STR|
STR|ATH,|ATH|IST|STR|
STR|BAH,|BAH|IST|STR|
STR|BEG,|BEG|IST|STR|
STR|BEN,|BEN|IST|STR|
STR|BEY,|BEY|IST|STR|
STR|BHX,|BHX|IST|STR|
STR|BIO,|BIO|IST|STR|
STR|BLQ,|BLQ|IST|STR|
STR|BOM,|BOM|IST|STR|
STR|BRE,|BRE|IST|STR|
STR|BSL,|BSL|IST|STR|
STR|BSR,|BSR|IST|STR|
STR|BUD,|BUD|IST|STR|
STR|BUS,|BUS|IST|STR|
STR|CAI,|CAI|IST|STR|
STR|CGN,|CGN|IST|STR|
STR|CMN,|CMN|IST|STR|
STR|CND,|CND|IST|STR|
STR|DAR,|DAR|IST|STR|
STR|DLM,|DLM|IST|STR|
STR|DMM,|DMM|IST|STR|
STR|DNK,|DNK|IST|STR|
STR|DNZ,|DNZ|IST|STR|
STR|DOK,|DOK|IST|STR|
STR|DUS,|DUS|IST|STR|
STR|EDI,|EDI|IST|STR|
STR|ELQ,|ELQ|IST|STR|
STR|FDH,|FDH|IST|STR|
STR|GOA,|GOA|IST|STR|
STR|GOT,|GOT|IST|STR|
STR|HAJ,|HAJ|IST|STR|
STR|HBE,|HBE|IST|STR|
STR|HEL,|HEL|IST|STR|
STR|HRG,|HRG|IST|STR|
STR|IFN,|IFN|IST|STR|
STR|ISE,|ISE|IST|STR|
STR|ISU,|ISU|IST|STR|
STR|JIB,|JIB|IST|STR|
STR|JRO,|JRO|IST|STR|
STR|KAN,|KAN|IST|STR|
STR|KBL,|KBL|IST|STR|
STR|KBP,|KBP|IST|STR|
STR|KFS,|KFS|IST|STR|
STR|KHI,|KHI|IST|STR|
STR|KIV,|KIV|IST|STR|
STR|KRT,|KRT|IST|STR|
STR|KSH,|KSH|IST|STR|
STR|KVD,|KVD|IST|STR|
STR|KWI,|KWI|IST|STR|
STR|KYA,|KYA|IST|STR|
STR|KZN,|KZN|IST|STR|
STR|KZR,|KZR|IST|STR|
STR|LED,|LED|IST|STR|
STR|LEJ,|LEJ|IST|STR|
STR|LGW,|LGW|IST|STR|
STR|LHE,|LHE|IST|STR|
STR|LIS,|LIS|IST|STR|
STR|LJU,|LJU|IST|STR|
STR|LOS,|LOS|IST|STR|
STR|LUX,|LUX|IST|STR|
STR|LWO,|LWO|IST|STR|
STR|LYS,|LYS|IST|STR|
STR|MAD,|MAD|IST|STR|
STR|MAN,|MAN|IST|STR|
STR|MED,|MED|IST|STR|
STR|MHD,|MHD|IST|STR|
STR|MLA,|MLA|IST|STR|
STR|MRS,|MRS|IST|STR|
STR|MSQ,|MSQ|IST|STR|
STR|MXP,|MXP|IST|STR|
STR|MZH,|MZH|IST|STR|
STR|MZR,|MZR|IST|STR|
STR|NAJ,|NAJ|IST|STR|
STR|NAV,|NAV|IST|STR|
STR|NCE,|NCE|IST|STR|
STR|NIM,|NIM|IST|STR|
STR|NJF,|NJF|IST|STR|
STR|NSI,|NSI|IST|STR|
STR|NUE,|NUE|IST|STR|
STR|ODS,|ODS|IST|STR|
STR|ORN,|ORN|IST|STR|
STR|OTP,|OTP|IST|STR|
STR|PRG,|PRG|IST|STR|
STR|PRN,|PRN|IST|STR|
STR|RIX,|RIX|IST|STR|
STR|ROV,|ROV|IST|STR|
STR|RTM,|RTM|IST|STR|
STR|RUH,|RUH|IST|STR|
STR|SAH,|SAH|IST|STR|
STR|SJJ,|SJJ|IST|STR|
STR|SKG,|SKG|IST|STR|
STR|SKP,|SKP|IST|STR|
STR|SSH,|SSH|IST|STR|
STR|SVX,|SVX|IST|STR|
STR|SYZ,|SYZ|IST|STR|
STR|SZG,|SZG|IST|STR|
STR|TBZ,|TBZ|IST|STR|
STR|TGD,|TGD|IST|STR|
STR|TIA,|TIA|IST|STR|
STR|TIF,|TIF|IST|STR|
STR|TIP,|TIP|IST|STR|
STR|TLL,|TLL|IST|STR|
STR|TLS,|TLS|IST|STR|
STR|TRN,|TRN|IST|STR|
STR|TUN,|TUN|IST|STR|
STR|TXL,|TXL|IST|STR|
STR|UFA,|UFA|IST|STR|
STR|VAS,|VAS|IST|STR|
STR|VCE,|VCE|IST|STR|
STR|YNB,|YNB|IST|STR|
STR|ZAG,|ZAG|IST|STR|
STR|MGQ,|MGQ|JIB|IST|STR|
STR|CPT,|CPT|JNB|IST|STR|
STR|MBA,|MBA|JRO|IST|STR|
STR|NDJ,|NDJ|KAN|IST|STR|
STR|CMB,|CMB|MLE|IST|STR|
STR|ADE,|ADE|SAH|IST|STR|
STR|ASF,|ASF|SAW|ADB|IST|STR|
STR|STW,|STW|SAW|ADB|IST|STR|
STR|LFW,|LFW|ABJ|OUA|NIM|IST|STR|
STR|CEC,|CEC|ACV|SMF|ORD|EWR|STR|
STR|SMF,|SMF|ORD|EWR|STR|
STR|CDR,|CDR|AIA|DEN|EWR|STR|
STR|FMN,|FMN|DEN|EWR|STR|
STR|JST,|JST|IAD|EWR|STR|
STR|JHW,|JHW|CLE|EWR|STR|
STR|SHD,|SHD|IAD|EWR|STR|
STR|PTY,|PTY|EWR|STR|
STR|FNA,|FNA|BRU|IST|STR|
STR|SXB,|SXB|BRU|IST|STR|
STR|ACV,|ACV|SMF|ORD|EWR|STR|
STR|MGW,|MGW|IAD|EWR|STR|
STR|ALB,|ALB|EWR|STR|
STR|AUS,|AUS|EWR|STR|
STR|BFD,|BFD|CLE|EWR|STR|
STR|BUF,|BUF|EWR|STR|
STR|CHS,|CHS|EWR|STR|
STR|DAY,|DAY|EWR|STR|
STR|DUJ,|DUJ|CLE|EWR|STR|
