SAN|EBL,|EBL|IST|LAX|SAN|
SAN|VKO,|VKO|IST|LAX|SAN|
SAN|MCT,|MCT|IST|LAX|SAN|
SAN|AYT,|AYT|IST|LAX|SAN|
SAN|SCQ,|SCQ|BIO|IST|LAX|SAN|
SAN|AAL,|AAL|IST|LAX|SAN|
SAN|AOE,|AOE|BRU|ORD|SAN|
SAN|JNB,|JNB|DKR|IAD|SAN|
SAN|LBV,|LBV|DLA|BRU|ORD|SAN|
SAN|ADA,|ADA|IST|LAX|SAN|
SAN|ADB,|ADB|IST|LAX|SAN|
SAN|ADF,|ADF|IST|LAX|SAN|
SAN|AJI,|AJI|IST|LAX|SAN|
SAN|BAL,|BAL|IST|LAX|SAN|
SAN|BJV,|BJV|IST|LAX|SAN|
SAN|CKZ,|CKZ|ESB|IST|LAX|SAN|
SAN|DIY,|DIY|IST|LAX|SAN|
SAN|ECN,|ECN|IST|LAX|SAN|
SAN|ERC,|ERC|IST|LAX|SAN|
SAN|ERZ,|ERZ|IST|LAX|SAN|
SAN|EZS,|EZS|IST|LAX|SAN|
SAN|GNY,|GNY|IST|LAX|SAN|
SAN|GZP,|GZP|ESB|IST|LAX|SAN|
SAN|GZT,|GZT|IST|LAX|SAN|
SAN|HTY,|HTY|IST|LAX|SAN|
SAN|KCM,|KCM|IST|LAX|SAN|
SAN|KSY,|KSY|IST|LAX|SAN|
SAN|MLX,|MLX|IST|LAX|SAN|
SAN|MQM,|MQM|IST|LAX|SAN|
SAN|MSR,|MSR|IST|LAX|SAN|
SAN|TEQ,|TEQ|ESB|IST|LAX|SAN|
SAN|TZX,|TZX|IST|LAX|SAN|
SAN|VAN,|VAN|IST|LAX|SAN|
SAN|ULN,|ULN|FRU|URC|PEK|LAX|SAN|
SAN|HIJ,|HIJ|ICN|LAX|SAN|
SAN|VVO,|VVO|ICN|LAX|SAN|
SAN|ACC,|ACC|IST|LAX|SAN|
SAN|AER,|AER|IST|LAX|SAN|
SAN|AGP,|AGP|IST|LAX|SAN|
SAN|ALG,|ALG|IST|LAX|SAN|
SAN|AMM,|AMM|IST|LAX|SAN|
SAN|AQJ,|AQJ|IST|LAX|SAN|
SAN|ARN,|ARN|EWR|SAN|
SAN|ASR,|ASR|IST|LAX|SAN|
SAN|ATH,|ATH|IST|LAX|SAN|
SAN|BAH,|BAH|IST|LAX|SAN|
SAN|BEG,|BEG|IST|LAX|SAN|
SAN|BEN,|BEN|IST|LAX|SAN|
SAN|BEY,|BEY|IST|LAX|SAN|
SAN|BHX,|BHX|EWR|SAN|
SAN|BIO,|BIO|IST|LAX|SAN|
SAN|BLQ,|BLQ|IST|LAX|SAN|
SAN|BOM,|BOM|IST|LAX|SAN|
SAN|BRE,|BRE|IST|LAX|SAN|
SAN|BSL,|BSL|IST|LAX|SAN|
SAN|BSR,|BSR|IST|LAX|SAN|
SAN|BUD,|BUD|IST|LAX|SAN|
SAN|BUS,|BUS|IST|LAX|SAN|
SAN|CAI,|CAI|IST|LAX|SAN|
SAN|CGN,|CGN|IST|LAX|SAN|
SAN|CMN,|CMN|IST|LAX|SAN|
SAN|CND,|CND|IST|LAX|SAN|
SAN|DAR,|DAR|NBO|ZRH|LAX|SAN|
SAN|DLM,|DLM|IST|LAX|SAN|
SAN|DMM,|DMM|IST|LAX|SAN|
SAN|DNK,|DNK|IST|LAX|SAN|
SAN|DNZ,|DNZ|IST|LAX|SAN|
SAN|DOK,|DOK|IST|LAX|SAN|
SAN|DUS,|DUS|ORD|SAN|
SAN|EDI,|EDI|EWR|SAN|
SAN|ELQ,|ELQ|IST|LAX|SAN|
SAN|FDH,|FDH|IST|LAX|SAN|
SAN|GOA,|GOA|IST|LAX|SAN|
SAN|GOT,|GOT|BRU|ORD|SAN|
SAN|HAJ,|HAJ|BRU|ORD|SAN|
SAN|HBE,|HBE|IST|LAX|SAN|
SAN|HEL,|HEL|IST|LAX|SAN|
SAN|HRG,|HRG|IST|LAX|SAN|
SAN|IFN,|IFN|IST|LAX|SAN|
SAN|ISE,|ISE|IST|LAX|SAN|
SAN|ISU,|ISU|IST|LAX|SAN|
SAN|JIB,|JIB|IST|LAX|SAN|
SAN|JRO,|JRO|IST|LAX|SAN|
SAN|KAN,|KAN|IST|LAX|SAN|
SAN|KBL,|KBL|IST|LAX|SAN|
SAN|KBP,|KBP|IST|LAX|SAN|
SAN|KFS,|KFS|IST|LAX|SAN|
SAN|KHI,|KHI|IST|LAX|SAN|
SAN|KIV,|KIV|IST|LAX|SAN|
SAN|KRT,|KRT|IST|LAX|SAN|
SAN|KSH,|KSH|IST|LAX|SAN|
SAN|KVD,|KVD|IST|LAX|SAN|
