HJJ|RDU,|RDU|YYZ|PEK|CSX|HJJ|
HJJ|ROC,|ROC|YYZ|PEK|CSX|HJJ|
HJJ|RSW,|RSW|ORD|PEK|CSX|HJJ|
HJJ|SAN,|SAN|LAX|ICN|CSX|HJJ|
HJJ|SJO,|SJO|IAH|PEK|CSX|HJJ|
HJJ|STL,|STL|ORD|PEK|CSX|HJJ|
HJJ|SYR,|SYR|YYZ|PEK|CSX|HJJ|
HJJ|TLV,|TLV|SAW|TBS|URC|CSX|HJJ|
HJJ|TPA,|TPA|ORD|PEK|CSX|HJJ|
HJJ|UVF,|UVF|EWR|PEK|CSX|HJJ|
HJJ|VIE,|VIE|IST|URC|CSX|HJJ|
HJJ|YAM,|YAM|YYZ|PEK|CSX|HJJ|
HJJ|YGK,|YGK|YYZ|PEK|CSX|HJJ|
HJJ|YQG,|YQG|YYZ|PEK|CSX|HJJ|
HJJ|YSB,|YSB|YYZ|PEK|CSX|HJJ|
HJJ|YTS,|YTS|YYZ|PEK|CSX|HJJ|
HJJ|YYB,|YYB|YYZ|PEK|CSX|HJJ|
HJJ|YZR,|YZR|YYZ|PEK|CSX|HJJ|
HJJ|CAN,|CAN|HJJ|
HJJ|URC,|URC|CSX|HJJ|
HJJ|CTU,|CTU|CSX|HJJ|
HJJ|HGH,|HGH|CSX|HJJ|
HJJ|XMN,|XMN|CSX|HJJ|
HJJ|CGO,|CGO|YTY|CSX|HJJ|
HJJ|CSX,|CSX|HJJ|
HJJ|SHE,|SHE|TAO|CSX|HJJ|
HJJ|SJW,|SJW|CSX|HJJ|
HJJ|WUH,|WUH|CAN|HJJ|
HJJ|SZX,|SZX|CSX|HJJ|
HJJ|CKG,|CKG|CSX|HJJ|
HJJ|KMG,|KMG|CSX|HJJ|
HJJ|FOC,|FOC|CSX|HJJ|
HJJ|NNG,|NNG|CAN|HJJ|
HJJ|SWA,|SWA|CAN|HJJ|
HJJ|ACX,|ACX|CAN|HJJ|
HJJ|AQG,|AQG|CAN|HJJ|
HJJ|AVA,|AVA|CAN|HJJ|
HJJ|BFJ,|BFJ|CAN|HJJ|
HJJ|BHY,|BHY|CAN|HJJ|
HJJ|BNE,|BNE|CAN|HJJ|
HJJ|CGD,|CGD|CAN|HJJ|
HJJ|CGK,|CGK|CAN|HJJ|
HJJ|CGQ,|CGQ|TAO|CSX|HJJ|
HJJ|CIH,|CIH|CAN|HJJ|
HJJ|CNX,|CNX|CAN|HJJ|
HJJ|CZX,|CZX|CSX|HJJ|
HJJ|DAC,|DAC|CAN|HJJ|
HJJ|DAD,|DAD|CAN|HJJ|
HJJ|DEL,|DEL|CAN|HJJ|
HJJ|DIG,|DIG|KMG|CSX|HJJ|
HJJ|DLC,|DLC|CSX|HJJ|
HJJ|DPS,|DPS|CAN|HJJ|
HJJ|DXB,|DXB|CAN|HJJ|
HJJ|DYG,|DYG|CSX|HJJ|
HJJ|FUG,|FUG|CAN|HJJ|
HJJ|FUK,|FUK|ICN|CSX|HJJ|
HJJ|HAK,|HAK|CAN|HJJ|
HJJ|HAN,|HAN|CAN|HJJ|
HJJ|HDG,|HDG|CAN|HJJ|
HJJ|HET,|HET|CSX|HJJ|
HJJ|HFE,|HFE|CSX|HJJ|
HJJ|HKT,|HKT|CAN|HJJ|
HJJ|HRB,|HRB|CSX|HJJ|
HJJ|HZH,|HZH|CAN|HJJ|
HJJ|JIU,|JIU|CAN|HJJ|
HJJ|JJN,|JJN|CSX|HJJ|
HJJ|JNG,|JNG|CAN|HJJ|
HJJ|KHN,|KHN|CAN|HJJ|
HJJ|KIX,|KIX|CAN|HJJ|
HJJ|KOW,|KOW|CAN|HJJ|
HJJ|KTM,|KTM|CAN|HJJ|
HJJ|KUL,|KUL|CAN|HJJ|
HJJ|KWE,|KWE|CSX|HJJ|
HJJ|KWL,|KWL|CAN|HJJ|
HJJ|LHW,|LHW|CSX|HJJ|
HJJ|LYA,|LYA|CAN|HJJ|
HJJ|LYG,|LYG|CAN|HJJ|
HJJ|LZH,|LZH|CAN|HJJ|
HJJ|MEL,|MEL|CAN|HJJ|
HJJ|MIG,|MIG|CSX|HJJ|
HJJ|MLE,|MLE|CAN|HJJ|
HJJ|MNL,|MNL|CAN|HJJ|
HJJ|MXZ,|MXZ|CAN|HJJ|
HJJ|NAO,|NAO|CAN|HJJ|
HJJ|NGB,|NGB|CSX|HJJ|
HJJ|NKG,|NKG|CSX|HJJ|
HJJ|NNY,|NNY|CAN|HJJ|
HJJ|PEN,|PEN|CAN|HJJ|
HJJ|PER,|PER|CAN|HJJ|
HJJ|PNH,|PNH|CAN|HJJ|
HJJ|REP,|REP|CAN|HJJ|
HJJ|RGN,|RGN|CAN|HJJ|
HJJ|SGN,|SGN|CAN|HJJ|
HJJ|SHA,|SHA|CSX|HJJ|
HJJ|SIN,|SIN|CAN|HJJ|
HJJ|SVO,|SVO|URC|CSX|HJJ|
HJJ|SYX,|SYX|CAN|HJJ|
HJJ|TAO,|TAO|CSX|HJJ|
HJJ|TEN,|TEN|CAN|HJJ|
HJJ|TNA,|TNA|CSX|HJJ|
HJJ|TPE,|TPE|CSX|HJJ|
HJJ|TSN,|TSN|CSX|HJJ|
HJJ|TXN,|TXN|CSX|HJJ|
HJJ|TYN,|TYN|CSX|HJJ|
HJJ|WNZ,|WNZ|CSX|HJJ|
HJJ|WUX,|WUX|CAN|HJJ|
HJJ|XFN,|XFN|CAN|HJJ|
HJJ|XIY,|XIY|CSX|HJJ|
HJJ|XUZ,|XUZ|CAN|HJJ|
HJJ|YIH,|YIH|CAN|HJJ|
HJJ|YIW,|YIW|CAN|HJJ|
HJJ|YNT,|YNT|CSX|HJJ|
HJJ|YNZ,|YNZ|CAN|HJJ|
HJJ|YTY,|YTY|CSX|HJJ|
HJJ|ZHA,|ZHA|CAN|HJJ|
HJJ|ZYI,|ZYI|CAN|HJJ|
HJJ|BAV,|BAV|CSX|HJJ|
HJJ|CJU,|CJU|CSX|HJJ|
HJJ|DSN,|DSN|CGO|YTY|CSX|HJJ|
HJJ|HMI,|HMI|CGO|YTY|CSX|HJJ|
HJJ|INC,|INC|CSX|HJJ|
HJJ|KHH,|KHH|WUH|CAN|HJJ|
HJJ|UYN,|UYN|XIY|CSX|HJJ|
HJJ|XNN,|XNN|CSX|HJJ|
HJJ|ZUH,|ZUH|CSX|HJJ|
HJJ|YNJ,|YNJ|DLC|CSX|HJJ|
HJJ|DAT,|DAT|TYN|CSX|HJJ|
HJJ|JHG,|JHG|KMG|CSX|HJJ|
HJJ|LJG,|LJG|KWE|CSX|HJJ|
HJJ|LXA,|LXA|CKG|CSX|HJJ|
HJJ|YCU,|YCU|CSX|HJJ|
HJJ|LZO,|LZO|CSX|HJJ|
HJJ|MDG,|MDG|DLC|CSX|HJJ|
HJJ|NGO,|NGO|PVG|CSX|HJJ|
HJJ|TOY,|TOY|DLC|CSX|HJJ|
HJJ|MFM,|MFM|XMN|CSX|HJJ|
HJJ|TGO,|TGO|HET|CSX|HJJ|
HJJ|XIL,|XIL|HET|CSX|HJJ|
HJJ|HEK,|HEK|HRB|CSX|HJJ|
HJJ|KIJ,|KIJ|HRB|CSX|HJJ|
HJJ|LDS,|LDS|HRB|CSX|HJJ|
HJJ|OHE,|OHE|HRB|CSX|HJJ|
HJJ|HSN,|HSN|JJN|CSX|HJJ|
HJJ|DLU,|DLU|KWE|CSX|HJJ|
HJJ|SYM,|SYM|KMG|CSX|HJJ|
HJJ|ZAT,|ZAT|KMG|CSX|HJJ|
HJJ|LUN,|LUN|NBO|CAN|HJJ|
HJJ|AOG,|AOG|PEK|CSX|HJJ|
