MDE|MDT,|MDT|IAD|MIA|MDE|
MDE|MIA,|MIA|MDE|
MDE|MKE,|MKE|ORD|MIA|MDE|
MDE|MSP,|MSP|ORD|MIA|MDE|
MDE|NAS,|NAS|ATL|MSY|MIA|MDE|
MDE|PHL,|PHL|IAD|MIA|MDE|
MDE|PHX,|PHX|IAH|MIA|MDE|
MDE|PIT,|PIT|IAD|MIA|MDE|
MDE|PLS,|PLS|EWR|MIA|MDE|
MDE|POP,|POP|EWR|MIA|MDE|
MDE|RDU,|RDU|IAD|MIA|MDE|
MDE|ROC,|ROC|IAD|MIA|MDE|
MDE|RSW,|RSW|MCO|MSY|MIA|MDE|
MDE|SAN,|SAN|IAH|MIA|MDE|
MDE|SJO,|SJO|IAH|MIA|MDE|
MDE|STL,|STL|MSY|MIA|MDE|
MDE|SYR,|SYR|IAD|MIA|MDE|
MDE|TLV,|TLV|IST|ZRH|MIA|MDE|
MDE|TPA,|TPA|MSY|MIA|MDE|
MDE|UVF,|UVF|EWR|MIA|MDE|
MDE|VIE,|VIE|IAD|MIA|MDE|
MDE|YAM,|YAM|YYZ|MIA|MDE|
MDE|YGK,|YGK|YYZ|MIA|MDE|
MDE|YQG,|YQG|YYZ|MIA|MDE|
MDE|YSB,|YSB|YYZ|MIA|MDE|
MDE|YTS,|YTS|YYZ|MIA|MDE|
MDE|YYB,|YYB|YYZ|MIA|MDE|
MDE|YZR,|YZR|YYZ|MIA|MDE|
MDE|CAN,|CAN|PEK|ORD|MIA|MDE|
MDE|URC,|URC|TSE|FRA|MIA|MDE|
MDE|CTU,|CTU|PEK|ORD|MIA|MDE|
MDE|HGH,|HGH|PEK|ORD|MIA|MDE|
MDE|XMN,|XMN|PEK|ORD|MIA|MDE|
MDE|CGO,|CGO|PEK|ORD|MIA|MDE|
MDE|CSX,|CSX|PEK|ORD|MIA|MDE|
MDE|SHE,|SHE|PEK|ORD|MIA|MDE|
MDE|SJW,|SJW|DLC|PEK|ORD|MIA|MDE|
MDE|WUH,|WUH|PEK|ORD|MIA|MDE|
MDE|SZX,|SZX|PEK|ORD|MIA|MDE|
