BEY|ZAT,|ZAT|KMG|CTU|URC|IST|BEY|
BEY|LUN,|LUN|NBO|IST|BEY|
BEY|AOG,|AOG|PEK|IST|BEY|
BEY|GMP,|GMP|PEK|IST|BEY|
BEY|ISB,|ISB|IST|BEY|
BEY|TAS,|TAS|IST|BEY|
BEY|WUS,|WUS|PEK|IST|BEY|
BEY|JMU,|JMU|PVG|IST|BEY|
BEY|NDG,|NDG|PVG|IST|BEY|
BEY|JXA,|JXA|SHE|PEK|IST|BEY|
BEY|PUS,|PUS|SHE|PEK|IST|BEY|
BEY|BKI,|BKI|SZX|CKG|URC|IST|BEY|
BEY|AKU,|AKU|URC|IST|BEY|
BEY|ALA,|ALA|IST|BEY|
BEY|ASB,|ASB|IST|BEY|
BEY|DNH,|DNH|URC|IST|BEY|
BEY|DYU,|DYU|IST|BEY|
BEY|FRU,|FRU|IST|BEY|
BEY|GYD,|GYD|IST|BEY|
BEY|HTN,|HTN|URC|IST|BEY|
BEY|IKA,|IKA|IST|BEY|
BEY|KCA,|KCA|URC|IST|BEY|
BEY|KHG,|KHG|URC|IST|BEY|
BEY|KRL,|KRL|URC|IST|BEY|
BEY|KRY,|KRY|URC|IST|BEY|
BEY|LBD,|LBD|URC|IST|BEY|
BEY|NLT,|NLT|URC|IST|BEY|
BEY|OSS,|OSS|IST|BEY|
BEY|OVB,|OVB|IST|BEY|
BEY|TBS,|TBS|IST|BEY|
BEY|TCG,|TCG|URC|IST|BEY|
BEY|TSE,|TSE|IST|BEY|
BEY|YIN,|YIN|URC|IST|BEY|
BEY|ENH,|ENH|WUH|URC|IST|BEY|
BEY|ENY,|ENY|XIY|URC|IST|BEY|
BEY|WXN,|WXN|XIY|URC|IST|BEY|
BEY|BLL,|BLL|IST|BEY|
BEY|ESB,|ESB|IST|BEY|
BEY|SAW,|SAW|ADB|IST|BEY|
BEY|HAM,|HAM|IST|BEY|
BEY|HRE,|HRE|ADD|IST|BEY|
BEY|JUB,|JUB|CAI|IST|BEY|
BEY|SSG,|SSG|DLA|IST|BEY|
BEY|BGW,|BGW|IST|BEY|
BEY|EBL,|EBL|IST|BEY|
BEY|VKO,|VKO|IST|BEY|
BEY|MCT,|MCT|IST|BEY|
BEY|AYT,|AYT|IST|BEY|
BEY|SCQ,|SCQ|BIO|IST|BEY|
BEY|AAL,|AAL|IST|BEY|
BEY|AOE,|AOE|BRU|IST|BEY|
BEY|JNB,|JNB|IST|BEY|
BEY|LBV,|LBV|DLA|IST|BEY|
BEY|ADA,|ADA|IST|BEY|
BEY|ADB,|ADB|IST|BEY|
BEY|ADF,|ADF|IST|BEY|
BEY|AJI,|AJI|IST|BEY|
BEY|BAL,|BAL|IST|BEY|
BEY|BJV,|BJV|IST|BEY|
BEY|CKZ,|CKZ|ESB|IST|BEY|
BEY|DIY,|DIY|IST|BEY|
BEY|ECN,|ECN|IST|BEY|
BEY|ERC,|ERC|IST|BEY|
BEY|ERZ,|ERZ|IST|BEY|
BEY|EZS,|EZS|IST|BEY|
BEY|GNY,|GNY|IST|BEY|
BEY|GZP,|GZP|ESB|IST|BEY|
BEY|GZT,|GZT|IST|BEY|
BEY|HTY,|HTY|IST|BEY|
BEY|KCM,|KCM|IST|BEY|
BEY|KSY,|KSY|IST|BEY|
BEY|MLX,|MLX|IST|BEY|
BEY|MQM,|MQM|IST|BEY|
BEY|MSR,|MSR|IST|BEY|
BEY|TEQ,|TEQ|ESB|IST|BEY|
BEY|TZX,|TZX|IST|BEY|
BEY|VAN,|VAN|IST|BEY|
BEY|ULN,|ULN|FRU|IST|BEY|
BEY|HIJ,|HIJ|ICN|IST|BEY|
BEY|VVO,|VVO|ICN|IST|BEY|
BEY|ACC,|ACC|IST|BEY|
BEY|AER,|AER|IST|BEY|
BEY|AGP,|AGP|IST|BEY|
BEY|ALG,|ALG|IST|BEY|
BEY|AMM,|AMM|IST|BEY|
BEY|AQJ,|AQJ|IST|BEY|
BEY|ARN,|ARN|IST|BEY|
BEY|ASR,|ASR|IST|BEY|
BEY|ATH,|ATH|IST|BEY|
BEY|BAH,|BAH|IST|BEY|
BEY|BEG,|BEG|IST|BEY|
BEY|BEN,|BEN|IST|BEY|
BEY|BHX,|BHX|IST|BEY|
BEY|BIO,|BIO|IST|BEY|
BEY|BLQ,|BLQ|IST|BEY|
BEY|BOM,|BOM|IST|BEY|
BEY|BRE,|BRE|IST|BEY|
BEY|BSL,|BSL|IST|BEY|
BEY|BSR,|BSR|IST|BEY|
BEY|BUD,|BUD|IST|BEY|
BEY|BUS,|BUS|IST|BEY|
BEY|CAI,|CAI|IST|BEY|
