ECP|SYX,|SYX|PEK|ORD|BNA|ECP|
ECP|TAO,|TAO|DLC|PEK|ORD|BNA|ECP|
ECP|TEN,|TEN|PEK|ORD|BNA|ECP|
ECP|TNA,|TNA|DLC|PEK|ORD|BNA|ECP|
ECP|TPE,|TPE|PVG|ORD|BNA|ECP|
ECP|TSN,|TSN|DLC|PEK|ORD|BNA|ECP|
ECP|TXN,|TXN|DLC|PEK|ORD|BNA|ECP|
ECP|TYN,|TYN|DAT|CIH|PEK|ORD|BNA|ECP|
ECP|WNZ,|WNZ|CGO|PEK|ORD|BNA|ECP|
ECP|WUX,|WUX|CAN|PEK|ORD|BNA|ECP|
ECP|XFN,|XFN|XMN|PEK|ORD|BNA|ECP|
ECP|XIY,|XIY|PEK|ORD|BNA|ECP|
ECP|XUZ,|XUZ|LYG|HSN|PEK|ORD|BNA|ECP|
ECP|YIH,|YIH|CKG|PEK|ORD|BNA|ECP|
ECP|YIW,|YIW|PEK|ORD|BNA|ECP|
ECP|YNT,|YNT|SHE|PEK|ORD|BNA|ECP|
ECP|YNZ,|YNZ|DLC|PEK|ORD|BNA|ECP|
ECP|YTY,|YTY|DLC|PEK|ORD|BNA|ECP|
ECP|ZHA,|ZHA|CAN|PEK|ORD|BNA|ECP|
ECP|ZYI,|ZYI|PEK|ORD|BNA|ECP|
ECP|BAV,|BAV|CGO|PEK|ORD|BNA|ECP|
ECP|CJU,|CJU|DLC|PEK|ORD|BNA|ECP|
ECP|DSN,|DSN|CGO|PEK|ORD|BNA|ECP|
ECP|HMI,|HMI|URC|TSE|FRA|EWR|BWI|ECP|
ECP|INC,|INC|PEK|ORD|BNA|ECP|
ECP|KHH,|KHH|CGO|PEK|ORD|BNA|ECP|
ECP|UYN,|UYN|CGO|PEK|ORD|BNA|ECP|
ECP|XNN,|XNN|PEK|ORD|BNA|ECP|
ECP|ZUH,|ZUH|PEK|ORD|BNA|ECP|
ECP|YNJ,|YNJ|ICN|YVR|DEN|STL|ECP|
ECP|DAT,|DAT|CIH|PEK|ORD|BNA|ECP|
ECP|JHG,|JHG|CKG|PEK|ORD|BNA|ECP|
ECP|LJG,|LJG|CKG|PEK|ORD|BNA|ECP|
ECP|LXA,|LXA|XIY|PEK|ORD|BNA|ECP|
ECP|YCU,|YCU|CSX|PEK|ORD|BNA|ECP|
ECP|LZO,|LZO|CSX|PEK|ORD|BNA|ECP|
ECP|MDG,|MDG|ICN|YVR|DEN|STL|ECP|
ECP|NGO,|NGO|ICN|YVR|DEN|STL|ECP|
ECP|TOY,|TOY|DLC|PEK|ORD|BNA|ECP|
ECP|MFM,|MFM|XMN|PEK|ORD|BNA|ECP|
ECP|TGO,|TGO|HET|DLC|PEK|ORD|BNA|ECP|
ECP|XIL,|XIL|HET|DLC|PEK|ORD|BNA|ECP|
ECP|HEK,|HEK|HRB|PEK|ORD|BNA|ECP|
ECP|KIJ,|KIJ|HRB|PEK|ORD|BNA|ECP|
ECP|LDS,|LDS|HRB|PEK|ORD|BNA|ECP|
ECP|OHE,|OHE|HRB|PEK|ORD|BNA|ECP|
ECP|HSN,|HSN|PEK|ORD|BNA|ECP|
ECP|DLU,|DLU|KMG|PEK|ORD|BNA|ECP|
ECP|SYM,|SYM|KMG|PEK|ORD|BNA|ECP|
ECP|ZAT,|ZAT|KMG|PEK|ORD|BNA|ECP|
ECP|LUN,|LUN|NBO|ZRH|BOS|BWI|ECP|
ECP|AOG,|AOG|PEK|ORD|BNA|ECP|
ECP|GMP,|GMP|PEK|ORD|BNA|ECP|
ECP|ISB,|ISB|IST|BHX|EWR|BWI|ECP|
ECP|TAS,|TAS|IST|BHX|EWR|BWI|ECP|
ECP|WUS,|WUS|PEK|ORD|BNA|ECP|
ECP|JMU,|JMU|PVG|ORD|BNA|ECP|
ECP|NDG,|NDG|PVG|ORD|BNA|ECP|
ECP|JXA,|JXA|SHE|PEK|ORD|BNA|ECP|
ECP|PUS,|PUS|SHE|PEK|ORD|BNA|ECP|
ECP|BKI,|BKI|SZX|PEK|ORD|BNA|ECP|
ECP|AKU,|AKU|URC|TSE|FRA|EWR|BWI|ECP|
ECP|ALA,|ALA|TSE|FRA|EWR|BWI|ECP|
ECP|ASB,|ASB|GYD|FRA|EWR|BWI|ECP|
ECP|DNH,|DNH|XIY|PEK|ORD|BNA|ECP|
ECP|DYU,|DYU|IST|BHX|EWR|BWI|ECP|
ECP|FRU,|FRU|IST|BHX|EWR|BWI|ECP|
ECP|GYD,|GYD|FRA|EWR|BWI|ECP|
ECP|HTN,|HTN|URC|TSE|FRA|EWR|BWI|ECP|
ECP|IKA,|IKA|SAW|FRA|EWR|BWI|ECP|
ECP|KCA,|KCA|URC|TSE|FRA|EWR|BWI|ECP|
ECP|KHG,|KHG|URC|TSE|FRA|EWR|BWI|ECP|
ECP|KRL,|KRL|URC|TSE|FRA|EWR|BWI|ECP|
ECP|KRY,|KRY|URC|TSE|FRA|EWR|BWI|ECP|
ECP|LBD,|LBD|URC|TSE|FRA|EWR|BWI|ECP|
ECP|NLT,|NLT|URC|TSE|FRA|EWR|BWI|ECP|
ECP|OSS,|OSS|IST|BHX|EWR|BWI|ECP|
ECP|OVB,|OVB|IST|BHX|EWR|BWI|ECP|
ECP|TBS,|TBS|SAW|FRA|EWR|BWI|ECP|
ECP|TCG,|TCG|URC|TSE|FRA|EWR|BWI|ECP|
ECP|TSE,|TSE|FRA|EWR|BWI|ECP|
ECP|YIN,|YIN|URC|TSE|FRA|EWR|BWI|ECP|
ECP|ENH,|ENH|WUH|PEK|ORD|BNA|ECP|
ECP|ENY,|ENY|XIY|PEK|ORD|BNA|ECP|
ECP|WXN,|WXN|XIY|PEK|ORD|BNA|ECP|
ECP|BLL,|BLL|IST|BHX|EWR|BWI|ECP|
ECP|ESB,|ESB|FRA|EWR|BWI|ECP|
ECP|SAW,|SAW|FRA|EWR|BWI|ECP|
ECP|HAM,|HAM|EWR|BWI|ECP|
ECP|HRE,|HRE|ADD|JED|FRA|EWR|BWI|ECP|
ECP|JUB,|JUB|CAI|IST|BHX|EWR|BWI|ECP|
ECP|SSG,|SSG|DLA|BRU|EWR|BWI|ECP|
ECP|BGW,|BGW|ESB|FRA|EWR|BWI|ECP|
ECP|EBL,|EBL|IST|BHX|EWR|BWI|ECP|
ECP|VKO,|VKO|IST|BHX|EWR|BWI|ECP|
ECP|MCT,|MCT|IST|BHX|EWR|BWI|ECP|
ECP|AYT,|AYT|IST|BHX|EWR|BWI|ECP|
ECP|SCQ,|SCQ|BIO|IST|BHX|EWR|BWI|ECP|
ECP|AAL,|AAL|IST|BHX|EWR|BWI|ECP|
ECP|AOE,|AOE|BRU|EWR|BWI|ECP|
ECP|JNB,|JNB|DKR|IAD|BNA|ECP|
ECP|LBV,|LBV|DLA|BRU|EWR|BWI|ECP|
ECP|ADA,|ADA|SAW|FRA|EWR|BWI|ECP|
ECP|ADB,|ADB|HAM|EWR|BWI|ECP|
ECP|ADF,|ADF|ESB|FRA|EWR|BWI|ECP|
ECP|AJI,|AJI|ESB|FRA|EWR|BWI|ECP|
ECP|BAL,|BAL|ESB|FRA|EWR|BWI|ECP|
ECP|BJV,|BJV|IST|BHX|EWR|BWI|ECP|
ECP|CKZ,|CKZ|ESB|FRA|EWR|BWI|ECP|
ECP|DIY,|DIY|ESB|FRA|EWR|BWI|ECP|
ECP|ECN,|ECN|IST|BHX|EWR|BWI|ECP|
ECP|ERC,|ERC|ESB|FRA|EWR|BWI|ECP|
ECP|ERZ,|ERZ|ESB|FRA|EWR|BWI|ECP|
ECP|EZS,|EZS|ESB|FRA|EWR|BWI|ECP|
ECP|GNY,|GNY|ESB|FRA|EWR|BWI|ECP|
ECP|GZP,|GZP|ESB|FRA|EWR|BWI|ECP|
ECP|GZT,|GZT|ESB|FRA|EWR|BWI|ECP|
ECP|HTY,|HTY|SAW|FRA|EWR|BWI|ECP|
ECP|KCM,|KCM|ESB|FRA|EWR|BWI|ECP|
ECP|KSY,|KSY|ESB|FRA|EWR|BWI|ECP|
ECP|MLX,|MLX|ESB|FRA|EWR|BWI|ECP|
ECP|MQM,|MQM|ESB|FRA|EWR|BWI|ECP|
ECP|MSR,|MSR|ESB|FRA|EWR|BWI|ECP|
ECP|TEQ,|TEQ|ESB|FRA|EWR|BWI|ECP|
ECP|TZX,|TZX|ESB|FRA|EWR|BWI|ECP|
ECP|VAN,|VAN|ESB|FRA|EWR|BWI|ECP|
ECP|ULN,|ULN|FRU|IST|BHX|EWR|BWI|ECP|
