CNX|UYN,|UYN|XIY|CAN|CNX|
CNX|XNN,|XNN|CKG|CAN|CNX|
CNX|ZUH,|ZUH|MXZ|CAN|CNX|
CNX|YNJ,|YNJ|ICN|CAN|CNX|
CNX|DAT,|DAT|CIH|CAN|CNX|
CNX|JHG,|JHG|KMG|CAN|CNX|
CNX|LJG,|LJG|KMG|CAN|CNX|
CNX|LXA,|LXA|CKG|CAN|CNX|
CNX|YCU,|YCU|CSX|CAN|CNX|
CNX|LZO,|LZO|CSX|CAN|CNX|
CNX|MDG,|MDG|DLC|CAN|CNX|
CNX|NGO,|NGO|PVG|CAN|CNX|
CNX|TOY,|TOY|DLC|CAN|CNX|
CNX|MFM,|MFM|XMN|CAN|CNX|
CNX|TGO,|TGO|HET|CAN|CNX|
CNX|XIL,|XIL|HET|CAN|CNX|
CNX|HEK,|HEK|HRB|CAN|CNX|
CNX|KIJ,|KIJ|HRB|CAN|CNX|
CNX|LDS,|LDS|HRB|CAN|CNX|
CNX|OHE,|OHE|HRB|CAN|CNX|
CNX|HSN,|HSN|XMN|CAN|CNX|
CNX|DLU,|DLU|KMG|CAN|CNX|
CNX|SYM,|SYM|KMG|CAN|CNX|
CNX|ZAT,|ZAT|KMG|CAN|CNX|
CNX|LUN,|LUN|NBO|CAN|CNX|
CNX|AOG,|AOG|PEK|CAN|CNX|
CNX|GMP,|GMP|PEK|CAN|CNX|
CNX|ISB,|ISB|URC|CAN|CNX|
CNX|TAS,|TAS|URC|CAN|CNX|
CNX|WUS,|WUS|PEK|CAN|CNX|
CNX|JMU,|JMU|PVG|CAN|CNX|
CNX|NDG,|NDG|PVG|CAN|CNX|
CNX|JXA,|JXA|SHE|CAN|CNX|
CNX|PUS,|PUS|SHE|CAN|CNX|
CNX|BKI,|BKI|SZX|MXZ|CAN|CNX|
CNX|AKU,|AKU|URC|CAN|CNX|
CNX|ALA,|ALA|URC|CAN|CNX|
CNX|ASB,|ASB|URC|CAN|CNX|
CNX|DNH,|DNH|XIY|CAN|CNX|
CNX|DYU,|DYU|URC|CAN|CNX|
CNX|FRU,|FRU|URC|CAN|CNX|
CNX|GYD,|GYD|URC|CAN|CNX|
CNX|HTN,|HTN|URC|CAN|CNX|
CNX|IKA,|IKA|URC|CAN|CNX|
CNX|KCA,|KCA|URC|CAN|CNX|
CNX|KHG,|KHG|URC|CAN|CNX|
CNX|KRL,|KRL|URC|CAN|CNX|
CNX|KRY,|KRY|URC|CAN|CNX|
CNX|LBD,|LBD|URC|CAN|CNX|
CNX|NLT,|NLT|URC|CAN|CNX|
CNX|OSS,|OSS|URC|CAN|CNX|
CNX|OVB,|OVB|URC|CAN|CNX|
CNX|TBS,|TBS|URC|CAN|CNX|
CNX|TCG,|TCG|URC|CAN|CNX|
CNX|TSE,|TSE|URC|CAN|CNX|
CNX|YIN,|YIN|URC|CAN|CNX|
CNX|ENH,|ENH|WUH|CAN|CNX|
CNX|ENY,|ENY|XIY|CAN|CNX|
CNX|WXN,|WXN|XMN|CAN|CNX|
CNX|BLL,|BLL|IST|CAN|CNX|
CNX|ESB,|ESB|IST|CAN|CNX|
CNX|SAW,|SAW|TBS|URC|CAN|CNX|
CNX|HAM,|HAM|IST|CAN|CNX|
CNX|HRE,|HRE|ADD|IST|CAN|CNX|
CNX|JUB,|JUB|CAI|IST|CAN|CNX|
CNX|SSG,|SSG|DLA|IST|CAN|CNX|
CNX|BGW,|BGW|IST|CAN|CNX|
CNX|EBL,|EBL|IST|CAN|CNX|
CNX|VKO,|VKO|IST|CAN|CNX|
CNX|MCT,|MCT|IST|CAN|CNX|
CNX|AYT,|AYT|IST|CAN|CNX|
CNX|SCQ,|SCQ|BIO|IST|CAN|CNX|
CNX|AAL,|AAL|IST|CAN|CNX|
CNX|AOE,|AOE|BRU|DEL|CAN|CNX|
CNX|JNB,|JNB|IST|CAN|CNX|
CNX|LBV,|LBV|DLA|IST|CAN|CNX|
CNX|ADA,|ADA|IST|CAN|CNX|
CNX|ADB,|ADB|IST|CAN|CNX|
CNX|ADF,|ADF|IST|CAN|CNX|
CNX|AJI,|AJI|IST|CAN|CNX|
CNX|BAL,|BAL|IST|CAN|CNX|
CNX|BJV,|BJV|IST|CAN|CNX|
CNX|CKZ,|CKZ|ESB|IST|CAN|CNX|
CNX|DIY,|DIY|IST|CAN|CNX|
CNX|ECN,|ECN|IST|CAN|CNX|
CNX|ERC,|ERC|IST|CAN|CNX|
CNX|ERZ,|ERZ|IST|CAN|CNX|
CNX|EZS,|EZS|IST|CAN|CNX|
CNX|GNY,|GNY|IST|CAN|CNX|
CNX|GZP,|GZP|ESB|IST|CAN|CNX|
CNX|GZT,|GZT|IST|CAN|CNX|
CNX|HTY,|HTY|IST|CAN|CNX|
CNX|KCM,|KCM|IST|CAN|CNX|
CNX|KSY,|KSY|IST|CAN|CNX|
CNX|MLX,|MLX|IST|CAN|CNX|
CNX|MQM,|MQM|IST|CAN|CNX|
CNX|MSR,|MSR|IST|CAN|CNX|
CNX|TEQ,|TEQ|ESB|IST|CAN|CNX|
CNX|TZX,|TZX|IST|CAN|CNX|
CNX|VAN,|VAN|IST|CAN|CNX|
CNX|ULN,|ULN|FRU|URC|CAN|CNX|
CNX|HIJ,|HIJ|ICN|CAN|CNX|
CNX|VVO,|VVO|ICN|CAN|CNX|
CNX|ACC,|ACC|IST|CAN|CNX|
CNX|AER,|AER|IST|CAN|CNX|
CNX|AGP,|AGP|IST|CAN|CNX|
CNX|ALG,|ALG|IST|CAN|CNX|
CNX|AMM,|AMM|IST|CAN|CNX|
CNX|AQJ,|AQJ|IST|CAN|CNX|
CNX|ARN,|ARN|IST|CAN|CNX|
CNX|ASR,|ASR|IST|CAN|CNX|
CNX|ATH,|ATH|IST|CAN|CNX|
CNX|BAH,|BAH|IST|CAN|CNX|
CNX|BEG,|BEG|IST|CAN|CNX|
CNX|BEN,|BEN|IST|CAN|CNX|
CNX|BEY,|BEY|IST|CAN|CNX|
CNX|BHX,|BHX|BRU|DEL|CAN|CNX|
CNX|BIO,|BIO|IST|CAN|CNX|
CNX|BLQ,|BLQ|IST|CAN|CNX|
CNX|BOM,|BOM|IST|CAN|CNX|
CNX|BRE,|BRE|IST|CAN|CNX|
CNX|BSL,|BSL|IST|CAN|CNX|
CNX|BSR,|BSR|IST|CAN|CNX|
CNX|BUD,|BUD|IST|CAN|CNX|
CNX|BUS,|BUS|IST|CAN|CNX|
CNX|CAI,|CAI|IST|CAN|CNX|
CNX|CGN,|CGN|IST|CAN|CNX|
CNX|CMN,|CMN|IST|CAN|CNX|
CNX|CND,|CND|IST|CAN|CNX|
CNX|DAR,|DAR|NBO|CAN|CNX|
CNX|DLM,|DLM|IST|CAN|CNX|
CNX|DMM,|DMM|IST|CAN|CNX|
CNX|DNK,|DNK|IST|CAN|CNX|
CNX|DNZ,|DNZ|IST|CAN|CNX|
CNX|DOK,|DOK|IST|CAN|CNX|
CNX|DUS,|DUS|IST|CAN|CNX|
CNX|EDI,|EDI|IST|CAN|CNX|
CNX|ELQ,|ELQ|IST|CAN|CNX|
CNX|FDH,|FDH|IST|CAN|CNX|
CNX|GOA,|GOA|IST|CAN|CNX|
CNX|GOT,|GOT|IST|CAN|CNX|
CNX|HAJ,|HAJ|IST|CAN|CNX|
