MTY|LYG,|LYG|HSN|PEK|IAH|MTY|
MTY|LZH,|LZH|CAN|YVR|IAH|MTY|
MTY|MEL,|MEL|SYD|LAX|IAH|MTY|
MTY|MIG,|MIG|CSX|PEK|IAH|MTY|
MTY|MLE,|MLE|IST|IAH|MTY|
MTY|MNL,|MNL|XMN|PEK|IAH|MTY|
MTY|MXZ,|MXZ|CAN|YVR|IAH|MTY|
MTY|NAO,|NAO|PEK|IAH|MTY|
MTY|NGB,|NGB|PEK|IAH|MTY|
MTY|NKG,|NKG|DLC|ICN|YVR|IAH|MTY|
MTY|NNY,|NNY|CGO|PEK|IAH|MTY|
MTY|PEN,|PEN|CAN|YVR|IAH|MTY|
MTY|PER,|PER|CAN|YVR|IAH|MTY|
MTY|PNH,|PNH|CAN|YVR|IAH|MTY|
MTY|REP,|REP|ICN|YVR|IAH|MTY|
MTY|RGN,|RGN|CAN|YVR|IAH|MTY|
MTY|SGN,|SGN|HKG|YVR|IAH|MTY|
MTY|SHA,|SHA|PEK|IAH|MTY|
MTY|SIN,|SIN|HKG|YVR|IAH|MTY|
MTY|SVO,|SVO|URC|PEK|IAH|MTY|
MTY|SYX,|SYX|CAN|YVR|IAH|MTY|
MTY|TAO,|TAO|DLC|ICN|YVR|IAH|MTY|
MTY|TEN,|TEN|PEK|IAH|MTY|
MTY|TNA,|TNA|DLC|ICN|YVR|IAH|MTY|
MTY|TPE,|TPE|PVG|YVR|IAH|MTY|
MTY|TSN,|TSN|DLC|ICN|YVR|IAH|MTY|
MTY|TXN,|TXN|DLC|ICN|YVR|IAH|MTY|
MTY|TYN,|TYN|DLC|ICN|YVR|IAH|MTY|
MTY|WNZ,|WNZ|CGO|PEK|IAH|MTY|
MTY|WUX,|WUX|CAN|YVR|IAH|MTY|
MTY|XFN,|XFN|XMN|PEK|IAH|MTY|
MTY|XIY,|XIY|PEK|IAH|MTY|
MTY|XUZ,|XUZ|LYG|HSN|PEK|IAH|MTY|
MTY|YIH,|YIH|CKG|PEK|IAH|MTY|
MTY|YIW,|YIW|PEK|IAH|MTY|
MTY|YNT,|YNT|SHE|ICN|YVR|IAH|MTY|
MTY|YNZ,|YNZ|DLC|ICN|YVR|IAH|MTY|
MTY|YTY,|YTY|DLC|ICN|YVR|IAH|MTY|
MTY|ZHA,|ZHA|CAN|YVR|IAH|MTY|
MTY|ZYI,|ZYI|PEK|IAH|MTY|
MTY|BAV,|BAV|SJW|DLC|ICN|YVR|IAH|MTY|
MTY|CJU,|CJU|DLC|ICN|YVR|IAH|MTY|
MTY|DSN,|DSN|CGO|PEK|IAH|MTY|
MTY|HMI,|HMI|CGO|PEK|IAH|MTY|
MTY|INC,|INC|PEK|IAH|MTY|
MTY|KHH,|KHH|CGO|PEK|IAH|MTY|
MTY|UYN,|UYN|CGO|PEK|IAH|MTY|
MTY|XNN,|XNN|PEK|IAH|MTY|
MTY|ZUH,|ZUH|PVG|YVR|IAH|MTY|
MTY|YNJ,|YNJ|ICN|YVR|IAH|MTY|
MTY|DAT,|DAT|CIH|PEK|IAH|MTY|
MTY|JHG,|JHG|CKG|PEK|IAH|MTY|
MTY|LJG,|LJG|CKG|PEK|IAH|MTY|
MTY|LXA,|LXA|XIY|PEK|IAH|MTY|
MTY|YCU,|YCU|CSX|PEK|IAH|MTY|
MTY|LZO,|LZO|CSX|PEK|IAH|MTY|
MTY|MDG,|MDG|ICN|YVR|IAH|MTY|
MTY|NGO,|NGO|ICN|YVR|IAH|MTY|
MTY|TOY,|TOY|DLC|ICN|YVR|IAH|MTY|
MTY|MFM,|MFM|XMN|PEK|IAH|MTY|
MTY|TGO,|TGO|HET|DLC|ICN|YVR|IAH|MTY|
MTY|XIL,|XIL|HET|DLC|ICN|YVR|IAH|MTY|
MTY|HEK,|HEK|HRB|ICN|YVR|IAH|MTY|
MTY|KIJ,|KIJ|HRB|ICN|YVR|IAH|MTY|
MTY|LDS,|LDS|HRB|ICN|YVR|IAH|MTY|
MTY|OHE,|OHE|HRB|ICN|YVR|IAH|MTY|
MTY|HSN,|HSN|PEK|IAH|MTY|
MTY|DLU,|DLU|KMG|PEK|IAH|MTY|
MTY|SYM,|SYM|KMG|PEK|IAH|MTY|
MTY|ZAT,|ZAT|KMG|PEK|IAH|MTY|
MTY|LUN,|LUN|NBO|ZRH|YUL|IAH|MTY|
MTY|AOG,|AOG|PEK|IAH|MTY|
MTY|GMP,|GMP|PEK|IAH|MTY|
MTY|ISB,|ISB|IST|IAH|MTY|
MTY|TAS,|TAS|IST|IAH|MTY|
MTY|WUS,|WUS|PEK|IAH|MTY|
MTY|JMU,|JMU|PVG|YVR|IAH|MTY|
MTY|NDG,|NDG|PVG|YVR|IAH|MTY|
MTY|JXA,|JXA|SHE|ICN|YVR|IAH|MTY|
MTY|PUS,|PUS|SHE|ICN|YVR|IAH|MTY|
MTY|BKI,|BKI|SZX|PVG|YVR|IAH|MTY|
MTY|AKU,|AKU|URC|PEK|IAH|MTY|
MTY|ALA,|ALA|TSE|FRA|IAH|MTY|
MTY|ASB,|ASB|GYD|FRA|IAH|MTY|
MTY|DNH,|DNH|XIY|PEK|IAH|MTY|
MTY|DYU,|DYU|IST|IAH|MTY|
MTY|FRU,|FRU|IST|IAH|MTY|
MTY|GYD,|GYD|FRA|IAH|MTY|
MTY|HTN,|HTN|URC|PEK|IAH|MTY|
MTY|IKA,|IKA|SAW|VIE|YYZ|IAH|MTY|
MTY|KCA,|KCA|URC|PEK|IAH|MTY|
MTY|KHG,|KHG|URC|PEK|IAH|MTY|
MTY|KRL,|KRL|URC|PEK|IAH|MTY|
MTY|KRY,|KRY|URC|PEK|IAH|MTY|
MTY|LBD,|LBD|URC|PEK|IAH|MTY|
MTY|NLT,|NLT|URC|PEK|IAH|MTY|
MTY|OSS,|OSS|IST|IAH|MTY|
MTY|OVB,|OVB|IST|IAH|MTY|
MTY|TBS,|TBS|SAW|VIE|YYZ|IAH|MTY|
MTY|TCG,|TCG|URC|PEK|IAH|MTY|
MTY|TSE,|TSE|FRA|IAH|MTY|
MTY|YIN,|YIN|URC|PEK|IAH|MTY|
MTY|ENH,|ENH|WUH|PEK|IAH|MTY|
MTY|ENY,|ENY|XIY|PEK|IAH|MTY|
MTY|WXN,|WXN|XIY|PEK|IAH|MTY|
MTY|BLL,|BLL|IST|IAH|MTY|
MTY|ESB,|ESB|VIE|YYZ|IAH|MTY|
