JMU|WUX,|WUX|CAN|PVG|JMU|
JMU|XFN,|XFN|CAN|PVG|JMU|
JMU|XIY,|XIY|PVG|JMU|
JMU|XUZ,|XUZ|CAN|PVG|JMU|
JMU|YIH,|YIH|CKG|WUH|PVG|JMU|
JMU|YIW,|YIW|CGO|PVG|JMU|
JMU|YNT,|YNT|SHE|PVG|JMU|
JMU|YNZ,|YNZ|WUH|PVG|JMU|
JMU|YTY,|YTY|CGO|PVG|JMU|
JMU|ZHA,|ZHA|CAN|PVG|JMU|
JMU|ZYI,|ZYI|CAN|PVG|JMU|
JMU|BAV,|BAV|CGO|PVG|JMU|
JMU|CJU,|CJU|DLC|PVG|JMU|
JMU|DSN,|DSN|CGO|PVG|JMU|
JMU|HMI,|HMI|CGO|PVG|JMU|
JMU|INC,|INC|CGO|PVG|JMU|
JMU|KHH,|KHH|WUH|PVG|JMU|
JMU|UYN,|UYN|CGO|PVG|JMU|
JMU|XNN,|XNN|XIY|PVG|JMU|
JMU|ZUH,|ZUH|PVG|JMU|
JMU|YNJ,|YNJ|PVG|JMU|
JMU|DAT,|DAT|TYN|TAO|PVG|JMU|
JMU|JHG,|JHG|KMG|KWE|PVG|JMU|
JMU|LJG,|LJG|CKG|WUH|PVG|JMU|
JMU|LXA,|LXA|CKG|WUH|PVG|JMU|
JMU|YCU,|YCU|CSX|PVG|JMU|
JMU|LZO,|LZO|CSX|PVG|JMU|
JMU|MDG,|MDG|PVG|JMU|
JMU|NGO,|NGO|PVG|JMU|
JMU|TOY,|TOY|DLC|PVG|JMU|
JMU|MFM,|MFM|XMN|WUH|PVG|JMU|
JMU|TGO,|TGO|HET|TAO|PVG|JMU|
JMU|XIL,|XIL|HET|TAO|PVG|JMU|
JMU|HEK,|HEK|HRB|PVG|JMU|
JMU|KIJ,|KIJ|HRB|PVG|JMU|
JMU|LDS,|LDS|HRB|PVG|JMU|
JMU|OHE,|OHE|HRB|PVG|JMU|
JMU|HSN,|HSN|JJN|WUH|PVG|JMU|
JMU|DLU,|DLU|KWE|PVG|JMU|
JMU|SYM,|SYM|KMG|KWE|PVG|JMU|
JMU|ZAT,|ZAT|KMG|KWE|PVG|JMU|
JMU|LUN,|LUN|NBO|CAN|PVG|JMU|
JMU|AOG,|AOG|PEK|PVG|JMU|
JMU|GMP,|GMP|PEK|PVG|JMU|
JMU|ISB,|ISB|PEK|PVG|JMU|
JMU|TAS,|TAS|URC|PVG|JMU|
JMU|WUS,|WUS|PEK|PVG|JMU|
JMU|NDG,|NDG|PVG|JMU|
JMU|JXA,|JXA|SHE|PVG|JMU|
JMU|PUS,|PUS|SHE|PVG|JMU|
JMU|BKI,|BKI|SZX|PVG|JMU|
JMU|AKU,|AKU|URC|PVG|JMU|
JMU|ALA,|ALA|URC|PVG|JMU|
JMU|ASB,|ASB|URC|PVG|JMU|
JMU|DNH,|DNH|XIY|PVG|JMU|
JMU|DYU,|DYU|URC|PVG|JMU|
JMU|FRU,|FRU|URC|PVG|JMU|
JMU|GYD,|GYD|URC|PVG|JMU|
JMU|HTN,|HTN|URC|PVG|JMU|
JMU|IKA,|IKA|URC|PVG|JMU|
