SJU|WUH,|WUH|PEK|EWR|SJU|
SJU|SZX,|SZX|PEK|EWR|SJU|
SJU|CKG,|CKG|PEK|EWR|SJU|
SJU|KMG,|KMG|PEK|EWR|SJU|
SJU|FOC,|FOC|PEK|EWR|SJU|
SJU|NNG,|NNG|PEK|EWR|SJU|
SJU|SWA,|SWA|PEK|EWR|SJU|
SJU|ACX,|ACX|CAN|PEK|EWR|SJU|
SJU|AQG,|AQG|CAN|PEK|EWR|SJU|
SJU|AVA,|AVA|CAN|PEK|EWR|SJU|
SJU|BFJ,|BFJ|CAN|PEK|EWR|SJU|
SJU|BHY,|BHY|CGO|PEK|EWR|SJU|
SJU|BNE,|BNE|CAN|PEK|EWR|SJU|
SJU|CGD,|CGD|PEK|EWR|SJU|
SJU|CGK,|CGK|CAN|PEK|EWR|SJU|
SJU|CGQ,|CGQ|PEK|EWR|SJU|
SJU|CIH,|CIH|PEK|EWR|SJU|
SJU|CNX,|CNX|CAN|PEK|EWR|SJU|
SJU|CZX,|CZX|SHE|PEK|EWR|SJU|
SJU|DAC,|DAC|IST|BHX|EWR|SJU|
SJU|DAD,|DAD|CAN|PEK|EWR|SJU|
SJU|DEL,|DEL|EWR|SJU|
SJU|DIG,|DIG|KMG|PEK|EWR|SJU|
SJU|DLC,|DLC|PEK|EWR|SJU|
SJU|DPS,|DPS|SZX|PEK|EWR|SJU|
SJU|DXB,|DXB|IST|BHX|EWR|SJU|
SJU|DYG,|DYG|PEK|EWR|SJU|
SJU|FUG,|FUG|CAN|PEK|EWR|SJU|
SJU|FUK,|FUK|ICN|JFK|IAD|SJU|
SJU|HAK,|HAK|PEK|EWR|SJU|
SJU|HAN,|HAN|PEK|EWR|SJU|
SJU|HDG,|HDG|CAN|PEK|EWR|SJU|
SJU|HET,|HET|DLC|PEK|EWR|SJU|
SJU|HFE,|HFE|XIY|PEK|EWR|SJU|
SJU|HJJ,|HJJ|CSX|PEK|EWR|SJU|
SJU|HKT,|HKT|KWE|PEK|EWR|SJU|
SJU|HRB,|HRB|PEK|EWR|SJU|
SJU|HZH,|HZH|CAN|PEK|EWR|SJU|
SJU|JIU,|JIU|CAN|PEK|EWR|SJU|
SJU|JJN,|JJN|PEK|EWR|SJU|
SJU|JNG,|JNG|CAN|PEK|EWR|SJU|
SJU|KHN,|KHN|DLC|PEK|EWR|SJU|
SJU|KIX,|KIX|SFO|FLL|SJU|
SJU|KOW,|KOW|PEK|EWR|SJU|
SJU|KTM,|KTM|IST|BHX|EWR|SJU|
SJU|KUL,|KUL|CAN|PEK|EWR|SJU|
SJU|KWE,|KWE|PEK|EWR|SJU|
SJU|KWL,|KWL|PEK|EWR|SJU|
SJU|LHW,|LHW|CGO|PEK|EWR|SJU|
SJU|LYA,|LYA|KHN|DLC|PEK|EWR|SJU|
SJU|LYG,|LYG|HSN|PEK|EWR|SJU|
SJU|LZH,|LZH|CAN|PEK|EWR|SJU|
SJU|MEL,|MEL|SYD|LAX|IAH|SJU|
SJU|MIG,|MIG|CSX|PEK|EWR|SJU|
SJU|MLE,|MLE|IST|BHX|EWR|SJU|
SJU|MNL,|MNL|XMN|PEK|EWR|SJU|
SJU|MXZ,|MXZ|CAN|PEK|EWR|SJU|
SJU|NAO,|NAO|PEK|EWR|SJU|
SJU|NGB,|NGB|PEK|EWR|SJU|
SJU|NKG,|NKG|DLC|PEK|EWR|SJU|
SJU|NNY,|NNY|CGO|PEK|EWR|SJU|
SJU|PEN,|PEN|CAN|PEK|EWR|SJU|
SJU|PER,|PER|CAN|PEK|EWR|SJU|
SJU|PNH,|PNH|CAN|PEK|EWR|SJU|
SJU|REP,|REP|CAN|PEK|EWR|SJU|
SJU|RGN,|RGN|CAN|PEK|EWR|SJU|
SJU|SGN,|SGN|CAN|PEK|EWR|SJU|
SJU|SHA,|SHA|PEK|EWR|SJU|
SJU|SIN,|SIN|CAN|PEK|EWR|SJU|
SJU|SVO,|SVO|URC|TSE|FRA|EWR|SJU|
SJU|SYX,|SYX|PEK|EWR|SJU|
SJU|TAO,|TAO|DLC|PEK|EWR|SJU|
SJU|TEN,|TEN|PEK|EWR|SJU|
SJU|TNA,|TNA|DLC|PEK|EWR|SJU|
SJU|TPE,|TPE|PVG|EWR|SJU|
SJU|TSN,|TSN|DLC|PEK|EWR|SJU|
SJU|TXN,|TXN|DLC|PEK|EWR|SJU|
SJU|TYN,|TYN|DAT|CIH|PEK|EWR|SJU|
SJU|WNZ,|WNZ|CGO|PEK|EWR|SJU|
SJU|WUX,|WUX|CAN|PEK|EWR|SJU|
SJU|XFN,|XFN|XMN|PEK|EWR|SJU|
SJU|XIY,|XIY|PEK|EWR|SJU|
SJU|XUZ,|XUZ|LYG|HSN|PEK|EWR|SJU|
SJU|YIH,|YIH|CKG|PEK|EWR|SJU|
SJU|YIW,|YIW|PEK|EWR|SJU|
SJU|YNT,|YNT|SHE|PEK|EWR|SJU|
SJU|YNZ,|YNZ|DLC|PEK|EWR|SJU|
SJU|YTY,|YTY|DLC|PEK|EWR|SJU|
SJU|ZHA,|ZHA|CAN|PEK|EWR|SJU|
SJU|ZYI,|ZYI|PEK|EWR|SJU|
SJU|BAV,|BAV|CGO|PEK|EWR|SJU|
SJU|CJU,|CJU|DLC|PEK|EWR|SJU|
SJU|DSN,|DSN|CGO|PEK|EWR|SJU|
SJU|HMI,|HMI|URC|TSE|FRA|EWR|SJU|
SJU|INC,|INC|PEK|EWR|SJU|
SJU|KHH,|KHH|CGO|PEK|EWR|SJU|
SJU|UYN,|UYN|CGO|PEK|EWR|SJU|
SJU|XNN,|XNN|PEK|EWR|SJU|
SJU|ZUH,|ZUH|PEK|EWR|SJU|
SJU|YNJ,|YNJ|ICN|JFK|IAD|SJU|
SJU|DAT,|DAT|CIH|PEK|EWR|SJU|
SJU|JHG,|JHG|CKG|PEK|EWR|SJU|
SJU|LJG,|LJG|CKG|PEK|EWR|SJU|
SJU|LXA,|LXA|XIY|PEK|EWR|SJU|
SJU|YCU,|YCU|CSX|PEK|EWR|SJU|
SJU|LZO,|LZO|CSX|PEK|EWR|SJU|
SJU|MDG,|MDG|ICN|JFK|IAD|SJU|
SJU|NGO,|NGO|ICN|JFK|IAD|SJU|
SJU|TOY,|TOY|DLC|PEK|EWR|SJU|
SJU|MFM,|MFM|XMN|PEK|EWR|SJU|
SJU|TGO,|TGO|HET|DLC|PEK|EWR|SJU|
SJU|XIL,|XIL|HET|DLC|PEK|EWR|SJU|
SJU|HEK,|HEK|HRB|PEK|EWR|SJU|
SJU|KIJ,|KIJ|HRB|PEK|EWR|SJU|
SJU|LDS,|LDS|HRB|PEK|EWR|SJU|
SJU|OHE,|OHE|HRB|PEK|EWR|SJU|
SJU|HSN,|HSN|PEK|EWR|SJU|
SJU|DLU,|DLU|KMG|PEK|EWR|SJU|
SJU|SYM,|SYM|KMG|PEK|EWR|SJU|
SJU|ZAT,|ZAT|KMG|PEK|EWR|SJU|
SJU|LUN,|LUN|NBO|ZRH|EWR|SJU|
SJU|AOG,|AOG|PEK|EWR|SJU|
SJU|GMP,|GMP|PEK|EWR|SJU|
SJU|ISB,|ISB|IST|BHX|EWR|SJU|
SJU|TAS,|TAS|IST|BHX|EWR|SJU|
SJU|WUS,|WUS|PEK|EWR|SJU|
SJU|JMU,|JMU|PVG|EWR|SJU|
SJU|NDG,|NDG|PVG|EWR|SJU|
SJU|JXA,|JXA|SHE|PEK|EWR|SJU|
SJU|PUS,|PUS|SHE|PEK|EWR|SJU|
SJU|BKI,|BKI|SZX|PEK|EWR|SJU|
SJU|AKU,|AKU|URC|TSE|FRA|EWR|SJU|
SJU|ALA,|ALA|TSE|FRA|EWR|SJU|
SJU|ASB,|ASB|GYD|FRA|EWR|SJU|
SJU|DNH,|DNH|URC|TSE|FRA|EWR|SJU|
SJU|DYU,|DYU|IST|BHX|EWR|SJU|
SJU|FRU,|FRU|IST|BHX|EWR|SJU|
SJU|GYD,|GYD|FRA|EWR|SJU|
SJU|HTN,|HTN|URC|TSE|FRA|EWR|SJU|
SJU|IKA,|IKA|SAW|FRA|EWR|SJU|
SJU|KCA,|KCA|URC|TSE|FRA|EWR|SJU|
SJU|KHG,|KHG|URC|TSE|FRA|EWR|SJU|
SJU|KRL,|KRL|URC|TSE|FRA|EWR|SJU|
SJU|KRY,|KRY|URC|TSE|FRA|EWR|SJU|
SJU|LBD,|LBD|URC|TSE|FRA|EWR|SJU|
SJU|NLT,|NLT|URC|TSE|FRA|EWR|SJU|
SJU|OSS,|OSS|IST|BHX|EWR|SJU|
SJU|OVB,|OVB|IST|BHX|EWR|SJU|
SJU|TBS,|TBS|SAW|FRA|EWR|SJU|
SJU|TCG,|TCG|URC|TSE|FRA|EWR|SJU|
SJU|TSE,|TSE|FRA|EWR|SJU|
SJU|YIN,|YIN|URC|TSE|FRA|EWR|SJU|
SJU|ENH,|ENH|WUH|PEK|EWR|SJU|
SJU|ENY,|ENY|XIY|PEK|EWR|SJU|
SJU|WXN,|WXN|XIY|PEK|EWR|SJU|
SJU|BLL,|BLL|IST|BHX|EWR|SJU|
SJU|ESB,|ESB|FRA|EWR|SJU|
SJU|SAW,|SAW|FRA|EWR|SJU|
SJU|HAM,|HAM|EWR|SJU|
SJU|HRE,|HRE|ADD|JED|FRA|EWR|SJU|
SJU|JUB,|JUB|CAI|IST|BHX|EWR|SJU|
SJU|SSG,|SSG|DLA|BRU|EWR|SJU|
SJU|BGW,|BGW|ESB|FRA|EWR|SJU|
SJU|EBL,|EBL|IST|BHX|EWR|SJU|
SJU|VKO,|VKO|IST|BHX|EWR|SJU|
SJU|MCT,|MCT|IST|BHX|EWR|SJU|
SJU|AYT,|AYT|IST|BHX|EWR|SJU|
SJU|SCQ,|SCQ|BIO|IST|BHX|EWR|SJU|
SJU|AAL,|AAL|IST|BHX|EWR|SJU|
SJU|AOE,|AOE|BRU|EWR|SJU|
SJU|JNB,|JNB|DKR|IAD|SJU|
SJU|LBV,|LBV|DLA|BRU|EWR|SJU|
SJU|ADA,|ADA|SAW|FRA|EWR|SJU|
SJU|ADB,|ADB|HAM|EWR|SJU|
SJU|ADF,|ADF|ESB|FRA|EWR|SJU|
SJU|AJI,|AJI|ESB|FRA|EWR|SJU|
SJU|BAL,|BAL|ESB|FRA|EWR|SJU|
SJU|BJV,|BJV|IST|BHX|EWR|SJU|
SJU|CKZ,|CKZ|ESB|FRA|EWR|SJU|
SJU|DIY,|DIY|ESB|FRA|EWR|SJU|
SJU|ECN,|ECN|IST|BHX|EWR|SJU|
SJU|ERC,|ERC|ESB|FRA|EWR|SJU|
SJU|ERZ,|ERZ|ESB|FRA|EWR|SJU|
SJU|EZS,|EZS|ESB|FRA|EWR|SJU|
SJU|GNY,|GNY|ESB|FRA|EWR|SJU|
