MFM|IFN,|IFN|IST|URC|CSX|XMN|MFM|
MFM|ISE,|ISE|IST|URC|CSX|XMN|MFM|
MFM|ISU,|ISU|IST|URC|CSX|XMN|MFM|
MFM|JIB,|JIB|IST|URC|CSX|XMN|MFM|
MFM|JRO,|JRO|IST|URC|CSX|XMN|MFM|
MFM|KAN,|KAN|IST|URC|CSX|XMN|MFM|
MFM|KBL,|KBL|IST|URC|CSX|XMN|MFM|
MFM|KBP,|KBP|IST|URC|CSX|XMN|MFM|
MFM|KFS,|KFS|IST|URC|CSX|XMN|MFM|
MFM|KHI,|KHI|IST|URC|CSX|XMN|MFM|
MFM|KIV,|KIV|IST|URC|CSX|XMN|MFM|
MFM|KRT,|KRT|IST|URC|CSX|XMN|MFM|
MFM|KSH,|KSH|IST|URC|CSX|XMN|MFM|
MFM|KVD,|KVD|IST|URC|CSX|XMN|MFM|
MFM|KWI,|KWI|SAW|TBS|URC|CSX|XMN|MFM|
MFM|KYA,|KYA|SAW|TBS|URC|CSX|XMN|MFM|
MFM|KZN,|KZN|IST|URC|CSX|XMN|MFM|
MFM|KZR,|KZR|IST|URC|CSX|XMN|MFM|
MFM|LED,|LED|IST|URC|CSX|XMN|MFM|
MFM|LEJ,|LEJ|IST|URC|CSX|XMN|MFM|
MFM|LGW,|LGW|IST|URC|CSX|XMN|MFM|
MFM|LHE,|LHE|IST|URC|CSX|XMN|MFM|
MFM|LIS,|LIS|IST|URC|CSX|XMN|MFM|
MFM|LJU,|LJU|IST|URC|CSX|XMN|MFM|
MFM|LOS,|LOS|IST|URC|CSX|XMN|MFM|
MFM|LUX,|LUX|IST|URC|CSX|XMN|MFM|
