BHX|TNA,|TNA|URC|IST|BHX|
BHX|TPE,|TPE|URC|IST|BHX|
BHX|TSN,|TSN|HET|URC|IST|BHX|
BHX|TXN,|TXN|TYN|URC|IST|BHX|
BHX|TYN,|TYN|URC|IST|BHX|
BHX|WNZ,|WNZ|XIY|URC|IST|BHX|
BHX|WUX,|WUX|CAN|IST|BHX|
BHX|XFN,|XFN|CAN|IST|BHX|
BHX|XIY,|XIY|URC|IST|BHX|
BHX|XUZ,|XUZ|INC|URC|IST|BHX|
BHX|YIH,|YIH|CKG|URC|IST|BHX|
BHX|YIW,|YIW|URC|IST|BHX|
BHX|YNT,|YNT|SHE|PEK|IST|BHX|
BHX|YNZ,|YNZ|WUH|URC|IST|BHX|
BHX|YTY,|YTY|CGO|URC|IST|BHX|
BHX|ZHA,|ZHA|CAN|IST|BHX|
BHX|ZYI,|ZYI|CAN|IST|BHX|
BHX|BAV,|BAV|URC|IST|BHX|
BHX|CJU,|CJU|DLC|PEK|IST|BHX|
BHX|DSN,|DSN|CGO|URC|IST|BHX|
BHX|HMI,|HMI|URC|IST|BHX|
BHX|INC,|INC|URC|IST|BHX|
BHX|KHH,|KHH|WUH|URC|IST|BHX|
BHX|UYN,|UYN|XIY|URC|IST|BHX|
BHX|XNN,|XNN|URC|IST|BHX|
BHX|ZUH,|ZUH|KWE|URC|IST|BHX|
BHX|YNJ,|YNJ|PEK|IST|BHX|
BHX|DAT,|DAT|TYN|URC|IST|BHX|
BHX|JHG,|JHG|KMG|CTU|URC|IST|BHX|
BHX|LJG,|LJG|KMG|CTU|URC|IST|BHX|
BHX|LXA,|LXA|CKG|URC|IST|BHX|
BHX|YCU,|YCU|CKG|URC|IST|BHX|
BHX|LZO,|LZO|CSX|URC|IST|BHX|
BHX|MDG,|MDG|DLC|PEK|IST|BHX|
BHX|NGO,|NGO|ICN|IST|BHX|
BHX|TOY,|TOY|DLC|PEK|IST|BHX|
BHX|MFM,|MFM|XMN|CSX|URC|IST|BHX|
BHX|TGO,|TGO|HET|URC|IST|BHX|
BHX|XIL,|XIL|HET|URC|IST|BHX|
BHX|HEK,|HEK|HRB|PEK|IST|BHX|
BHX|KIJ,|KIJ|HRB|PEK|IST|BHX|
BHX|LDS,|LDS|HRB|PEK|IST|BHX|
BHX|OHE,|OHE|HRB|PEK|IST|BHX|
BHX|HSN,|HSN|LYG|XUZ|INC|URC|IST|BHX|
