SAV|TXN,|TXN|DLC|PEK|ORD|SAV|
SAV|TYN,|TYN|DAT|CIH|PEK|ORD|SAV|
SAV|WNZ,|WNZ|CGO|PEK|ORD|SAV|
SAV|WUX,|WUX|CAN|PEK|ORD|SAV|
SAV|XFN,|XFN|XMN|PEK|ORD|SAV|
SAV|XIY,|XIY|PEK|ORD|SAV|
SAV|XUZ,|XUZ|LYG|HSN|PEK|ORD|SAV|
SAV|YIH,|YIH|CKG|PEK|ORD|SAV|
SAV|YIW,|YIW|PEK|ORD|SAV|
SAV|YNT,|YNT|SHE|PEK|ORD|SAV|
SAV|YNZ,|YNZ|DLC|PEK|ORD|SAV|
SAV|YTY,|YTY|DLC|PEK|ORD|SAV|
SAV|ZHA,|ZHA|CAN|PEK|ORD|SAV|
SAV|ZYI,|ZYI|PEK|ORD|SAV|
SAV|BAV,|BAV|CGO|PEK|ORD|SAV|
SAV|CJU,|CJU|DLC|PEK|ORD|SAV|
SAV|DSN,|DSN|CGO|PEK|ORD|SAV|
SAV|HMI,|HMI|URC|TSE|FRA|EWR|SAV|
SAV|INC,|INC|PEK|ORD|SAV|
SAV|KHH,|KHH|CGO|PEK|ORD|SAV|
SAV|UYN,|UYN|CGO|PEK|ORD|SAV|
SAV|XNN,|XNN|PEK|ORD|SAV|
SAV|ZUH,|ZUH|PEK|ORD|SAV|
SAV|YNJ,|YNJ|PEK|ORD|SAV|
SAV|DAT,|DAT|CIH|PEK|ORD|SAV|
SAV|JHG,|JHG|CKG|PEK|ORD|SAV|
SAV|LJG,|LJG|CKG|PEK|ORD|SAV|
SAV|LXA,|LXA|XIY|PEK|ORD|SAV|
SAV|YCU,|YCU|CSX|PEK|ORD|SAV|
SAV|LZO,|LZO|CSX|PEK|ORD|SAV|
SAV|MDG,|MDG|ICN|YVR|ORD|SAV|
SAV|NGO,|NGO|ICN|YVR|ORD|SAV|
SAV|TOY,|TOY|DLC|PEK|ORD|SAV|
SAV|MFM,|MFM|XMN|PEK|ORD|SAV|
SAV|TGO,|TGO|HET|DLC|PEK|ORD|SAV|
SAV|XIL,|XIL|HET|DLC|PEK|ORD|SAV|
SAV|HEK,|HEK|HRB|PEK|ORD|SAV|
SAV|KIJ,|KIJ|HRB|PEK|ORD|SAV|
SAV|LDS,|LDS|HRB|PEK|ORD|SAV|
SAV|OHE,|OHE|HRB|PEK|ORD|SAV|
SAV|HSN,|HSN|PEK|ORD|SAV|
SAV|DLU,|DLU|KMG|PEK|ORD|SAV|
SAV|SYM,|SYM|KMG|PEK|ORD|SAV|
SAV|ZAT,|ZAT|KMG|PEK|ORD|SAV|
SAV|LUN,|LUN|NBO|ZRH|EWR|SAV|
SAV|AOG,|AOG|PEK|ORD|SAV|
SAV|GMP,|GMP|PEK|ORD|SAV|
SAV|ISB,|ISB|IST|BHX|EWR|SAV|
SAV|TAS,|TAS|IST|BHX|EWR|SAV|
SAV|WUS,|WUS|PEK|ORD|SAV|
SAV|JMU,|JMU|PVG|ORD|SAV|
SAV|NDG,|NDG|PVG|ORD|SAV|
SAV|JXA,|JXA|SHE|PEK|ORD|SAV|
SAV|PUS,|PUS|SHE|PEK|ORD|SAV|
SAV|BKI,|BKI|SZX|PEK|ORD|SAV|
SAV|AKU,|AKU|URC|TSE|FRA|EWR|SAV|
SAV|ALA,|ALA|TSE|FRA|EWR|SAV|
SAV|ASB,|ASB|GYD|FRA|EWR|SAV|
SAV|DNH,|DNH|URC|TSE|FRA|EWR|SAV|
SAV|DYU,|DYU|IST|BHX|EWR|SAV|
SAV|FRU,|FRU|IST|BHX|EWR|SAV|
SAV|GYD,|GYD|FRA|EWR|SAV|
SAV|HTN,|HTN|URC|TSE|FRA|EWR|SAV|
SAV|IKA,|IKA|SAW|FRA|EWR|SAV|
SAV|KCA,|KCA|URC|TSE|FRA|EWR|SAV|
SAV|KHG,|KHG|URC|TSE|FRA|EWR|SAV|
SAV|KRL,|KRL|URC|TSE|FRA|EWR|SAV|
SAV|KRY,|KRY|URC|TSE|FRA|EWR|SAV|
SAV|LBD,|LBD|URC|TSE|FRA|EWR|SAV|
SAV|NLT,|NLT|URC|TSE|FRA|EWR|SAV|
SAV|OSS,|OSS|IST|BHX|EWR|SAV|
SAV|OVB,|OVB|IST|BHX|EWR|SAV|
SAV|TBS,|TBS|SAW|FRA|EWR|SAV|
SAV|TCG,|TCG|URC|TSE|FRA|EWR|SAV|
SAV|TSE,|TSE|FRA|EWR|SAV|
SAV|YIN,|YIN|URC|TSE|FRA|EWR|SAV|
SAV|ENH,|ENH|WUH|PEK|ORD|SAV|
SAV|ENY,|ENY|XIY|PEK|ORD|SAV|
SAV|WXN,|WXN|XIY|PEK|ORD|SAV|
SAV|BLL,|BLL|IST|BHX|EWR|SAV|
SAV|ESB,|ESB|FRA|EWR|SAV|
SAV|SAW,|SAW|FRA|EWR|SAV|
SAV|HAM,|HAM|EWR|SAV|
SAV|HRE,|HRE|ADD|JED|FRA|EWR|SAV|
SAV|JUB,|JUB|CAI|JFK|IAD|SAV|
SAV|SSG,|SSG|DLA|BRU|EWR|SAV|
SAV|BGW,|BGW|ESB|FRA|EWR|SAV|
SAV|EBL,|EBL|IST|BHX|EWR|SAV|
SAV|VKO,|VKO|IST|BHX|EWR|SAV|
SAV|MCT,|MCT|IST|BHX|EWR|SAV|
SAV|AYT,|AYT|IST|BHX|EWR|SAV|
SAV|SCQ,|SCQ|BIO|IST|BHX|EWR|SAV|
SAV|AAL,|AAL|IST|BHX|EWR|SAV|
SAV|AOE,|AOE|BRU|EWR|SAV|
SAV|JNB,|JNB|DKR|IAD|SAV|
SAV|LBV,|LBV|DLA|BRU|EWR|SAV|
SAV|ADA,|ADA|SAW|FRA|EWR|SAV|
SAV|ADB,|ADB|HAM|EWR|SAV|
SAV|ADF,|ADF|ESB|FRA|EWR|SAV|
SAV|AJI,|AJI|ESB|FRA|EWR|SAV|
SAV|BAL,|BAL|ESB|FRA|EWR|SAV|
SAV|BJV,|BJV|IST|BHX|EWR|SAV|
SAV|CKZ,|CKZ|ESB|FRA|EWR|SAV|
SAV|DIY,|DIY|ESB|FRA|EWR|SAV|
SAV|ECN,|ECN|IST|BHX|EWR|SAV|
SAV|ERC,|ERC|ESB|FRA|EWR|SAV|
SAV|ERZ,|ERZ|ESB|FRA|EWR|SAV|
SAV|EZS,|EZS|ESB|FRA|EWR|SAV|
SAV|GNY,|GNY|ESB|FRA|EWR|SAV|
SAV|GZP,|GZP|ESB|FRA|EWR|SAV|
SAV|GZT,|GZT|ESB|FRA|EWR|SAV|
SAV|HTY,|HTY|SAW|FRA|EWR|SAV|
SAV|KCM,|KCM|ESB|FRA|EWR|SAV|
SAV|KSY,|KSY|ESB|FRA|EWR|SAV|
SAV|MLX,|MLX|ESB|FRA|EWR|SAV|
SAV|MQM,|MQM|ESB|FRA|EWR|SAV|
SAV|MSR,|MSR|ESB|FRA|EWR|SAV|
SAV|TEQ,|TEQ|ESB|FRA|EWR|SAV|
SAV|TZX,|TZX|ESB|FRA|EWR|SAV|
SAV|VAN,|VAN|ESB|FRA|EWR|SAV|
SAV|ULN,|ULN|FRU|IST|BHX|EWR|SAV|
SAV|HIJ,|HIJ|ICN|YVR|ORD|SAV|
SAV|VVO,|VVO|ICN|YVR|ORD|SAV|
SAV|ACC,|ACC|IST|BHX|EWR|SAV|
SAV|AER,|AER|IST|BHX|EWR|SAV|
SAV|AGP,|AGP|IST|BHX|EWR|SAV|
SAV|ALG,|ALG|IST|BHX|EWR|SAV|
SAV|AMM,|AMM|IST|BHX|EWR|SAV|
SAV|AQJ,|AQJ|IST|BHX|EWR|SAV|
SAV|ARN,|ARN|EWR|SAV|
SAV|ASR,|ASR|SAW|FRA|EWR|SAV|
SAV|ATH,|ATH|IST|BHX|EWR|SAV|
SAV|BAH,|BAH|IST|BHX|EWR|SAV|
SAV|BEG,|BEG|IST|BHX|EWR|SAV|
SAV|BEN,|BEN|IST|BHX|EWR|SAV|
SAV|BEY,|BEY|IST|BHX|EWR|SAV|
SAV|BHX,|BHX|EWR|SAV|
SAV|BIO,|BIO|IST|BHX|EWR|SAV|
SAV|BLQ,|BLQ|IST|BHX|EWR|SAV|
SAV|BOM,|BOM|EWR|SAV|
SAV|BRE,|BRE|IST|BHX|EWR|SAV|
SAV|BSL,|BSL|IST|BHX|EWR|SAV|
SAV|BSR,|BSR|IST|BHX|EWR|SAV|
SAV|BUD,|BUD|IST|BHX|EWR|SAV|
SAV|BUS,|BUS|IST|BHX|EWR|SAV|
SAV|CAI,|CAI|JFK|IAD|SAV|
SAV|CGN,|CGN|IST|BHX|EWR|SAV|
SAV|CMN,|CMN|IST|BHX|EWR|SAV|
SAV|CND,|CND|IST|BHX|EWR|SAV|
SAV|DAR,|DAR|NBO|ZRH|EWR|SAV|
SAV|DLM,|DLM|IST|BHX|EWR|SAV|
SAV|DMM,|DMM|IST|BHX|EWR|SAV|
SAV|DNK,|DNK|IST|BHX|EWR|SAV|
SAV|DNZ,|DNZ|IST|BHX|EWR|SAV|
SAV|DOK,|DOK|IST|BHX|EWR|SAV|
SAV|DUS,|DUS|EWR|SAV|
SAV|EDI,|EDI|EWR|SAV|
SAV|ELQ,|ELQ|IST|BHX|EWR|SAV|
SAV|FDH,|FDH|IST|BHX|EWR|SAV|
SAV|GOA,|GOA|IST|BHX|EWR|SAV|
SAV|GOT,|GOT|BRU|EWR|SAV|
SAV|HAJ,|HAJ|BRU|EWR|SAV|
SAV|HBE,|HBE|IST|BHX|EWR|SAV|
SAV|HEL,|HEL|IST|BHX|EWR|SAV|
SAV|HRG,|HRG|IST|BHX|EWR|SAV|
SAV|IFN,|IFN|IST|BHX|EWR|SAV|
SAV|ISE,|ISE|IST|BHX|EWR|SAV|
SAV|ISU,|ISU|IST|BHX|EWR|SAV|
SAV|JIB,|JIB|IST|BHX|EWR|SAV|
SAV|JRO,|JRO|IST|BHX|EWR|SAV|
SAV|KAN,|KAN|IST|BHX|EWR|SAV|
SAV|KBL,|KBL|IST|BHX|EWR|SAV|
SAV|KBP,|KBP|IST|BHX|EWR|SAV|
SAV|KFS,|KFS|IST|BHX|EWR|SAV|
SAV|KHI,|KHI|IST|BHX|EWR|SAV|
SAV|KIV,|KIV|IST|BHX|EWR|SAV|
SAV|KRT,|KRT|IST|BHX|EWR|SAV|
SAV|KSH,|KSH|IST|BHX|EWR|SAV|
SAV|KVD,|KVD|IST|BHX|EWR|SAV|
SAV|KWI,|KWI|SAW|FRA|EWR|SAV|
SAV|KYA,|KYA|IST|BHX|EWR|SAV|
SAV|KZN,|KZN|IST|BHX|EWR|SAV|
SAV|KZR,|KZR|IST|BHX|EWR|SAV|
SAV|LED,|LED|VIE|IAD|SAV|
SAV|LEJ,|LEJ|IST|BHX|EWR|SAV|
SAV|LGW,|LGW|IST|BHX|EWR|SAV|
SAV|LHE,|LHE|IST|BHX|EWR|SAV|
SAV|LIS,|LIS|EWR|SAV|
SAV|LJU,|LJU|IST|BHX|EWR|SAV|
SAV|LOS,|LOS|IAH|SAV|
SAV|LUX,|LUX|IST|BHX|EWR|SAV|
SAV|LWO,|LWO|IST|BHX|EWR|SAV|
SAV|LYS,|LYS|IST|BHX|EWR|SAV|
SAV|MAD,|MAD|EWR|SAV|
SAV|MAN,|MAN|EWR|SAV|
SAV|MED,|MED|IST|BHX|EWR|SAV|
SAV|MHD,|MHD|IST|BHX|EWR|SAV|
SAV|MLA,|MLA|IST|BHX|EWR|SAV|
SAV|MRS,|MRS|IST|BHX|EWR|SAV|
SAV|MSQ,|MSQ|IST|BHX|EWR|SAV|
SAV|MXP,|MXP|EWR|SAV|
SAV|MZH,|MZH|IST|BHX|EWR|SAV|
SAV|MZR,|MZR|IST|BHX|EWR|SAV|
SAV|NAJ,|NAJ|IST|BHX|EWR|SAV|
SAV|NAV,|NAV|IST|BHX|EWR|SAV|
SAV|NCE,|NCE|IST|BHX|EWR|SAV|
SAV|NIM,|NIM|IST|BHX|EWR|SAV|
SAV|NJF,|NJF|IST|BHX|EWR|SAV|
SAV|NSI,|NSI|BRU|EWR|SAV|
SAV|NUE,|NUE|IST|BHX|EWR|SAV|
SAV|ODS,|ODS|IST|BHX|EWR|SAV|
SAV|ORN,|ORN|IST|BHX|EWR|SAV|
SAV|OTP,|OTP|IST|BHX|EWR|SAV|
SAV|PRG,|PRG|BRU|EWR|SAV|
SAV|PRN,|PRN|IST|BHX|EWR|SAV|
SAV|RIX,|RIX|IST|BHX|EWR|SAV|
SAV|ROV,|ROV|IST|BHX|EWR|SAV|
