FIH|BJV,|BJV|IST|FIH|
FIH|CKZ,|CKZ|ESB|IST|FIH|
FIH|DIY,|DIY|IST|FIH|
FIH|ECN,|ECN|IST|FIH|
FIH|ERC,|ERC|IST|FIH|
FIH|ERZ,|ERZ|IST|FIH|
FIH|EZS,|EZS|IST|FIH|
FIH|GNY,|GNY|IST|FIH|
FIH|GZP,|GZP|ESB|IST|FIH|
FIH|GZT,|GZT|IST|FIH|
FIH|HTY,|HTY|IST|FIH|
FIH|KCM,|KCM|IST|FIH|
FIH|KSY,|KSY|IST|FIH|
FIH|MLX,|MLX|IST|FIH|
FIH|MQM,|MQM|IST|FIH|
FIH|MSR,|MSR|IST|FIH|
FIH|TEQ,|TEQ|ESB|IST|FIH|
FIH|TZX,|TZX|IST|FIH|
FIH|VAN,|VAN|IST|FIH|
FIH|ULN,|ULN|FRU|IST|FIH|
FIH|HIJ,|HIJ|ICN|IST|FIH|
FIH|VVO,|VVO|ICN|IST|FIH|
FIH|ACC,|ACC|IST|FIH|
FIH|AER,|AER|IST|FIH|
FIH|AGP,|AGP|IST|FIH|
FIH|ALG,|ALG|IST|FIH|
FIH|AMM,|AMM|IST|FIH|
FIH|AQJ,|AQJ|IST|FIH|
FIH|ARN,|ARN|IST|FIH|
FIH|ASR,|ASR|IST|FIH|
FIH|ATH,|ATH|IST|FIH|
FIH|BAH,|BAH|IST|FIH|
FIH|BEG,|BEG|IST|FIH|
FIH|BEN,|BEN|IST|FIH|
FIH|BEY,|BEY|IST|FIH|
FIH|BHX,|BHX|BRU|FIH|
FIH|BIO,|BIO|IST|FIH|
FIH|BLQ,|BLQ|IST|FIH|
FIH|BOM,|BOM|IST|FIH|
FIH|BRE,|BRE|IST|FIH|
FIH|BSL,|BSL|IST|FIH|
FIH|BSR,|BSR|IST|FIH|
FIH|BUD,|BUD|IST|FIH|
FIH|BUS,|BUS|IST|FIH|
FIH|CAI,|CAI|IST|FIH|
FIH|CGN,|CGN|IST|FIH|
FIH|CMN,|CMN|IST|FIH|
FIH|CND,|CND|IST|FIH|
FIH|DAR,|DAR|NBO|LUN|HRE|ADD|DLA|FIH|
FIH|DLM,|DLM|IST|FIH|
FIH|DMM,|DMM|IST|FIH|
FIH|DNK,|DNK|IST|FIH|
FIH|DNZ,|DNZ|IST|FIH|
FIH|DOK,|DOK|IST|FIH|
FIH|DUS,|DUS|IST|FIH|
FIH|EDI,|EDI|IST|FIH|
FIH|ELQ,|ELQ|IST|FIH|
FIH|FDH,|FDH|IST|FIH|
FIH|GOA,|GOA|IST|FIH|
FIH|GOT,|GOT|BRU|FIH|
FIH|HAJ,|HAJ|BRU|FIH|
FIH|HBE,|HBE|IST|FIH|
FIH|HEL,|HEL|IST|FIH|
FIH|HRG,|HRG|IST|FIH|
FIH|IFN,|IFN|IST|FIH|
FIH|ISE,|ISE|IST|FIH|
FIH|ISU,|ISU|IST|FIH|
FIH|JIB,|JIB|IST|FIH|
FIH|JRO,|JRO|IST|FIH|
FIH|KAN,|KAN|IST|FIH|
FIH|KBL,|KBL|IST|FIH|
FIH|KBP,|KBP|IST|FIH|
FIH|KFS,|KFS|IST|FIH|
FIH|KHI,|KHI|IST|FIH|
FIH|KIV,|KIV|IST|FIH|
FIH|KRT,|KRT|IST|FIH|
FIH|KSH,|KSH|IST|FIH|
FIH|KVD,|KVD|IST|FIH|
FIH|KWI,|KWI|IST|FIH|
FIH|KYA,|KYA|IST|FIH|
FIH|KZN,|KZN|IST|FIH|
FIH|KZR,|KZR|IST|FIH|
FIH|LED,|LED|IST|FIH|
FIH|LEJ,|LEJ|IST|FIH|
FIH|LGW,|LGW|IST|FIH|
FIH|LHE,|LHE|IST|FIH|
FIH|LIS,|LIS|IST|FIH|
FIH|LJU,|LJU|IST|FIH|
