MIG|PEN,|PEN|CAN|MIG|
MIG|PER,|PER|CAN|MIG|
MIG|PNH,|PNH|CAN|MIG|
MIG|REP,|REP|CAN|MIG|
MIG|RGN,|RGN|CAN|MIG|
MIG|SGN,|SGN|CAN|MIG|
MIG|SHA,|SHA|CSX|MIG|
MIG|SIN,|SIN|CAN|MIG|
MIG|SVO,|SVO|URC|CSX|MIG|
MIG|SYX,|SYX|CAN|MIG|
MIG|TAO,|TAO|CSX|MIG|
MIG|TEN,|TEN|CAN|MIG|
MIG|TNA,|TNA|CSX|MIG|
MIG|TPE,|TPE|CSX|MIG|
MIG|TSN,|TSN|CSX|MIG|
MIG|TXN,|TXN|CSX|MIG|
MIG|TYN,|TYN|CSX|MIG|
MIG|WNZ,|WNZ|CSX|MIG|
MIG|WUX,|WUX|CAN|MIG|
MIG|XFN,|XFN|CAN|MIG|
MIG|XIY,|XIY|CSX|MIG|
MIG|XUZ,|XUZ|CAN|MIG|
MIG|YIH,|YIH|CKG|CSX|MIG|
MIG|YIW,|YIW|XMN|CSX|MIG|
MIG|YNT,|YNT|CSX|MIG|
MIG|YNZ,|YNZ|CAN|MIG|
MIG|YTY,|YTY|CSX|MIG|
MIG|ZHA,|ZHA|CAN|MIG|
MIG|ZYI,|ZYI|CAN|MIG|
MIG|BAV,|BAV|CSX|MIG|
MIG|CJU,|CJU|CSX|MIG|
MIG|DSN,|DSN|CGO|YTY|CSX|MIG|
MIG|HMI,|HMI|CGO|YTY|CSX|MIG|
MIG|INC,|INC|CSX|MIG|
MIG|KHH,|KHH|WUH|CAN|MIG|
MIG|UYN,|UYN|XIY|CSX|MIG|
MIG|XNN,|XNN|CSX|MIG|
MIG|ZUH,|ZUH|CSX|MIG|
MIG|YNJ,|YNJ|DLC|CSX|MIG|
MIG|DAT,|DAT|TYN|CSX|MIG|
MIG|JHG,|JHG|KMG|CSX|MIG|
MIG|LJG,|LJG|KWE|CSX|MIG|
MIG|LXA,|LXA|CKG|CSX|MIG|
MIG|YCU,|YCU|CSX|MIG|
MIG|LZO,|LZO|CSX|MIG|
MIG|MDG,|MDG|DLC|CSX|MIG|
MIG|NGO,|NGO|PVG|CSX|MIG|
MIG|TOY,|TOY|DLC|CSX|MIG|
MIG|MFM,|MFM|XMN|CSX|MIG|
MIG|TGO,|TGO|HET|CSX|MIG|
MIG|XIL,|XIL|HET|CSX|MIG|
MIG|HEK,|HEK|HRB|CSX|MIG|
MIG|KIJ,|KIJ|HRB|CSX|MIG|
MIG|LDS,|LDS|HRB|CSX|MIG|
MIG|OHE,|OHE|HRB|CSX|MIG|
MIG|HSN,|HSN|JJN|CSX|MIG|
MIG|DLU,|DLU|KWE|CSX|MIG|
MIG|SYM,|SYM|KMG|CSX|MIG|
MIG|ZAT,|ZAT|KMG|CSX|MIG|
MIG|LUN,|LUN|NBO|CAN|MIG|
MIG|AOG,|AOG|PEK|CSX|MIG|
MIG|GMP,|GMP|PEK|CSX|MIG|
MIG|ISB,|ISB|URC|CSX|MIG|
MIG|TAS,|TAS|URC|CSX|MIG|
MIG|WUS,|WUS|PEK|CSX|MIG|
MIG|JMU,|JMU|PVG|CSX|MIG|
MIG|NDG,|NDG|PVG|CSX|MIG|
MIG|JXA,|JXA|SHE|TAO|CSX|MIG|
MIG|PUS,|PUS|SHE|TAO|CSX|MIG|
MIG|BKI,|BKI|SZX|CSX|MIG|
MIG|AKU,|AKU|URC|CSX|MIG|
MIG|ALA,|ALA|URC|CSX|MIG|
MIG|ASB,|ASB|URC|CSX|MIG|
MIG|DNH,|DNH|XIY|CSX|MIG|
MIG|DYU,|DYU|URC|CSX|MIG|
MIG|FRU,|FRU|URC|CSX|MIG|
MIG|GYD,|GYD|URC|CSX|MIG|
MIG|HTN,|HTN|URC|CSX|MIG|
MIG|IKA,|IKA|URC|CSX|MIG|
MIG|KCA,|KCA|URC|CSX|MIG|
MIG|KHG,|KHG|URC|CSX|MIG|
MIG|KRL,|KRL|URC|CSX|MIG|
MIG|KRY,|KRY|URC|CSX|MIG|
MIG|LBD,|LBD|URC|CSX|MIG|
MIG|NLT,|NLT|URC|CSX|MIG|
MIG|OSS,|OSS|URC|CSX|MIG|
MIG|OVB,|OVB|URC|CSX|MIG|
MIG|TBS,|TBS|URC|CSX|MIG|
MIG|TCG,|TCG|URC|CSX|MIG|
MIG|TSE,|TSE|URC|CSX|MIG|
MIG|YIN,|YIN|URC|CSX|MIG|
MIG|ENH,|ENH|WUH|CAN|MIG|
MIG|ENY,|ENY|XIY|CSX|MIG|
MIG|WXN,|WXN|XIY|CSX|MIG|
MIG|BLL,|BLL|IST|URC|CSX|MIG|
MIG|ESB,|ESB|SAW|TBS|URC|CSX|MIG|
MIG|SAW,|SAW|TBS|URC|CSX|MIG|
MIG|HAM,|HAM|IST|URC|CSX|MIG|
MIG|HRE,|HRE|ADD|IST|URC|CSX|MIG|
MIG|JUB,|JUB|CAI|IST|URC|CSX|MIG|
MIG|SSG,|SSG|DLA|IST|URC|CSX|MIG|
MIG|BGW,|BGW|ESB|SAW|TBS|URC|CSX|MIG|
MIG|EBL,|EBL|IST|URC|CSX|MIG|
MIG|VKO,|VKO|IST|URC|CSX|MIG|
MIG|MCT,|MCT|IST|URC|CSX|MIG|
MIG|AYT,|AYT|IST|URC|CSX|MIG|
MIG|SCQ,|SCQ|BIO|IST|URC|CSX|MIG|
MIG|AAL,|AAL|IST|URC|CSX|MIG|
MIG|AOE,|AOE|BRU|IST|URC|CSX|MIG|
MIG|JNB,|JNB|IST|URC|CSX|MIG|
MIG|LBV,|LBV|DLA|IST|URC|CSX|MIG|
MIG|ADA,|ADA|SAW|TBS|URC|CSX|MIG|
MIG|ADB,|ADB|IST|URC|CSX|MIG|
MIG|ADF,|ADF|ESB|SAW|TBS|URC|CSX|MIG|
MIG|AJI,|AJI|ESB|SAW|TBS|URC|CSX|MIG|
MIG|BAL,|BAL|ESB|SAW|TBS|URC|CSX|MIG|
MIG|BJV,|BJV|IST|URC|CSX|MIG|
MIG|CKZ,|CKZ|ESB|SAW|TBS|URC|CSX|MIG|
MIG|DIY,|DIY|SAW|TBS|URC|CSX|MIG|
MIG|ECN,|ECN|SAW|TBS|URC|CSX|MIG|
MIG|ERC,|ERC|ESB|SAW|TBS|URC|CSX|MIG|
MIG|ERZ,|ERZ|SAW|TBS|URC|CSX|MIG|
MIG|EZS,|EZS|SAW|TBS|URC|CSX|MIG|
MIG|GNY,|GNY|ESB|SAW|TBS|URC|CSX|MIG|
MIG|GZP,|GZP|ESB|SAW|TBS|URC|CSX|MIG|
MIG|GZT,|GZT|SAW|TBS|URC|CSX|MIG|
MIG|HTY,|HTY|SAW|TBS|URC|CSX|MIG|
MIG|KCM,|KCM|ESB|SAW|TBS|URC|CSX|MIG|
MIG|KSY,|KSY|SAW|TBS|URC|CSX|MIG|
MIG|MLX,|MLX|ESB|SAW|TBS|URC|CSX|MIG|
MIG|MQM,|MQM|SAW|TBS|URC|CSX|MIG|
MIG|MSR,|MSR|ESB|SAW|TBS|URC|CSX|MIG|
MIG|TEQ,|TEQ|ESB|SAW|TBS|URC|CSX|MIG|
MIG|TZX,|TZX|SAW|TBS|URC|CSX|MIG|
MIG|VAN,|VAN|SAW|TBS|URC|CSX|MIG|
MIG|ULN,|ULN|FRU|URC|CSX|MIG|
MIG|HIJ,|HIJ|ICN|CSX|MIG|
MIG|VVO,|VVO|ICN|CSX|MIG|
MIG|ACC,|ACC|IST|URC|CSX|MIG|
MIG|AER,|AER|IST|URC|CSX|MIG|
MIG|AGP,|AGP|IST|URC|CSX|MIG|
MIG|ALG,|ALG|IST|URC|CSX|MIG|
MIG|AMM,|AMM|IST|URC|CSX|MIG|
MIG|AQJ,|AQJ|IST|URC|CSX|MIG|
MIG|ARN,|ARN|IST|URC|CSX|MIG|
MIG|ASR,|ASR|SAW|TBS|URC|CSX|MIG|
MIG|ATH,|ATH|IST|URC|CSX|MIG|
MIG|BAH,|BAH|KWI|SAW|TBS|URC|CSX|MIG|
MIG|BEG,|BEG|IST|URC|CSX|MIG|
MIG|BEN,|BEN|IST|URC|CSX|MIG|
MIG|BEY,|BEY|IST|URC|CSX|MIG|
MIG|BHX,|BHX|IST|URC|CSX|MIG|
MIG|BIO,|BIO|IST|URC|CSX|MIG|
MIG|BLQ,|BLQ|IST|URC|CSX|MIG|
MIG|BOM,|BOM|IST|URC|CSX|MIG|
MIG|BRE,|BRE|IST|URC|CSX|MIG|
MIG|BSL,|BSL|IST|URC|CSX|MIG|
MIG|BSR,|BSR|IST|URC|CSX|MIG|
MIG|BUD,|BUD|IST|URC|CSX|MIG|
MIG|BUS,|BUS|IST|URC|CSX|MIG|
MIG|CAI,|CAI|IST|URC|CSX|MIG|
MIG|CGN,|CGN|IST|URC|CSX|MIG|
MIG|CMN,|CMN|IST|URC|CSX|MIG|
MIG|CND,|CND|IST|URC|CSX|MIG|
MIG|DAR,|DAR|NBO|CAN|MIG|
MIG|DLM,|DLM|IST|URC|CSX|MIG|
MIG|DMM,|DMM|IST|URC|CSX|MIG|
MIG|DNK,|DNK|IST|URC|CSX|MIG|
MIG|DNZ,|DNZ|IST|URC|CSX|MIG|
MIG|DOK,|DOK|IST|URC|CSX|MIG|
MIG|DUS,|DUS|IST|URC|CSX|MIG|
MIG|EDI,|EDI|IST|URC|CSX|MIG|
MIG|ELQ,|ELQ|IST|URC|CSX|MIG|
MIG|FDH,|FDH|IST|URC|CSX|MIG|
MIG|GOA,|GOA|IST|URC|CSX|MIG|
MIG|GOT,|GOT|IST|URC|CSX|MIG|
MIG|HAJ,|HAJ|IST|URC|CSX|MIG|
MIG|HBE,|HBE|IST|URC|CSX|MIG|
MIG|HEL,|HEL|IST|URC|CSX|MIG|
MIG|HRG,|HRG|IST|URC|CSX|MIG|
MIG|IFN,|IFN|IST|URC|CSX|MIG|
MIG|ISE,|ISE|IST|URC|CSX|MIG|
MIG|ISU,|ISU|IST|URC|CSX|MIG|
MIG|JIB,|JIB|IST|URC|CSX|MIG|
MIG|JRO,|JRO|IST|URC|CSX|MIG|
MIG|KAN,|KAN|IST|URC|CSX|MIG|
MIG|KBL,|KBL|IST|URC|CSX|MIG|
MIG|KBP,|KBP|IST|URC|CSX|MIG|
MIG|KFS,|KFS|IST|URC|CSX|MIG|
MIG|KHI,|KHI|IST|URC|CSX|MIG|
MIG|KIV,|KIV|IST|URC|CSX|MIG|
MIG|KRT,|KRT|IST|URC|CSX|MIG|
MIG|KSH,|KSH|IST|URC|CSX|MIG|
MIG|KVD,|KVD|IST|URC|CSX|MIG|
MIG|KWI,|KWI|SAW|TBS|URC|CSX|MIG|
MIG|KYA,|KYA|SAW|TBS|URC|CSX|MIG|
MIG|KZN,|KZN|IST|URC|CSX|MIG|
MIG|KZR,|KZR|IST|URC|CSX|MIG|
MIG|LED,|LED|IST|URC|CSX|MIG|
MIG|LEJ,|LEJ|IST|URC|CSX|MIG|
MIG|LGW,|LGW|IST|URC|CSX|MIG|
MIG|LHE,|LHE|IST|URC|CSX|MIG|
MIG|LIS,|LIS|IST|URC|CSX|MIG|
MIG|LJU,|LJU|IST|URC|CSX|MIG|
MIG|LOS,|LOS|IST|URC|CSX|MIG|
MIG|LUX,|LUX|IST|URC|CSX|MIG|
MIG|LWO,|LWO|IST|URC|CSX|MIG|
MIG|LYS,|LYS|IST|URC|CSX|MIG|
MIG|MAD,|MAD|IST|URC|CSX|MIG|
MIG|MAN,|MAN|IST|URC|CSX|MIG|
MIG|MED,|MED|IST|URC|CSX|MIG|
MIG|MHD,|MHD|IST|URC|CSX|MIG|
MIG|MLA,|MLA|IST|URC|CSX|MIG|
MIG|MRS,|MRS|IST|URC|CSX|MIG|
MIG|MSQ,|MSQ|IST|URC|CSX|MIG|
MIG|MXP,|MXP|IST|URC|CSX|MIG|
MIG|MZH,|MZH|IST|URC|CSX|MIG|
MIG|MZR,|MZR|IST|URC|CSX|MIG|
MIG|NAJ,|NAJ|IST|URC|CSX|MIG|
MIG|NAV,|NAV|IST|URC|CSX|MIG|
MIG|NCE,|NCE|IST|URC|CSX|MIG|
MIG|NIM,|NIM|IST|URC|CSX|MIG|
MIG|NJF,|NJF|IST|URC|CSX|MIG|
MIG|NSI,|NSI|IST|URC|CSX|MIG|
