ELM|CAN,|CAN|PEK|ORD|ELM|
ELM|URC,|URC|TSE|FRA|ORD|ELM|
ELM|CTU,|CTU|PEK|ORD|ELM|
ELM|HGH,|HGH|PEK|ORD|ELM|
ELM|XMN,|XMN|PEK|ORD|ELM|
ELM|CGO,|CGO|PEK|ORD|ELM|
ELM|CSX,|CSX|PEK|ORD|ELM|
ELM|SHE,|SHE|PEK|ORD|ELM|
ELM|SJW,|SJW|DLC|PEK|ORD|ELM|
ELM|WUH,|WUH|PEK|ORD|ELM|
ELM|SZX,|SZX|PEK|ORD|ELM|
ELM|CKG,|CKG|PEK|ORD|ELM|
ELM|KMG,|KMG|PEK|ORD|ELM|
ELM|FOC,|FOC|PEK|ORD|ELM|
ELM|NNG,|NNG|PEK|ORD|ELM|
ELM|SWA,|SWA|PEK|ORD|ELM|
ELM|ACX,|ACX|CAN|PEK|ORD|ELM|
ELM|AQG,|AQG|CAN|PEK|ORD|ELM|
ELM|AVA,|AVA|CAN|PEK|ORD|ELM|
ELM|BFJ,|BFJ|CAN|PEK|ORD|ELM|
ELM|BHY,|BHY|CGO|PEK|ORD|ELM|
ELM|BNE,|BNE|CAN|PEK|ORD|ELM|
ELM|CGD,|CGD|PEK|ORD|ELM|
ELM|CGK,|CGK|CAN|PEK|ORD|ELM|
ELM|CGQ,|CGQ|PEK|ORD|ELM|
ELM|CIH,|CIH|PEK|ORD|ELM|
ELM|CNX,|CNX|CAN|PEK|ORD|ELM|
ELM|CZX,|CZX|SHE|PEK|ORD|ELM|
ELM|DAC,|DAC|IST|ORD|ELM|
ELM|DAD,|DAD|CAN|PEK|ORD|ELM|
ELM|DEL,|DEL|EWR|ORD|ELM|
ELM|DIG,|DIG|KMG|PEK|ORD|ELM|
ELM|DLC,|DLC|PEK|ORD|ELM|
ELM|DPS,|DPS|SZX|PEK|ORD|ELM|
ELM|DXB,|DXB|IST|ORD|ELM|
ELM|DYG,|DYG|PEK|ORD|ELM|
ELM|FUG,|FUG|CAN|PEK|ORD|ELM|
ELM|FUK,|FUK|ICN|YVR|ORD|ELM|
ELM|HAK,|HAK|PEK|ORD|ELM|
ELM|HAN,|HAN|PEK|ORD|ELM|
ELM|HDG,|HDG|CAN|PEK|ORD|ELM|
ELM|HET,|HET|DLC|PEK|ORD|ELM|
ELM|HFE,|HFE|XIY|PEK|ORD|ELM|
ELM|HJJ,|HJJ|CSX|PEK|ORD|ELM|
ELM|HKT,|HKT|KWE|PEK|ORD|ELM|
ELM|HRB,|HRB|PEK|ORD|ELM|
ELM|HZH,|HZH|CAN|PEK|ORD|ELM|
ELM|JIU,|JIU|CAN|PEK|ORD|ELM|
ELM|JJN,|JJN|PEK|ORD|ELM|
ELM|JNG,|JNG|CAN|PEK|ORD|ELM|
ELM|KHN,|KHN|DLC|PEK|ORD|ELM|
ELM|KIX,|KIX|SFO|ORD|ELM|
ELM|KOW,|KOW|PEK|ORD|ELM|
ELM|KTM,|KTM|IST|ORD|ELM|
ELM|KUL,|KUL|CAN|PEK|ORD|ELM|
ELM|KWE,|KWE|PEK|ORD|ELM|
ELM|KWL,|KWL|PEK|ORD|ELM|
ELM|LHW,|LHW|CGO|PEK|ORD|ELM|
ELM|LYA,|LYA|KHN|DLC|PEK|ORD|ELM|
ELM|LYG,|LYG|HSN|PEK|ORD|ELM|
ELM|LZH,|LZH|CAN|PEK|ORD|ELM|
ELM|MEL,|MEL|SYD|LAX|ORD|ELM|
ELM|MIG,|MIG|CSX|PEK|ORD|ELM|
ELM|MLE,|MLE|IST|ORD|ELM|
ELM|MNL,|MNL|XMN|PEK|ORD|ELM|
ELM|MXZ,|MXZ|CAN|PEK|ORD|ELM|
ELM|NAO,|NAO|PEK|ORD|ELM|
ELM|NGB,|NGB|PEK|ORD|ELM|
ELM|NKG,|NKG|DLC|PEK|ORD|ELM|
ELM|NNY,|NNY|CGO|PEK|ORD|ELM|
ELM|PEN,|PEN|CAN|PEK|ORD|ELM|
ELM|PER,|PER|CAN|PEK|ORD|ELM|
ELM|PNH,|PNH|CAN|PEK|ORD|ELM|
ELM|REP,|REP|CAN|PEK|ORD|ELM|
ELM|RGN,|RGN|CAN|PEK|ORD|ELM|
ELM|SGN,|SGN|CAN|PEK|ORD|ELM|
ELM|SHA,|SHA|PEK|ORD|ELM|
ELM|SIN,|SIN|HKG|ORD|ELM|
ELM|SVO,|SVO|URC|TSE|FRA|ORD|ELM|
ELM|SYX,|SYX|PEK|ORD|ELM|
ELM|TAO,|TAO|DLC|PEK|ORD|ELM|
ELM|TEN,|TEN|PEK|ORD|ELM|
ELM|TNA,|TNA|DLC|PEK|ORD|ELM|
ELM|TPE,|TPE|PVG|ORD|ELM|
ELM|TSN,|TSN|DLC|PEK|ORD|ELM|
ELM|TXN,|TXN|DLC|PEK|ORD|ELM|
ELM|TYN,|TYN|DAT|CIH|PEK|ORD|ELM|
ELM|WNZ,|WNZ|CGO|PEK|ORD|ELM|
ELM|WUX,|WUX|CAN|PEK|ORD|ELM|
ELM|XFN,|XFN|XMN|PEK|ORD|ELM|
ELM|XIY,|XIY|PEK|ORD|ELM|
ELM|XUZ,|XUZ|LYG|HSN|PEK|ORD|ELM|
ELM|YIH,|YIH|CKG|PEK|ORD|ELM|
ELM|YIW,|YIW|PEK|ORD|ELM|
ELM|YNT,|YNT|SHE|PEK|ORD|ELM|
ELM|YNZ,|YNZ|DLC|PEK|ORD|ELM|
ELM|YTY,|YTY|DLC|PEK|ORD|ELM|
ELM|ZHA,|ZHA|CAN|PEK|ORD|ELM|
ELM|ZYI,|ZYI|PEK|ORD|ELM|
ELM|BAV,|BAV|CGO|PEK|ORD|ELM|
ELM|CJU,|CJU|DLC|PEK|ORD|ELM|
ELM|DSN,|DSN|CGO|PEK|ORD|ELM|
ELM|HMI,|HMI|CGO|PEK|ORD|ELM|
ELM|INC,|INC|PEK|ORD|ELM|
ELM|KHH,|KHH|CGO|PEK|ORD|ELM|
ELM|UYN,|UYN|CGO|PEK|ORD|ELM|
ELM|XNN,|XNN|PEK|ORD|ELM|
ELM|ZUH,|ZUH|PEK|ORD|ELM|
ELM|YNJ,|YNJ|PEK|ORD|ELM|
ELM|DAT,|DAT|CIH|PEK|ORD|ELM|
