LIS|CKG,|CKG|URC|IST|LIS|
LIS|KMG,|KMG|CTU|URC|IST|LIS|
LIS|FOC,|FOC|XIY|URC|IST|LIS|
LIS|NNG,|NNG|KWE|URC|IST|LIS|
LIS|SWA,|SWA|CAN|IST|LIS|
LIS|ACX,|ACX|CAN|IST|LIS|
LIS|AQG,|AQG|CAN|IST|LIS|
LIS|AVA,|AVA|CAN|IST|LIS|
LIS|BFJ,|BFJ|CAN|IST|LIS|
LIS|BHY,|BHY|CKG|URC|IST|LIS|
LIS|BNE,|BNE|BKK|IST|LIS|
LIS|CGD,|CGD|PEK|IST|LIS|
LIS|CGK,|CGK|SIN|IST|LIS|
LIS|CGQ,|CGQ|HET|URC|IST|LIS|
LIS|CIH,|CIH|PEK|IST|LIS|
LIS|CNX,|CNX|CAN|IST|LIS|
LIS|CZX,|CZX|TYN|URC|IST|LIS|
LIS|DAC,|DAC|IST|LIS|
LIS|DAD,|DAD|CAN|IST|LIS|
LIS|DEL,|DEL|IST|LIS|
LIS|DIG,|DIG|KMG|CTU|URC|IST|LIS|
LIS|DLC,|DLC|PEK|IST|LIS|
LIS|DPS,|DPS|CAN|IST|LIS|
LIS|DXB,|DXB|IST|LIS|
LIS|DYG,|DYG|CSX|URC|IST|LIS|
LIS|FUG,|FUG|CAN|IST|LIS|
LIS|FUK,|FUK|ICN|IST|LIS|
LIS|HAK,|HAK|CTU|URC|IST|LIS|
LIS|HAN,|HAN|CAN|IST|LIS|
LIS|HDG,|HDG|CAN|IST|LIS|
LIS|HET,|HET|URC|IST|LIS|
LIS|HFE,|HFE|XIY|URC|IST|LIS|
LIS|HJJ,|HJJ|CSX|URC|IST|LIS|
LIS|HKT,|HKT|KWE|URC|IST|LIS|
LIS|HRB,|HRB|PEK|IST|LIS|
LIS|HZH,|HZH|CAN|IST|LIS|
LIS|JIU,|JIU|CAN|IST|LIS|
LIS|JJN,|JJN|CSX|URC|IST|LIS|
LIS|JNG,|JNG|CAN|IST|LIS|
LIS|KHN,|KHN|XIY|URC|IST|LIS|
LIS|KIX,|KIX|IST|LIS|
LIS|KOW,|KOW|CAN|IST|LIS|
LIS|KTM,|KTM|IST|LIS|
LIS|KUL,|KUL|IST|LIS|
LIS|KWE,|KWE|URC|IST|LIS|
LIS|KWL,|KWL|CKG|URC|IST|LIS|
LIS|LHW,|LHW|URC|IST|LIS|
LIS|LYA,|LYA|KHN|XIY|URC|IST|LIS|
LIS|LYG,|LYG|XUZ|INC|URC|IST|LIS|
LIS|LZH,|LZH|CAN|IST|LIS|
LIS|MEL,|MEL|BKK|IST|LIS|
LIS|MIG,|MIG|CSX|URC|IST|LIS|
LIS|MLE,|MLE|IST|LIS|
LIS|MNL,|MNL|CAN|IST|LIS|
LIS|MXZ,|MXZ|CAN|IST|LIS|
LIS|NAO,|NAO|PEK|IST|LIS|
LIS|NGB,|NGB|WUH|URC|IST|LIS|
LIS|NKG,|NKG|URC|IST|LIS|
LIS|NNY,|NNY|CGO|URC|IST|LIS|
LIS|PEN,|PEN|CAN|IST|LIS|
LIS|PER,|PER|BKK|IST|LIS|
LIS|PNH,|PNH|CAN|IST|LIS|
LIS|REP,|REP|CAN|IST|LIS|
LIS|RGN,|RGN|CAN|IST|LIS|
LIS|SGN,|SGN|BKK|IST|LIS|
LIS|SHA,|SHA|URC|IST|LIS|
LIS|SIN,|SIN|IST|LIS|
LIS|SVO,|SVO|URC|IST|LIS|
LIS|SYX,|SYX|CKG|URC|IST|LIS|
LIS|TAO,|TAO|TYN|URC|IST|LIS|
LIS|TEN,|TEN|CAN|IST|LIS|
LIS|TNA,|TNA|URC|IST|LIS|
LIS|TPE,|TPE|URC|IST|LIS|
LIS|TSN,|TSN|HET|URC|IST|LIS|
LIS|TXN,|TXN|TYN|URC|IST|LIS|
LIS|TYN,|TYN|URC|IST|LIS|
LIS|WNZ,|WNZ|XIY|URC|IST|LIS|
LIS|WUX,|WUX|CAN|IST|LIS|
LIS|XFN,|XFN|CAN|IST|LIS|
LIS|XIY,|XIY|URC|IST|LIS|
LIS|XUZ,|XUZ|INC|URC|IST|LIS|
LIS|YIH,|YIH|CKG|URC|IST|LIS|
LIS|YIW,|YIW|URC|IST|LIS|
LIS|YNT,|YNT|SHE|PEK|IST|LIS|
LIS|YNZ,|YNZ|WUH|URC|IST|LIS|
LIS|YTY,|YTY|CGO|URC|IST|LIS|
LIS|ZHA,|ZHA|CAN|IST|LIS|
LIS|ZYI,|ZYI|CAN|IST|LIS|
LIS|BAV,|BAV|URC|IST|LIS|
LIS|CJU,|CJU|DLC|PEK|IST|LIS|
LIS|DSN,|DSN|CGO|URC|IST|LIS|
LIS|HMI,|HMI|URC|IST|LIS|
LIS|INC,|INC|URC|IST|LIS|
LIS|KHH,|KHH|WUH|URC|IST|LIS|
LIS|UYN,|UYN|XIY|URC|IST|LIS|
LIS|XNN,|XNN|URC|IST|LIS|
LIS|ZUH,|ZUH|KWE|URC|IST|LIS|
LIS|YNJ,|YNJ|PEK|IST|LIS|
LIS|DAT,|DAT|TYN|URC|IST|LIS|
LIS|JHG,|JHG|KMG|CTU|URC|IST|LIS|
LIS|LJG,|LJG|KMG|CTU|URC|IST|LIS|
LIS|LXA,|LXA|CKG|URC|IST|LIS|
LIS|YCU,|YCU|CKG|URC|IST|LIS|
LIS|LZO,|LZO|CSX|URC|IST|LIS|
LIS|MDG,|MDG|DLC|PEK|IST|LIS|
LIS|NGO,|NGO|ICN|IST|LIS|
LIS|TOY,|TOY|DLC|PEK|IST|LIS|
LIS|MFM,|MFM|XMN|CSX|URC|IST|LIS|
LIS|TGO,|TGO|HET|URC|IST|LIS|
LIS|XIL,|XIL|HET|URC|IST|LIS|
LIS|HEK,|HEK|HRB|PEK|IST|LIS|
LIS|KIJ,|KIJ|HRB|PEK|IST|LIS|
