BFD|DAT,|DAT|CIH|PEK|YYZ|CLE|BFD|
BFD|JHG,|JHG|CKG|PEK|YYZ|CLE|BFD|
BFD|LJG,|LJG|CKG|PEK|YYZ|CLE|BFD|
BFD|LXA,|LXA|XIY|PEK|YYZ|CLE|BFD|
BFD|YCU,|YCU|CSX|PEK|YYZ|CLE|BFD|
BFD|LZO,|LZO|CSX|PEK|YYZ|CLE|BFD|
BFD|MDG,|MDG|DLC|PEK|YYZ|CLE|BFD|
BFD|NGO,|NGO|ICN|YVR|ORD|CLE|BFD|
BFD|TOY,|TOY|DLC|PEK|YYZ|CLE|BFD|
BFD|MFM,|MFM|XMN|PEK|YYZ|CLE|BFD|
BFD|TGO,|TGO|HET|DLC|PEK|YYZ|CLE|BFD|
BFD|XIL,|XIL|HET|DLC|PEK|YYZ|CLE|BFD|
BFD|HEK,|HEK|HRB|PEK|YYZ|CLE|BFD|
BFD|KIJ,|KIJ|HRB|PEK|YYZ|CLE|BFD|
BFD|LDS,|LDS|HRB|PEK|YYZ|CLE|BFD|
BFD|OHE,|OHE|HRB|PEK|YYZ|CLE|BFD|
BFD|HSN,|HSN|PEK|YYZ|CLE|BFD|
BFD|DLU,|DLU|KMG|PEK|YYZ|CLE|BFD|
BFD|SYM,|SYM|KMG|PEK|YYZ|CLE|BFD|
BFD|ZAT,|ZAT|KMG|PEK|YYZ|CLE|BFD|
BFD|LUN,|LUN|NBO|ZRH|YYZ|CLE|BFD|
BFD|AOG,|AOG|PEK|YYZ|CLE|BFD|
BFD|GMP,|GMP|PEK|YYZ|CLE|BFD|
BFD|ISB,|ISB|IST|YYZ|CLE|BFD|
BFD|TAS,|TAS|IST|YYZ|CLE|BFD|
BFD|WUS,|WUS|PEK|YYZ|CLE|BFD|
BFD|JMU,|JMU|PVG|YYZ|CLE|BFD|
BFD|NDG,|NDG|PVG|YYZ|CLE|BFD|
BFD|JXA,|JXA|SHE|PEK|YYZ|CLE|BFD|
BFD|PUS,|PUS|SHE|PEK|YYZ|CLE|BFD|
BFD|BKI,|BKI|SZX|PEK|YYZ|CLE|BFD|
BFD|AKU,|AKU|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|ALA,|ALA|TSE|FRA|YYZ|CLE|BFD|
BFD|ASB,|ASB|GYD|FRA|YYZ|CLE|BFD|
BFD|DNH,|DNH|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|DYU,|DYU|IST|YYZ|CLE|BFD|
BFD|FRU,|FRU|IST|YYZ|CLE|BFD|
BFD|GYD,|GYD|FRA|YYZ|CLE|BFD|
BFD|HTN,|HTN|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|IKA,|IKA|SAW|VIE|YYZ|CLE|BFD|
BFD|KCA,|KCA|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|KHG,|KHG|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|KRL,|KRL|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|KRY,|KRY|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|LBD,|LBD|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|NLT,|NLT|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|OSS,|OSS|IST|YYZ|CLE|BFD|
BFD|OVB,|OVB|IST|YYZ|CLE|BFD|
BFD|TBS,|TBS|SAW|VIE|YYZ|CLE|BFD|
BFD|TCG,|TCG|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|TSE,|TSE|FRA|YYZ|CLE|BFD|
BFD|YIN,|YIN|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|ENH,|ENH|WUH|PEK|YYZ|CLE|BFD|
BFD|ENY,|ENY|XIY|PEK|YYZ|CLE|BFD|
BFD|WXN,|WXN|XIY|PEK|YYZ|CLE|BFD|
BFD|BLL,|BLL|IST|YYZ|CLE|BFD|
BFD|ESB,|ESB|VIE|YYZ|CLE|BFD|
BFD|SAW,|SAW|VIE|YYZ|CLE|BFD|
BFD|HAM,|HAM|EWR|CLE|BFD|
BFD|HRE,|HRE|ADD|JED|FRA|YYZ|CLE|BFD|
BFD|JUB,|JUB|CAI|IST|YYZ|CLE|BFD|
