XIL|VKO,|VKO|IST|URC|HET|XIL|
XIL|MCT,|MCT|IST|URC|HET|XIL|
XIL|AYT,|AYT|IST|URC|HET|XIL|
XIL|SCQ,|SCQ|BIO|IST|URC|HET|XIL|
XIL|AAL,|AAL|IST|URC|HET|XIL|
XIL|AOE,|AOE|BRU|IST|URC|HET|XIL|
XIL|JNB,|JNB|IST|URC|HET|XIL|
XIL|LBV,|LBV|DLA|IST|URC|HET|XIL|
XIL|ADA,|ADA|SAW|TBS|URC|HET|XIL|
XIL|ADB,|ADB|IST|URC|HET|XIL|
XIL|ADF,|ADF|ESB|SAW|TBS|URC|HET|XIL|
XIL|AJI,|AJI|ESB|SAW|TBS|URC|HET|XIL|
XIL|BAL,|BAL|ESB|SAW|TBS|URC|HET|XIL|
XIL|BJV,|BJV|IST|URC|HET|XIL|
XIL|CKZ,|CKZ|ESB|SAW|TBS|URC|HET|XIL|
XIL|DIY,|DIY|SAW|TBS|URC|HET|XIL|
XIL|ECN,|ECN|SAW|TBS|URC|HET|XIL|
XIL|ERC,|ERC|ESB|SAW|TBS|URC|HET|XIL|
XIL|ERZ,|ERZ|SAW|TBS|URC|HET|XIL|
XIL|EZS,|EZS|SAW|TBS|URC|HET|XIL|
XIL|GNY,|GNY|ESB|SAW|TBS|URC|HET|XIL|
XIL|GZP,|GZP|ESB|SAW|TBS|URC|HET|XIL|
XIL|GZT,|GZT|SAW|TBS|URC|HET|XIL|
XIL|HTY,|HTY|SAW|TBS|URC|HET|XIL|
XIL|KCM,|KCM|ESB|SAW|TBS|URC|HET|XIL|
XIL|KSY,|KSY|SAW|TBS|URC|HET|XIL|
XIL|MLX,|MLX|ESB|SAW|TBS|URC|HET|XIL|
XIL|MQM,|MQM|SAW|TBS|URC|HET|XIL|
XIL|MSR,|MSR|ESB|SAW|TBS|URC|HET|XIL|
XIL|TEQ,|TEQ|ESB|SAW|TBS|URC|HET|XIL|
XIL|TZX,|TZX|SAW|TBS|URC|HET|XIL|
XIL|VAN,|VAN|SAW|TBS|URC|HET|XIL|
XIL|ULN,|ULN|FRU|URC|HET|XIL|
XIL|HIJ,|HIJ|ICN|DLC|HET|XIL|
XIL|VVO,|VVO|ICN|DLC|HET|XIL|
XIL|ACC,|ACC|IST|URC|HET|XIL|
XIL|AER,|AER|IST|URC|HET|XIL|
XIL|AGP,|AGP|IST|URC|HET|XIL|
XIL|ALG,|ALG|IST|URC|HET|XIL|
XIL|AMM,|AMM|IST|URC|HET|XIL|
XIL|AQJ,|AQJ|IST|URC|HET|XIL|
XIL|ARN,|ARN|IST|URC|HET|XIL|
XIL|ASR,|ASR|SAW|TBS|URC|HET|XIL|
XIL|ATH,|ATH|IST|URC|HET|XIL|
XIL|BAH,|BAH|KWI|SAW|TBS|URC|HET|XIL|
XIL|BEG,|BEG|IST|URC|HET|XIL|
XIL|BEN,|BEN|IST|URC|HET|XIL|
XIL|BEY,|BEY|IST|URC|HET|XIL|
XIL|BHX,|BHX|IST|URC|HET|XIL|
XIL|BIO,|BIO|IST|URC|HET|XIL|
XIL|BLQ,|BLQ|IST|URC|HET|XIL|
XIL|BOM,|BOM|IST|URC|HET|XIL|
XIL|BRE,|BRE|IST|URC|HET|XIL|
XIL|BSL,|BSL|IST|URC|HET|XIL|
XIL|BSR,|BSR|IST|URC|HET|XIL|
XIL|BUD,|BUD|IST|URC|HET|XIL|
XIL|BUS,|BUS|IST|URC|HET|XIL|
XIL|CAI,|CAI|IST|URC|HET|XIL|
XIL|CGN,|CGN|IST|URC|HET|XIL|
XIL|CMN,|CMN|IST|URC|HET|XIL|
XIL|CND,|CND|IST|URC|HET|XIL|
XIL|DAR,|DAR|NBO|CAN|HET|XIL|
XIL|DLM,|DLM|IST|URC|HET|XIL|
XIL|DMM,|DMM|IST|URC|HET|XIL|
XIL|DNK,|DNK|IST|URC|HET|XIL|
XIL|DNZ,|DNZ|IST|URC|HET|XIL|
XIL|DOK,|DOK|IST|URC|HET|XIL|
XIL|DUS,|DUS|IST|URC|HET|XIL|
XIL|EDI,|EDI|IST|URC|HET|XIL|
XIL|ELQ,|ELQ|IST|URC|HET|XIL|
XIL|FDH,|FDH|IST|URC|HET|XIL|
XIL|GOA,|GOA|IST|URC|HET|XIL|
XIL|GOT,|GOT|IST|URC|HET|XIL|
XIL|HAJ,|HAJ|IST|URC|HET|XIL|
XIL|HBE,|HBE|IST|URC|HET|XIL|
XIL|HEL,|HEL|IST|URC|HET|XIL|
XIL|HRG,|HRG|IST|URC|HET|XIL|
XIL|IFN,|IFN|IST|URC|HET|XIL|
XIL|ISE,|ISE|IST|URC|HET|XIL|
XIL|ISU,|ISU|IST|URC|HET|XIL|
XIL|JIB,|JIB|IST|URC|HET|XIL|
XIL|JRO,|JRO|IST|URC|HET|XIL|
XIL|KAN,|KAN|IST|URC|HET|XIL|
XIL|KBL,|KBL|IST|URC|HET|XIL|
XIL|KBP,|KBP|IST|URC|HET|XIL|
XIL|KFS,|KFS|IST|URC|HET|XIL|
XIL|KHI,|KHI|IST|URC|HET|XIL|
XIL|KIV,|KIV|IST|URC|HET|XIL|
XIL|KRT,|KRT|IST|URC|HET|XIL|
XIL|KSH,|KSH|IST|URC|HET|XIL|
XIL|KVD,|KVD|IST|URC|HET|XIL|
XIL|KWI,|KWI|SAW|TBS|URC|HET|XIL|
XIL|KYA,|KYA|SAW|TBS|URC|HET|XIL|
XIL|KZN,|KZN|IST|URC|HET|XIL|
XIL|KZR,|KZR|IST|URC|HET|XIL|
XIL|LED,|LED|IST|URC|HET|XIL|
XIL|LEJ,|LEJ|IST|URC|HET|XIL|
XIL|LGW,|LGW|IST|URC|HET|XIL|
XIL|LHE,|LHE|IST|URC|HET|XIL|
XIL|LIS,|LIS|IST|URC|HET|XIL|
XIL|LJU,|LJU|IST|URC|HET|XIL|
XIL|LOS,|LOS|IST|URC|HET|XIL|
XIL|LUX,|LUX|IST|URC|HET|XIL|
XIL|LWO,|LWO|IST|URC|HET|XIL|
XIL|LYS,|LYS|IST|URC|HET|XIL|
