LFW|MCI,|MCI|ORD|BRU|LFW|
LFW|MDT,|MDT|IAD|BRU|LFW|
LFW|MIA,|MIA|EWR|BRU|LFW|
LFW|MKE,|MKE|YYZ|BRU|LFW|
LFW|MSP,|MSP|YUL|BRU|LFW|
LFW|NAS,|NAS|EWR|BRU|LFW|
LFW|PHL,|PHL|IAD|BRU|LFW|
LFW|PHX,|PHX|ORD|BRU|LFW|
LFW|PIT,|PIT|YYZ|BRU|LFW|
LFW|PLS,|PLS|EWR|BRU|LFW|
LFW|POP,|POP|EWR|BRU|LFW|
LFW|RDU,|RDU|EWR|BRU|LFW|
LFW|ROC,|ROC|YYZ|BRU|LFW|
LFW|RSW,|RSW|EWR|BRU|LFW|
LFW|SAN,|SAN|ORD|BRU|LFW|
LFW|SJO,|SJO|EWR|BRU|LFW|
LFW|STL,|STL|ORD|BRU|LFW|
LFW|SYR,|SYR|EWR|BRU|LFW|
LFW|TLV,|TLV|IST|BRU|LFW|
LFW|TPA,|TPA|EWR|BRU|LFW|
LFW|UVF,|UVF|EWR|BRU|LFW|
LFW|VIE,|VIE|IST|BRU|LFW|
LFW|YAM,|YAM|YYZ|BRU|LFW|
LFW|YGK,|YGK|YYZ|BRU|LFW|
LFW|YQG,|YQG|YYZ|BRU|LFW|
LFW|YSB,|YSB|YYZ|BRU|LFW|
LFW|YTS,|YTS|YYZ|BRU|LFW|
LFW|YYB,|YYB|YYZ|BRU|LFW|
LFW|YZR,|YZR|YYZ|BRU|LFW|
LFW|CAN,|CAN|IST|BRU|LFW|
LFW|URC,|URC|IST|BRU|LFW|
LFW|CTU,|CTU|URC|IST|BRU|LFW|
LFW|HGH,|HGH|URC|IST|BRU|LFW|
LFW|XMN,|XMN|CSX|URC|IST|BRU|LFW|
LFW|CGO,|CGO|URC|IST|BRU|LFW|
LFW|CSX,|CSX|URC|IST|BRU|LFW|
LFW|SHE,|SHE|PEK|IST|BRU|LFW|
LFW|SJW,|SJW|URC|IST|BRU|LFW|
LFW|WUH,|WUH|URC|IST|BRU|LFW|
LFW|SZX,|SZX|CKG|URC|IST|BRU|LFW|
LFW|CKG,|CKG|URC|IST|BRU|LFW|
LFW|KMG,|KMG|CTU|URC|IST|BRU|LFW|
LFW|FOC,|FOC|XIY|URC|IST|BRU|LFW|
LFW|NNG,|NNG|KWE|URC|IST|BRU|LFW|
LFW|SWA,|SWA|CAN|IST|BRU|LFW|
LFW|ACX,|ACX|CAN|IST|BRU|LFW|
LFW|AQG,|AQG|CAN|IST|BRU|LFW|
LFW|AVA,|AVA|CAN|IST|BRU|LFW|
LFW|BFJ,|BFJ|CAN|IST|BRU|LFW|
LFW|BHY,|BHY|CKG|URC|IST|BRU|LFW|
LFW|BNE,|BNE|BKK|IST|BRU|LFW|
LFW|CGD,|CGD|PEK|IST|BRU|LFW|
LFW|CGK,|CGK|SIN|IST|BRU|LFW|
LFW|CGQ,|CGQ|HET|URC|IST|BRU|LFW|
