SZG|WUH,|WUH|URC|IST|SZG|
SZG|SZX,|SZX|CKG|URC|IST|SZG|
SZG|CKG,|CKG|URC|IST|SZG|
SZG|KMG,|KMG|CTU|URC|IST|SZG|
SZG|FOC,|FOC|XIY|URC|IST|SZG|
SZG|NNG,|NNG|KWE|URC|IST|SZG|
SZG|SWA,|SWA|CAN|IST|SZG|
SZG|ACX,|ACX|CAN|IST|SZG|
SZG|AQG,|AQG|CAN|IST|SZG|
SZG|AVA,|AVA|CAN|IST|SZG|
SZG|BFJ,|BFJ|CAN|IST|SZG|
SZG|BHY,|BHY|CKG|URC|IST|SZG|
SZG|BNE,|BNE|BKK|IST|SZG|
SZG|CGD,|CGD|PEK|IST|SZG|
SZG|CGK,|CGK|SIN|IST|SZG|
SZG|CGQ,|CGQ|HET|URC|IST|SZG|
SZG|CIH,|CIH|PEK|IST|SZG|
SZG|CNX,|CNX|CAN|IST|SZG|
SZG|CZX,|CZX|TYN|URC|IST|SZG|
SZG|DAC,|DAC|IST|SZG|
SZG|DAD,|DAD|CAN|IST|SZG|
SZG|DEL,|DEL|IST|SZG|
SZG|DIG,|DIG|KMG|CTU|URC|IST|SZG|
SZG|DLC,|DLC|PEK|IST|SZG|
SZG|DPS,|DPS|CAN|IST|SZG|
SZG|DXB,|DXB|IST|SZG|
SZG|DYG,|DYG|CSX|URC|IST|SZG|
SZG|FUG,|FUG|CAN|IST|SZG|
SZG|FUK,|FUK|ICN|IST|SZG|
SZG|HAK,|HAK|CTU|URC|IST|SZG|
SZG|HAN,|HAN|CAN|IST|SZG|
SZG|HDG,|HDG|CAN|IST|SZG|
SZG|HET,|HET|URC|IST|SZG|
SZG|HFE,|HFE|XIY|URC|IST|SZG|
SZG|HJJ,|HJJ|CSX|URC|IST|SZG|
SZG|HKT,|HKT|KWE|URC|IST|SZG|
SZG|HRB,|HRB|PEK|IST|SZG|
SZG|HZH,|HZH|CAN|IST|SZG|
SZG|JIU,|JIU|CAN|IST|SZG|
SZG|JJN,|JJN|CSX|URC|IST|SZG|
SZG|JNG,|JNG|CAN|IST|SZG|
SZG|KHN,|KHN|XIY|URC|IST|SZG|
SZG|KIX,|KIX|IST|SZG|
SZG|KOW,|KOW|CAN|IST|SZG|
SZG|KTM,|KTM|IST|SZG|
