SRQ|YTS,|YTS|YYZ|ORD|SRQ|
SRQ|YYB,|YYB|YYZ|ORD|SRQ|
SRQ|YZR,|YZR|YYZ|ORD|SRQ|
SRQ|CAN,|CAN|PEK|ORD|SRQ|
SRQ|URC,|URC|TSE|FRA|ORD|SRQ|
SRQ|CTU,|CTU|PEK|ORD|SRQ|
SRQ|HGH,|HGH|PEK|ORD|SRQ|
SRQ|XMN,|XMN|PEK|ORD|SRQ|
SRQ|CGO,|CGO|PEK|ORD|SRQ|
SRQ|CSX,|CSX|PEK|ORD|SRQ|
SRQ|SHE,|SHE|PEK|ORD|SRQ|
SRQ|SJW,|SJW|DLC|PEK|ORD|SRQ|
SRQ|WUH,|WUH|PEK|ORD|SRQ|
SRQ|SZX,|SZX|PEK|ORD|SRQ|
SRQ|CKG,|CKG|PEK|ORD|SRQ|
SRQ|KMG,|KMG|PEK|ORD|SRQ|
SRQ|FOC,|FOC|PEK|ORD|SRQ|
SRQ|NNG,|NNG|PEK|ORD|SRQ|
SRQ|SWA,|SWA|PEK|ORD|SRQ|
SRQ|ACX,|ACX|CAN|PEK|ORD|SRQ|
SRQ|AQG,|AQG|CAN|PEK|ORD|SRQ|
SRQ|AVA,|AVA|CAN|PEK|ORD|SRQ|
SRQ|BFJ,|BFJ|CAN|PEK|ORD|SRQ|
SRQ|BHY,|BHY|CGO|PEK|ORD|SRQ|
SRQ|BNE,|BNE|CAN|PEK|ORD|SRQ|
SRQ|CGD,|CGD|PEK|ORD|SRQ|
SRQ|CGK,|CGK|CAN|PEK|ORD|SRQ|
SRQ|CGQ,|CGQ|PEK|ORD|SRQ|
SRQ|CIH,|CIH|PEK|ORD|SRQ|
SRQ|CNX,|CNX|CAN|PEK|ORD|SRQ|
SRQ|CZX,|CZX|SHE|PEK|ORD|SRQ|
SRQ|DAC,|DAC|IST|ORD|SRQ|
SRQ|DAD,|DAD|CAN|PEK|ORD|SRQ|
SRQ|DEL,|DEL|EWR|ORD|SRQ|
SRQ|DIG,|DIG|KMG|PEK|ORD|SRQ|
SRQ|DLC,|DLC|PEK|ORD|SRQ|
SRQ|DPS,|DPS|SZX|PEK|ORD|SRQ|
SRQ|DXB,|DXB|IST|ORD|SRQ|
SRQ|DYG,|DYG|PEK|ORD|SRQ|
SRQ|FUG,|FUG|CAN|PEK|ORD|SRQ|
SRQ|FUK,|FUK|ICN|YVR|ORD|SRQ|
SRQ|HAK,|HAK|PEK|ORD|SRQ|
SRQ|HAN,|HAN|PEK|ORD|SRQ|
SRQ|HDG,|HDG|CAN|PEK|ORD|SRQ|
SRQ|HET,|HET|DLC|PEK|ORD|SRQ|
SRQ|HFE,|HFE|XIY|PEK|ORD|SRQ|
SRQ|HJJ,|HJJ|CSX|PEK|ORD|SRQ|
SRQ|HKT,|HKT|KWE|PEK|ORD|SRQ|
SRQ|HRB,|HRB|PEK|ORD|SRQ|
SRQ|HZH,|HZH|CAN|PEK|ORD|SRQ|
SRQ|JIU,|JIU|CAN|PEK|ORD|SRQ|
SRQ|JJN,|JJN|PEK|ORD|SRQ|
SRQ|JNG,|JNG|CAN|PEK|ORD|SRQ|
SRQ|KHN,|KHN|DLC|PEK|ORD|SRQ|
SRQ|KIX,|KIX|SFO|ORD|SRQ|
SRQ|KOW,|KOW|PEK|ORD|SRQ|
SRQ|KTM,|KTM|IST|ORD|SRQ|
SRQ|KUL,|KUL|CAN|PEK|ORD|SRQ|
SRQ|KWE,|KWE|PEK|ORD|SRQ|
SRQ|KWL,|KWL|PEK|ORD|SRQ|
SRQ|LHW,|LHW|CGO|PEK|ORD|SRQ|
SRQ|LYA,|LYA|KHN|DLC|PEK|ORD|SRQ|
SRQ|LYG,|LYG|HSN|PEK|ORD|SRQ|
SRQ|LZH,|LZH|CAN|PEK|ORD|SRQ|
SRQ|MEL,|MEL|SYD|LAX|ORD|SRQ|
SRQ|MIG,|MIG|CSX|PEK|ORD|SRQ|
SRQ|MLE,|MLE|IST|ORD|SRQ|
SRQ|MNL,|MNL|XMN|PEK|ORD|SRQ|
SRQ|MXZ,|MXZ|CAN|PEK|ORD|SRQ|
SRQ|NAO,|NAO|PEK|ORD|SRQ|
SRQ|NGB,|NGB|PEK|ORD|SRQ|
SRQ|NKG,|NKG|DLC|PEK|ORD|SRQ|
SRQ|NNY,|NNY|CGO|PEK|ORD|SRQ|
SRQ|PEN,|PEN|CAN|PEK|ORD|SRQ|
SRQ|PER,|PER|CAN|PEK|ORD|SRQ|
SRQ|PNH,|PNH|CAN|PEK|ORD|SRQ|
SRQ|REP,|REP|CAN|PEK|ORD|SRQ|
SRQ|RGN,|RGN|CAN|PEK|ORD|SRQ|
SRQ|SGN,|SGN|CAN|PEK|ORD|SRQ|
SRQ|SHA,|SHA|PEK|ORD|SRQ|
SRQ|SIN,|SIN|HKG|ORD|SRQ|
SRQ|SVO,|SVO|URC|TSE|FRA|ORD|SRQ|
SRQ|SYX,|SYX|PEK|ORD|SRQ|
SRQ|TAO,|TAO|DLC|PEK|ORD|SRQ|
SRQ|TEN,|TEN|PEK|ORD|SRQ|
SRQ|TNA,|TNA|DLC|PEK|ORD|SRQ|
SRQ|TPE,|TPE|PVG|ORD|SRQ|
SRQ|TSN,|TSN|DLC|PEK|ORD|SRQ|
SRQ|TXN,|TXN|DLC|PEK|ORD|SRQ|
SRQ|TYN,|TYN|DAT|CIH|PEK|ORD|SRQ|
SRQ|WNZ,|WNZ|CGO|PEK|ORD|SRQ|
SRQ|WUX,|WUX|CAN|PEK|ORD|SRQ|
SRQ|XFN,|XFN|XMN|PEK|ORD|SRQ|
SRQ|XIY,|XIY|PEK|ORD|SRQ|
SRQ|XUZ,|XUZ|LYG|HSN|PEK|ORD|SRQ|
SRQ|YIH,|YIH|CKG|PEK|ORD|SRQ|
SRQ|YIW,|YIW|PEK|ORD|SRQ|
SRQ|YNT,|YNT|SHE|PEK|ORD|SRQ|
SRQ|YNZ,|YNZ|DLC|PEK|ORD|SRQ|
SRQ|YTY,|YTY|DLC|PEK|ORD|SRQ|
SRQ|ZHA,|ZHA|CAN|PEK|ORD|SRQ|
SRQ|ZYI,|ZYI|PEK|ORD|SRQ|
SRQ|BAV,|BAV|CGO|PEK|ORD|SRQ|
SRQ|CJU,|CJU|DLC|PEK|ORD|SRQ|
SRQ|DSN,|DSN|CGO|PEK|ORD|SRQ|
SRQ|HMI,|HMI|CGO|PEK|ORD|SRQ|
SRQ|INC,|INC|PEK|ORD|SRQ|
SRQ|KHH,|KHH|CGO|PEK|ORD|SRQ|
SRQ|UYN,|UYN|CGO|PEK|ORD|SRQ|
SRQ|XNN,|XNN|PEK|ORD|SRQ|
SRQ|ZUH,|ZUH|PEK|ORD|SRQ|
SRQ|YNJ,|YNJ|PEK|ORD|SRQ|
SRQ|DAT,|DAT|CIH|PEK|ORD|SRQ|
SRQ|JHG,|JHG|CKG|PEK|ORD|SRQ|
SRQ|LJG,|LJG|CKG|PEK|ORD|SRQ|
SRQ|LXA,|LXA|XIY|PEK|ORD|SRQ|
