YUM|CKG,|CKG|PEK|LAX|YUM|
YUM|KMG,|KMG|PEK|LAX|YUM|
YUM|FOC,|FOC|HGH|DLC|ICN|LAX|YUM|
YUM|NNG,|NNG|CSX|ICN|LAX|YUM|
YUM|SWA,|SWA|WUH|ICN|LAX|YUM|
YUM|ACX,|ACX|CAN|LAX|YUM|
YUM|AQG,|AQG|CAN|LAX|YUM|
YUM|AVA,|AVA|CAN|LAX|YUM|
YUM|BFJ,|BFJ|CAN|LAX|YUM|
YUM|BHY,|BHY|CSX|ICN|LAX|YUM|
YUM|BNE,|BNE|CAN|LAX|YUM|
YUM|CGD,|CGD|PEK|LAX|YUM|
YUM|CGK,|CGK|CAN|LAX|YUM|
YUM|CGQ,|CGQ|NRT|LAX|YUM|
YUM|CIH,|CIH|PEK|LAX|YUM|
YUM|CNX,|CNX|CAN|LAX|YUM|
YUM|CZX,|CZX|SHE|ICN|LAX|YUM|
YUM|DAC,|DAC|CAN|LAX|YUM|
YUM|DAD,|DAD|CAN|LAX|YUM|
YUM|DEL,|DEL|CAN|LAX|YUM|
YUM|DIG,|DIG|KMG|PEK|LAX|YUM|
YUM|DLC,|DLC|ICN|LAX|YUM|
YUM|DPS,|DPS|SZX|PVG|LAX|YUM|
YUM|DXB,|DXB|IST|LAX|YUM|
YUM|DYG,|DYG|PEK|LAX|YUM|
YUM|FUG,|FUG|CAN|LAX|YUM|
YUM|FUK,|FUK|ICN|LAX|YUM|
YUM|HAK,|HAK|PVG|LAX|YUM|
YUM|HAN,|HAN|PEK|LAX|YUM|
YUM|HDG,|HDG|CAN|LAX|YUM|
YUM|HET,|HET|DLC|ICN|LAX|YUM|
YUM|HFE,|HFE|TYN|DLC|ICN|LAX|YUM|
YUM|HJJ,|HJJ|CSX|ICN|LAX|YUM|
YUM|HKT,|HKT|CAN|LAX|YUM|
YUM|HRB,|HRB|ICN|LAX|YUM|
YUM|HZH,|HZH|CAN|LAX|YUM|
YUM|JIU,|JIU|CAN|LAX|YUM|
YUM|JJN,|JJN|HGH|DLC|ICN|LAX|YUM|
YUM|JNG,|JNG|CAN|LAX|YUM|
YUM|KHN,|KHN|DLC|ICN|LAX|YUM|
YUM|KIX,|KIX|SFO|LAX|YUM|
YUM|KOW,|KOW|PEK|LAX|YUM|
YUM|KTM,|KTM|CAN|LAX|YUM|
YUM|KUL,|KUL|PVG|LAX|YUM|
YUM|KWE,|KWE|PEK|LAX|YUM|
YUM|KWL,|KWL|WUH|ICN|LAX|YUM|
YUM|LHW,|LHW|CGO|PEK|LAX|YUM|
YUM|LYA,|LYA|KHN|DLC|ICN|LAX|YUM|
YUM|LYG,|LYG|HSN|PEK|LAX|YUM|
YUM|LZH,|LZH|CAN|LAX|YUM|
YUM|MEL,|MEL|SYD|LAX|YUM|
YUM|MIG,|MIG|CSX|ICN|LAX|YUM|
YUM|MLE,|MLE|CAN|LAX|YUM|
YUM|MNL,|MNL|GUM|HNL|LAX|YUM|
YUM|MXZ,|MXZ|CAN|LAX|YUM|
YUM|NAO,|NAO|PEK|LAX|YUM|
YUM|NGB,|NGB|DLC|ICN|LAX|YUM|
YUM|NKG,|NKG|DLC|ICN|LAX|YUM|
YUM|NNY,|NNY|CGO|PEK|LAX|YUM|
YUM|PEN,|PEN|CAN|LAX|YUM|
YUM|PER,|PER|CAN|LAX|YUM|
YUM|PNH,|PNH|CAN|LAX|YUM|
YUM|REP,|REP|CAN|LAX|YUM|
YUM|RGN,|RGN|CAN|LAX|YUM|
YUM|SGN,|SGN|HKG|SFO|LAX|YUM|
YUM|SHA,|SHA|PEK|LAX|YUM|
YUM|SIN,|SIN|NRT|LAX|YUM|
YUM|SVO,|SVO|URC|PEK|LAX|YUM|
YUM|SYX,|SYX|PVG|LAX|YUM|
YUM|TAO,|TAO|DLC|ICN|LAX|YUM|
YUM|TEN,|TEN|PEK|LAX|YUM|
YUM|TNA,|TNA|DLC|ICN|LAX|YUM|
YUM|TPE,|TPE|SFO|LAX|YUM|
YUM|TSN,|TSN|DLC|ICN|LAX|YUM|
YUM|TXN,|TXN|DLC|ICN|LAX|YUM|
YUM|TYN,|TYN|DLC|ICN|LAX|YUM|
YUM|WNZ,|WNZ|WUH|ICN|LAX|YUM|
YUM|WUX,|WUX|CAN|LAX|YUM|
YUM|XFN,|XFN|CAN|LAX|YUM|
YUM|XIY,|XIY|PEK|LAX|YUM|
YUM|XUZ,|XUZ|LYG|HSN|PEK|LAX|YUM|
YUM|YIH,|YIH|CKG|PEK|LAX|YUM|
YUM|YIW,|YIW|PEK|LAX|YUM|
YUM|YNT,|YNT|SHE|ICN|LAX|YUM|
YUM|YNZ,|YNZ|DLC|ICN|LAX|YUM|
YUM|YTY,|YTY|DLC|ICN|LAX|YUM|
YUM|ZHA,|ZHA|CAN|LAX|YUM|
YUM|ZYI,|ZYI|PEK|LAX|YUM|
YUM|BAV,|BAV|SJW|DLC|ICN|LAX|YUM|
YUM|CJU,|CJU|DLC|ICN|LAX|YUM|
YUM|DSN,|DSN|CGO|PEK|LAX|YUM|
YUM|HMI,|HMI|CGO|PEK|LAX|YUM|
YUM|INC,|INC|PEK|LAX|YUM|
YUM|KHH,|KHH|WUH|ICN|LAX|YUM|
YUM|UYN,|UYN|CGO|PEK|LAX|YUM|
YUM|XNN,|XNN|PEK|LAX|YUM|
YUM|ZUH,|ZUH|PVG|LAX|YUM|
YUM|YNJ,|YNJ|ICN|LAX|YUM|
YUM|DAT,|DAT|CIH|PEK|LAX|YUM|
YUM|JHG,|JHG|CKG|PEK|LAX|YUM|
YUM|LJG,|LJG|CKG|PEK|LAX|YUM|
YUM|LXA,|LXA|XIY|PEK|LAX|YUM|
YUM|YCU,|YCU|CSX|ICN|LAX|YUM|
YUM|LZO,|LZO|CSX|ICN|LAX|YUM|
YUM|MDG,|MDG|ICN|LAX|YUM|
YUM|NGO,|NGO|ICN|LAX|YUM|
YUM|TOY,|TOY|DLC|ICN|LAX|YUM|
YUM|MFM,|MFM|HGH|DLC|ICN|LAX|YUM|
YUM|TGO,|TGO|HET|DLC|ICN|LAX|YUM|
YUM|XIL,|XIL|HET|DLC|ICN|LAX|YUM|
YUM|HEK,|HEK|HRB|ICN|LAX|YUM|
YUM|KIJ,|KIJ|HRB|ICN|LAX|YUM|
