RSW|CGO,|CGO|PEK|ORD|RSW|
RSW|CSX,|CSX|PEK|ORD|RSW|
RSW|SHE,|SHE|PEK|ORD|RSW|
RSW|SJW,|SJW|DLC|PEK|ORD|RSW|
RSW|WUH,|WUH|PEK|ORD|RSW|
RSW|SZX,|SZX|PEK|ORD|RSW|
RSW|CKG,|CKG|PEK|ORD|RSW|
RSW|KMG,|KMG|PEK|ORD|RSW|
RSW|FOC,|FOC|PEK|ORD|RSW|
RSW|NNG,|NNG|PEK|ORD|RSW|
RSW|SWA,|SWA|PEK|ORD|RSW|
RSW|ACX,|ACX|CAN|PEK|ORD|RSW|
RSW|AQG,|AQG|CAN|PEK|ORD|RSW|
RSW|AVA,|AVA|CAN|PEK|ORD|RSW|
RSW|BFJ,|BFJ|CAN|PEK|ORD|RSW|
RSW|BHY,|BHY|CGO|PEK|ORD|RSW|
RSW|BNE,|BNE|CAN|PEK|ORD|RSW|
RSW|CGD,|CGD|PEK|ORD|RSW|
RSW|CGK,|CGK|CAN|PEK|ORD|RSW|
RSW|CGQ,|CGQ|PEK|ORD|RSW|
RSW|CIH,|CIH|PEK|ORD|RSW|
RSW|CNX,|CNX|CAN|PEK|ORD|RSW|
RSW|CZX,|CZX|SHE|PEK|ORD|RSW|
RSW|DAC,|DAC|IST|FRA|MCO|RSW|
RSW|DAD,|DAD|CAN|PEK|ORD|RSW|
RSW|DEL,|DEL|EWR|RSW|
RSW|DIG,|DIG|KMG|PEK|ORD|RSW|
RSW|DLC,|DLC|PEK|ORD|RSW|
RSW|DPS,|DPS|SZX|PEK|ORD|RSW|
RSW|DXB,|DXB|IST|FRA|MCO|RSW|
RSW|DYG,|DYG|PEK|ORD|RSW|
RSW|FUG,|FUG|CAN|PEK|ORD|RSW|
RSW|FUK,|FUK|ICN|YVR|DEN|RSW|
RSW|HAK,|HAK|PEK|ORD|RSW|
RSW|HAN,|HAN|PEK|ORD|RSW|
RSW|HDG,|HDG|CAN|PEK|ORD|RSW|
