YSB|ACX,|ACX|CAN|PEK|YYZ|YSB|
YSB|AQG,|AQG|CAN|PEK|YYZ|YSB|
YSB|AVA,|AVA|CAN|PEK|YYZ|YSB|
YSB|BFJ,|BFJ|CAN|PEK|YYZ|YSB|
YSB|BHY,|BHY|CGO|PEK|YYZ|YSB|
YSB|BNE,|BNE|CAN|PEK|YYZ|YSB|
YSB|CGD,|CGD|PEK|YYZ|YSB|
YSB|CGK,|CGK|CAN|PEK|YYZ|YSB|
YSB|CGQ,|CGQ|PEK|YYZ|YSB|
YSB|CIH,|CIH|PEK|YYZ|YSB|
YSB|CNX,|CNX|CAN|PEK|YYZ|YSB|
YSB|CZX,|CZX|SHE|PEK|YYZ|YSB|
YSB|DAC,|DAC|IST|YYZ|YSB|
YSB|DAD,|DAD|CAN|PEK|YYZ|YSB|
YSB|DEL,|DEL|EWR|YYZ|YSB|
YSB|DIG,|DIG|KMG|PEK|YYZ|YSB|
YSB|DLC,|DLC|PEK|YYZ|YSB|
YSB|DPS,|DPS|SZX|PEK|YYZ|YSB|
YSB|DXB,|DXB|IST|YYZ|YSB|
YSB|DYG,|DYG|PEK|YYZ|YSB|
YSB|FUG,|FUG|CAN|PEK|YYZ|YSB|
YSB|FUK,|FUK|ICN|PEK|YYZ|YSB|
YSB|HAK,|HAK|PEK|YYZ|YSB|
YSB|HAN,|HAN|PEK|YYZ|YSB|
YSB|HDG,|HDG|CAN|PEK|YYZ|YSB|
YSB|HET,|HET|DLC|PEK|YYZ|YSB|
YSB|HFE,|HFE|XIY|PEK|YYZ|YSB|
YSB|HJJ,|HJJ|CSX|PEK|YYZ|YSB|
YSB|HKT,|HKT|KWE|PEK|YYZ|YSB|
YSB|HRB,|HRB|PEK|YYZ|YSB|
YSB|HZH,|HZH|CAN|PEK|YYZ|YSB|
YSB|JIU,|JIU|CAN|PEK|YYZ|YSB|
YSB|JJN,|JJN|PEK|YYZ|YSB|
YSB|JNG,|JNG|CAN|PEK|YYZ|YSB|
YSB|KHN,|KHN|DLC|PEK|YYZ|YSB|
YSB|KIX,|KIX|SFO|YYZ|YSB|
YSB|KOW,|KOW|PEK|YYZ|YSB|
YSB|KTM,|KTM|IST|YYZ|YSB|
YSB|KUL,|KUL|CAN|PEK|YYZ|YSB|
YSB|KWE,|KWE|PEK|YYZ|YSB|
YSB|KWL,|KWL|PEK|YYZ|YSB|
YSB|LHW,|LHW|CGO|PEK|YYZ|YSB|
YSB|LYA,|LYA|KHN|DLC|PEK|YYZ|YSB|
YSB|LYG,|LYG|HSN|PEK|YYZ|YSB|
YSB|LZH,|LZH|CAN|PEK|YYZ|YSB|
YSB|MEL,|MEL|SYD|LAX|YYZ|YSB|
YSB|MIG,|MIG|CSX|PEK|YYZ|YSB|
YSB|MLE,|MLE|IST|YYZ|YSB|
YSB|MNL,|MNL|XMN|PEK|YYZ|YSB|
YSB|MXZ,|MXZ|CAN|PEK|YYZ|YSB|
YSB|NAO,|NAO|PEK|YYZ|YSB|
YSB|NGB,|NGB|PEK|YYZ|YSB|
YSB|NKG,|NKG|DLC|PEK|YYZ|YSB|
YSB|NNY,|NNY|CGO|PEK|YYZ|YSB|
YSB|PEN,|PEN|CAN|PEK|YYZ|YSB|
YSB|PER,|PER|CAN|PEK|YYZ|YSB|
YSB|PNH,|PNH|CAN|PEK|YYZ|YSB|
YSB|REP,|REP|CAN|PEK|YYZ|YSB|
YSB|RGN,|RGN|CAN|PEK|YYZ|YSB|
YSB|SGN,|SGN|CAN|PEK|YYZ|YSB|
YSB|SHA,|SHA|PEK|YYZ|YSB|
YSB|SIN,|SIN|CAN|PEK|YYZ|YSB|
YSB|SVO,|SVO|URC|TSE|FRA|YYZ|YSB|
YSB|SYX,|SYX|PEK|YYZ|YSB|
YSB|TAO,|TAO|DLC|PEK|YYZ|YSB|
YSB|TEN,|TEN|PEK|YYZ|YSB|
YSB|TNA,|TNA|DLC|PEK|YYZ|YSB|
YSB|TPE,|TPE|PVG|YYZ|YSB|
YSB|TSN,|TSN|DLC|PEK|YYZ|YSB|
YSB|TXN,|TXN|DLC|PEK|YYZ|YSB|
YSB|TYN,|TYN|DAT|CIH|PEK|YYZ|YSB|
