ATL|YGK,|YGK|YYZ|ATL|
ATL|YQG,|YQG|YYZ|ATL|
ATL|YSB,|YSB|YYZ|ATL|
ATL|YTS,|YTS|YYZ|ATL|
ATL|YYB,|YYB|YYZ|ATL|
ATL|YZR,|YZR|YYZ|ATL|
ATL|CAN,|CAN|PEK|ORD|ATL|
ATL|URC,|URC|TSE|FRA|ATL|
ATL|CTU,|CTU|PEK|ORD|ATL|
ATL|HGH,|HGH|PEK|ORD|ATL|
ATL|XMN,|XMN|PEK|ORD|ATL|
ATL|CGO,|CGO|PEK|ORD|ATL|
ATL|CSX,|CSX|PEK|ORD|ATL|
ATL|SHE,|SHE|PEK|ORD|ATL|
ATL|SJW,|SJW|DLC|PEK|ORD|ATL|
ATL|WUH,|WUH|PEK|ORD|ATL|
ATL|SZX,|SZX|PEK|ORD|ATL|
ATL|CKG,|CKG|PEK|ORD|ATL|
ATL|KMG,|KMG|PEK|ORD|ATL|
ATL|FOC,|FOC|PEK|ORD|ATL|
ATL|NNG,|NNG|PEK|ORD|ATL|
ATL|SWA,|SWA|PEK|ORD|ATL|
ATL|ACX,|ACX|CAN|PEK|ORD|ATL|
ATL|AQG,|AQG|CAN|PEK|ORD|ATL|
ATL|AVA,|AVA|CAN|PEK|ORD|ATL|
ATL|BFJ,|BFJ|CAN|PEK|ORD|ATL|
ATL|BHY,|BHY|CGO|PEK|ORD|ATL|
ATL|BNE,|BNE|CAN|PEK|ORD|ATL|
ATL|CGD,|CGD|PEK|ORD|ATL|
ATL|CGK,|CGK|CAN|PEK|ORD|ATL|
ATL|CGQ,|CGQ|PEK|ORD|ATL|
ATL|CIH,|CIH|PEK|ORD|ATL|
ATL|CNX,|CNX|CAN|PEK|ORD|ATL|
ATL|CZX,|CZX|SHE|PEK|ORD|ATL|
ATL|DAC,|DAC|IST|FRA|ATL|
ATL|DAD,|DAD|CAN|PEK|ORD|ATL|
ATL|DEL,|DEL|EWR|ATL|
ATL|DIG,|DIG|KMG|PEK|ORD|ATL|
ATL|DLC,|DLC|PEK|ORD|ATL|
ATL|DPS,|DPS|SZX|PEK|ORD|ATL|
ATL|DXB,|DXB|IAD|ATL|
ATL|DYG,|DYG|PEK|ORD|ATL|
ATL|FUG,|FUG|CAN|PEK|ORD|ATL|
ATL|FUK,|FUK|ICN|YVR|DEN|ATL|
ATL|HAK,|HAK|PEK|ORD|ATL|
ATL|HAN,|HAN|PEK|ORD|ATL|
ATL|HDG,|HDG|CAN|PEK|ORD|ATL|
ATL|HET,|HET|DLC|PEK|ORD|ATL|
ATL|HFE,|HFE|XIY|PEK|ORD|ATL|
ATL|HJJ,|HJJ|CSX|PEK|ORD|ATL|
ATL|HKT,|HKT|KWE|PEK|ORD|ATL|
ATL|HRB,|HRB|PEK|ORD|ATL|
ATL|HZH,|HZH|CAN|PEK|ORD|ATL|
ATL|JIU,|JIU|CAN|PEK|ORD|ATL|
ATL|JJN,|JJN|PEK|ORD|ATL|
ATL|JNG,|JNG|CAN|PEK|ORD|ATL|
ATL|KHN,|KHN|DLC|PEK|ORD|ATL|
ATL|KIX,|KIX|SFO|ATL|
ATL|KOW,|KOW|PEK|ORD|ATL|
ATL|KTM,|KTM|IST|FRA|ATL|
ATL|KUL,|KUL|CAN|PEK|ORD|ATL|
ATL|KWE,|KWE|PEK|ORD|ATL|
ATL|KWL,|KWL|PEK|ORD|ATL|
ATL|LHW,|LHW|CGO|PEK|ORD|ATL|
ATL|LYA,|LYA|KHN|DLC|PEK|ORD|ATL|
ATL|LYG,|LYG|HSN|PEK|ORD|ATL|
ATL|LZH,|LZH|CAN|PEK|ORD|ATL|
ATL|MEL,|MEL|SYD|LAX|ATL|
ATL|MIG,|MIG|CSX|PEK|ORD|ATL|
ATL|MLE,|MLE|IST|FRA|ATL|
ATL|MNL,|MNL|XMN|PEK|ORD|ATL|
ATL|MXZ,|MXZ|CAN|PEK|ORD|ATL|
ATL|NAO,|NAO|PEK|ORD|ATL|
ATL|NGB,|NGB|PEK|ORD|ATL|
ATL|NKG,|NKG|DLC|PEK|ORD|ATL|
ATL|NNY,|NNY|CGO|PEK|ORD|ATL|
ATL|PEN,|PEN|CAN|PEK|ORD|ATL|
ATL|PER,|PER|CAN|PEK|ORD|ATL|
ATL|PNH,|PNH|CAN|PEK|ORD|ATL|
ATL|REP,|REP|CAN|PEK|ORD|ATL|
ATL|RGN,|RGN|CAN|PEK|ORD|ATL|
ATL|SGN,|SGN|CAN|PEK|ORD|ATL|
ATL|SHA,|SHA|PEK|ORD|ATL|
ATL|SIN,|SIN|HKG|ORD|ATL|
ATL|SVO,|SVO|URC|TSE|FRA|ATL|
ATL|SYX,|SYX|PEK|ORD|ATL|
ATL|TAO,|TAO|DLC|PEK|ORD|ATL|
ATL|TEN,|TEN|PEK|ORD|ATL|
ATL|TNA,|TNA|DLC|PEK|ORD|ATL|
ATL|TPE,|TPE|PVG|ORD|ATL|
ATL|TSN,|TSN|DLC|PEK|ORD|ATL|
ATL|TXN,|TXN|DLC|PEK|ORD|ATL|
ATL|TYN,|TYN|DAT|CIH|PEK|ORD|ATL|
ATL|WNZ,|WNZ|CGO|PEK|ORD|ATL|
ATL|WUX,|WUX|CAN|PEK|ORD|ATL|
ATL|XFN,|XFN|XMN|PEK|ORD|ATL|
ATL|XIY,|XIY|PEK|ORD|ATL|
ATL|XUZ,|XUZ|LYG|HSN|PEK|ORD|ATL|
ATL|YIH,|YIH|CKG|PEK|ORD|ATL|
ATL|YIW,|YIW|PEK|ORD|ATL|
ATL|YNT,|YNT|SHE|PEK|ORD|ATL|
ATL|YNZ,|YNZ|DLC|PEK|ORD|ATL|
ATL|YTY,|YTY|DLC|PEK|ORD|ATL|
ATL|ZHA,|ZHA|CAN|PEK|ORD|ATL|
ATL|ZYI,|ZYI|PEK|ORD|ATL|
ATL|BAV,|BAV|CGO|PEK|ORD|ATL|
ATL|CJU,|CJU|DLC|PEK|ORD|ATL|
ATL|DSN,|DSN|CGO|PEK|ORD|ATL|
ATL|HMI,|HMI|URC|TSE|FRA|ATL|
