MCO|CJU,|CJU|DLC|PEK|ORD|MCO|
MCO|DSN,|DSN|CGO|PEK|ORD|MCO|
MCO|HMI,|HMI|URC|TSE|FRA|MCO|
MCO|INC,|INC|PEK|ORD|MCO|
MCO|KHH,|KHH|CGO|PEK|ORD|MCO|
MCO|UYN,|UYN|CGO|PEK|ORD|MCO|
MCO|XNN,|XNN|PEK|ORD|MCO|
MCO|ZUH,|ZUH|PEK|ORD|MCO|
MCO|YNJ,|YNJ|ICN|YVR|DEN|MCO|
MCO|DAT,|DAT|CIH|PEK|ORD|MCO|
MCO|JHG,|JHG|CKG|PEK|ORD|MCO|
MCO|LJG,|LJG|CKG|PEK|ORD|MCO|
MCO|LXA,|LXA|XIY|PEK|ORD|MCO|
MCO|YCU,|YCU|CSX|PEK|ORD|MCO|
MCO|LZO,|LZO|CSX|PEK|ORD|MCO|
MCO|MDG,|MDG|ICN|YVR|DEN|MCO|
MCO|NGO,|NGO|ICN|YVR|DEN|MCO|
MCO|TOY,|TOY|DLC|PEK|ORD|MCO|
MCO|MFM,|MFM|XMN|PEK|ORD|MCO|
MCO|TGO,|TGO|HET|DLC|PEK|ORD|MCO|
MCO|XIL,|XIL|HET|DLC|PEK|ORD|MCO|
MCO|HEK,|HEK|HRB|PEK|ORD|MCO|
MCO|KIJ,|KIJ|HRB|PEK|ORD|MCO|
MCO|LDS,|LDS|HRB|PEK|ORD|MCO|
MCO|OHE,|OHE|HRB|PEK|ORD|MCO|
MCO|HSN,|HSN|PEK|ORD|MCO|
MCO|DLU,|DLU|KMG|PEK|ORD|MCO|
MCO|SYM,|SYM|KMG|PEK|ORD|MCO|
MCO|ZAT,|ZAT|KMG|PEK|ORD|MCO|
MCO|LUN,|LUN|NBO|ZRH|BOS|MCO|
MCO|AOG,|AOG|PEK|ORD|MCO|
MCO|GMP,|GMP|PEK|ORD|MCO|
MCO|ISB,|ISB|IST|FRA|MCO|
MCO|TAS,|TAS|IST|FRA|MCO|
MCO|WUS,|WUS|PEK|ORD|MCO|
MCO|JMU,|JMU|PVG|ORD|MCO|
MCO|NDG,|NDG|PVG|ORD|MCO|
MCO|JXA,|JXA|SHE|PEK|ORD|MCO|
MCO|PUS,|PUS|SHE|PEK|ORD|MCO|
MCO|BKI,|BKI|SZX|PEK|ORD|MCO|
MCO|AKU,|AKU|URC|TSE|FRA|MCO|
MCO|ALA,|ALA|TSE|FRA|MCO|
MCO|ASB,|ASB|GYD|FRA|MCO|
MCO|DNH,|DNH|URC|TSE|FRA|MCO|
