GTF|MKE,|MKE|DEN|GTF|
GTF|MSP,|MSP|DEN|GTF|
GTF|NAS,|NAS|ATL|DEN|GTF|
GTF|PHL,|PHL|DEN|GTF|
GTF|PHX,|PHX|DEN|GTF|
GTF|PIT,|PIT|DEN|GTF|
GTF|PLS,|PLS|YYZ|DEN|GTF|
GTF|POP,|POP|YYZ|DEN|GTF|
GTF|RDU,|RDU|DEN|GTF|
GTF|ROC,|ROC|ORD|DEN|GTF|
GTF|RSW,|RSW|DEN|GTF|
GTF|SAN,|SAN|DEN|GTF|
GTF|SJO,|SJO|IAH|DEN|GTF|
GTF|STL,|STL|DEN|GTF|
GTF|SYR,|SYR|ORD|DEN|GTF|
GTF|TLV,|TLV|IST|FRA|DEN|GTF|
GTF|TPA,|TPA|DEN|GTF|
GTF|UVF,|UVF|EWR|DEN|GTF|
GTF|VIE,|VIE|ORD|DEN|GTF|
GTF|YAM,|YAM|YYZ|DEN|GTF|
GTF|YGK,|YGK|YYZ|DEN|GTF|
GTF|YQG,|YQG|YYZ|DEN|GTF|
GTF|YSB,|YSB|YYZ|DEN|GTF|
GTF|YTS,|YTS|YYZ|DEN|GTF|
GTF|YYB,|YYB|YYZ|DEN|GTF|
GTF|YZR,|YZR|YYZ|DEN|GTF|
GTF|CAN,|CAN|YVR|DEN|GTF|
GTF|URC,|URC|PEK|YVR|DEN|GTF|
GTF|CTU,|CTU|PEK|YVR|DEN|GTF|
GTF|HGH,|HGH|DLC|ICN|YVR|DEN|GTF|
GTF|XMN,|XMN|PEK|YVR|DEN|GTF|
GTF|CGO,|CGO|PEK|YVR|DEN|GTF|
GTF|CSX,|CSX|ICN|YVR|DEN|GTF|
GTF|SHE,|SHE|ICN|YVR|DEN|GTF|
GTF|SJW,|SJW|DLC|ICN|YVR|DEN|GTF|
GTF|WUH,|WUH|ICN|YVR|DEN|GTF|
GTF|SZX,|SZX|PVG|YVR|DEN|GTF|
GTF|CKG,|CKG|PEK|YVR|DEN|GTF|
GTF|KMG,|KMG|PEK|YVR|DEN|GTF|
GTF|FOC,|FOC|PEK|YVR|DEN|GTF|
GTF|NNG,|NNG|PEK|YVR|DEN|GTF|
GTF|SWA,|SWA|PEK|YVR|DEN|GTF|
GTF|ACX,|ACX|CAN|YVR|DEN|GTF|
GTF|AQG,|AQG|CAN|YVR|DEN|GTF|
GTF|AVA,|AVA|CAN|YVR|DEN|GTF|
GTF|BFJ,|BFJ|CAN|YVR|DEN|GTF|
GTF|BHY,|BHY|CSX|ICN|YVR|DEN|GTF|
GTF|BNE,|BNE|CAN|YVR|DEN|GTF|
GTF|CGD,|CGD|PEK|YVR|DEN|GTF|
GTF|CGK,|CGK|CAN|YVR|DEN|GTF|
GTF|CGQ,|CGQ|ICN|YVR|DEN|GTF|
GTF|CIH,|CIH|PEK|YVR|DEN|GTF|
GTF|CNX,|CNX|CAN|YVR|DEN|GTF|
GTF|CZX,|CZX|SHE|ICN|YVR|DEN|GTF|
GTF|DAC,|DAC|CAN|YVR|DEN|GTF|
GTF|DAD,|DAD|CAN|YVR|DEN|GTF|
GTF|DEL,|DEL|EWR|DEN|GTF|
GTF|DIG,|DIG|KMG|PEK|YVR|DEN|GTF|
GTF|DLC,|DLC|ICN|YVR|DEN|GTF|
GTF|DPS,|DPS|SZX|PVG|YVR|DEN|GTF|
GTF|DXB,|DXB|IST|FRA|DEN|GTF|
GTF|DYG,|DYG|PEK|YVR|DEN|GTF|
GTF|FUG,|FUG|CAN|YVR|DEN|GTF|
GTF|FUK,|FUK|ICN|YVR|DEN|GTF|
GTF|HAK,|HAK|CAN|YVR|DEN|GTF|
GTF|HAN,|HAN|PEK|YVR|DEN|GTF|
GTF|HDG,|HDG|CAN|YVR|DEN|GTF|
GTF|HET,|HET|DLC|ICN|YVR|DEN|GTF|
GTF|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|GTF|
GTF|HJJ,|HJJ|CSX|ICN|YVR|DEN|GTF|
GTF|HKT,|HKT|KWE|PEK|YVR|DEN|GTF|
GTF|HRB,|HRB|ICN|YVR|DEN|GTF|
GTF|HZH,|HZH|CAN|YVR|DEN|GTF|
GTF|JIU,|JIU|CAN|YVR|DEN|GTF|
GTF|JJN,|JJN|PEK|YVR|DEN|GTF|
GTF|JNG,|JNG|CAN|YVR|DEN|GTF|
GTF|KHN,|KHN|DLC|ICN|YVR|DEN|GTF|
GTF|KIX,|KIX|SFO|DEN|GTF|
GTF|KOW,|KOW|PEK|YVR|DEN|GTF|
GTF|KTM,|KTM|CAN|YVR|DEN|GTF|
GTF|KUL,|KUL|PVG|YVR|DEN|GTF|
GTF|KWE,|KWE|PEK|YVR|DEN|GTF|
GTF|KWL,|KWL|PEK|YVR|DEN|GTF|
GTF|LHW,|LHW|CGO|PEK|YVR|DEN|GTF|
GTF|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|GTF|
GTF|LYG,|LYG|HSN|PEK|YVR|DEN|GTF|
GTF|LZH,|LZH|CAN|YVR|DEN|GTF|
GTF|MEL,|MEL|SYD|LAX|DEN|GTF|
GTF|MIG,|MIG|CSX|ICN|YVR|DEN|GTF|
GTF|MLE,|MLE|IST|FRA|DEN|GTF|
GTF|MNL,|MNL|XMN|PEK|YVR|DEN|GTF|
GTF|MXZ,|MXZ|CAN|YVR|DEN|GTF|
GTF|NAO,|NAO|PEK|YVR|DEN|GTF|
GTF|NGB,|NGB|DLC|ICN|YVR|DEN|GTF|
GTF|NKG,|NKG|DLC|ICN|YVR|DEN|GTF|
GTF|NNY,|NNY|CGO|PEK|YVR|DEN|GTF|
GTF|PEN,|PEN|CAN|YVR|DEN|GTF|
GTF|PER,|PER|CAN|YVR|DEN|GTF|
GTF|PNH,|PNH|CAN|YVR|DEN|GTF|
GTF|REP,|REP|ICN|YVR|DEN|GTF|
GTF|RGN,|RGN|CAN|YVR|DEN|GTF|
GTF|SGN,|SGN|HKG|YVR|DEN|GTF|
