OSL|YYB,|YYB|YYZ|EWR|OSL|
OSL|YZR,|YZR|YYZ|EWR|OSL|
OSL|CAN,|CAN|IST|OSL|
OSL|URC,|URC|IST|OSL|
OSL|CTU,|CTU|URC|IST|OSL|
OSL|HGH,|HGH|URC|IST|OSL|
OSL|XMN,|XMN|CSX|URC|IST|OSL|
OSL|CGO,|CGO|URC|IST|OSL|
OSL|CSX,|CSX|URC|IST|OSL|
OSL|SHE,|SHE|PEK|IST|OSL|
OSL|SJW,|SJW|URC|IST|OSL|
OSL|WUH,|WUH|URC|IST|OSL|
OSL|SZX,|SZX|CKG|URC|IST|OSL|
OSL|CKG,|CKG|URC|IST|OSL|
OSL|KMG,|KMG|CTU|URC|IST|OSL|
OSL|FOC,|FOC|XIY|URC|IST|OSL|
OSL|NNG,|NNG|KWE|URC|IST|OSL|
OSL|SWA,|SWA|CAN|IST|OSL|
OSL|ACX,|ACX|CAN|IST|OSL|
OSL|AQG,|AQG|CAN|IST|OSL|
OSL|AVA,|AVA|CAN|IST|OSL|
OSL|BFJ,|BFJ|CAN|IST|OSL|
OSL|BHY,|BHY|CKG|URC|IST|OSL|
OSL|BNE,|BNE|BKK|IST|OSL|
OSL|CGD,|CGD|PEK|IST|OSL|
OSL|CGK,|CGK|SIN|IST|OSL|
OSL|CGQ,|CGQ|HET|URC|IST|OSL|
OSL|CIH,|CIH|PEK|IST|OSL|
OSL|CNX,|CNX|CAN|IST|OSL|
OSL|CZX,|CZX|TYN|URC|IST|OSL|
OSL|DAC,|DAC|IST|OSL|
OSL|DAD,|DAD|CAN|IST|OSL|
OSL|DEL,|DEL|IST|OSL|
OSL|DIG,|DIG|KMG|CTU|URC|IST|OSL|
OSL|DLC,|DLC|PEK|IST|OSL|
OSL|DPS,|DPS|CAN|IST|OSL|
OSL|DXB,|DXB|IST|OSL|
OSL|DYG,|DYG|CSX|URC|IST|OSL|
OSL|FUG,|FUG|CAN|IST|OSL|
OSL|FUK,|FUK|ICN|IST|OSL|
OSL|HAK,|HAK|CTU|URC|IST|OSL|
OSL|HAN,|HAN|CAN|IST|OSL|
OSL|HDG,|HDG|CAN|IST|OSL|
OSL|HET,|HET|URC|IST|OSL|
OSL|HFE,|HFE|XIY|URC|IST|OSL|
OSL|HJJ,|HJJ|CSX|URC|IST|OSL|
OSL|HKT,|HKT|KWE|URC|IST|OSL|
OSL|HRB,|HRB|PEK|IST|OSL|
OSL|HZH,|HZH|CAN|IST|OSL|
