ELQ|LIR,|LIR|EWR|BHX|IST|ELQ|
ELQ|MCI,|MCI|ORD|IST|ELQ|
ELQ|MDT,|MDT|IAD|IST|ELQ|
ELQ|MIA,|MIA|ZRH|IST|ELQ|
ELQ|MKE,|MKE|YYZ|IST|ELQ|
ELQ|MSP,|MSP|YUL|FRA|IST|ELQ|
ELQ|NAS,|NAS|EWR|BHX|IST|ELQ|
ELQ|PHL,|PHL|IAD|IST|ELQ|
ELQ|PHX,|PHX|DEN|FRA|IST|ELQ|
ELQ|PIT,|PIT|YYZ|IST|ELQ|
ELQ|PLS,|PLS|EWR|BHX|IST|ELQ|
ELQ|POP,|POP|EWR|BHX|IST|ELQ|
ELQ|RDU,|RDU|EWR|BHX|IST|ELQ|
ELQ|ROC,|ROC|YYZ|IST|ELQ|
ELQ|RSW,|RSW|MCO|FRA|IST|ELQ|
ELQ|SAN,|SAN|LAX|IST|ELQ|
ELQ|SJO,|SJO|EWR|BHX|IST|ELQ|
ELQ|STL,|STL|ORD|IST|ELQ|
ELQ|SYR,|SYR|EWR|BHX|IST|ELQ|
ELQ|TLV,|TLV|IST|ELQ|
ELQ|TPA,|TPA|EWR|BHX|IST|ELQ|
ELQ|UVF,|UVF|EWR|BHX|IST|ELQ|
ELQ|VIE,|VIE|IST|ELQ|
ELQ|YAM,|YAM|YYZ|IST|ELQ|
ELQ|YGK,|YGK|YYZ|IST|ELQ|
ELQ|YQG,|YQG|YYZ|IST|ELQ|
ELQ|YSB,|YSB|YYZ|IST|ELQ|
ELQ|YTS,|YTS|YYZ|IST|ELQ|
ELQ|YYB,|YYB|YYZ|IST|ELQ|
ELQ|YZR,|YZR|YYZ|IST|ELQ|
ELQ|CAN,|CAN|IST|ELQ|
ELQ|URC,|URC|IST|ELQ|
ELQ|CTU,|CTU|URC|IST|ELQ|
ELQ|HGH,|HGH|URC|IST|ELQ|
ELQ|XMN,|XMN|CSX|URC|IST|ELQ|
ELQ|CGO,|CGO|URC|IST|ELQ|
ELQ|CSX,|CSX|URC|IST|ELQ|
ELQ|SHE,|SHE|PEK|IST|ELQ|
ELQ|SJW,|SJW|URC|IST|ELQ|
ELQ|WUH,|WUH|URC|IST|ELQ|
ELQ|SZX,|SZX|CKG|URC|IST|ELQ|
ELQ|CKG,|CKG|URC|IST|ELQ|
ELQ|KMG,|KMG|CTU|URC|IST|ELQ|
ELQ|FOC,|FOC|XIY|URC|IST|ELQ|
ELQ|NNG,|NNG|KWE|URC|IST|ELQ|
ELQ|SWA,|SWA|CAN|IST|ELQ|
ELQ|ACX,|ACX|CAN|IST|ELQ|
ELQ|AQG,|AQG|CAN|IST|ELQ|
ELQ|AVA,|AVA|CAN|IST|ELQ|
ELQ|BFJ,|BFJ|CAN|IST|ELQ|
ELQ|BHY,|BHY|CKG|URC|IST|ELQ|
ELQ|BNE,|BNE|BKK|IST|ELQ|
ELQ|CGD,|CGD|PEK|IST|ELQ|
ELQ|CGK,|CGK|SIN|IST|ELQ|
ELQ|CGQ,|CGQ|HET|URC|IST|ELQ|
ELQ|CIH,|CIH|PEK|IST|ELQ|
ELQ|CNX,|CNX|CAN|IST|ELQ|
ELQ|CZX,|CZX|TYN|URC|IST|ELQ|
ELQ|DAC,|DAC|IST|ELQ|
ELQ|DAD,|DAD|CAN|IST|ELQ|
