MSO|MEX,|MEX|DEN|MSO|
MSO|OGG,|OGG|DEN|MSO|
MSO|PDX,|PDX|DEN|MSO|
MSO|PEK,|PEK|YVR|DEN|MSO|
MSO|PVG,|PVG|YVR|DEN|MSO|
MSO|PVR,|PVR|DEN|MSO|
MSO|SEA,|SEA|DEN|MSO|
MSO|SYD,|SYD|LAX|DEN|MSO|
MSO|YBL,|YBL|YVR|DEN|MSO|
MSO|YCD,|YCD|YVR|DEN|MSO|
MSO|YCG,|YCG|YYC|DEN|MSO|
MSO|YKA,|YKA|YYC|DEN|MSO|
MSO|YPR,|YPR|YVR|DEN|MSO|
MSO|YQZ,|YQZ|YVR|DEN|MSO|
MSO|YXC,|YXC|YYC|DEN|MSO|
MSO|YXJ,|YXJ|YYC|DEN|MSO|
MSO|YXS,|YXS|YYC|DEN|MSO|
MSO|YXT,|YXT|YVR|DEN|MSO|
MSO|YXY,|YXY|YVR|DEN|MSO|
MSO|YYD,|YYD|YVR|DEN|MSO|
MSO|YYF,|YYF|YVR|DEN|MSO|
MSO|YZP,|YZP|YVR|DEN|MSO|
MSO|YQT,|YQT|YWG|DEN|MSO|
MSO|SJD,|SJD|DEN|MSO|
MSO|YQF,|YQF|YYC|DEN|MSO|
MSO|YQL,|YQL|YYC|DEN|MSO|
MSO|YXH,|YXH|YYC|DEN|MSO|
MSO|YWK,|YWK|YZV|YUL|DEN|MSO|
MSO|ANU,|ANU|EWR|DEN|MSO|
MSO|AUA,|AUA|ATL|DEN|MSO|
MSO|AUH,|AUH|FRA|DEN|MSO|
MSO|BCN,|BCN|YYZ|DEN|MSO|
MSO|BDA,|BDA|EWR|DEN|MSO|
MSO|BGI,|BGI|YYZ|DEN|MSO|
MSO|BNA,|BNA|DEN|MSO|
MSO|BOG,|BOG|IAH|DEN|MSO|
MSO|BWI,|BWI|DEN|MSO|
MSO|CLE,|CLE|DEN|MSO|
MSO|CLT,|CLT|MDW|DEN|MSO|
MSO|CMH,|CMH|DEN|MSO|
MSO|CVG,|CVG|DEN|MSO|
MSO|DFW,|DFW|DEN|MSO|
MSO|DTW,|DTW|DEN|MSO|
MSO|DUB,|DUB|ORD|DEN|MSO|
MSO|FCO,|FCO|YYZ|DEN|MSO|
MSO|GCM,|GCM|IAH|DEN|MSO|
MSO|GGT,|GGT|FLL|DEN|MSO|
MSO|GND,|GND|YYZ|DEN|MSO|
MSO|GRU,|GRU|IAH|DEN|MSO|
MSO|HAV,|HAV|YYZ|DEN|MSO|
MSO|IND,|IND|DEN|MSO|
MSO|JFK,|JFK|IAD|DEN|MSO|
MSO|KIN,|KIN|YYZ|DEN|MSO|
MSO|LIM,|LIM|IAH|DEN|MSO|
MSO|LIR,|LIR|IAH|DEN|MSO|
MSO|MCI,|MCI|DEN|MSO|
MSO|MDT,|MDT|ORD|DEN|MSO|
MSO|MIA,|MIA|DEN|MSO|
MSO|MKE,|MKE|DEN|MSO|
MSO|MSP,|MSP|DEN|MSO|
MSO|NAS,|NAS|ATL|DEN|MSO|
MSO|PHL,|PHL|DEN|MSO|
MSO|PHX,|PHX|DEN|MSO|
MSO|PIT,|PIT|DEN|MSO|
MSO|PLS,|PLS|YYZ|DEN|MSO|
MSO|POP,|POP|YYZ|DEN|MSO|
MSO|RDU,|RDU|DEN|MSO|
MSO|ROC,|ROC|ORD|DEN|MSO|
MSO|RSW,|RSW|DEN|MSO|
MSO|SAN,|SAN|DEN|MSO|
MSO|SJO,|SJO|IAH|DEN|MSO|
MSO|STL,|STL|DEN|MSO|
MSO|SYR,|SYR|ORD|DEN|MSO|
MSO|TLV,|TLV|IST|FRA|DEN|MSO|
MSO|TPA,|TPA|DEN|MSO|
MSO|UVF,|UVF|EWR|DEN|MSO|
MSO|VIE,|VIE|ORD|DEN|MSO|
MSO|YAM,|YAM|YYZ|DEN|MSO|
MSO|YGK,|YGK|YYZ|DEN|MSO|
MSO|YQG,|YQG|YYZ|DEN|MSO|
MSO|YSB,|YSB|YYZ|DEN|MSO|
MSO|YTS,|YTS|YYZ|DEN|MSO|
MSO|YYB,|YYB|YYZ|DEN|MSO|
MSO|YZR,|YZR|YYZ|DEN|MSO|
MSO|CAN,|CAN|YVR|DEN|MSO|
MSO|URC,|URC|PEK|YVR|DEN|MSO|
MSO|CTU,|CTU|PEK|YVR|DEN|MSO|
MSO|HGH,|HGH|DLC|ICN|YVR|DEN|MSO|
MSO|XMN,|XMN|PEK|YVR|DEN|MSO|
MSO|CGO,|CGO|PEK|YVR|DEN|MSO|
MSO|CSX,|CSX|ICN|YVR|DEN|MSO|
MSO|SHE,|SHE|ICN|YVR|DEN|MSO|
MSO|SJW,|SJW|DLC|ICN|YVR|DEN|MSO|
MSO|WUH,|WUH|ICN|YVR|DEN|MSO|
MSO|SZX,|SZX|PVG|YVR|DEN|MSO|
MSO|CKG,|CKG|PEK|YVR|DEN|MSO|
MSO|KMG,|KMG|PEK|YVR|DEN|MSO|
MSO|FOC,|FOC|PEK|YVR|DEN|MSO|
MSO|NNG,|NNG|PEK|YVR|DEN|MSO|
MSO|SWA,|SWA|PEK|YVR|DEN|MSO|
MSO|ACX,|ACX|CAN|YVR|DEN|MSO|
MSO|AQG,|AQG|CAN|YVR|DEN|MSO|
MSO|AVA,|AVA|CAN|YVR|DEN|MSO|
MSO|BFJ,|BFJ|CAN|YVR|DEN|MSO|
MSO|BHY,|BHY|CSX|ICN|YVR|DEN|MSO|
MSO|BNE,|BNE|CAN|YVR|DEN|MSO|
MSO|CGD,|CGD|PEK|YVR|DEN|MSO|
MSO|CGK,|CGK|CAN|YVR|DEN|MSO|
MSO|CGQ,|CGQ|ICN|YVR|DEN|MSO|
MSO|CIH,|CIH|PEK|YVR|DEN|MSO|
MSO|CNX,|CNX|CAN|YVR|DEN|MSO|
