MZR|BDA,|BDA|EWR|BHX|IST|MZR|
MZR|BGI,|BGI|YYZ|IST|MZR|
MZR|BNA,|BNA|YYZ|IST|MZR|
MZR|BOG,|BOG|MIA|ZRH|IST|MZR|
MZR|BWI,|BWI|EWR|BHX|IST|MZR|
MZR|CLE,|CLE|YYZ|IST|MZR|
MZR|CLT,|CLT|EWR|BHX|IST|MZR|
MZR|CMH,|CMH|YYZ|IST|MZR|
MZR|CVG,|CVG|YYZ|IST|MZR|
MZR|DFW,|DFW|ORD|IST|MZR|
MZR|DTW,|DTW|FRA|IST|MZR|
MZR|DUB,|DUB|IST|MZR|
MZR|FCO,|FCO|IST|MZR|
MZR|GCM,|GCM|EWR|BHX|IST|MZR|
MZR|GGT,|GGT|FLL|MCO|FRA|IST|MZR|
MZR|GND,|GND|YYZ|IST|MZR|
MZR|GRU,|GRU|IST|MZR|
MZR|HAV,|HAV|YYZ|IST|MZR|
MZR|IND,|IND|YYZ|IST|MZR|
MZR|JFK,|JFK|IST|MZR|
MZR|KIN,|KIN|YYZ|IST|MZR|
MZR|LIM,|LIM|MIA|ZRH|IST|MZR|
MZR|LIR,|LIR|EWR|BHX|IST|MZR|
MZR|MCI,|MCI|ORD|IST|MZR|
MZR|MDT,|MDT|IAD|IST|MZR|
MZR|MIA,|MIA|ZRH|IST|MZR|
MZR|MKE,|MKE|YYZ|IST|MZR|
MZR|MSP,|MSP|YUL|FRA|IST|MZR|
MZR|NAS,|NAS|EWR|BHX|IST|MZR|
MZR|PHL,|PHL|IAD|IST|MZR|
MZR|PHX,|PHX|DEN|FRA|IST|MZR|
MZR|PIT,|PIT|YYZ|IST|MZR|
MZR|PLS,|PLS|EWR|BHX|IST|MZR|
MZR|POP,|POP|EWR|BHX|IST|MZR|
MZR|RDU,|RDU|EWR|BHX|IST|MZR|
MZR|ROC,|ROC|YYZ|IST|MZR|
MZR|RSW,|RSW|MCO|FRA|IST|MZR|
MZR|SAN,|SAN|LAX|IST|MZR|
MZR|SJO,|SJO|EWR|BHX|IST|MZR|
MZR|STL,|STL|ORD|IST|MZR|
MZR|SYR,|SYR|EWR|BHX|IST|MZR|
MZR|TLV,|TLV|IST|MZR|
MZR|TPA,|TPA|EWR|BHX|IST|MZR|
MZR|UVF,|UVF|EWR|BHX|IST|MZR|
MZR|VIE,|VIE|IST|MZR|
MZR|YAM,|YAM|YYZ|IST|MZR|
MZR|YGK,|YGK|YYZ|IST|MZR|
MZR|YQG,|YQG|YYZ|IST|MZR|
MZR|YSB,|YSB|YYZ|IST|MZR|
MZR|YTS,|YTS|YYZ|IST|MZR|
MZR|YYB,|YYB|YYZ|IST|MZR|
MZR|YZR,|YZR|YYZ|IST|MZR|
MZR|CAN,|CAN|IST|MZR|
MZR|URC,|URC|IST|MZR|
MZR|CTU,|CTU|URC|IST|MZR|
MZR|HGH,|HGH|URC|IST|MZR|
MZR|XMN,|XMN|CSX|URC|IST|MZR|
MZR|CGO,|CGO|URC|IST|MZR|
MZR|CSX,|CSX|URC|IST|MZR|
MZR|SHE,|SHE|PEK|IST|MZR|
MZR|SJW,|SJW|URC|IST|MZR|
MZR|WUH,|WUH|URC|IST|MZR|
