KZN|CLT,|CLT|EWR|BHX|IST|KZN|
KZN|CMH,|CMH|YYZ|IST|KZN|
KZN|CVG,|CVG|YYZ|IST|KZN|
KZN|DFW,|DFW|ORD|IST|KZN|
KZN|DTW,|DTW|FRA|IST|KZN|
KZN|DUB,|DUB|IST|KZN|
KZN|FCO,|FCO|IST|KZN|
KZN|GCM,|GCM|EWR|BHX|IST|KZN|
KZN|GGT,|GGT|FLL|MCO|FRA|IST|KZN|
KZN|GND,|GND|YYZ|IST|KZN|
KZN|GRU,|GRU|IST|KZN|
KZN|HAV,|HAV|YYZ|IST|KZN|
KZN|IND,|IND|YYZ|IST|KZN|
KZN|JFK,|JFK|IST|KZN|
KZN|KIN,|KIN|YYZ|IST|KZN|
KZN|LIM,|LIM|MIA|ZRH|IST|KZN|
KZN|LIR,|LIR|EWR|BHX|IST|KZN|
KZN|MCI,|MCI|ORD|IST|KZN|
KZN|MDT,|MDT|IAD|IST|KZN|
KZN|MIA,|MIA|ZRH|IST|KZN|
KZN|MKE,|MKE|YYZ|IST|KZN|
KZN|MSP,|MSP|YUL|FRA|IST|KZN|
KZN|NAS,|NAS|EWR|BHX|IST|KZN|
KZN|PHL,|PHL|IAD|IST|KZN|
KZN|PHX,|PHX|DEN|FRA|IST|KZN|
KZN|PIT,|PIT|YYZ|IST|KZN|
KZN|PLS,|PLS|EWR|BHX|IST|KZN|
KZN|POP,|POP|EWR|BHX|IST|KZN|
KZN|RDU,|RDU|EWR|BHX|IST|KZN|
KZN|ROC,|ROC|YYZ|IST|KZN|
KZN|RSW,|RSW|MCO|FRA|IST|KZN|
KZN|SAN,|SAN|LAX|IST|KZN|
KZN|SJO,|SJO|EWR|BHX|IST|KZN|
KZN|STL,|STL|ORD|IST|KZN|
KZN|SYR,|SYR|EWR|BHX|IST|KZN|
KZN|TLV,|TLV|IST|KZN|
KZN|TPA,|TPA|EWR|BHX|IST|KZN|
KZN|UVF,|UVF|EWR|BHX|IST|KZN|
KZN|VIE,|VIE|IST|KZN|
KZN|YAM,|YAM|YYZ|IST|KZN|
KZN|YGK,|YGK|YYZ|IST|KZN|
KZN|YQG,|YQG|YYZ|IST|KZN|
KZN|YSB,|YSB|YYZ|IST|KZN|
KZN|YTS,|YTS|YYZ|IST|KZN|
KZN|YYB,|YYB|YYZ|IST|KZN|
KZN|YZR,|YZR|YYZ|IST|KZN|
KZN|CAN,|CAN|IST|KZN|
KZN|URC,|URC|IST|KZN|
KZN|CTU,|CTU|URC|IST|KZN|
KZN|HGH,|HGH|URC|IST|KZN|
KZN|XMN,|XMN|CSX|URC|IST|KZN|
KZN|CGO,|CGO|URC|IST|KZN|
KZN|CSX,|CSX|URC|IST|KZN|
KZN|SHE,|SHE|PEK|IST|KZN|
KZN|SJW,|SJW|URC|IST|KZN|
KZN|WUH,|WUH|URC|IST|KZN|
KZN|SZX,|SZX|CKG|URC|IST|KZN|
KZN|CKG,|CKG|URC|IST|KZN|
KZN|KMG,|KMG|CTU|URC|IST|KZN|
KZN|FOC,|FOC|XIY|URC|IST|KZN|
KZN|NNG,|NNG|KWE|URC|IST|KZN|
KZN|SWA,|SWA|CAN|IST|KZN|
KZN|ACX,|ACX|CAN|IST|KZN|
KZN|AQG,|AQG|CAN|IST|KZN|
KZN|AVA,|AVA|CAN|IST|KZN|
KZN|BFJ,|BFJ|CAN|IST|KZN|
KZN|BHY,|BHY|CKG|URC|IST|KZN|
KZN|BNE,|BNE|BKK|IST|KZN|
KZN|CGD,|CGD|PEK|IST|KZN|
KZN|CGK,|CGK|SIN|IST|KZN|
KZN|CGQ,|CGQ|HET|URC|IST|KZN|
KZN|CIH,|CIH|PEK|IST|KZN|
KZN|CNX,|CNX|CAN|IST|KZN|
KZN|CZX,|CZX|TYN|URC|IST|KZN|
KZN|DAC,|DAC|IST|KZN|
KZN|DAD,|DAD|CAN|IST|KZN|
