MSN|DYU,|DYU|IST|ORD|MSN|
MSN|FRU,|FRU|IST|ORD|MSN|
MSN|GYD,|GYD|FRA|ORD|MSN|
MSN|HTN,|HTN|URC|TSE|FRA|ORD|MSN|
MSN|IKA,|IKA|SAW|VIE|ORD|MSN|
MSN|KCA,|KCA|URC|TSE|FRA|ORD|MSN|
MSN|KHG,|KHG|URC|TSE|FRA|ORD|MSN|
MSN|KRL,|KRL|URC|TSE|FRA|ORD|MSN|
MSN|KRY,|KRY|URC|TSE|FRA|ORD|MSN|
MSN|LBD,|LBD|URC|TSE|FRA|ORD|MSN|
MSN|NLT,|NLT|URC|TSE|FRA|ORD|MSN|
MSN|OSS,|OSS|IST|ORD|MSN|
MSN|OVB,|OVB|IST|ORD|MSN|
MSN|TBS,|TBS|SAW|VIE|ORD|MSN|
MSN|TCG,|TCG|URC|TSE|FRA|ORD|MSN|
MSN|TSE,|TSE|FRA|ORD|MSN|
MSN|YIN,|YIN|URC|TSE|FRA|ORD|MSN|
MSN|ENH,|ENH|WUH|PEK|ORD|MSN|
MSN|ENY,|ENY|XIY|PEK|ORD|MSN|
MSN|WXN,|WXN|XIY|PEK|ORD|MSN|
MSN|BLL,|BLL|IST|ORD|MSN|
MSN|ESB,|ESB|VIE|ORD|MSN|
MSN|SAW,|SAW|VIE|ORD|MSN|
MSN|HAM,|HAM|EWR|MSN|
MSN|HRE,|HRE|ADD|IST|ORD|MSN|
MSN|JUB,|JUB|CAI|IST|ORD|MSN|
MSN|SSG,|SSG|DLA|BRU|ORD|MSN|
MSN|BGW,|BGW|ESB|VIE|ORD|MSN|
MSN|EBL,|EBL|IST|ORD|MSN|
MSN|VKO,|VKO|IST|ORD|MSN|
MSN|MCT,|MCT|IST|ORD|MSN|
MSN|AYT,|AYT|IST|ORD|MSN|
MSN|SCQ,|SCQ|BIO|IST|ORD|MSN|
MSN|AAL,|AAL|IST|ORD|MSN|
MSN|AOE,|AOE|BRU|ORD|MSN|
MSN|JNB,|JNB|DKR|IAD|ORD|MSN|
MSN|LBV,|LBV|DLA|BRU|ORD|MSN|
MSN|ADA,|ADA|IST|ORD|MSN|
MSN|ADB,|ADB|IST|ORD|MSN|
MSN|ADF,|ADF|ESB|VIE|ORD|MSN|
MSN|AJI,|AJI|ESB|VIE|ORD|MSN|
MSN|BAL,|BAL|ESB|VIE|ORD|MSN|
