STC|CGD,|CGD|PEK|ORD|STC|
STC|CGK,|CGK|CAN|PEK|ORD|STC|
STC|CGQ,|CGQ|PEK|ORD|STC|
STC|CIH,|CIH|PEK|ORD|STC|
STC|CNX,|CNX|CAN|PEK|ORD|STC|
STC|CZX,|CZX|SHE|PEK|ORD|STC|
STC|DAC,|DAC|IST|ORD|STC|
STC|DAD,|DAD|CAN|PEK|ORD|STC|
STC|DEL,|DEL|EWR|ORD|STC|
STC|DIG,|DIG|KMG|PEK|ORD|STC|
STC|DLC,|DLC|PEK|ORD|STC|
STC|DPS,|DPS|SZX|PEK|ORD|STC|
STC|DXB,|DXB|IST|ORD|STC|
STC|DYG,|DYG|PEK|ORD|STC|
STC|FUG,|FUG|CAN|PEK|ORD|STC|
STC|FUK,|FUK|ICN|YVR|ORD|STC|
STC|HAK,|HAK|PEK|ORD|STC|
STC|HAN,|HAN|PEK|ORD|STC|
STC|HDG,|HDG|CAN|PEK|ORD|STC|
STC|HET,|HET|DLC|PEK|ORD|STC|
STC|HFE,|HFE|XIY|PEK|ORD|STC|
STC|HJJ,|HJJ|CSX|PEK|ORD|STC|
STC|HKT,|HKT|KWE|PEK|ORD|STC|
STC|HRB,|HRB|PEK|ORD|STC|
STC|HZH,|HZH|CAN|PEK|ORD|STC|
STC|JIU,|JIU|CAN|PEK|ORD|STC|
STC|JJN,|JJN|PEK|ORD|STC|
STC|JNG,|JNG|CAN|PEK|ORD|STC|
STC|KHN,|KHN|DLC|PEK|ORD|STC|
STC|KIX,|KIX|SFO|ORD|STC|
STC|KOW,|KOW|PEK|ORD|STC|
STC|KTM,|KTM|IST|ORD|STC|
STC|KUL,|KUL|CAN|PEK|ORD|STC|
STC|KWE,|KWE|PEK|ORD|STC|
STC|KWL,|KWL|PEK|ORD|STC|
STC|LHW,|LHW|CGO|PEK|ORD|STC|
STC|LYA,|LYA|KHN|DLC|PEK|ORD|STC|
STC|LYG,|LYG|HSN|PEK|ORD|STC|
STC|LZH,|LZH|CAN|PEK|ORD|STC|
STC|MEL,|MEL|SYD|LAX|ORD|STC|
STC|MIG,|MIG|CSX|PEK|ORD|STC|
STC|MLE,|MLE|IST|ORD|STC|
STC|MNL,|MNL|XMN|PEK|ORD|STC|
STC|MXZ,|MXZ|CAN|PEK|ORD|STC|
STC|NAO,|NAO|PEK|ORD|STC|
STC|NGB,|NGB|PEK|ORD|STC|
STC|NKG,|NKG|DLC|PEK|ORD|STC|
STC|NNY,|NNY|CGO|PEK|ORD|STC|
STC|PEN,|PEN|CAN|PEK|ORD|STC|
STC|PER,|PER|CAN|PEK|ORD|STC|
STC|PNH,|PNH|CAN|PEK|ORD|STC|
STC|REP,|REP|CAN|PEK|ORD|STC|
STC|RGN,|RGN|CAN|PEK|ORD|STC|
STC|SGN,|SGN|CAN|PEK|ORD|STC|
STC|SHA,|SHA|PEK|ORD|STC|
STC|SIN,|SIN|HKG|ORD|STC|
STC|SVO,|SVO|URC|TSE|FRA|ORD|STC|
STC|SYX,|SYX|PEK|ORD|STC|
STC|TAO,|TAO|DLC|PEK|ORD|STC|
STC|TEN,|TEN|PEK|ORD|STC|
STC|TNA,|TNA|DLC|PEK|ORD|STC|
STC|TPE,|TPE|PVG|ORD|STC|
STC|TSN,|TSN|DLC|PEK|ORD|STC|
STC|TXN,|TXN|DLC|PEK|ORD|STC|
STC|TYN,|TYN|DAT|CIH|PEK|ORD|STC|
STC|WNZ,|WNZ|CGO|PEK|ORD|STC|
STC|WUX,|WUX|CAN|PEK|ORD|STC|
STC|XFN,|XFN|XMN|PEK|ORD|STC|
STC|XIY,|XIY|PEK|ORD|STC|
STC|XUZ,|XUZ|LYG|HSN|PEK|ORD|STC|
STC|YIH,|YIH|CKG|PEK|ORD|STC|
STC|YIW,|YIW|PEK|ORD|STC|
STC|YNT,|YNT|SHE|PEK|ORD|STC|
STC|YNZ,|YNZ|DLC|PEK|ORD|STC|
STC|YTY,|YTY|DLC|PEK|ORD|STC|
STC|ZHA,|ZHA|CAN|PEK|ORD|STC|
STC|ZYI,|ZYI|PEK|ORD|STC|
STC|BAV,|BAV|CGO|PEK|ORD|STC|
STC|CJU,|CJU|DLC|PEK|ORD|STC|
STC|DSN,|DSN|CGO|PEK|ORD|STC|
STC|HMI,|HMI|CGO|PEK|ORD|STC|
STC|INC,|INC|PEK|ORD|STC|
STC|KHH,|KHH|CGO|PEK|ORD|STC|
STC|UYN,|UYN|CGO|PEK|ORD|STC|
STC|XNN,|XNN|PEK|ORD|STC|
STC|ZUH,|ZUH|PEK|ORD|STC|
STC|YNJ,|YNJ|PEK|ORD|STC|
STC|DAT,|DAT|CIH|PEK|ORD|STC|
STC|JHG,|JHG|CKG|PEK|ORD|STC|
STC|LJG,|LJG|CKG|PEK|ORD|STC|
STC|LXA,|LXA|XIY|PEK|ORD|STC|
STC|YCU,|YCU|CSX|PEK|ORD|STC|
STC|LZO,|LZO|CSX|PEK|ORD|STC|
STC|MDG,|MDG|ICN|YVR|ORD|STC|
STC|NGO,|NGO|ICN|YVR|ORD|STC|
STC|TOY,|TOY|DLC|PEK|ORD|STC|
STC|MFM,|MFM|XMN|PEK|ORD|STC|
STC|TGO,|TGO|HET|DLC|PEK|ORD|STC|
STC|XIL,|XIL|HET|DLC|PEK|ORD|STC|
STC|HEK,|HEK|HRB|PEK|ORD|STC|
STC|KIJ,|KIJ|HRB|PEK|ORD|STC|
STC|LDS,|LDS|HRB|PEK|ORD|STC|
STC|OHE,|OHE|HRB|PEK|ORD|STC|
STC|HSN,|HSN|PEK|ORD|STC|
STC|DLU,|DLU|KMG|PEK|ORD|STC|
STC|SYM,|SYM|KMG|PEK|ORD|STC|
STC|ZAT,|ZAT|KMG|PEK|ORD|STC|
STC|LUN,|LUN|NBO|ZRH|ORD|STC|
STC|AOG,|AOG|PEK|ORD|STC|
STC|GMP,|GMP|PEK|ORD|STC|
STC|ISB,|ISB|IST|ORD|STC|
STC|TAS,|TAS|IST|ORD|STC|
STC|WUS,|WUS|PEK|ORD|STC|
STC|JMU,|JMU|PVG|ORD|STC|
STC|NDG,|NDG|PVG|ORD|STC|
STC|JXA,|JXA|SHE|PEK|ORD|STC|
STC|PUS,|PUS|SHE|PEK|ORD|STC|
STC|BKI,|BKI|SZX|PEK|ORD|STC|
STC|AKU,|AKU|URC|TSE|FRA|ORD|STC|
STC|ALA,|ALA|TSE|FRA|ORD|STC|
STC|ASB,|ASB|GYD|FRA|ORD|STC|
STC|DNH,|DNH|XIY|PEK|ORD|STC|
STC|DYU,|DYU|IST|ORD|STC|
STC|FRU,|FRU|IST|ORD|STC|
STC|GYD,|GYD|FRA|ORD|STC|
STC|HTN,|HTN|URC|TSE|FRA|ORD|STC|
STC|IKA,|IKA|SAW|VIE|ORD|STC|
STC|KCA,|KCA|URC|TSE|FRA|ORD|STC|
STC|KHG,|KHG|URC|TSE|FRA|ORD|STC|
STC|KRL,|KRL|URC|TSE|FRA|ORD|STC|
STC|KRY,|KRY|URC|TSE|FRA|ORD|STC|
STC|LBD,|LBD|URC|TSE|FRA|ORD|STC|
STC|NLT,|NLT|URC|TSE|FRA|ORD|STC|
STC|OSS,|OSS|IST|ORD|STC|
STC|OVB,|OVB|IST|ORD|STC|
STC|TBS,|TBS|SAW|VIE|ORD|STC|
STC|TCG,|TCG|URC|TSE|FRA|ORD|STC|
STC|TSE,|TSE|FRA|ORD|STC|
STC|YIN,|YIN|URC|TSE|FRA|ORD|STC|
STC|ENH,|ENH|WUH|PEK|ORD|STC|
STC|ENY,|ENY|XIY|PEK|ORD|STC|
STC|WXN,|WXN|XIY|PEK|ORD|STC|
STC|BLL,|BLL|IST|ORD|STC|
STC|ESB,|ESB|VIE|ORD|STC|
STC|SAW,|SAW|VIE|ORD|STC|
STC|HAM,|HAM|EWR|ORD|STC|
STC|HRE,|HRE|ADD|IST|ORD|STC|
STC|JUB,|JUB|CAI|IST|ORD|STC|
STC|SSG,|SSG|DLA|BRU|ORD|STC|
STC|BGW,|BGW|ESB|VIE|ORD|STC|
STC|EBL,|EBL|IST|ORD|STC|
STC|VKO,|VKO|IST|ORD|STC|
STC|MCT,|MCT|IST|ORD|STC|
STC|AYT,|AYT|IST|ORD|STC|
STC|SCQ,|SCQ|BIO|IST|ORD|STC|
STC|AAL,|AAL|IST|ORD|STC|
STC|AOE,|AOE|BRU|ORD|STC|
STC|JNB,|JNB|DKR|IAD|ORD|STC|
STC|LBV,|LBV|DLA|BRU|ORD|STC|
STC|ADA,|ADA|IST|ORD|STC|
STC|ADB,|ADB|IST|ORD|STC|
STC|ADF,|ADF|ESB|VIE|ORD|STC|
STC|AJI,|AJI|ESB|VIE|ORD|STC|
STC|BAL,|BAL|ESB|VIE|ORD|STC|
STC|BJV,|BJV|IST|ORD|STC|
STC|CKZ,|CKZ|ESB|VIE|ORD|STC|
STC|DIY,|DIY|ESB|VIE|ORD|STC|
STC|ECN,|ECN|IST|ORD|STC|
STC|ERC,|ERC|ESB|VIE|ORD|STC|
STC|ERZ,|ERZ|ESB|VIE|ORD|STC|
STC|EZS,|EZS|ESB|VIE|ORD|STC|
STC|GNY,|GNY|ESB|VIE|ORD|STC|
STC|GZP,|GZP|ESB|VIE|ORD|STC|
STC|GZT,|GZT|ESB|VIE|ORD|STC|
STC|HTY,|HTY|IST|ORD|STC|
STC|KCM,|KCM|ESB|VIE|ORD|STC|
STC|KSY,|KSY|ESB|VIE|ORD|STC|
STC|MLX,|MLX|ESB|VIE|ORD|STC|
STC|MQM,|MQM|ESB|VIE|ORD|STC|
STC|MSR,|MSR|ESB|VIE|ORD|STC|
STC|TEQ,|TEQ|ESB|VIE|ORD|STC|
STC|TZX,|TZX|ESB|VIE|ORD|STC|
STC|VAN,|VAN|ESB|VIE|ORD|STC|
STC|ULN,|ULN|FRU|IST|ORD|STC|
STC|HIJ,|HIJ|ICN|YVR|ORD|STC|
STC|VVO,|VVO|ICN|YVR|ORD|STC|
STC|ACC,|ACC|IST|ORD|STC|
STC|AER,|AER|IST|ORD|STC|
STC|AGP,|AGP|IST|ORD|STC|
STC|ALG,|ALG|IST|ORD|STC|
STC|AMM,|AMM|IST|ORD|STC|
STC|AQJ,|AQJ|IST|ORD|STC|
STC|ARN,|ARN|EWR|ORD|STC|
STC|ASR,|ASR|SAW|VIE|ORD|STC|
STC|ATH,|ATH|IST|ORD|STC|
STC|BAH,|BAH|IST|ORD|STC|
STC|BEG,|BEG|IST|ORD|STC|
STC|BEN,|BEN|IST|ORD|STC|
STC|BEY,|BEY|IST|ORD|STC|
STC|BHX,|BHX|EWR|ORD|STC|
STC|BIO,|BIO|IST|ORD|STC|
STC|BLQ,|BLQ|IST|ORD|STC|
STC|BOM,|BOM|IST|ORD|STC|
STC|BRE,|BRE|IST|ORD|STC|
STC|BSL,|BSL|IST|ORD|STC|
STC|BSR,|BSR|IST|ORD|STC|
STC|BUD,|BUD|IST|ORD|STC|
STC|BUS,|BUS|IST|ORD|STC|
STC|CAI,|CAI|IST|ORD|STC|
STC|CGN,|CGN|IST|ORD|STC|
STC|CMN,|CMN|IST|ORD|STC|
STC|CND,|CND|IST|ORD|STC|
STC|DAR,|DAR|NBO|ZRH|ORD|STC|
STC|DLM,|DLM|IST|ORD|STC|
STC|DMM,|DMM|IST|ORD|STC|
STC|DNK,|DNK|IST|ORD|STC|
STC|DNZ,|DNZ|IST|ORD|STC|
STC|DOK,|DOK|IST|ORD|STC|
STC|DUS,|DUS|ORD|STC|
STC|EDI,|EDI|EWR|ORD|STC|
STC|ELQ,|ELQ|IST|ORD|STC|
STC|FDH,|FDH|IST|ORD|STC|
STC|GOA,|GOA|IST|ORD|STC|
STC|GOT,|GOT|BRU|ORD|STC|
STC|HAJ,|HAJ|BRU|ORD|STC|
STC|HBE,|HBE|IST|ORD|STC|
STC|HEL,|HEL|IST|ORD|STC|
STC|HRG,|HRG|IST|ORD|STC|
STC|IFN,|IFN|IST|ORD|STC|
STC|ISE,|ISE|IST|ORD|STC|
STC|ISU,|ISU|IST|ORD|STC|
STC|JIB,|JIB|IST|ORD|STC|
STC|JRO,|JRO|IST|ORD|STC|
STC|KAN,|KAN|IST|ORD|STC|
STC|KBL,|KBL|IST|ORD|STC|
STC|KBP,|KBP|IST|ORD|STC|
STC|KFS,|KFS|IST|ORD|STC|
STC|KHI,|KHI|IST|ORD|STC|
STC|KIV,|KIV|IST|ORD|STC|
STC|KRT,|KRT|IST|ORD|STC|
STC|KSH,|KSH|IST|ORD|STC|
STC|KVD,|KVD|IST|ORD|STC|
STC|KWI,|KWI|SAW|VIE|ORD|STC|
STC|KYA,|KYA|IST|ORD|STC|
STC|KZN,|KZN|IST|ORD|STC|
STC|KZR,|KZR|IST|ORD|STC|
STC|LED,|LED|VIE|ORD|STC|
STC|LEJ,|LEJ|IST|ORD|STC|
STC|LGW,|LGW|IST|ORD|STC|
STC|LHE,|LHE|IST|ORD|STC|
STC|LIS,|LIS|EWR|ORD|STC|
STC|LJU,|LJU|IST|ORD|STC|
STC|LOS,|LOS|FRA|ORD|STC|
STC|LUX,|LUX|IST|ORD|STC|
STC|LWO,|LWO|IST|ORD|STC|
STC|LYS,|LYS|IST|ORD|STC|
STC|MAD,|MAD|EWR|ORD|STC|
STC|MAN,|MAN|EWR|ORD|STC|
STC|MED,|MED|IST|ORD|STC|
STC|MHD,|MHD|IST|ORD|STC|
STC|MLA,|MLA|IST|ORD|STC|
STC|MRS,|MRS|IST|ORD|STC|
STC|MSQ,|MSQ|IST|ORD|STC|
STC|MXP,|MXP|EWR|ORD|STC|
STC|MZH,|MZH|IST|ORD|STC|
STC|MZR,|MZR|IST|ORD|STC|
STC|NAJ,|NAJ|IST|ORD|STC|
STC|NAV,|NAV|IST|ORD|STC|
STC|NCE,|NCE|IST|ORD|STC|
STC|NIM,|NIM|IST|ORD|STC|
STC|NJF,|NJF|IST|ORD|STC|
STC|NSI,|NSI|BRU|ORD|STC|
STC|NUE,|NUE|IST|ORD|STC|
STC|ODS,|ODS|IST|ORD|STC|
STC|ORN,|ORN|IST|ORD|STC|
