BUS|YAM,|YAM|YYZ|IST|BUS|
BUS|YGK,|YGK|YYZ|IST|BUS|
BUS|YQG,|YQG|YYZ|IST|BUS|
BUS|YSB,|YSB|YYZ|IST|BUS|
BUS|YTS,|YTS|YYZ|IST|BUS|
BUS|YYB,|YYB|YYZ|IST|BUS|
BUS|YZR,|YZR|YYZ|IST|BUS|
BUS|CAN,|CAN|IST|BUS|
BUS|URC,|URC|IST|BUS|
BUS|CTU,|CTU|URC|IST|BUS|
BUS|HGH,|HGH|URC|IST|BUS|
BUS|XMN,|XMN|CSX|URC|IST|BUS|
BUS|CGO,|CGO|URC|IST|BUS|
BUS|CSX,|CSX|URC|IST|BUS|
BUS|SHE,|SHE|PEK|IST|BUS|
BUS|SJW,|SJW|URC|IST|BUS|
BUS|WUH,|WUH|URC|IST|BUS|
BUS|SZX,|SZX|CKG|URC|IST|BUS|
BUS|CKG,|CKG|URC|IST|BUS|
BUS|KMG,|KMG|CTU|URC|IST|BUS|
BUS|FOC,|FOC|XIY|URC|IST|BUS|
BUS|NNG,|NNG|KWE|URC|IST|BUS|
BUS|SWA,|SWA|CAN|IST|BUS|
BUS|ACX,|ACX|CAN|IST|BUS|
BUS|AQG,|AQG|CAN|IST|BUS|
BUS|AVA,|AVA|CAN|IST|BUS|
BUS|BFJ,|BFJ|CAN|IST|BUS|
BUS|BHY,|BHY|CKG|URC|IST|BUS|
BUS|BNE,|BNE|BKK|IST|BUS|
BUS|CGD,|CGD|PEK|IST|BUS|
BUS|CGK,|CGK|SIN|IST|BUS|
BUS|CGQ,|CGQ|HET|URC|IST|BUS|
BUS|CIH,|CIH|PEK|IST|BUS|
BUS|CNX,|CNX|CAN|IST|BUS|
BUS|CZX,|CZX|TYN|URC|IST|BUS|
BUS|DAC,|DAC|IST|BUS|
BUS|DAD,|DAD|CAN|IST|BUS|
BUS|DEL,|DEL|IST|BUS|
BUS|DIG,|DIG|KMG|CTU|URC|IST|BUS|
BUS|DLC,|DLC|PEK|IST|BUS|
BUS|DPS,|DPS|CAN|IST|BUS|
BUS|DXB,|DXB|IST|BUS|
BUS|DYG,|DYG|CSX|URC|IST|BUS|
BUS|FUG,|FUG|CAN|IST|BUS|
BUS|FUK,|FUK|ICN|IST|BUS|
BUS|HAK,|HAK|CTU|URC|IST|BUS|
BUS|HAN,|HAN|CAN|IST|BUS|
BUS|HDG,|HDG|CAN|IST|BUS|
BUS|HET,|HET|URC|IST|BUS|
BUS|HFE,|HFE|XIY|URC|IST|BUS|
BUS|HJJ,|HJJ|CSX|URC|IST|BUS|
BUS|HKT,|HKT|KWE|URC|IST|BUS|
BUS|HRB,|HRB|PEK|IST|BUS|
BUS|HZH,|HZH|CAN|IST|BUS|
BUS|JIU,|JIU|CAN|IST|BUS|
BUS|JJN,|JJN|CSX|URC|IST|BUS|
BUS|JNG,|JNG|CAN|IST|BUS|
BUS|KHN,|KHN|XIY|URC|IST|BUS|
BUS|KIX,|KIX|IST|BUS|
BUS|KOW,|KOW|CAN|IST|BUS|
BUS|KTM,|KTM|IST|BUS|
BUS|KUL,|KUL|IST|BUS|
BUS|KWE,|KWE|URC|IST|BUS|
BUS|KWL,|KWL|CKG|URC|IST|BUS|
BUS|LHW,|LHW|URC|IST|BUS|
BUS|LYA,|LYA|KHN|XIY|URC|IST|BUS|
BUS|LYG,|LYG|XUZ|INC|URC|IST|BUS|
BUS|LZH,|LZH|CAN|IST|BUS|
BUS|MEL,|MEL|BKK|IST|BUS|
BUS|MIG,|MIG|CSX|URC|IST|BUS|
BUS|MLE,|MLE|IST|BUS|
BUS|MNL,|MNL|CAN|IST|BUS|
BUS|MXZ,|MXZ|CAN|IST|BUS|
BUS|NAO,|NAO|PEK|IST|BUS|
BUS|NGB,|NGB|WUH|URC|IST|BUS|
BUS|NKG,|NKG|URC|IST|BUS|
BUS|NNY,|NNY|CGO|URC|IST|BUS|
BUS|PEN,|PEN|CAN|IST|BUS|
BUS|PER,|PER|BKK|IST|BUS|
BUS|PNH,|PNH|CAN|IST|BUS|
BUS|REP,|REP|CAN|IST|BUS|
BUS|RGN,|RGN|CAN|IST|BUS|
BUS|SGN,|SGN|BKK|IST|BUS|
BUS|SHA,|SHA|URC|IST|BUS|
BUS|SIN,|SIN|IST|BUS|
BUS|SVO,|SVO|URC|IST|BUS|
BUS|SYX,|SYX|CKG|URC|IST|BUS|
BUS|TAO,|TAO|TYN|URC|IST|BUS|
BUS|TEN,|TEN|CAN|IST|BUS|
BUS|TNA,|TNA|URC|IST|BUS|
BUS|TPE,|TPE|URC|IST|BUS|
BUS|TSN,|TSN|HET|URC|IST|BUS|
BUS|TXN,|TXN|TYN|URC|IST|BUS|
BUS|TYN,|TYN|URC|IST|BUS|
BUS|WNZ,|WNZ|XIY|URC|IST|BUS|
BUS|WUX,|WUX|CAN|IST|BUS|
BUS|XFN,|XFN|CAN|IST|BUS|
BUS|XIY,|XIY|URC|IST|BUS|
BUS|XUZ,|XUZ|INC|URC|IST|BUS|
BUS|YIH,|YIH|CKG|URC|IST|BUS|
BUS|YIW,|YIW|URC|IST|BUS|
BUS|YNT,|YNT|SHE|PEK|IST|BUS|
BUS|YNZ,|YNZ|WUH|URC|IST|BUS|
BUS|YTY,|YTY|CGO|URC|IST|BUS|
BUS|ZHA,|ZHA|CAN|IST|BUS|
BUS|ZYI,|ZYI|CAN|IST|BUS|
BUS|BAV,|BAV|URC|IST|BUS|
BUS|CJU,|CJU|DLC|PEK|IST|BUS|
BUS|DSN,|DSN|CGO|URC|IST|BUS|
BUS|HMI,|HMI|URC|IST|BUS|
BUS|INC,|INC|URC|IST|BUS|
BUS|KHH,|KHH|WUH|URC|IST|BUS|
BUS|UYN,|UYN|XIY|URC|IST|BUS|
BUS|XNN,|XNN|URC|IST|BUS|
BUS|ZUH,|ZUH|KWE|URC|IST|BUS|
BUS|YNJ,|YNJ|PEK|IST|BUS|
BUS|DAT,|DAT|TYN|URC|IST|BUS|
BUS|JHG,|JHG|KMG|CTU|URC|IST|BUS|
BUS|LJG,|LJG|KMG|CTU|URC|IST|BUS|
BUS|LXA,|LXA|CKG|URC|IST|BUS|
BUS|YCU,|YCU|CKG|URC|IST|BUS|
BUS|LZO,|LZO|CSX|URC|IST|BUS|
BUS|MDG,|MDG|DLC|PEK|IST|BUS|
BUS|NGO,|NGO|ICN|IST|BUS|
BUS|TOY,|TOY|DLC|PEK|IST|BUS|
BUS|MFM,|MFM|XMN|CSX|URC|IST|BUS|
BUS|TGO,|TGO|HET|URC|IST|BUS|
BUS|XIL,|XIL|HET|URC|IST|BUS|
BUS|HEK,|HEK|HRB|PEK|IST|BUS|
BUS|KIJ,|KIJ|HRB|PEK|IST|BUS|
BUS|LDS,|LDS|HRB|PEK|IST|BUS|
BUS|OHE,|OHE|HRB|PEK|IST|BUS|
BUS|HSN,|HSN|LYG|XUZ|INC|URC|IST|BUS|
