LDS|MEL,|MEL|SYD|ICN|HRB|LDS|
LDS|MIG,|MIG|CSX|HRB|LDS|
LDS|MLE,|MLE|CAN|HRB|LDS|
LDS|MNL,|MNL|XMN|YIW|HRB|LDS|
LDS|MXZ,|MXZ|CAN|HRB|LDS|
LDS|NAO,|NAO|PEK|HRB|LDS|
LDS|NGB,|NGB|HRB|LDS|
LDS|NKG,|NKG|HRB|LDS|
LDS|NNY,|NNY|CGO|HRB|LDS|
LDS|PEN,|PEN|CAN|HRB|LDS|
LDS|PER,|PER|CAN|HRB|LDS|
LDS|PNH,|PNH|CAN|HRB|LDS|
LDS|REP,|REP|CAN|HRB|LDS|
LDS|RGN,|RGN|CAN|HRB|LDS|
LDS|SGN,|SGN|CAN|HRB|LDS|
LDS|SHA,|SHA|PEK|HRB|LDS|
LDS|SIN,|SIN|CAN|HRB|LDS|
LDS|SVO,|SVO|URC|PEK|HRB|LDS|
LDS|SYX,|SYX|CSX|HRB|LDS|
LDS|TAO,|TAO|HRB|LDS|
LDS|TEN,|TEN|PEK|HRB|LDS|
LDS|TNA,|TNA|HRB|LDS|
LDS|TPE,|TPE|HRB|LDS|
LDS|TSN,|TSN|HRB|LDS|
LDS|TXN,|TXN|TAO|HRB|LDS|
LDS|TYN,|TYN|TAO|HRB|LDS|
LDS|WNZ,|WNZ|CGO|HRB|LDS|
LDS|WUX,|WUX|CAN|HRB|LDS|
LDS|XFN,|XFN|XMN|YIW|HRB|LDS|
LDS|XIY,|XIY|HRB|LDS|
LDS|XUZ,|XUZ|LYG|HSN|PEK|HRB|LDS|
LDS|YIH,|YIH|CKG|TSN|HRB|LDS|
LDS|YIW,|YIW|HRB|LDS|
LDS|YNT,|YNT|HRB|LDS|
LDS|YNZ,|YNZ|HRB|LDS|
LDS|YTY,|YTY|HRB|LDS|
LDS|ZHA,|ZHA|CAN|HRB|LDS|
LDS|ZYI,|ZYI|PEK|HRB|LDS|
LDS|BAV,|BAV|SJW|HRB|LDS|
LDS|CJU,|CJU|HRB|LDS|
LDS|DSN,|DSN|CGO|HRB|LDS|
LDS|HMI,|HMI|CGO|HRB|LDS|
LDS|INC,|INC|PEK|HRB|LDS|
LDS|KHH,|KHH|WUH|TNA|HRB|LDS|
LDS|UYN,|UYN|CGO|HRB|LDS|
LDS|XNN,|XNN|PEK|HRB|LDS|
LDS|ZUH,|ZUH|HFE|HRB|LDS|
LDS|YNJ,|YNJ|ICN|HRB|LDS|
LDS|DAT,|DAT|CIH|PEK|HRB|LDS|
LDS|JHG,|JHG|CKG|TSN|HRB|LDS|
LDS|LJG,|LJG|CKG|TSN|HRB|LDS|
LDS|LXA,|LXA|XIY|HRB|LDS|
LDS|YCU,|YCU|HRB|LDS|
LDS|LZO,|LZO|CSX|HRB|LDS|
LDS|MDG,|MDG|ICN|HRB|LDS|
LDS|NGO,|NGO|ICN|HRB|LDS|
LDS|TOY,|TOY|DLC|ICN|HRB|LDS|
LDS|MFM,|MFM|HGH|HRB|LDS|
LDS|TGO,|TGO|HET|TSN|HRB|LDS|
LDS|XIL,|XIL|HET|TSN|HRB|LDS|
LDS|HEK,|HEK|HRB|LDS|
LDS|KIJ,|KIJ|HRB|LDS|
LDS|OHE,|OHE|HRB|LDS|
LDS|HSN,|HSN|PEK|HRB|LDS|
LDS|DLU,|DLU|KMG|CKG|TSN|HRB|LDS|
LDS|SYM,|SYM|KMG|CKG|TSN|HRB|LDS|
LDS|ZAT,|ZAT|KMG|CKG|TSN|HRB|LDS|
LDS|LUN,|LUN|NBO|CAN|HRB|LDS|
LDS|AOG,|AOG|PEK|HRB|LDS|
LDS|GMP,|GMP|PEK|HRB|LDS|
LDS|ISB,|ISB|PEK|HRB|LDS|
LDS|TAS,|TAS|PEK|HRB|LDS|
LDS|WUS,|WUS|PEK|HRB|LDS|
LDS|JMU,|JMU|PVG|HRB|LDS|
LDS|NDG,|NDG|PVG|HRB|LDS|
LDS|JXA,|JXA|SHE|ICN|HRB|LDS|
LDS|PUS,|PUS|SHE|ICN|HRB|LDS|
LDS|BKI,|BKI|SZX|HRB|LDS|
LDS|AKU,|AKU|URC|PEK|HRB|LDS|
LDS|ALA,|ALA|URC|PEK|HRB|LDS|
LDS|ASB,|ASB|URC|PEK|HRB|LDS|
LDS|DNH,|DNH|XIY|HRB|LDS|
LDS|DYU,|DYU|URC|PEK|HRB|LDS|
LDS|FRU,|FRU|URC|PEK|HRB|LDS|
LDS|GYD,|GYD|URC|PEK|HRB|LDS|
LDS|HTN,|HTN|URC|PEK|HRB|LDS|
LDS|IKA,|IKA|URC|PEK|HRB|LDS|
LDS|KCA,|KCA|URC|PEK|HRB|LDS|
LDS|KHG,|KHG|URC|PEK|HRB|LDS|
LDS|KRL,|KRL|URC|PEK|HRB|LDS|
LDS|KRY,|KRY|URC|PEK|HRB|LDS|
LDS|LBD,|LBD|URC|PEK|HRB|LDS|
LDS|NLT,|NLT|URC|PEK|HRB|LDS|
LDS|OSS,|OSS|URC|PEK|HRB|LDS|
LDS|OVB,|OVB|URC|PEK|HRB|LDS|
LDS|TBS,|TBS|URC|PEK|HRB|LDS|
LDS|TCG,|TCG|URC|PEK|HRB|LDS|
LDS|TSE,|TSE|URC|PEK|HRB|LDS|
LDS|YIN,|YIN|URC|PEK|HRB|LDS|
LDS|ENH,|ENH|WUH|TNA|HRB|LDS|
LDS|ENY,|ENY|XIY|HRB|LDS|
LDS|WXN,|WXN|XIY|HRB|LDS|
LDS|BLL,|BLL|IST|PEK|HRB|LDS|
LDS|ESB,|ESB|IST|PEK|HRB|LDS|
