GLA|YNZ,|YNZ|DLC|PEK|EWR|GLA|
GLA|YTY,|YTY|DLC|PEK|EWR|GLA|
GLA|ZHA,|ZHA|CAN|PEK|EWR|GLA|
GLA|ZYI,|ZYI|PEK|EWR|GLA|
GLA|BAV,|BAV|CGO|PEK|EWR|GLA|
GLA|CJU,|CJU|DLC|PEK|EWR|GLA|
GLA|DSN,|DSN|CGO|PEK|EWR|GLA|
GLA|HMI,|HMI|URC|TSE|FRA|EWR|GLA|
GLA|INC,|INC|PEK|EWR|GLA|
GLA|KHH,|KHH|CGO|PEK|EWR|GLA|
GLA|UYN,|UYN|CGO|PEK|EWR|GLA|
GLA|XNN,|XNN|PEK|EWR|GLA|
GLA|ZUH,|ZUH|PEK|EWR|GLA|
GLA|YNJ,|YNJ|PEK|EWR|GLA|
GLA|DAT,|DAT|CIH|PEK|EWR|GLA|
GLA|JHG,|JHG|CKG|PEK|EWR|GLA|
GLA|LJG,|LJG|CKG|PEK|EWR|GLA|
GLA|LXA,|LXA|XIY|PEK|EWR|GLA|
GLA|YCU,|YCU|CSX|PEK|EWR|GLA|
GLA|LZO,|LZO|CSX|PEK|EWR|GLA|
GLA|MDG,|MDG|DLC|PEK|EWR|GLA|
GLA|NGO,|NGO|ICN|JFK|IAD|EWR|GLA|
GLA|TOY,|TOY|DLC|PEK|EWR|GLA|
GLA|MFM,|MFM|XMN|PEK|EWR|GLA|
GLA|TGO,|TGO|HET|DLC|PEK|EWR|GLA|
GLA|XIL,|XIL|HET|DLC|PEK|EWR|GLA|
GLA|HEK,|HEK|HRB|PEK|EWR|GLA|
GLA|KIJ,|KIJ|HRB|PEK|EWR|GLA|
GLA|LDS,|LDS|HRB|PEK|EWR|GLA|
GLA|OHE,|OHE|HRB|PEK|EWR|GLA|
GLA|HSN,|HSN|PEK|EWR|GLA|
GLA|DLU,|DLU|KMG|PEK|EWR|GLA|
GLA|SYM,|SYM|KMG|PEK|EWR|GLA|
GLA|ZAT,|ZAT|KMG|PEK|EWR|GLA|
GLA|LUN,|LUN|NBO|ZRH|EWR|GLA|
GLA|AOG,|AOG|PEK|EWR|GLA|
GLA|GMP,|GMP|PEK|EWR|GLA|
GLA|ISB,|ISB|IST|BHX|EWR|GLA|
GLA|TAS,|TAS|IST|BHX|EWR|GLA|
GLA|WUS,|WUS|PEK|EWR|GLA|
GLA|JMU,|JMU|PVG|EWR|GLA|
GLA|NDG,|NDG|PVG|EWR|GLA|
GLA|JXA,|JXA|SHE|PEK|EWR|GLA|
GLA|PUS,|PUS|SHE|PEK|EWR|GLA|
GLA|BKI,|BKI|SZX|PEK|EWR|GLA|
GLA|AKU,|AKU|URC|TSE|FRA|EWR|GLA|
GLA|ALA,|ALA|TSE|FRA|EWR|GLA|
GLA|ASB,|ASB|GYD|FRA|EWR|GLA|
GLA|DNH,|DNH|URC|TSE|FRA|EWR|GLA|
GLA|DYU,|DYU|IST|BHX|EWR|GLA|
GLA|FRU,|FRU|IST|BHX|EWR|GLA|
GLA|GYD,|GYD|FRA|EWR|GLA|
GLA|HTN,|HTN|URC|TSE|FRA|EWR|GLA|
GLA|IKA,|IKA|SAW|FRA|EWR|GLA|
GLA|KCA,|KCA|URC|TSE|FRA|EWR|GLA|
GLA|KHG,|KHG|URC|TSE|FRA|EWR|GLA|
GLA|KRL,|KRL|URC|TSE|FRA|EWR|GLA|
GLA|KRY,|KRY|URC|TSE|FRA|EWR|GLA|
GLA|LBD,|LBD|URC|TSE|FRA|EWR|GLA|
GLA|NLT,|NLT|URC|TSE|FRA|EWR|GLA|
GLA|OSS,|OSS|IST|BHX|EWR|GLA|
GLA|OVB,|OVB|IST|BHX|EWR|GLA|
GLA|TBS,|TBS|SAW|FRA|EWR|GLA|
GLA|TCG,|TCG|URC|TSE|FRA|EWR|GLA|
GLA|TSE,|TSE|FRA|EWR|GLA|
GLA|YIN,|YIN|URC|TSE|FRA|EWR|GLA|
GLA|ENH,|ENH|WUH|PEK|EWR|GLA|
GLA|ENY,|ENY|XIY|PEK|EWR|GLA|
GLA|WXN,|WXN|XIY|PEK|EWR|GLA|
GLA|BLL,|BLL|IST|BHX|EWR|GLA|
GLA|ESB,|ESB|FRA|EWR|GLA|
GLA|SAW,|SAW|FRA|EWR|GLA|
GLA|HAM,|HAM|EWR|GLA|
GLA|HRE,|HRE|ADD|JED|FRA|EWR|GLA|
GLA|JUB,|JUB|CAI|IST|BHX|EWR|GLA|
GLA|SSG,|SSG|DLA|BRU|EWR|GLA|
GLA|BGW,|BGW|ESB|FRA|EWR|GLA|
GLA|EBL,|EBL|IST|BHX|EWR|GLA|
GLA|VKO,|VKO|IST|BHX|EWR|GLA|
GLA|MCT,|MCT|IST|BHX|EWR|GLA|
GLA|AYT,|AYT|IST|BHX|EWR|GLA|
GLA|SCQ,|SCQ|BIO|IST|BHX|EWR|GLA|
GLA|AAL,|AAL|IST|BHX|EWR|GLA|
GLA|AOE,|AOE|BRU|EWR|GLA|
GLA|JNB,|JNB|DKR|IAD|EWR|GLA|
GLA|LBV,|LBV|DLA|BRU|EWR|GLA|
GLA|ADA,|ADA|SAW|FRA|EWR|GLA|
