IST|XFN,|XFN|CAN|IST|
IST|XIY,|XIY|URC|IST|
IST|XUZ,|XUZ|INC|URC|IST|
IST|YIH,|YIH|CKG|URC|IST|
IST|YIW,|YIW|URC|IST|
IST|YNT,|YNT|SHE|PEK|IST|
IST|YNZ,|YNZ|WUH|URC|IST|
IST|YTY,|YTY|CGO|URC|IST|
IST|ZHA,|ZHA|CAN|IST|
IST|ZYI,|ZYI|CAN|IST|
IST|BAV,|BAV|URC|IST|
IST|CJU,|CJU|DLC|PEK|IST|
IST|DSN,|DSN|CGO|URC|IST|
IST|HMI,|HMI|URC|IST|
IST|INC,|INC|URC|IST|
IST|KHH,|KHH|WUH|URC|IST|
IST|UYN,|UYN|XIY|URC|IST|
IST|XNN,|XNN|URC|IST|
IST|ZUH,|ZUH|KWE|URC|IST|
IST|YNJ,|YNJ|PEK|IST|
IST|DAT,|DAT|TYN|URC|IST|
IST|JHG,|JHG|KMG|CTU|URC|IST|
IST|LJG,|LJG|KMG|CTU|URC|IST|
IST|LXA,|LXA|CKG|URC|IST|
IST|YCU,|YCU|CKG|URC|IST|
IST|LZO,|LZO|CSX|URC|IST|
IST|MDG,|MDG|DLC|PEK|IST|
IST|NGO,|NGO|ICN|IST|
IST|TOY,|TOY|DLC|PEK|IST|
IST|MFM,|MFM|XMN|CSX|URC|IST|
IST|TGO,|TGO|HET|URC|IST|
IST|XIL,|XIL|HET|URC|IST|
IST|HEK,|HEK|HRB|PEK|IST|
IST|KIJ,|KIJ|HRB|PEK|IST|
IST|LDS,|LDS|HRB|PEK|IST|
IST|OHE,|OHE|HRB|PEK|IST|
IST|HSN,|HSN|LYG|XUZ|INC|URC|IST|
IST|DLU,|DLU|KMG|CTU|URC|IST|
IST|SYM,|SYM|KMG|CTU|URC|IST|
IST|ZAT,|ZAT|KMG|CTU|URC|IST|
IST|LUN,|LUN|NBO|IST|
IST|AOG,|AOG|PEK|IST|
IST|GMP,|GMP|PEK|IST|
IST|ISB,|ISB|IST|
IST|TAS,|TAS|IST|
IST|WUS,|WUS|PEK|IST|
IST|JMU,|JMU|PVG|IST|
IST|NDG,|NDG|PVG|IST|
IST|JXA,|JXA|SHE|PEK|IST|
IST|PUS,|PUS|SHE|PEK|IST|
IST|BKI,|BKI|SZX|CKG|URC|IST|
IST|AKU,|AKU|URC|IST|
IST|ALA,|ALA|IST|
IST|ASB,|ASB|IST|
IST|DNH,|DNH|URC|IST|
IST|DYU,|DYU|IST|
IST|FRU,|FRU|IST|
IST|GYD,|GYD|IST|
IST|HTN,|HTN|URC|IST|
IST|IKA,|IKA|IST|
IST|KCA,|KCA|URC|IST|
IST|KHG,|KHG|URC|IST|
IST|KRL,|KRL|URC|IST|
IST|KRY,|KRY|URC|IST|
IST|LBD,|LBD|URC|IST|
IST|NLT,|NLT|URC|IST|
IST|OSS,|OSS|IST|
IST|OVB,|OVB|IST|
IST|TBS,|TBS|IST|
IST|TCG,|TCG|URC|IST|
IST|TSE,|TSE|IST|
IST|YIN,|YIN|URC|IST|
IST|ENH,|ENH|WUH|URC|IST|
IST|ENY,|ENY|XIY|URC|IST|
IST|WXN,|WXN|XIY|URC|IST|
IST|BLL,|BLL|IST|
IST|ESB,|ESB|IST|
IST|SAW,|SAW|ADB|IST|
IST|HAM,|HAM|IST|
IST|HRE,|HRE|ADD|IST|
IST|JUB,|JUB|CAI|IST|
IST|SSG,|SSG|DLA|IST|
IST|BGW,|BGW|IST|
IST|EBL,|EBL|IST|
IST|VKO,|VKO|IST|
IST|MCT,|MCT|IST|
IST|AYT,|AYT|IST|
IST|SCQ,|SCQ|BIO|IST|
IST|AAL,|AAL|IST|
IST|AOE,|AOE|BRU|IST|
IST|JNB,|JNB|IST|
IST|LBV,|LBV|DLA|IST|
IST|ADA,|ADA|IST|
IST|ADB,|ADB|IST|
IST|ADF,|ADF|IST|
IST|AJI,|AJI|IST|
IST|BAL,|BAL|IST|
IST|BJV,|BJV|IST|
IST|CKZ,|CKZ|ESB|IST|
IST|DIY,|DIY|IST|
IST|ECN,|ECN|IST|
IST|ERC,|ERC|IST|
IST|ERZ,|ERZ|IST|
IST|EZS,|EZS|IST|
IST|GNY,|GNY|IST|
IST|GZP,|GZP|ESB|IST|
IST|GZT,|GZT|IST|
IST|HTY,|HTY|IST|
IST|KCM,|KCM|IST|
IST|KSY,|KSY|IST|
IST|MLX,|MLX|IST|
IST|MQM,|MQM|IST|
IST|MSR,|MSR|IST|
IST|TEQ,|TEQ|ESB|IST|
IST|TZX,|TZX|IST|
IST|VAN,|VAN|IST|
IST|ULN,|ULN|FRU|IST|
IST|HIJ,|HIJ|ICN|IST|
IST|VVO,|VVO|ICN|IST|
IST|ACC,|ACC|IST|
IST|AER,|AER|IST|
IST|AGP,|AGP|IST|
IST|ALG,|ALG|IST|
IST|AMM,|AMM|IST|
IST|AQJ,|AQJ|IST|
IST|ARN,|ARN|IST|
IST|ASR,|ASR|IST|
IST|ATH,|ATH|IST|
IST|BAH,|BAH|IST|
IST|BEG,|BEG|IST|
IST|BEN,|BEN|IST|
IST|BEY,|BEY|IST|
IST|BHX,|BHX|IST|
IST|BIO,|BIO|IST|
IST|BLQ,|BLQ|IST|
IST|BOM,|BOM|IST|
IST|BRE,|BRE|IST|
IST|BSL,|BSL|IST|
IST|BSR,|BSR|IST|
IST|BUD,|BUD|IST|
IST|BUS,|BUS|IST|
IST|CAI,|CAI|IST|
IST|CGN,|CGN|IST|
IST|CMN,|CMN|IST|
IST|CND,|CND|IST|
IST|DAR,|DAR|IST|
IST|DLM,|DLM|IST|
IST|DMM,|DMM|IST|
IST|DNK,|DNK|IST|
IST|DNZ,|DNZ|IST|
IST|DOK,|DOK|IST|
IST|DUS,|DUS|IST|
IST|EDI,|EDI|IST|
IST|ELQ,|ELQ|IST|
IST|FDH,|FDH|IST|
IST|GOA,|GOA|IST|
IST|GOT,|GOT|IST|
IST|HAJ,|HAJ|IST|
IST|HBE,|HBE|IST|
IST|HEL,|HEL|IST|
IST|HRG,|HRG|IST|
IST|IFN,|IFN|IST|
IST|ISE,|ISE|IST|
IST|ISU,|ISU|IST|
IST|JIB,|JIB|IST|
IST|JRO,|JRO|IST|
IST|KAN,|KAN|IST|
IST|KBL,|KBL|IST|
IST|KBP,|KBP|IST|
IST|KFS,|KFS|IST|
IST|KHI,|KHI|IST|
IST|KIV,|KIV|IST|
IST|KRT,|KRT|IST|
IST|KSH,|KSH|IST|
IST|KVD,|KVD|IST|
IST|KWI,|KWI|IST|
IST|KYA,|KYA|IST|
IST|KZN,|KZN|IST|
IST|KZR,|KZR|IST|
IST|LED,|LED|IST|
IST|LEJ,|LEJ|IST|
IST|LGW,|LGW|IST|
IST|LHE,|LHE|IST|
IST|LIS,|LIS|IST|
IST|LJU,|LJU|IST|
IST|LOS,|LOS|IST|
IST|LUX,|LUX|IST|
IST|LWO,|LWO|IST|
IST|LYS,|LYS|IST|
IST|MAD,|MAD|IST|
IST|MAN,|MAN|IST|
IST|MED,|MED|IST|
IST|MHD,|MHD|IST|
IST|MLA,|MLA|IST|
IST|MRS,|MRS|IST|
IST|MSQ,|MSQ|IST|
IST|MXP,|MXP|IST|
IST|MZH,|MZH|IST|
IST|MZR,|MZR|IST|
IST|NAJ,|NAJ|IST|
IST|NAV,|NAV|IST|
IST|NCE,|NCE|IST|
IST|NIM,|NIM|IST|
IST|NJF,|NJF|IST|
IST|NSI,|NSI|IST|
IST|NUE,|NUE|IST|
IST|ODS,|ODS|IST|
IST|ORN,|ORN|IST|
IST|OTP,|OTP|IST|
IST|PRG,|PRG|IST|
IST|PRN,|PRN|IST|
IST|RIX,|RIX|IST|
IST|ROV,|ROV|IST|
IST|RTM,|RTM|IST|
IST|RUH,|RUH|IST|
IST|SAH,|SAH|IST|
IST|SJJ,|SJJ|IST|
IST|SKG,|SKG|IST|
IST|SKP,|SKP|IST|
