NUE|PHX,|PHX|DEN|FRA|IST|NUE|
NUE|PIT,|PIT|YYZ|IST|NUE|
NUE|PLS,|PLS|EWR|BHX|IST|NUE|
NUE|POP,|POP|EWR|BHX|IST|NUE|
NUE|RDU,|RDU|EWR|BHX|IST|NUE|
NUE|ROC,|ROC|YYZ|IST|NUE|
NUE|RSW,|RSW|MCO|FRA|IST|NUE|
NUE|SAN,|SAN|LAX|IST|NUE|
NUE|SJO,|SJO|EWR|BHX|IST|NUE|
NUE|STL,|STL|ORD|IST|NUE|
NUE|SYR,|SYR|EWR|BHX|IST|NUE|
NUE|TLV,|TLV|IST|NUE|
NUE|TPA,|TPA|EWR|BHX|IST|NUE|
NUE|UVF,|UVF|EWR|BHX|IST|NUE|
NUE|VIE,|VIE|IST|NUE|
NUE|YAM,|YAM|YYZ|IST|NUE|
NUE|YGK,|YGK|YYZ|IST|NUE|
NUE|YQG,|YQG|YYZ|IST|NUE|
NUE|YSB,|YSB|YYZ|IST|NUE|
NUE|YTS,|YTS|YYZ|IST|NUE|
NUE|YYB,|YYB|YYZ|IST|NUE|
NUE|YZR,|YZR|YYZ|IST|NUE|
NUE|CAN,|CAN|IST|NUE|
NUE|URC,|URC|IST|NUE|
NUE|CTU,|CTU|URC|IST|NUE|
NUE|HGH,|HGH|URC|IST|NUE|
NUE|XMN,|XMN|CSX|URC|IST|NUE|
NUE|CGO,|CGO|URC|IST|NUE|
NUE|CSX,|CSX|URC|IST|NUE|
NUE|SHE,|SHE|PEK|IST|NUE|
NUE|SJW,|SJW|URC|IST|NUE|
NUE|WUH,|WUH|URC|IST|NUE|
NUE|SZX,|SZX|CKG|URC|IST|NUE|
NUE|CKG,|CKG|URC|IST|NUE|
NUE|KMG,|KMG|CTU|URC|IST|NUE|
NUE|FOC,|FOC|XIY|URC|IST|NUE|
NUE|NNG,|NNG|KWE|URC|IST|NUE|
NUE|SWA,|SWA|CAN|IST|NUE|
NUE|ACX,|ACX|CAN|IST|NUE|
NUE|AQG,|AQG|CAN|IST|NUE|
NUE|AVA,|AVA|CAN|IST|NUE|
NUE|BFJ,|BFJ|CAN|IST|NUE|
NUE|BHY,|BHY|CKG|URC|IST|NUE|
NUE|BNE,|BNE|BKK|IST|NUE|
NUE|CGD,|CGD|PEK|IST|NUE|
NUE|CGK,|CGK|SIN|IST|NUE|
NUE|CGQ,|CGQ|HET|URC|IST|NUE|
NUE|CIH,|CIH|PEK|IST|NUE|
NUE|CNX,|CNX|CAN|IST|NUE|
NUE|CZX,|CZX|TYN|URC|IST|NUE|
NUE|DAC,|DAC|IST|NUE|
NUE|DAD,|DAD|CAN|IST|NUE|
NUE|DEL,|DEL|IST|NUE|
NUE|DIG,|DIG|KMG|CTU|URC|IST|NUE|
NUE|DLC,|DLC|PEK|IST|NUE|
NUE|DPS,|DPS|CAN|IST|NUE|
NUE|DXB,|DXB|IST|NUE|
NUE|DYG,|DYG|CSX|URC|IST|NUE|
NUE|FUG,|FUG|CAN|IST|NUE|
NUE|FUK,|FUK|ICN|IST|NUE|
NUE|HAK,|HAK|CTU|URC|IST|NUE|
NUE|HAN,|HAN|CAN|IST|NUE|
NUE|HDG,|HDG|CAN|IST|NUE|
NUE|HET,|HET|URC|IST|NUE|
NUE|HFE,|HFE|XIY|URC|IST|NUE|
NUE|HJJ,|HJJ|CSX|URC|IST|NUE|
NUE|HKT,|HKT|KWE|URC|IST|NUE|
NUE|HRB,|HRB|PEK|IST|NUE|
NUE|HZH,|HZH|CAN|IST|NUE|
NUE|JIU,|JIU|CAN|IST|NUE|
NUE|JJN,|JJN|CSX|URC|IST|NUE|
NUE|JNG,|JNG|CAN|IST|NUE|
NUE|KHN,|KHN|XIY|URC|IST|NUE|
NUE|KIX,|KIX|IST|NUE|
NUE|KOW,|KOW|CAN|IST|NUE|
NUE|KTM,|KTM|IST|NUE|
NUE|KUL,|KUL|IST|NUE|
NUE|KWE,|KWE|URC|IST|NUE|
NUE|KWL,|KWL|CKG|URC|IST|NUE|
NUE|LHW,|LHW|URC|IST|NUE|
NUE|LYA,|LYA|KHN|XIY|URC|IST|NUE|
NUE|LYG,|LYG|XUZ|INC|URC|IST|NUE|
NUE|LZH,|LZH|CAN|IST|NUE|
NUE|MEL,|MEL|BKK|IST|NUE|
