LYG|BGW,|BGW|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|EBL,|EBL|IST|URC|INC|XUZ|LYG|
LYG|VKO,|VKO|IST|URC|INC|XUZ|LYG|
LYG|MCT,|MCT|IST|URC|INC|XUZ|LYG|
LYG|AYT,|AYT|IST|URC|INC|XUZ|LYG|
LYG|SCQ,|SCQ|BIO|IST|URC|INC|XUZ|LYG|
LYG|AAL,|AAL|IST|URC|INC|XUZ|LYG|
LYG|AOE,|AOE|BRU|IST|URC|INC|XUZ|LYG|
LYG|JNB,|JNB|IST|URC|INC|XUZ|LYG|
LYG|LBV,|LBV|DLA|IST|URC|INC|XUZ|LYG|
LYG|ADA,|ADA|SAW|TBS|URC|INC|XUZ|LYG|
LYG|ADB,|ADB|IST|URC|INC|XUZ|LYG|
LYG|ADF,|ADF|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|AJI,|AJI|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|BAL,|BAL|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|BJV,|BJV|IST|URC|INC|XUZ|LYG|
LYG|CKZ,|CKZ|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|DIY,|DIY|SAW|TBS|URC|INC|XUZ|LYG|
LYG|ECN,|ECN|SAW|TBS|URC|INC|XUZ|LYG|
LYG|ERC,|ERC|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|ERZ,|ERZ|SAW|TBS|URC|INC|XUZ|LYG|
LYG|EZS,|EZS|SAW|TBS|URC|INC|XUZ|LYG|
LYG|GNY,|GNY|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|GZP,|GZP|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|GZT,|GZT|SAW|TBS|URC|INC|XUZ|LYG|
LYG|HTY,|HTY|SAW|TBS|URC|INC|XUZ|LYG|
LYG|KCM,|KCM|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|KSY,|KSY|SAW|TBS|URC|INC|XUZ|LYG|
LYG|MLX,|MLX|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|MQM,|MQM|SAW|TBS|URC|INC|XUZ|LYG|
LYG|MSR,|MSR|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|TEQ,|TEQ|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|TZX,|TZX|SAW|TBS|URC|INC|XUZ|LYG|
LYG|VAN,|VAN|SAW|TBS|URC|INC|XUZ|LYG|
LYG|ULN,|ULN|FRU|URC|INC|XUZ|LYG|
LYG|HIJ,|HIJ|ICN|PEK|HSN|LYG|
LYG|VVO,|VVO|ICN|PEK|HSN|LYG|
LYG|ACC,|ACC|IST|URC|INC|XUZ|LYG|
LYG|AER,|AER|IST|URC|INC|XUZ|LYG|
LYG|AGP,|AGP|IST|URC|INC|XUZ|LYG|
LYG|ALG,|ALG|IST|URC|INC|XUZ|LYG|
LYG|AMM,|AMM|IST|URC|INC|XUZ|LYG|
LYG|AQJ,|AQJ|IST|URC|INC|XUZ|LYG|
LYG|ARN,|ARN|IST|URC|INC|XUZ|LYG|
LYG|ASR,|ASR|SAW|TBS|URC|INC|XUZ|LYG|
LYG|ATH,|ATH|IST|URC|INC|XUZ|LYG|
LYG|BAH,|BAH|KWI|SAW|TBS|URC|INC|XUZ|LYG|
LYG|BEG,|BEG|IST|URC|INC|XUZ|LYG|
LYG|BEN,|BEN|IST|URC|INC|XUZ|LYG|
LYG|BEY,|BEY|IST|URC|INC|XUZ|LYG|
LYG|BHX,|BHX|IST|URC|INC|XUZ|LYG|
