YDF|MIA,|MIA|EWR|YHZ|YDF|
YDF|MKE,|MKE|YYZ|YDF|
YDF|MSP,|MSP|YYZ|YDF|
YDF|NAS,|NAS|EWR|YHZ|YDF|
YDF|PHL,|PHL|IAD|LGA|YHZ|YDF|
YDF|PHX,|PHX|YYZ|YDF|
YDF|PIT,|PIT|YYZ|YDF|
YDF|PLS,|PLS|EWR|YHZ|YDF|
YDF|POP,|POP|EWR|YHZ|YDF|
YDF|RDU,|RDU|EWR|YHZ|YDF|
YDF|ROC,|ROC|YYZ|YDF|
YDF|RSW,|RSW|MCO|YHZ|YDF|
YDF|SAN,|SAN|YYZ|YDF|
YDF|SJO,|SJO|EWR|YHZ|YDF|
YDF|STL,|STL|YYZ|YDF|
YDF|SYR,|SYR|EWR|YHZ|YDF|
YDF|TLV,|TLV|IST|LHR|YYT|YDF|
YDF|TPA,|TPA|EWR|YHZ|YDF|
YDF|UVF,|UVF|EWR|YHZ|YDF|
YDF|VIE,|VIE|IST|LHR|YYT|YDF|
YDF|YAM,|YAM|YYZ|YDF|
YDF|YGK,|YGK|YYZ|YDF|
YDF|YQG,|YQG|YYZ|YDF|
YDF|YSB,|YSB|YYZ|YDF|
YDF|YTS,|YTS|YYZ|YDF|
YDF|YYB,|YYB|YYZ|YDF|
YDF|YZR,|YZR|YYZ|YDF|
YDF|CAN,|CAN|LHR|YYT|YDF|
YDF|URC,|URC|IST|LHR|YYT|YDF|
YDF|CTU,|CTU|URC|IST|LHR|YYT|YDF|
YDF|HGH,|HGH|PEK|YYZ|YDF|
YDF|XMN,|XMN|PEK|YYZ|YDF|
YDF|CGO,|CGO|PEK|YYZ|YDF|
YDF|CSX,|CSX|PEK|YYZ|YDF|
YDF|SHE,|SHE|PEK|YYZ|YDF|
YDF|SJW,|SJW|DLC|PEK|YYZ|YDF|
YDF|WUH,|WUH|PEK|YYZ|YDF|
YDF|SZX,|SZX|MXZ|CAN|LHR|YYT|YDF|
YDF|CKG,|CKG|URC|IST|LHR|YYT|YDF|
YDF|KMG,|KMG|CTU|URC|IST|LHR|YYT|YDF|
YDF|FOC,|FOC|PEK|YYZ|YDF|
YDF|NNG,|NNG|CAN|LHR|YYT|YDF|
YDF|SWA,|SWA|CAN|LHR|YYT|YDF|
YDF|ACX,|ACX|CAN|LHR|YYT|YDF|
YDF|AQG,|AQG|CAN|LHR|YYT|YDF|
YDF|AVA,|AVA|CAN|LHR|YYT|YDF|
YDF|BFJ,|BFJ|CAN|LHR|YYT|YDF|
YDF|BHY,|BHY|CAN|LHR|YYT|YDF|
YDF|BNE,|BNE|CAN|LHR|YYT|YDF|
YDF|CGD,|CGD|PEK|YYZ|YDF|
YDF|CGK,|CGK|SIN|IST|LHR|YYT|YDF|
YDF|CGQ,|CGQ|PEK|YYZ|YDF|
YDF|CIH,|CIH|PEK|YYZ|YDF|
YDF|CNX,|CNX|CAN|LHR|YYT|YDF|
YDF|CZX,|CZX|SHE|PEK|YYZ|YDF|
YDF|DAC,|DAC|IST|LHR|YYT|YDF|
YDF|DAD,|DAD|CAN|LHR|YYT|YDF|
YDF|DEL,|DEL|IST|LHR|YYT|YDF|
YDF|DIG,|DIG|KMG|CTU|URC|IST|LHR|YYT|YDF|
YDF|DLC,|DLC|PEK|YYZ|YDF|
YDF|DPS,|DPS|CAN|LHR|YYT|YDF|
YDF|DXB,|DXB|IST|LHR|YYT|YDF|
YDF|DYG,|DYG|PEK|YYZ|YDF|
YDF|FUG,|FUG|CAN|LHR|YYT|YDF|
YDF|FUK,|FUK|ICN|JFK|YUL|YHZ|YDF|
