MBJ|STL,|STL|ATL|MBJ|
MBJ|SYR,|SYR|IAD|MBJ|
MBJ|TLV,|TLV|IST|LHR|YHZ|MBJ|
MBJ|TPA,|TPA|ATL|MBJ|
MBJ|UVF,|UVF|EWR|MBJ|
MBJ|VIE,|VIE|IAD|MBJ|
MBJ|YAM,|YAM|YYZ|MBJ|
MBJ|YGK,|YGK|YYZ|MBJ|
MBJ|YQG,|YQG|YYZ|MBJ|
MBJ|YSB,|YSB|YYZ|MBJ|
MBJ|YTS,|YTS|YYZ|MBJ|
MBJ|YYB,|YYB|YYZ|MBJ|
MBJ|YZR,|YZR|YYZ|MBJ|
MBJ|CAN,|CAN|PEK|ORD|ATL|MBJ|
MBJ|URC,|URC|TSE|FRA|EWR|MBJ|
MBJ|CTU,|CTU|PEK|ORD|ATL|MBJ|
MBJ|HGH,|HGH|PEK|ORD|ATL|MBJ|
MBJ|XMN,|XMN|PEK|ORD|ATL|MBJ|
MBJ|CGO,|CGO|PEK|ORD|ATL|MBJ|
MBJ|CSX,|CSX|PEK|ORD|ATL|MBJ|
MBJ|SHE,|SHE|PEK|ORD|ATL|MBJ|
MBJ|SJW,|SJW|DLC|PEK|ORD|ATL|MBJ|
MBJ|WUH,|WUH|PEK|ORD|ATL|MBJ|
MBJ|SZX,|SZX|PEK|ORD|ATL|MBJ|
MBJ|CKG,|CKG|PEK|ORD|ATL|MBJ|
MBJ|KMG,|KMG|PEK|ORD|ATL|MBJ|
MBJ|FOC,|FOC|PEK|ORD|ATL|MBJ|
MBJ|NNG,|NNG|PEK|ORD|ATL|MBJ|
MBJ|SWA,|SWA|PEK|ORD|ATL|MBJ|
MBJ|ACX,|ACX|CAN|PEK|ORD|ATL|MBJ|
MBJ|AQG,|AQG|CAN|PEK|ORD|ATL|MBJ|
MBJ|AVA,|AVA|CAN|PEK|ORD|ATL|MBJ|
MBJ|BFJ,|BFJ|CAN|PEK|ORD|ATL|MBJ|
MBJ|BHY,|BHY|CGO|PEK|ORD|ATL|MBJ|
MBJ|BNE,|BNE|CAN|PEK|ORD|ATL|MBJ|
MBJ|CGD,|CGD|PEK|ORD|ATL|MBJ|
MBJ|CGK,|CGK|CAN|PEK|ORD|ATL|MBJ|
MBJ|CGQ,|CGQ|PEK|ORD|ATL|MBJ|
MBJ|CIH,|CIH|PEK|ORD|ATL|MBJ|
MBJ|CNX,|CNX|CAN|PEK|ORD|ATL|MBJ|
MBJ|CZX,|CZX|SHE|PEK|ORD|ATL|MBJ|
MBJ|DAC,|DAC|IST|LHR|YHZ|MBJ|
MBJ|DAD,|DAD|CAN|PEK|ORD|ATL|MBJ|
MBJ|DEL,|DEL|EWR|MBJ|
MBJ|DIG,|DIG|KMG|PEK|ORD|ATL|MBJ|
MBJ|DLC,|DLC|PEK|ORD|ATL|MBJ|
MBJ|DPS,|DPS|SZX|PEK|ORD|ATL|MBJ|
MBJ|DXB,|DXB|IST|LHR|YHZ|MBJ|
MBJ|DYG,|DYG|PEK|ORD|ATL|MBJ|
MBJ|FUG,|FUG|CAN|PEK|ORD|ATL|MBJ|
MBJ|FUK,|FUK|ICN|YVR|IAH|MBJ|
MBJ|HAK,|HAK|PEK|ORD|ATL|MBJ|
MBJ|HAN,|HAN|PEK|ORD|ATL|MBJ|
MBJ|HDG,|HDG|CAN|PEK|ORD|ATL|MBJ|
MBJ|HET,|HET|DLC|PEK|ORD|ATL|MBJ|
MBJ|HFE,|HFE|XIY|PEK|ORD|ATL|MBJ|
MBJ|HJJ,|HJJ|CSX|PEK|ORD|ATL|MBJ|
MBJ|HKT,|HKT|KWE|PEK|ORD|ATL|MBJ|
MBJ|HRB,|HRB|PEK|ORD|ATL|MBJ|
MBJ|HZH,|HZH|CAN|PEK|ORD|ATL|MBJ|
MBJ|JIU,|JIU|CAN|PEK|ORD|ATL|MBJ|
MBJ|JJN,|JJN|PEK|ORD|ATL|MBJ|
MBJ|JNG,|JNG|CAN|PEK|ORD|ATL|MBJ|
MBJ|KHN,|KHN|DLC|PEK|ORD|ATL|MBJ|
MBJ|KIX,|KIX|SFO|IAH|MBJ|
MBJ|KOW,|KOW|PEK|ORD|ATL|MBJ|
MBJ|KTM,|KTM|IST|LHR|YHZ|MBJ|
MBJ|KUL,|KUL|CAN|PEK|ORD|ATL|MBJ|
MBJ|KWE,|KWE|PEK|ORD|ATL|MBJ|
MBJ|KWL,|KWL|PEK|ORD|ATL|MBJ|
MBJ|LHW,|LHW|CGO|PEK|ORD|ATL|MBJ|
MBJ|LYA,|LYA|KHN|DLC|PEK|ORD|ATL|MBJ|
MBJ|LYG,|LYG|HSN|PEK|ORD|ATL|MBJ|
MBJ|LZH,|LZH|CAN|PEK|ORD|ATL|MBJ|
MBJ|MEL,|MEL|SYD|LAX|IAH|MBJ|
MBJ|MIG,|MIG|CSX|PEK|ORD|ATL|MBJ|
MBJ|MLE,|MLE|IST|LHR|YHZ|MBJ|
MBJ|MNL,|MNL|XMN|PEK|ORD|ATL|MBJ|
MBJ|MXZ,|MXZ|CAN|PEK|ORD|ATL|MBJ|
MBJ|NAO,|NAO|PEK|ORD|ATL|MBJ|
MBJ|NGB,|NGB|PEK|ORD|ATL|MBJ|
MBJ|NKG,|NKG|DLC|PEK|ORD|ATL|MBJ|
MBJ|NNY,|NNY|CGO|PEK|ORD|ATL|MBJ|
MBJ|PEN,|PEN|CAN|PEK|ORD|ATL|MBJ|
MBJ|PER,|PER|CAN|PEK|ORD|ATL|MBJ|
MBJ|PNH,|PNH|CAN|PEK|ORD|ATL|MBJ|
MBJ|REP,|REP|CAN|PEK|ORD|ATL|MBJ|
MBJ|RGN,|RGN|CAN|PEK|ORD|ATL|MBJ|
MBJ|SGN,|SGN|CAN|PEK|ORD|ATL|MBJ|
MBJ|SHA,|SHA|PEK|ORD|ATL|MBJ|
MBJ|SIN,|SIN|HKG|ORD|ATL|MBJ|
MBJ|SVO,|SVO|URC|TSE|FRA|EWR|MBJ|
MBJ|SYX,|SYX|PEK|ORD|ATL|MBJ|
MBJ|TAO,|TAO|DLC|PEK|ORD|ATL|MBJ|
MBJ|TEN,|TEN|PEK|ORD|ATL|MBJ|
MBJ|TNA,|TNA|DLC|PEK|ORD|ATL|MBJ|
MBJ|TPE,|TPE|PVG|ORD|ATL|MBJ|
MBJ|TSN,|TSN|DLC|PEK|ORD|ATL|MBJ|
MBJ|TXN,|TXN|DLC|PEK|ORD|ATL|MBJ|
MBJ|TYN,|TYN|DAT|CIH|PEK|ORD|ATL|MBJ|
MBJ|WNZ,|WNZ|CGO|PEK|ORD|ATL|MBJ|
MBJ|WUX,|WUX|CAN|PEK|ORD|ATL|MBJ|
MBJ|XFN,|XFN|XMN|PEK|ORD|ATL|MBJ|
MBJ|XIY,|XIY|PEK|ORD|ATL|MBJ|
MBJ|XUZ,|XUZ|LYG|HSN|PEK|ORD|ATL|MBJ|
MBJ|YIH,|YIH|CKG|PEK|ORD|ATL|MBJ|
MBJ|YIW,|YIW|PEK|ORD|ATL|MBJ|
MBJ|YNT,|YNT|SHE|PEK|ORD|ATL|MBJ|
MBJ|YNZ,|YNZ|DLC|PEK|ORD|ATL|MBJ|
MBJ|YTY,|YTY|DLC|PEK|ORD|ATL|MBJ|
MBJ|ZHA,|ZHA|CAN|PEK|ORD|ATL|MBJ|
MBJ|ZYI,|ZYI|PEK|ORD|ATL|MBJ|
MBJ|BAV,|BAV|CGO|PEK|ORD|ATL|MBJ|
MBJ|CJU,|CJU|DLC|PEK|ORD|ATL|MBJ|
MBJ|DSN,|DSN|CGO|PEK|ORD|ATL|MBJ|
MBJ|HMI,|HMI|URC|TSE|FRA|EWR|MBJ|
MBJ|INC,|INC|PEK|ORD|ATL|MBJ|
MBJ|KHH,|KHH|CGO|PEK|ORD|ATL|MBJ|
MBJ|UYN,|UYN|CGO|PEK|ORD|ATL|MBJ|
MBJ|XNN,|XNN|PEK|ORD|ATL|MBJ|
MBJ|ZUH,|ZUH|PEK|ORD|ATL|MBJ|
MBJ|YNJ,|YNJ|ICN|YVR|IAH|MBJ|
MBJ|DAT,|DAT|CIH|PEK|ORD|ATL|MBJ|
MBJ|JHG,|JHG|CKG|PEK|ORD|ATL|MBJ|
MBJ|LJG,|LJG|CKG|PEK|ORD|ATL|MBJ|
MBJ|LXA,|LXA|XIY|PEK|ORD|ATL|MBJ|
MBJ|YCU,|YCU|CSX|PEK|ORD|ATL|MBJ|
MBJ|LZO,|LZO|CSX|PEK|ORD|ATL|MBJ|
MBJ|MDG,|MDG|ICN|YVR|IAH|MBJ|
MBJ|NGO,|NGO|ICN|YVR|IAH|MBJ|
MBJ|TOY,|TOY|DLC|PEK|ORD|ATL|MBJ|
MBJ|MFM,|MFM|XMN|PEK|ORD|ATL|MBJ|
MBJ|TGO,|TGO|HET|DLC|PEK|ORD|ATL|MBJ|
MBJ|XIL,|XIL|HET|DLC|PEK|ORD|ATL|MBJ|
MBJ|HEK,|HEK|HRB|PEK|ORD|ATL|MBJ|
