BGI|SYD,|SYD|LAX|YYZ|BGI|
BGI|YBL,|YBL|YVR|YYZ|BGI|
BGI|YCD,|YCD|YVR|YYZ|BGI|
BGI|YCG,|YCG|YYC|YYZ|BGI|
BGI|YKA,|YKA|YYC|YYZ|BGI|
BGI|YPR,|YPR|YVR|YYZ|BGI|
BGI|YQZ,|YQZ|YVR|YYZ|BGI|
BGI|YXC,|YXC|YYC|YYZ|BGI|
BGI|YXJ,|YXJ|YYC|YYZ|BGI|
BGI|YXS,|YXS|YYC|YYZ|BGI|
BGI|YXT,|YXT|YVR|YYZ|BGI|
BGI|YXY,|YXY|YVR|YYZ|BGI|
BGI|YYD,|YYD|YVR|YYZ|BGI|
BGI|YYF,|YYF|YVR|YYZ|BGI|
BGI|YZP,|YZP|YVR|YYZ|BGI|
BGI|YQT,|YQT|YYZ|BGI|
BGI|SJD,|SJD|ORD|YYZ|BGI|
BGI|YQF,|YQF|YYC|YYZ|BGI|
BGI|YQL,|YQL|YYC|YYZ|BGI|
BGI|YXH,|YXH|YYC|YYZ|BGI|
BGI|YWK,|YWK|YZV|YQB|YYZ|BGI|
BGI|ANU,|ANU|YYZ|BGI|
BGI|AUA,|AUA|YYZ|BGI|
BGI|AUH,|AUH|YYZ|BGI|
BGI|BCN,|BCN|YYZ|BGI|
BGI|BDA,|BDA|YYZ|BGI|
BGI|BNA,|BNA|YYZ|BGI|
BGI|BOG,|BOG|YYZ|BGI|
BGI|BWI,|BWI|YYZ|BGI|
BGI|CLE,|CLE|YYZ|BGI|
BGI|CLT,|CLT|YYZ|BGI|
BGI|CMH,|CMH|YYZ|BGI|
BGI|CVG,|CVG|YYZ|BGI|
BGI|DFW,|DFW|YYZ|BGI|
BGI|DTW,|DTW|YYZ|BGI|
BGI|DUB,|DUB|YYZ|BGI|
BGI|FCO,|FCO|YYZ|BGI|
BGI|GCM,|GCM|YYZ|BGI|
BGI|GGT,|GGT|YYZ|BGI|
BGI|GND,|GND|YYZ|BGI|
BGI|GRU,|GRU|YYZ|BGI|
BGI|HAV,|HAV|YYZ|BGI|
BGI|IND,|IND|YYZ|BGI|
BGI|JFK,|JFK|YYZ|BGI|
BGI|KIN,|KIN|YYZ|BGI|
BGI|LIM,|LIM|YYZ|BGI|
BGI|LIR,|LIR|YYZ|BGI|
BGI|MCI,|MCI|YYZ|BGI|
BGI|MDT,|MDT|YYZ|BGI|
BGI|MIA,|MIA|YYZ|BGI|
BGI|MKE,|MKE|YYZ|BGI|
BGI|MSP,|MSP|YYZ|BGI|
BGI|NAS,|NAS|YYZ|BGI|
BGI|PHL,|PHL|YYZ|BGI|
BGI|PHX,|PHX|YYZ|BGI|
BGI|PIT,|PIT|YYZ|BGI|
BGI|PLS,|PLS|YYZ|BGI|
BGI|POP,|POP|YYZ|BGI|
BGI|RDU,|RDU|YYZ|BGI|
BGI|ROC,|ROC|YYZ|BGI|
BGI|RSW,|RSW|YYZ|BGI|
BGI|SAN,|SAN|YYZ|BGI|
BGI|SJO,|SJO|YYZ|BGI|
BGI|STL,|STL|YYZ|BGI|
BGI|SYR,|SYR|YYZ|BGI|
BGI|TLV,|TLV|YYZ|BGI|
BGI|TPA,|TPA|YYZ|BGI|
BGI|UVF,|UVF|YYZ|BGI|
BGI|VIE,|VIE|YYZ|BGI|
BGI|YAM,|YAM|YYZ|BGI|
BGI|YGK,|YGK|YYZ|BGI|
BGI|YQG,|YQG|YYZ|BGI|
BGI|YSB,|YSB|YYZ|BGI|
BGI|YTS,|YTS|YYZ|BGI|
BGI|YYB,|YYB|YYZ|BGI|
BGI|YZR,|YZR|YYZ|BGI|
BGI|CAN,|CAN|PEK|YYZ|BGI|
BGI|URC,|URC|TSE|FRA|YYZ|BGI|
BGI|CTU,|CTU|PEK|YYZ|BGI|
BGI|HGH,|HGH|PEK|YYZ|BGI|
BGI|XMN,|XMN|PEK|YYZ|BGI|
BGI|CGO,|CGO|PEK|YYZ|BGI|
BGI|CSX,|CSX|PEK|YYZ|BGI|
BGI|SHE,|SHE|PEK|YYZ|BGI|
BGI|SJW,|SJW|DLC|PEK|YYZ|BGI|
BGI|WUH,|WUH|PEK|YYZ|BGI|
BGI|SZX,|SZX|PEK|YYZ|BGI|
BGI|CKG,|CKG|PEK|YYZ|BGI|
BGI|KMG,|KMG|PEK|YYZ|BGI|
BGI|FOC,|FOC|PEK|YYZ|BGI|
BGI|NNG,|NNG|PEK|YYZ|BGI|
BGI|SWA,|SWA|PEK|YYZ|BGI|
BGI|ACX,|ACX|CAN|PEK|YYZ|BGI|
BGI|AQG,|AQG|CAN|PEK|YYZ|BGI|
BGI|AVA,|AVA|CAN|PEK|YYZ|BGI|
BGI|BFJ,|BFJ|CAN|PEK|YYZ|BGI|
BGI|BHY,|BHY|CGO|PEK|YYZ|BGI|
BGI|BNE,|BNE|CAN|PEK|YYZ|BGI|
BGI|CGD,|CGD|PEK|YYZ|BGI|
BGI|CGK,|CGK|CAN|PEK|YYZ|BGI|
