MAD|SYR,|SYR|EWR|MAD|
MAD|TLV,|TLV|IST|MAD|
MAD|TPA,|TPA|EWR|MAD|
MAD|UVF,|UVF|EWR|MAD|
MAD|VIE,|VIE|IST|MAD|
MAD|YAM,|YAM|YYZ|EWR|MAD|
MAD|YGK,|YGK|YYZ|EWR|MAD|
MAD|YQG,|YQG|YYZ|EWR|MAD|
MAD|YSB,|YSB|YYZ|EWR|MAD|
MAD|YTS,|YTS|YYZ|EWR|MAD|
MAD|YYB,|YYB|YYZ|EWR|MAD|
MAD|YZR,|YZR|YYZ|EWR|MAD|
MAD|CAN,|CAN|IST|MAD|
MAD|URC,|URC|IST|MAD|
MAD|CTU,|CTU|URC|IST|MAD|
MAD|HGH,|HGH|URC|IST|MAD|
MAD|XMN,|XMN|CSX|URC|IST|MAD|
MAD|CGO,|CGO|URC|IST|MAD|
MAD|CSX,|CSX|URC|IST|MAD|
MAD|SHE,|SHE|PEK|IST|MAD|
MAD|SJW,|SJW|URC|IST|MAD|
MAD|WUH,|WUH|URC|IST|MAD|
MAD|SZX,|SZX|CKG|URC|IST|MAD|
MAD|CKG,|CKG|URC|IST|MAD|
MAD|KMG,|KMG|CTU|URC|IST|MAD|
MAD|FOC,|FOC|XIY|URC|IST|MAD|
MAD|NNG,|NNG|KWE|URC|IST|MAD|
MAD|SWA,|SWA|CAN|IST|MAD|
MAD|ACX,|ACX|CAN|IST|MAD|
MAD|AQG,|AQG|CAN|IST|MAD|
MAD|AVA,|AVA|CAN|IST|MAD|
MAD|BFJ,|BFJ|CAN|IST|MAD|
MAD|BHY,|BHY|CKG|URC|IST|MAD|
MAD|BNE,|BNE|BKK|IST|MAD|
MAD|CGD,|CGD|PEK|IST|MAD|
MAD|CGK,|CGK|SIN|IST|MAD|
MAD|CGQ,|CGQ|HET|URC|IST|MAD|
MAD|CIH,|CIH|PEK|IST|MAD|
MAD|CNX,|CNX|CAN|IST|MAD|
MAD|CZX,|CZX|TYN|URC|IST|MAD|
MAD|DAC,|DAC|IST|MAD|
MAD|DAD,|DAD|CAN|IST|MAD|
MAD|DEL,|DEL|IST|MAD|
MAD|DIG,|DIG|KMG|CTU|URC|IST|MAD|
MAD|DLC,|DLC|PEK|IST|MAD|
MAD|DPS,|DPS|CAN|IST|MAD|
MAD|DXB,|DXB|IST|MAD|
MAD|DYG,|DYG|CSX|URC|IST|MAD|
MAD|FUG,|FUG|CAN|IST|MAD|
MAD|FUK,|FUK|ICN|IST|MAD|
MAD|HAK,|HAK|CTU|URC|IST|MAD|
MAD|HAN,|HAN|CAN|IST|MAD|
MAD|HDG,|HDG|CAN|IST|MAD|
MAD|HET,|HET|URC|IST|MAD|
MAD|HFE,|HFE|XIY|URC|IST|MAD|
MAD|HJJ,|HJJ|CSX|URC|IST|MAD|
MAD|HKT,|HKT|KWE|URC|IST|MAD|
MAD|HRB,|HRB|PEK|IST|MAD|
MAD|HZH,|HZH|CAN|IST|MAD|
MAD|JIU,|JIU|CAN|IST|MAD|
MAD|JJN,|JJN|CSX|URC|IST|MAD|
MAD|JNG,|JNG|CAN|IST|MAD|
MAD|KHN,|KHN|XIY|URC|IST|MAD|
MAD|KIX,|KIX|IST|MAD|
MAD|KOW,|KOW|CAN|IST|MAD|
MAD|KTM,|KTM|IST|MAD|
MAD|KUL,|KUL|IST|MAD|
MAD|KWE,|KWE|URC|IST|MAD|
MAD|KWL,|KWL|CKG|URC|IST|MAD|
MAD|LHW,|LHW|URC|IST|MAD|
MAD|LYA,|LYA|KHN|XIY|URC|IST|MAD|
MAD|LYG,|LYG|XUZ|INC|URC|IST|MAD|
MAD|LZH,|LZH|CAN|IST|MAD|
MAD|MEL,|MEL|BKK|IST|MAD|
MAD|MIG,|MIG|CSX|URC|IST|MAD|
MAD|MLE,|MLE|IST|MAD|
MAD|MNL,|MNL|CAN|IST|MAD|
MAD|MXZ,|MXZ|CAN|IST|MAD|
MAD|NAO,|NAO|PEK|IST|MAD|
MAD|NGB,|NGB|WUH|URC|IST|MAD|
MAD|NKG,|NKG|URC|IST|MAD|
MAD|NNY,|NNY|CGO|URC|IST|MAD|
MAD|PEN,|PEN|CAN|IST|MAD|
MAD|PER,|PER|BKK|IST|MAD|
MAD|PNH,|PNH|CAN|IST|MAD|
MAD|REP,|REP|CAN|IST|MAD|
MAD|RGN,|RGN|CAN|IST|MAD|
MAD|SGN,|SGN|BKK|IST|MAD|
MAD|SHA,|SHA|URC|IST|MAD|
MAD|SIN,|SIN|IST|MAD|
MAD|SVO,|SVO|URC|IST|MAD|
MAD|SYX,|SYX|CKG|URC|IST|MAD|
MAD|TAO,|TAO|TYN|URC|IST|MAD|
MAD|TEN,|TEN|CAN|IST|MAD|
MAD|TNA,|TNA|URC|IST|MAD|
MAD|TPE,|TPE|URC|IST|MAD|
MAD|TSN,|TSN|HET|URC|IST|MAD|
MAD|TXN,|TXN|TYN|URC|IST|MAD|
MAD|TYN,|TYN|URC|IST|MAD|
MAD|WNZ,|WNZ|XIY|URC|IST|MAD|
MAD|WUX,|WUX|CAN|IST|MAD|
MAD|XFN,|XFN|CAN|IST|MAD|
MAD|XIY,|XIY|URC|IST|MAD|
MAD|XUZ,|XUZ|INC|URC|IST|MAD|
MAD|YIH,|YIH|CKG|URC|IST|MAD|
MAD|YIW,|YIW|URC|IST|MAD|
MAD|YNT,|YNT|SHE|PEK|IST|MAD|
MAD|YNZ,|YNZ|WUH|URC|IST|MAD|
MAD|YTY,|YTY|CGO|URC|IST|MAD|
MAD|ZHA,|ZHA|CAN|IST|MAD|
MAD|ZYI,|ZYI|CAN|IST|MAD|
MAD|BAV,|BAV|URC|IST|MAD|
MAD|CJU,|CJU|DLC|PEK|IST|MAD|
MAD|DSN,|DSN|CGO|URC|IST|MAD|
MAD|HMI,|HMI|URC|IST|MAD|
MAD|INC,|INC|URC|IST|MAD|
MAD|KHH,|KHH|WUH|URC|IST|MAD|
MAD|UYN,|UYN|XIY|URC|IST|MAD|
MAD|XNN,|XNN|URC|IST|MAD|
MAD|ZUH,|ZUH|KWE|URC|IST|MAD|
MAD|YNJ,|YNJ|PEK|IST|MAD|
MAD|DAT,|DAT|TYN|URC|IST|MAD|
MAD|JHG,|JHG|KMG|CTU|URC|IST|MAD|
MAD|LJG,|LJG|KMG|CTU|URC|IST|MAD|
MAD|LXA,|LXA|CKG|URC|IST|MAD|
MAD|YCU,|YCU|CKG|URC|IST|MAD|
MAD|LZO,|LZO|CSX|URC|IST|MAD|
MAD|MDG,|MDG|DLC|PEK|IST|MAD|
MAD|NGO,|NGO|ICN|IST|MAD|
MAD|TOY,|TOY|DLC|PEK|IST|MAD|
MAD|MFM,|MFM|XMN|CSX|URC|IST|MAD|
MAD|TGO,|TGO|HET|URC|IST|MAD|
MAD|XIL,|XIL|HET|URC|IST|MAD|
MAD|HEK,|HEK|HRB|PEK|IST|MAD|
MAD|KIJ,|KIJ|HRB|PEK|IST|MAD|
MAD|LDS,|LDS|HRB|PEK|IST|MAD|
MAD|OHE,|OHE|HRB|PEK|IST|MAD|
MAD|HSN,|HSN|LYG|XUZ|INC|URC|IST|MAD|
MAD|DLU,|DLU|KMG|CTU|URC|IST|MAD|
MAD|SYM,|SYM|KMG|CTU|URC|IST|MAD|
MAD|ZAT,|ZAT|KMG|CTU|URC|IST|MAD|
MAD|LUN,|LUN|NBO|IST|MAD|
MAD|AOG,|AOG|PEK|IST|MAD|
MAD|GMP,|GMP|PEK|IST|MAD|
MAD|ISB,|ISB|IST|MAD|
MAD|TAS,|TAS|IST|MAD|
MAD|WUS,|WUS|PEK|IST|MAD|
MAD|JMU,|JMU|PVG|IST|MAD|
MAD|NDG,|NDG|PVG|IST|MAD|
MAD|JXA,|JXA|SHE|PEK|IST|MAD|
MAD|PUS,|PUS|SHE|PEK|IST|MAD|
MAD|BKI,|BKI|SZX|CKG|URC|IST|MAD|
MAD|AKU,|AKU|URC|IST|MAD|
MAD|ALA,|ALA|IST|MAD|
MAD|ASB,|ASB|IST|MAD|
MAD|DNH,|DNH|URC|IST|MAD|
MAD|DYU,|DYU|IST|MAD|
MAD|FRU,|FRU|IST|MAD|
MAD|GYD,|GYD|IST|MAD|
MAD|HTN,|HTN|URC|IST|MAD|
MAD|IKA,|IKA|IST|MAD|
MAD|KCA,|KCA|URC|IST|MAD|
MAD|KHG,|KHG|URC|IST|MAD|
MAD|KRL,|KRL|URC|IST|MAD|
MAD|KRY,|KRY|URC|IST|MAD|
MAD|LBD,|LBD|URC|IST|MAD|
MAD|NLT,|NLT|URC|IST|MAD|
MAD|OSS,|OSS|IST|MAD|
MAD|OVB,|OVB|IST|MAD|
MAD|TBS,|TBS|IST|MAD|
MAD|TCG,|TCG|URC|IST|MAD|
MAD|TSE,|TSE|IST|MAD|
MAD|YIN,|YIN|URC|IST|MAD|
MAD|ENH,|ENH|WUH|URC|IST|MAD|
MAD|ENY,|ENY|XIY|URC|IST|MAD|
MAD|WXN,|WXN|XIY|URC|IST|MAD|
MAD|BLL,|BLL|IST|MAD|
MAD|ESB,|ESB|IST|MAD|
MAD|SAW,|SAW|ADB|IST|MAD|
MAD|HAM,|HAM|IST|MAD|
MAD|HRE,|HRE|ADD|IST|MAD|
MAD|JUB,|JUB|CAI|IST|MAD|
MAD|SSG,|SSG|DLA|IST|MAD|
MAD|BGW,|BGW|IST|MAD|
MAD|EBL,|EBL|IST|MAD|
MAD|VKO,|VKO|IST|MAD|
MAD|MCT,|MCT|IST|MAD|
MAD|AYT,|AYT|IST|MAD|
MAD|SCQ,|SCQ|BIO|IST|MAD|
MAD|AAL,|AAL|IST|MAD|
MAD|AOE,|AOE|BRU|IST|MAD|
MAD|JNB,|JNB|IST|MAD|
MAD|LBV,|LBV|DLA|IST|MAD|
MAD|ADA,|ADA|IST|MAD|
MAD|ADB,|ADB|IST|MAD|
MAD|ADF,|ADF|IST|MAD|
MAD|AJI,|AJI|IST|MAD|
MAD|BAL,|BAL|IST|MAD|
MAD|BJV,|BJV|IST|MAD|
MAD|CKZ,|CKZ|ESB|IST|MAD|
MAD|DIY,|DIY|IST|MAD|
MAD|ECN,|ECN|IST|MAD|
MAD|ERC,|ERC|IST|MAD|
MAD|ERZ,|ERZ|IST|MAD|
MAD|EZS,|EZS|IST|MAD|
MAD|GNY,|GNY|IST|MAD|
MAD|GZP,|GZP|ESB|IST|MAD|
MAD|GZT,|GZT|IST|MAD|
MAD|HTY,|HTY|IST|MAD|
MAD|KCM,|KCM|IST|MAD|
MAD|KSY,|KSY|IST|MAD|
MAD|MLX,|MLX|IST|MAD|
MAD|MQM,|MQM|IST|MAD|
MAD|MSR,|MSR|IST|MAD|
MAD|TEQ,|TEQ|ESB|IST|MAD|
MAD|TZX,|TZX|IST|MAD|
MAD|VAN,|VAN|IST|MAD|
MAD|ULN,|ULN|FRU|IST|MAD|
MAD|HIJ,|HIJ|ICN|IST|MAD|
MAD|VVO,|VVO|ICN|IST|MAD|
MAD|ACC,|ACC|IST|MAD|
MAD|AER,|AER|IST|MAD|
MAD|AGP,|AGP|IST|MAD|
MAD|ALG,|ALG|IST|MAD|
MAD|AMM,|AMM|IST|MAD|
MAD|AQJ,|AQJ|IST|MAD|
MAD|ARN,|ARN|IST|MAD|
MAD|ASR,|ASR|IST|MAD|
MAD|ATH,|ATH|IST|MAD|
MAD|BAH,|BAH|IST|MAD|
MAD|BEG,|BEG|IST|MAD|
MAD|BEN,|BEN|IST|MAD|
MAD|BEY,|BEY|IST|MAD|
MAD|BHX,|BHX|IST|MAD|
MAD|BIO,|BIO|IST|MAD|
MAD|BLQ,|BLQ|IST|MAD|
MAD|BOM,|BOM|IST|MAD|
MAD|BRE,|BRE|IST|MAD|
MAD|BSL,|BSL|IST|MAD|
MAD|BSR,|BSR|IST|MAD|
MAD|BUD,|BUD|IST|MAD|
MAD|BUS,|BUS|IST|MAD|
MAD|CAI,|CAI|IST|MAD|
MAD|CGN,|CGN|IST|MAD|
MAD|CMN,|CMN|IST|MAD|
MAD|CND,|CND|IST|MAD|
MAD|DAR,|DAR|IST|MAD|
MAD|DLM,|DLM|IST|MAD|
MAD|DMM,|DMM|IST|MAD|
