ROA|KTM,|KTM|IST|IAD|ROA|
ROA|KUL,|KUL|CAN|PEK|IAD|ROA|
ROA|KWE,|KWE|PEK|IAD|ROA|
ROA|KWL,|KWL|PEK|IAD|ROA|
ROA|LHW,|LHW|CGO|PEK|IAD|ROA|
ROA|LYA,|LYA|KHN|DLC|PEK|IAD|ROA|
ROA|LYG,|LYG|HSN|PEK|IAD|ROA|
ROA|LZH,|LZH|CAN|PEK|IAD|ROA|
ROA|MEL,|MEL|SYD|LAX|ORD|ROA|
ROA|MIG,|MIG|CSX|PEK|IAD|ROA|
ROA|MLE,|MLE|IST|IAD|ROA|
ROA|MNL,|MNL|XMN|PEK|IAD|ROA|
ROA|MXZ,|MXZ|CAN|PEK|IAD|ROA|
ROA|NAO,|NAO|PEK|IAD|ROA|
ROA|NGB,|NGB|PEK|IAD|ROA|
ROA|NKG,|NKG|DLC|PEK|IAD|ROA|
ROA|NNY,|NNY|CGO|PEK|IAD|ROA|
ROA|PEN,|PEN|CAN|PEK|IAD|ROA|
ROA|PER,|PER|CAN|PEK|IAD|ROA|
ROA|PNH,|PNH|CAN|PEK|IAD|ROA|
ROA|REP,|REP|CAN|PEK|IAD|ROA|
ROA|RGN,|RGN|CAN|PEK|IAD|ROA|
ROA|SGN,|SGN|CAN|PEK|IAD|ROA|
ROA|SHA,|SHA|PEK|IAD|ROA|
ROA|SIN,|SIN|CAN|PEK|IAD|ROA|
ROA|SVO,|SVO|URC|TSE|FRA|IAD|ROA|
ROA|SYX,|SYX|PEK|IAD|ROA|
ROA|TAO,|TAO|DLC|PEK|IAD|ROA|
ROA|TEN,|TEN|PEK|IAD|ROA|
ROA|TNA,|TNA|DLC|PEK|IAD|ROA|
ROA|TPE,|TPE|PVG|ORD|ROA|
ROA|TSN,|TSN|DLC|PEK|IAD|ROA|
ROA|TXN,|TXN|DLC|PEK|IAD|ROA|
ROA|TYN,|TYN|DAT|CIH|PEK|IAD|ROA|
ROA|WNZ,|WNZ|CGO|PEK|IAD|ROA|
ROA|WUX,|WUX|CAN|PEK|IAD|ROA|
ROA|XFN,|XFN|XMN|PEK|IAD|ROA|
ROA|XIY,|XIY|PEK|IAD|ROA|
ROA|XUZ,|XUZ|LYG|HSN|PEK|IAD|ROA|
ROA|YIH,|YIH|CKG|PEK|IAD|ROA|
ROA|YIW,|YIW|PEK|IAD|ROA|
