DCA|SZX,|SZX|PEK|YYZ|DCA|
DCA|CKG,|CKG|PEK|YYZ|DCA|
DCA|KMG,|KMG|PEK|YYZ|DCA|
DCA|FOC,|FOC|PEK|YYZ|DCA|
DCA|NNG,|NNG|PEK|YYZ|DCA|
DCA|SWA,|SWA|PEK|YYZ|DCA|
DCA|ACX,|ACX|CAN|PEK|YYZ|DCA|
DCA|AQG,|AQG|CAN|PEK|YYZ|DCA|
DCA|AVA,|AVA|CAN|PEK|YYZ|DCA|
DCA|BFJ,|BFJ|CAN|PEK|YYZ|DCA|
DCA|BHY,|BHY|CGO|PEK|YYZ|DCA|
DCA|BNE,|BNE|CAN|PEK|YYZ|DCA|
DCA|CGD,|CGD|PEK|YYZ|DCA|
DCA|CGK,|CGK|CAN|PEK|YYZ|DCA|
DCA|CGQ,|CGQ|PEK|YYZ|DCA|
DCA|CIH,|CIH|PEK|YYZ|DCA|
DCA|CNX,|CNX|CAN|PEK|YYZ|DCA|
DCA|CZX,|CZX|SHE|PEK|YYZ|DCA|
DCA|DAC,|DAC|IST|BHX|EWR|DCA|
DCA|DAD,|DAD|CAN|PEK|YYZ|DCA|
DCA|DEL,|DEL|EWR|DCA|
DCA|DIG,|DIG|KMG|PEK|YYZ|DCA|
DCA|DLC,|DLC|PEK|YYZ|DCA|
DCA|DPS,|DPS|SZX|PEK|YYZ|DCA|
DCA|DXB,|DXB|IST|BHX|EWR|DCA|
DCA|DYG,|DYG|PEK|YYZ|DCA|
DCA|FUG,|FUG|CAN|PEK|YYZ|DCA|
DCA|FUK,|FUK|ICN|YVR|ORD|DCA|
DCA|HAK,|HAK|PEK|YYZ|DCA|
DCA|HAN,|HAN|PEK|YYZ|DCA|
DCA|HDG,|HDG|CAN|PEK|YYZ|DCA|
DCA|HET,|HET|DLC|PEK|YYZ|DCA|
DCA|HFE,|HFE|XIY|PEK|YYZ|DCA|
DCA|HJJ,|HJJ|CSX|PEK|YYZ|DCA|
DCA|HKT,|HKT|KWE|PEK|YYZ|DCA|
DCA|HRB,|HRB|PEK|YYZ|DCA|
DCA|HZH,|HZH|CAN|PEK|YYZ|DCA|
DCA|JIU,|JIU|CAN|PEK|YYZ|DCA|
DCA|JJN,|JJN|PEK|YYZ|DCA|
DCA|JNG,|JNG|CAN|PEK|YYZ|DCA|
DCA|KHN,|KHN|DLC|PEK|YYZ|DCA|
DCA|KIX,|KIX|SFO|DCA|
DCA|KOW,|KOW|PEK|YYZ|DCA|
DCA|KTM,|KTM|IST|BHX|EWR|DCA|
DCA|KUL,|KUL|CAN|PEK|YYZ|DCA|
DCA|KWE,|KWE|PEK|YYZ|DCA|
DCA|KWL,|KWL|PEK|YYZ|DCA|
DCA|LHW,|LHW|CGO|PEK|YYZ|DCA|
DCA|LYA,|LYA|KHN|DLC|PEK|YYZ|DCA|
DCA|LYG,|LYG|HSN|PEK|YYZ|DCA|
DCA|LZH,|LZH|CAN|PEK|YYZ|DCA|
DCA|MEL,|MEL|SYD|LAX|STL|DCA|
DCA|MIG,|MIG|CSX|PEK|YYZ|DCA|
DCA|MLE,|MLE|IST|BHX|EWR|DCA|
DCA|MNL,|MNL|XMN|PEK|YYZ|DCA|
DCA|MXZ,|MXZ|CAN|PEK|YYZ|DCA|
DCA|NAO,|NAO|PEK|YYZ|DCA|
DCA|NGB,|NGB|PEK|YYZ|DCA|
DCA|NKG,|NKG|DLC|PEK|YYZ|DCA|
DCA|NNY,|NNY|CGO|PEK|YYZ|DCA|
DCA|PEN,|PEN|CAN|PEK|YYZ|DCA|
DCA|PER,|PER|CAN|PEK|YYZ|DCA|
DCA|PNH,|PNH|CAN|PEK|YYZ|DCA|
DCA|REP,|REP|CAN|PEK|YYZ|DCA|
DCA|RGN,|RGN|CAN|PEK|YYZ|DCA|
DCA|SGN,|SGN|CAN|PEK|YYZ|DCA|
DCA|SHA,|SHA|PEK|YYZ|DCA|
DCA|SIN,|SIN|CAN|PEK|YYZ|DCA|
DCA|SVO,|SVO|URC|TSE|FRA|EWR|DCA|
DCA|SYX,|SYX|PEK|YYZ|DCA|
DCA|TAO,|TAO|DLC|PEK|YYZ|DCA|
DCA|TEN,|TEN|PEK|YYZ|DCA|
DCA|TNA,|TNA|DLC|PEK|YYZ|DCA|
DCA|TPE,|TPE|PVG|YYZ|DCA|
DCA|TSN,|TSN|DLC|PEK|YYZ|DCA|
DCA|TXN,|TXN|DLC|PEK|YYZ|DCA|
DCA|TYN,|TYN|DAT|CIH|PEK|YYZ|DCA|
DCA|WNZ,|WNZ|CGO|PEK|YYZ|DCA|
DCA|WUX,|WUX|CAN|PEK|YYZ|DCA|
DCA|XFN,|XFN|XMN|PEK|YYZ|DCA|
DCA|XIY,|XIY|PEK|YYZ|DCA|
DCA|XUZ,|XUZ|LYG|HSN|PEK|YYZ|DCA|
DCA|YIH,|YIH|CKG|PEK|YYZ|DCA|
DCA|YIW,|YIW|PEK|YYZ|DCA|
DCA|YNT,|YNT|SHE|PEK|YYZ|DCA|
DCA|YNZ,|YNZ|DLC|PEK|YYZ|DCA|
DCA|YTY,|YTY|DLC|PEK|YYZ|DCA|
DCA|ZHA,|ZHA|CAN|PEK|YYZ|DCA|
DCA|ZYI,|ZYI|PEK|YYZ|DCA|
DCA|BAV,|BAV|CGO|PEK|YYZ|DCA|
DCA|CJU,|CJU|DLC|PEK|YYZ|DCA|
DCA|DSN,|DSN|CGO|PEK|YYZ|DCA|
DCA|HMI,|HMI|URC|TSE|FRA|EWR|DCA|
DCA|INC,|INC|PEK|YYZ|DCA|
DCA|KHH,|KHH|CGO|PEK|YYZ|DCA|
DCA|UYN,|UYN|CGO|PEK|YYZ|DCA|
DCA|XNN,|XNN|PEK|YYZ|DCA|
DCA|ZUH,|ZUH|PEK|YYZ|DCA|
DCA|YNJ,|YNJ|PEK|YYZ|DCA|
DCA|DAT,|DAT|CIH|PEK|YYZ|DCA|
DCA|JHG,|JHG|CKG|PEK|YYZ|DCA|
DCA|LJG,|LJG|CKG|PEK|YYZ|DCA|
DCA|LXA,|LXA|XIY|PEK|YYZ|DCA|
DCA|YCU,|YCU|CSX|PEK|YYZ|DCA|
DCA|LZO,|LZO|CSX|PEK|YYZ|DCA|
DCA|MDG,|MDG|DLC|PEK|YYZ|DCA|
DCA|NGO,|NGO|ICN|YVR|ORD|DCA|
DCA|TOY,|TOY|DLC|PEK|YYZ|DCA|
DCA|MFM,|MFM|XMN|PEK|YYZ|DCA|
DCA|TGO,|TGO|HET|DLC|PEK|YYZ|DCA|
DCA|XIL,|XIL|HET|DLC|PEK|YYZ|DCA|
DCA|HEK,|HEK|HRB|PEK|YYZ|DCA|
DCA|KIJ,|KIJ|HRB|PEK|YYZ|DCA|
DCA|LDS,|LDS|HRB|PEK|YYZ|DCA|
DCA|OHE,|OHE|HRB|PEK|YYZ|DCA|
DCA|HSN,|HSN|PEK|YYZ|DCA|
DCA|DLU,|DLU|KMG|PEK|YYZ|DCA|
DCA|SYM,|SYM|KMG|PEK|YYZ|DCA|
DCA|ZAT,|ZAT|KMG|PEK|YYZ|DCA|
DCA|LUN,|LUN|NBO|ZRH|EWR|DCA|
DCA|AOG,|AOG|PEK|YYZ|DCA|
DCA|GMP,|GMP|PEK|YYZ|DCA|
DCA|ISB,|ISB|IST|BHX|EWR|DCA|
DCA|TAS,|TAS|IST|BHX|EWR|DCA|
DCA|WUS,|WUS|PEK|YYZ|DCA|
DCA|JMU,|JMU|PVG|YYZ|DCA|
DCA|NDG,|NDG|PVG|YYZ|DCA|
DCA|JXA,|JXA|SHE|PEK|YYZ|DCA|
DCA|PUS,|PUS|SHE|PEK|YYZ|DCA|
DCA|BKI,|BKI|SZX|PEK|YYZ|DCA|
DCA|AKU,|AKU|URC|TSE|FRA|EWR|DCA|
DCA|ALA,|ALA|TSE|FRA|EWR|DCA|
DCA|ASB,|ASB|GYD|FRA|EWR|DCA|
DCA|DNH,|DNH|URC|TSE|FRA|EWR|DCA|
DCA|DYU,|DYU|IST|BHX|EWR|DCA|
DCA|FRU,|FRU|IST|BHX|EWR|DCA|
DCA|GYD,|GYD|FRA|EWR|DCA|
DCA|HTN,|HTN|URC|TSE|FRA|EWR|DCA|
DCA|IKA,|IKA|SAW|FRA|EWR|DCA|
DCA|KCA,|KCA|URC|TSE|FRA|EWR|DCA|
DCA|KHG,|KHG|URC|TSE|FRA|EWR|DCA|
DCA|KRL,|KRL|URC|TSE|FRA|EWR|DCA|
DCA|KRY,|KRY|URC|TSE|FRA|EWR|DCA|
DCA|LBD,|LBD|URC|TSE|FRA|EWR|DCA|
DCA|NLT,|NLT|URC|TSE|FRA|EWR|DCA|
DCA|OSS,|OSS|IST|BHX|EWR|DCA|
DCA|OVB,|OVB|IST|BHX|EWR|DCA|
DCA|TBS,|TBS|SAW|FRA|EWR|DCA|
DCA|TCG,|TCG|URC|TSE|FRA|EWR|DCA|
DCA|TSE,|TSE|FRA|EWR|DCA|
DCA|YIN,|YIN|URC|TSE|FRA|EWR|DCA|
DCA|ENH,|ENH|WUH|PEK|YYZ|DCA|
DCA|ENY,|ENY|XIY|PEK|YYZ|DCA|
DCA|WXN,|WXN|XIY|PEK|YYZ|DCA|
DCA|BLL,|BLL|IST|BHX|EWR|DCA|
DCA|ESB,|ESB|FRA|EWR|DCA|
DCA|SAW,|SAW|FRA|EWR|DCA|
DCA|HAM,|HAM|EWR|DCA|
