ELP|BFJ,|BFJ|CAN|PVG|SFO|LAS|ELP|
ELP|BHY,|BHY|CSX|ICN|SFO|LAS|ELP|
ELP|BNE,|BNE|CAN|PVG|SFO|LAS|ELP|
ELP|CGD,|CGD|PEK|SEA|LAS|ELP|
ELP|CGK,|CGK|CAN|PVG|SFO|LAS|ELP|
ELP|CGQ,|CGQ|NRT|SFO|LAS|ELP|
ELP|CIH,|CIH|PEK|SEA|LAS|ELP|
ELP|CNX,|CNX|CAN|PVG|SFO|LAS|ELP|
ELP|CZX,|CZX|SHE|ICN|SFO|LAS|ELP|
ELP|DAC,|DAC|CAN|PVG|SFO|LAS|ELP|
ELP|DAD,|DAD|CAN|PVG|SFO|LAS|ELP|
ELP|DEL,|DEL|EWR|BWI|LIT|DAL|ELP|
ELP|DIG,|DIG|KMG|PEK|SEA|LAS|ELP|
ELP|DLC,|DLC|ICN|SFO|LAS|ELP|
ELP|DPS,|DPS|SZX|PVG|SFO|LAS|ELP|
ELP|DXB,|DXB|IST|FRA|DEN|ELP|
ELP|DYG,|DYG|PEK|SEA|LAS|ELP|
ELP|FUG,|FUG|CAN|PVG|SFO|LAS|ELP|
ELP|FUK,|FUK|ICN|SFO|LAS|ELP|
ELP|HAK,|HAK|PVG|SFO|LAS|ELP|
ELP|HAN,|HAN|PEK|SEA|LAS|ELP|
ELP|HDG,|HDG|CAN|PVG|SFO|LAS|ELP|
ELP|HET,|HET|DLC|ICN|SFO|LAS|ELP|
ELP|HFE,|HFE|TYN|DLC|ICN|SFO|LAS|ELP|
ELP|HJJ,|HJJ|CSX|ICN|SFO|LAS|ELP|
ELP|HKT,|HKT|KWE|PEK|SEA|LAS|ELP|
ELP|HRB,|HRB|ICN|SFO|LAS|ELP|
ELP|HZH,|HZH|CAN|PVG|SFO|LAS|ELP|
ELP|JIU,|JIU|CAN|PVG|SFO|LAS|ELP|
ELP|JJN,|JJN|PEK|SEA|LAS|ELP|
ELP|JNG,|JNG|CAN|PVG|SFO|LAS|ELP|
ELP|KHN,|KHN|DLC|ICN|SFO|LAS|ELP|
ELP|KIX,|KIX|SFO|LAS|ELP|
ELP|KOW,|KOW|PEK|SEA|LAS|ELP|
ELP|KTM,|KTM|CAN|PVG|SFO|LAS|ELP|
ELP|KUL,|KUL|PVG|SFO|LAS|ELP|
ELP|KWE,|KWE|PEK|SEA|LAS|ELP|
ELP|KWL,|KWL|PEK|SEA|LAS|ELP|
ELP|LHW,|LHW|CGO|PEK|SEA|LAS|ELP|
ELP|LYA,|LYA|KHN|DLC|ICN|SFO|LAS|ELP|
ELP|LYG,|LYG|HSN|PEK|SEA|LAS|ELP|
ELP|LZH,|LZH|CAN|PVG|SFO|LAS|ELP|
ELP|MEL,|MEL|SYD|LAX|ELP|
ELP|MIG,|MIG|CSX|ICN|SFO|LAS|ELP|
ELP|MLE,|MLE|IST|FRA|DEN|ELP|
ELP|MNL,|MNL|XMN|PEK|SEA|LAS|ELP|
ELP|MXZ,|MXZ|CAN|PVG|SFO|LAS|ELP|
ELP|NAO,|NAO|PEK|SEA|LAS|ELP|
ELP|NGB,|NGB|DLC|ICN|SFO|LAS|ELP|
ELP|NKG,|NKG|DLC|ICN|SFO|LAS|ELP|
ELP|NNY,|NNY|CGO|PEK|SEA|LAS|ELP|
ELP|PEN,|PEN|CAN|PVG|SFO|LAS|ELP|
ELP|PER,|PER|CAN|PVG|SFO|LAS|ELP|
ELP|PNH,|PNH|CAN|PVG|SFO|LAS|ELP|
ELP|REP,|REP|CAN|PVG|SFO|LAS|ELP|
ELP|RGN,|RGN|CAN|PVG|SFO|LAS|ELP|
ELP|SGN,|SGN|HKG|SFO|LAS|ELP|
ELP|SHA,|SHA|PEK|SEA|LAS|ELP|
ELP|SIN,|SIN|NRT|SFO|LAS|ELP|
ELP|SVO,|SVO|URC|PEK|SEA|LAS|ELP|
ELP|SYX,|SYX|PVG|SFO|LAS|ELP|
ELP|TAO,|TAO|DLC|ICN|SFO|LAS|ELP|
ELP|TEN,|TEN|PEK|SEA|LAS|ELP|
ELP|TNA,|TNA|DLC|ICN|SFO|LAS|ELP|
ELP|TPE,|TPE|SFO|LAS|ELP|
ELP|TSN,|TSN|DLC|ICN|SFO|LAS|ELP|
ELP|TXN,|TXN|DLC|ICN|SFO|LAS|ELP|
ELP|TYN,|TYN|DLC|ICN|SFO|LAS|ELP|
ELP|WNZ,|WNZ|CGO|PEK|SEA|LAS|ELP|
ELP|WUX,|WUX|CAN|PVG|SFO|LAS|ELP|
ELP|XFN,|XFN|CAN|PVG|SFO|LAS|ELP|
ELP|XIY,|XIY|PEK|SEA|LAS|ELP|
ELP|XUZ,|XUZ|LYG|HSN|PEK|SEA|LAS|ELP|
ELP|YIH,|YIH|CKG|PEK|SEA|LAS|ELP|
ELP|YIW,|YIW|PEK|SEA|LAS|ELP|
ELP|YNT,|YNT|SHE|ICN|SFO|LAS|ELP|
ELP|YNZ,|YNZ|DLC|ICN|SFO|LAS|ELP|
ELP|YTY,|YTY|DLC|ICN|SFO|LAS|ELP|
ELP|ZHA,|ZHA|CAN|PVG|SFO|LAS|ELP|
ELP|ZYI,|ZYI|PEK|SEA|LAS|ELP|
ELP|BAV,|BAV|SJW|DLC|ICN|SFO|LAS|ELP|
ELP|CJU,|CJU|DLC|ICN|SFO|LAS|ELP|
ELP|DSN,|DSN|CGO|PEK|SEA|LAS|ELP|
ELP|HMI,|HMI|CGO|PEK|SEA|LAS|ELP|
ELP|INC,|INC|PEK|SEA|LAS|ELP|
ELP|KHH,|KHH|WUH|ICN|SFO|LAS|ELP|
ELP|UYN,|UYN|CGO|PEK|SEA|LAS|ELP|
ELP|XNN,|XNN|PEK|SEA|LAS|ELP|
ELP|ZUH,|ZUH|PVG|SFO|LAS|ELP|
ELP|YNJ,|YNJ|ICN|SFO|LAS|ELP|
ELP|DAT,|DAT|CIH|PEK|SEA|LAS|ELP|
ELP|JHG,|JHG|CKG|PEK|SEA|LAS|ELP|
ELP|LJG,|LJG|CKG|PEK|SEA|LAS|ELP|
ELP|LXA,|LXA|XIY|PEK|SEA|LAS|ELP|
ELP|YCU,|YCU|CSX|ICN|SFO|LAS|ELP|
ELP|LZO,|LZO|CSX|ICN|SFO|LAS|ELP|
ELP|MDG,|MDG|ICN|SFO|LAS|ELP|
ELP|NGO,|NGO|ICN|SFO|LAS|ELP|
ELP|TOY,|TOY|DLC|ICN|SFO|LAS|ELP|
ELP|MFM,|MFM|HGH|DLC|ICN|SFO|LAS|ELP|
ELP|TGO,|TGO|HET|DLC|ICN|SFO|LAS|ELP|
ELP|XIL,|XIL|HET|DLC|ICN|SFO|LAS|ELP|
ELP|HEK,|HEK|HRB|ICN|SFO|LAS|ELP|
ELP|KIJ,|KIJ|HRB|ICN|SFO|LAS|ELP|
ELP|LDS,|LDS|HRB|ICN|SFO|LAS|ELP|
ELP|OHE,|OHE|HRB|ICN|SFO|LAS|ELP|
ELP|HSN,|HSN|PEK|SEA|LAS|ELP|
ELP|DLU,|DLU|KMG|PEK|SEA|LAS|ELP|
ELP|SYM,|SYM|KMG|PEK|SEA|LAS|ELP|
ELP|ZAT,|ZAT|KMG|PEK|SEA|LAS|ELP|
ELP|LUN,|LUN|NBO|ZRH|YYZ|STL|DAL|ELP|
ELP|AOG,|AOG|PEK|SEA|LAS|ELP|
ELP|GMP,|GMP|PEK|SEA|LAS|ELP|
ELP|ISB,|ISB|IST|FRA|DEN|ELP|
ELP|TAS,|TAS|IST|FRA|DEN|ELP|
ELP|WUS,|WUS|PEK|SEA|LAS|ELP|
ELP|JMU,|JMU|PVG|SFO|LAS|ELP|
ELP|NDG,|NDG|PVG|SFO|LAS|ELP|
ELP|JXA,|JXA|SHE|ICN|SFO|LAS|ELP|
ELP|PUS,|PUS|SHE|ICN|SFO|LAS|ELP|
ELP|BKI,|BKI|SZX|PVG|SFO|LAS|ELP|
ELP|AKU,|AKU|URC|PEK|SEA|LAS|ELP|
ELP|ALA,|ALA|TSE|FRA|DEN|ELP|
ELP|ASB,|ASB|GYD|FRA|DEN|ELP|
ELP|DNH,|DNH|XIY|PEK|SEA|LAS|ELP|
ELP|DYU,|DYU|IST|FRA|DEN|ELP|
ELP|FRU,|FRU|URC|PEK|SEA|LAS|ELP|
ELP|GYD,|GYD|FRA|DEN|ELP|
ELP|HTN,|HTN|URC|PEK|SEA|LAS|ELP|
ELP|IKA,|IKA|SAW|FRA|DEN|ELP|
ELP|KCA,|KCA|URC|PEK|SEA|LAS|ELP|
ELP|KHG,|KHG|URC|PEK|SEA|LAS|ELP|
ELP|KRL,|KRL|URC|PEK|SEA|LAS|ELP|
ELP|KRY,|KRY|URC|PEK|SEA|LAS|ELP|
ELP|LBD,|LBD|URC|PEK|SEA|LAS|ELP|
ELP|NLT,|NLT|URC|PEK|SEA|LAS|ELP|
ELP|OSS,|OSS|IST|FRA|DEN|ELP|
ELP|OVB,|OVB|URC|PEK|SEA|LAS|ELP|
ELP|TBS,|TBS|SAW|FRA|DEN|ELP|
ELP|TCG,|TCG|URC|PEK|SEA|LAS|ELP|
ELP|TSE,|TSE|FRA|DEN|ELP|
ELP|YIN,|YIN|URC|PEK|SEA|LAS|ELP|
ELP|ENH,|ENH|WUH|ICN|SFO|LAS|ELP|
ELP|ENY,|ENY|XIY|PEK|SEA|LAS|ELP|
ELP|WXN,|WXN|XIY|PEK|SEA|LAS|ELP|
ELP|BLL,|BLL|IST|FRA|DEN|ELP|
ELP|ESB,|ESB|FRA|DEN|ELP|
ELP|SAW,|SAW|FRA|DEN|ELP|
ELP|HAM,|HAM|EWR|BWI|LIT|DAL|ELP|
ELP|HRE,|HRE|ADD|JED|FRA|DEN|ELP|
ELP|JUB,|JUB|CAI|IST|FRA|DEN|ELP|
