DOK|RSW,|RSW|MCO|FRA|IST|DOK|
DOK|SAN,|SAN|LAX|IST|DOK|
DOK|SJO,|SJO|EWR|BHX|IST|DOK|
DOK|STL,|STL|ORD|IST|DOK|
DOK|SYR,|SYR|EWR|BHX|IST|DOK|
DOK|TLV,|TLV|IST|DOK|
DOK|TPA,|TPA|EWR|BHX|IST|DOK|
DOK|UVF,|UVF|EWR|BHX|IST|DOK|
DOK|VIE,|VIE|IST|DOK|
DOK|YAM,|YAM|YYZ|IST|DOK|
DOK|YGK,|YGK|YYZ|IST|DOK|
DOK|YQG,|YQG|YYZ|IST|DOK|
DOK|YSB,|YSB|YYZ|IST|DOK|
DOK|YTS,|YTS|YYZ|IST|DOK|
DOK|YYB,|YYB|YYZ|IST|DOK|
DOK|YZR,|YZR|YYZ|IST|DOK|
DOK|CAN,|CAN|IST|DOK|
DOK|URC,|URC|IST|DOK|
DOK|CTU,|CTU|URC|IST|DOK|
DOK|HGH,|HGH|URC|IST|DOK|
DOK|XMN,|XMN|CSX|URC|IST|DOK|
DOK|CGO,|CGO|URC|IST|DOK|
DOK|CSX,|CSX|URC|IST|DOK|
DOK|SHE,|SHE|PEK|IST|DOK|
DOK|SJW,|SJW|URC|IST|DOK|
DOK|WUH,|WUH|URC|IST|DOK|
DOK|SZX,|SZX|CKG|URC|IST|DOK|
DOK|CKG,|CKG|URC|IST|DOK|
DOK|KMG,|KMG|CTU|URC|IST|DOK|
DOK|FOC,|FOC|XIY|URC|IST|DOK|
DOK|NNG,|NNG|KWE|URC|IST|DOK|
DOK|SWA,|SWA|CAN|IST|DOK|
DOK|ACX,|ACX|CAN|IST|DOK|
DOK|AQG,|AQG|CAN|IST|DOK|
DOK|AVA,|AVA|CAN|IST|DOK|
DOK|BFJ,|BFJ|CAN|IST|DOK|
DOK|BHY,|BHY|CKG|URC|IST|DOK|
DOK|BNE,|BNE|BKK|IST|DOK|
DOK|CGD,|CGD|PEK|IST|DOK|
DOK|CGK,|CGK|SIN|IST|DOK|
DOK|CGQ,|CGQ|HET|URC|IST|DOK|
DOK|CIH,|CIH|PEK|IST|DOK|
DOK|CNX,|CNX|CAN|IST|DOK|
DOK|CZX,|CZX|TYN|URC|IST|DOK|
DOK|DAC,|DAC|IST|DOK|
DOK|DAD,|DAD|CAN|IST|DOK|
DOK|DEL,|DEL|IST|DOK|
DOK|DIG,|DIG|KMG|CTU|URC|IST|DOK|
DOK|DLC,|DLC|PEK|IST|DOK|
DOK|DPS,|DPS|CAN|IST|DOK|
DOK|DXB,|DXB|IST|DOK|
DOK|DYG,|DYG|CSX|URC|IST|DOK|
DOK|FUG,|FUG|CAN|IST|DOK|
DOK|FUK,|FUK|ICN|IST|DOK|
DOK|HAK,|HAK|CTU|URC|IST|DOK|
DOK|HAN,|HAN|CAN|IST|DOK|
DOK|HDG,|HDG|CAN|IST|DOK|
DOK|HET,|HET|URC|IST|DOK|
DOK|HFE,|HFE|XIY|URC|IST|DOK|
DOK|HJJ,|HJJ|CSX|URC|IST|DOK|
DOK|HKT,|HKT|KWE|URC|IST|DOK|
DOK|HRB,|HRB|PEK|IST|DOK|
DOK|HZH,|HZH|CAN|IST|DOK|
DOK|JIU,|JIU|CAN|IST|DOK|
DOK|JJN,|JJN|CSX|URC|IST|DOK|
DOK|JNG,|JNG|CAN|IST|DOK|
DOK|KHN,|KHN|XIY|URC|IST|DOK|
DOK|KIX,|KIX|IST|DOK|
DOK|KOW,|KOW|CAN|IST|DOK|
DOK|KTM,|KTM|IST|DOK|
DOK|KUL,|KUL|IST|DOK|
DOK|KWE,|KWE|URC|IST|DOK|
DOK|KWL,|KWL|CKG|URC|IST|DOK|
DOK|LHW,|LHW|URC|IST|DOK|
DOK|LYA,|LYA|KHN|XIY|URC|IST|DOK|
DOK|LYG,|LYG|XUZ|INC|URC|IST|DOK|
DOK|LZH,|LZH|CAN|IST|DOK|
DOK|MEL,|MEL|BKK|IST|DOK|
DOK|MIG,|MIG|CSX|URC|IST|DOK|
DOK|MLE,|MLE|IST|DOK|
DOK|MNL,|MNL|CAN|IST|DOK|
DOK|MXZ,|MXZ|CAN|IST|DOK|
DOK|NAO,|NAO|PEK|IST|DOK|
DOK|NGB,|NGB|WUH|URC|IST|DOK|
DOK|NKG,|NKG|URC|IST|DOK|
DOK|NNY,|NNY|CGO|URC|IST|DOK|
DOK|PEN,|PEN|CAN|IST|DOK|
DOK|PER,|PER|BKK|IST|DOK|
DOK|PNH,|PNH|CAN|IST|DOK|
DOK|REP,|REP|CAN|IST|DOK|
DOK|RGN,|RGN|CAN|IST|DOK|
DOK|SGN,|SGN|BKK|IST|DOK|
DOK|SHA,|SHA|URC|IST|DOK|
DOK|SIN,|SIN|IST|DOK|
DOK|SVO,|SVO|URC|IST|DOK|
DOK|SYX,|SYX|CKG|URC|IST|DOK|
DOK|TAO,|TAO|TYN|URC|IST|DOK|
DOK|TEN,|TEN|CAN|IST|DOK|
DOK|TNA,|TNA|URC|IST|DOK|
DOK|TPE,|TPE|URC|IST|DOK|
DOK|TSN,|TSN|HET|URC|IST|DOK|
DOK|TXN,|TXN|TYN|URC|IST|DOK|
DOK|TYN,|TYN|URC|IST|DOK|
DOK|WNZ,|WNZ|XIY|URC|IST|DOK|
DOK|WUX,|WUX|CAN|IST|DOK|
DOK|XFN,|XFN|CAN|IST|DOK|
DOK|XIY,|XIY|URC|IST|DOK|
DOK|XUZ,|XUZ|INC|URC|IST|DOK|
DOK|YIH,|YIH|CKG|URC|IST|DOK|
DOK|YIW,|YIW|URC|IST|DOK|
DOK|YNT,|YNT|SHE|PEK|IST|DOK|
DOK|YNZ,|YNZ|WUH|URC|IST|DOK|
DOK|YTY,|YTY|CGO|URC|IST|DOK|
DOK|ZHA,|ZHA|CAN|IST|DOK|
DOK|ZYI,|ZYI|CAN|IST|DOK|
DOK|BAV,|BAV|URC|IST|DOK|
DOK|CJU,|CJU|DLC|PEK|IST|DOK|
DOK|DSN,|DSN|CGO|URC|IST|DOK|
DOK|HMI,|HMI|URC|IST|DOK|
DOK|INC,|INC|URC|IST|DOK|
DOK|KHH,|KHH|WUH|URC|IST|DOK|
DOK|UYN,|UYN|XIY|URC|IST|DOK|
DOK|XNN,|XNN|URC|IST|DOK|
DOK|ZUH,|ZUH|KWE|URC|IST|DOK|
DOK|YNJ,|YNJ|PEK|IST|DOK|
DOK|DAT,|DAT|TYN|URC|IST|DOK|
DOK|JHG,|JHG|KMG|CTU|URC|IST|DOK|
DOK|LJG,|LJG|KMG|CTU|URC|IST|DOK|
DOK|LXA,|LXA|CKG|URC|IST|DOK|
DOK|YCU,|YCU|CKG|URC|IST|DOK|
DOK|LZO,|LZO|CSX|URC|IST|DOK|
DOK|MDG,|MDG|DLC|PEK|IST|DOK|
DOK|NGO,|NGO|ICN|IST|DOK|
DOK|TOY,|TOY|DLC|PEK|IST|DOK|
DOK|MFM,|MFM|XMN|CSX|URC|IST|DOK|
DOK|TGO,|TGO|HET|URC|IST|DOK|
DOK|XIL,|XIL|HET|URC|IST|DOK|
DOK|HEK,|HEK|HRB|PEK|IST|DOK|
DOK|KIJ,|KIJ|HRB|PEK|IST|DOK|
DOK|LDS,|LDS|HRB|PEK|IST|DOK|
DOK|OHE,|OHE|HRB|PEK|IST|DOK|
DOK|HSN,|HSN|LYG|XUZ|INC|URC|IST|DOK|
DOK|DLU,|DLU|KMG|CTU|URC|IST|DOK|
DOK|SYM,|SYM|KMG|CTU|URC|IST|DOK|
DOK|ZAT,|ZAT|KMG|CTU|URC|IST|DOK|
DOK|LUN,|LUN|NBO|IST|DOK|
DOK|AOG,|AOG|PEK|IST|DOK|
DOK|GMP,|GMP|PEK|IST|DOK|
DOK|ISB,|ISB|IST|DOK|
DOK|TAS,|TAS|IST|DOK|
DOK|WUS,|WUS|PEK|IST|DOK|
DOK|JMU,|JMU|PVG|IST|DOK|
DOK|NDG,|NDG|PVG|IST|DOK|
DOK|JXA,|JXA|SHE|PEK|IST|DOK|
DOK|PUS,|PUS|SHE|PEK|IST|DOK|
DOK|BKI,|BKI|SZX|CKG|URC|IST|DOK|
DOK|AKU,|AKU|URC|IST|DOK|
DOK|ALA,|ALA|IST|DOK|
DOK|ASB,|ASB|IST|DOK|
DOK|DNH,|DNH|URC|IST|DOK|
DOK|DYU,|DYU|IST|DOK|
DOK|FRU,|FRU|IST|DOK|
DOK|GYD,|GYD|IST|DOK|
DOK|HTN,|HTN|URC|IST|DOK|
