JED|SYX,|SYX|CKG|URC|IST|JED|
JED|TAO,|TAO|TYN|URC|IST|JED|
JED|TEN,|TEN|CAN|IST|JED|
JED|TNA,|TNA|URC|IST|JED|
JED|TPE,|TPE|URC|IST|JED|
JED|TSN,|TSN|HET|URC|IST|JED|
JED|TXN,|TXN|TYN|URC|IST|JED|
JED|TYN,|TYN|URC|IST|JED|
JED|WNZ,|WNZ|XIY|URC|IST|JED|
JED|WUX,|WUX|CAN|IST|JED|
JED|XFN,|XFN|CAN|IST|JED|
JED|XIY,|XIY|URC|IST|JED|
JED|XUZ,|XUZ|INC|URC|IST|JED|
JED|YIH,|YIH|CKG|URC|IST|JED|
JED|YIW,|YIW|URC|IST|JED|
JED|YNT,|YNT|SHE|PEK|IST|JED|
JED|YNZ,|YNZ|WUH|URC|IST|JED|
JED|YTY,|YTY|CGO|URC|IST|JED|
JED|ZHA,|ZHA|CAN|IST|JED|
JED|ZYI,|ZYI|CAN|IST|JED|
JED|BAV,|BAV|URC|IST|JED|
JED|CJU,|CJU|DLC|PEK|IST|JED|
JED|DSN,|DSN|CGO|URC|IST|JED|
JED|HMI,|HMI|URC|IST|JED|
JED|INC,|INC|URC|IST|JED|
JED|KHH,|KHH|WUH|URC|IST|JED|
JED|UYN,|UYN|XIY|URC|IST|JED|
JED|XNN,|XNN|URC|IST|JED|
JED|ZUH,|ZUH|KWE|URC|IST|JED|
JED|YNJ,|YNJ|PEK|IST|JED|
JED|DAT,|DAT|TYN|URC|IST|JED|
JED|JHG,|JHG|KMG|CTU|URC|IST|JED|
JED|LJG,|LJG|KMG|CTU|URC|IST|JED|
JED|LXA,|LXA|CKG|URC|IST|JED|
JED|YCU,|YCU|CKG|URC|IST|JED|
JED|LZO,|LZO|CSX|URC|IST|JED|
JED|MDG,|MDG|DLC|PEK|IST|JED|
JED|NGO,|NGO|ICN|IST|JED|
JED|TOY,|TOY|DLC|PEK|IST|JED|
JED|MFM,|MFM|XMN|CSX|URC|IST|JED|
JED|TGO,|TGO|HET|URC|IST|JED|
JED|XIL,|XIL|HET|URC|IST|JED|
JED|HEK,|HEK|HRB|PEK|IST|JED|
JED|KIJ,|KIJ|HRB|PEK|IST|JED|
JED|LDS,|LDS|HRB|PEK|IST|JED|
JED|OHE,|OHE|HRB|PEK|IST|JED|
JED|HSN,|HSN|LYG|XUZ|INC|URC|IST|JED|
JED|DLU,|DLU|KMG|CTU|URC|IST|JED|
JED|SYM,|SYM|KMG|CTU|URC|IST|JED|
JED|ZAT,|ZAT|KMG|CTU|URC|IST|JED|
JED|LUN,|LUN|HRE|ADD|JED|
JED|AOG,|AOG|PEK|IST|JED|
JED|GMP,|GMP|PEK|IST|JED|
JED|ISB,|ISB|IST|JED|
JED|TAS,|TAS|IST|JED|
JED|WUS,|WUS|PEK|IST|JED|
JED|JMU,|JMU|PVG|IST|JED|
JED|NDG,|NDG|PVG|IST|JED|
JED|JXA,|JXA|SHE|PEK|IST|JED|
JED|PUS,|PUS|SHE|PEK|IST|JED|
JED|BKI,|BKI|SZX|CKG|URC|IST|JED|
JED|AKU,|AKU|URC|IST|JED|
JED|ALA,|ALA|IST|JED|
JED|ASB,|ASB|IST|JED|
JED|DNH,|DNH|URC|IST|JED|
JED|DYU,|DYU|IST|JED|
JED|FRU,|FRU|IST|JED|
JED|GYD,|GYD|IST|JED|
JED|HTN,|HTN|URC|IST|JED|
JED|IKA,|IKA|IST|JED|
JED|KCA,|KCA|URC|IST|JED|
JED|KHG,|KHG|URC|IST|JED|
JED|KRL,|KRL|URC|IST|JED|
JED|KRY,|KRY|URC|IST|JED|
JED|LBD,|LBD|URC|IST|JED|
JED|NLT,|NLT|URC|IST|JED|
JED|OSS,|OSS|IST|JED|
JED|OVB,|OVB|IST|JED|
JED|TBS,|TBS|IST|JED|
JED|TCG,|TCG|URC|IST|JED|
JED|TSE,|TSE|IST|JED|
JED|YIN,|YIN|URC|IST|JED|
JED|ENH,|ENH|WUH|URC|IST|JED|
JED|ENY,|ENY|XIY|URC|IST|JED|
JED|WXN,|WXN|XIY|URC|IST|JED|
JED|BLL,|BLL|IST|JED|
JED|ESB,|ESB|IST|JED|
JED|SAW,|SAW|ADB|IST|JED|
JED|HAM,|HAM|IST|JED|
JED|HRE,|HRE|ADD|JED|
JED|JUB,|JUB|ADD|JED|
JED|SSG,|SSG|ADD|JED|
JED|BGW,|BGW|IST|JED|
JED|EBL,|EBL|IST|JED|
JED|VKO,|VKO|IST|JED|
JED|MCT,|MCT|IST|JED|
JED|AYT,|AYT|IST|JED|
JED|SCQ,|SCQ|BIO|IST|JED|
JED|AAL,|AAL|IST|JED|
JED|AOE,|AOE|BRU|IST|JED|
JED|JNB,|JNB|IST|JED|
JED|LBV,|LBV|DLA|ADD|JED|
JED|ADA,|ADA|IST|JED|
JED|ADB,|ADB|IST|JED|
JED|ADF,|ADF|IST|JED|
JED|AJI,|AJI|IST|JED|
JED|BAL,|BAL|IST|JED|
JED|BJV,|BJV|IST|JED|
JED|CKZ,|CKZ|ESB|IST|JED|
JED|DIY,|DIY|IST|JED|
JED|ECN,|ECN|IST|JED|
JED|ERC,|ERC|IST|JED|
JED|ERZ,|ERZ|IST|JED|
JED|EZS,|EZS|IST|JED|
JED|GNY,|GNY|IST|JED|
JED|GZP,|GZP|ESB|IST|JED|
JED|GZT,|GZT|IST|JED|
JED|HTY,|HTY|IST|JED|
JED|KCM,|KCM|IST|JED|
JED|KSY,|KSY|IST|JED|
JED|MLX,|MLX|IST|JED|
JED|MQM,|MQM|IST|JED|
JED|MSR,|MSR|IST|JED|
JED|TEQ,|TEQ|ESB|IST|JED|
JED|TZX,|TZX|IST|JED|
JED|VAN,|VAN|IST|JED|
JED|ULN,|ULN|FRU|IST|JED|
JED|HIJ,|HIJ|ICN|IST|JED|
JED|VVO,|VVO|ICN|IST|JED|
JED|ACC,|ACC|IST|JED|
JED|AER,|AER|IST|JED|
JED|AGP,|AGP|IST|JED|
JED|ALG,|ALG|IST|JED|
JED|AMM,|AMM|IST|JED|
JED|AQJ,|AQJ|IST|JED|
JED|ARN,|ARN|IST|JED|
JED|ASR,|ASR|IST|JED|
JED|ATH,|ATH|IST|JED|
