BOS|XMN,|XMN|PEK|YYZ|BOS|
BOS|CGO,|CGO|PEK|YYZ|BOS|
BOS|CSX,|CSX|PEK|YYZ|BOS|
BOS|SHE,|SHE|PEK|YYZ|BOS|
BOS|SJW,|SJW|DLC|PEK|YYZ|BOS|
BOS|WUH,|WUH|PEK|YYZ|BOS|
BOS|SZX,|SZX|PEK|YYZ|BOS|
BOS|CKG,|CKG|PEK|YYZ|BOS|
BOS|KMG,|KMG|PEK|YYZ|BOS|
BOS|FOC,|FOC|PEK|YYZ|BOS|
BOS|NNG,|NNG|PEK|YYZ|BOS|
BOS|SWA,|SWA|PEK|YYZ|BOS|
BOS|ACX,|ACX|CAN|PEK|YYZ|BOS|
BOS|AQG,|AQG|CAN|PEK|YYZ|BOS|
BOS|AVA,|AVA|CAN|PEK|YYZ|BOS|
BOS|BFJ,|BFJ|CAN|PEK|YYZ|BOS|
BOS|BHY,|BHY|CGO|PEK|YYZ|BOS|
BOS|BNE,|BNE|CAN|PEK|YYZ|BOS|
BOS|CGD,|CGD|PEK|YYZ|BOS|
BOS|CGK,|CGK|CAN|PEK|YYZ|BOS|
BOS|CGQ,|CGQ|PEK|YYZ|BOS|
BOS|CIH,|CIH|PEK|YYZ|BOS|
BOS|CNX,|CNX|CAN|PEK|YYZ|BOS|
BOS|CZX,|CZX|SHE|PEK|YYZ|BOS|
BOS|DAC,|DAC|IST|FRA|BOS|
BOS|DAD,|DAD|CAN|PEK|YYZ|BOS|
BOS|DEL,|DEL|EWR|BOS|
BOS|DIG,|DIG|KMG|PEK|YYZ|BOS|
BOS|DLC,|DLC|PEK|YYZ|BOS|
BOS|DPS,|DPS|SZX|PEK|YYZ|BOS|
BOS|DXB,|DXB|IST|FRA|BOS|
BOS|DYG,|DYG|PEK|YYZ|BOS|
BOS|FUG,|FUG|CAN|PEK|YYZ|BOS|
BOS|FUK,|FUK|ICN|JFK|YUL|BOS|
BOS|HAK,|HAK|PEK|YYZ|BOS|
BOS|HAN,|HAN|PEK|YYZ|BOS|
BOS|HDG,|HDG|CAN|PEK|YYZ|BOS|
BOS|HET,|HET|DLC|PEK|YYZ|BOS|
BOS|HFE,|HFE|XIY|PEK|YYZ|BOS|
BOS|HJJ,|HJJ|CSX|PEK|YYZ|BOS|
BOS|HKT,|HKT|KWE|PEK|YYZ|BOS|
BOS|HRB,|HRB|PEK|YYZ|BOS|
BOS|HZH,|HZH|CAN|PEK|YYZ|BOS|
BOS|JIU,|JIU|CAN|PEK|YYZ|BOS|
BOS|JJN,|JJN|PEK|YYZ|BOS|
BOS|JNG,|JNG|CAN|PEK|YYZ|BOS|
BOS|KHN,|KHN|DLC|PEK|YYZ|BOS|
BOS|KIX,|KIX|SFO|BOS|
BOS|KOW,|KOW|PEK|YYZ|BOS|
BOS|KTM,|KTM|IST|FRA|BOS|
BOS|KUL,|KUL|CAN|PEK|YYZ|BOS|
BOS|KWE,|KWE|PEK|YYZ|BOS|
BOS|KWL,|KWL|PEK|YYZ|BOS|
BOS|LHW,|LHW|CGO|PEK|YYZ|BOS|
BOS|LYA,|LYA|KHN|DLC|PEK|YYZ|BOS|
BOS|LYG,|LYG|HSN|PEK|YYZ|BOS|
BOS|LZH,|LZH|CAN|PEK|YYZ|BOS|
BOS|MEL,|MEL|SYD|LAX|BOS|
BOS|MIG,|MIG|CSX|PEK|YYZ|BOS|
BOS|MLE,|MLE|IST|FRA|BOS|
BOS|MNL,|MNL|XMN|PEK|YYZ|BOS|
BOS|MXZ,|MXZ|CAN|PEK|YYZ|BOS|
BOS|NAO,|NAO|PEK|YYZ|BOS|
BOS|NGB,|NGB|PEK|YYZ|BOS|
BOS|NKG,|NKG|DLC|PEK|YYZ|BOS|
BOS|NNY,|NNY|CGO|PEK|YYZ|BOS|
BOS|PEN,|PEN|CAN|PEK|YYZ|BOS|
BOS|PER,|PER|CAN|PEK|YYZ|BOS|
BOS|PNH,|PNH|CAN|PEK|YYZ|BOS|
BOS|REP,|REP|CAN|PEK|YYZ|BOS|
