BFL|HGH,|HGH|DLC|ICN|SFO|BFL|
BFL|XMN,|XMN|YNZ|DLC|ICN|SFO|BFL|
BFL|CGO,|CGO|PEK|SFO|BFL|
BFL|CSX,|CSX|ICN|SFO|BFL|
BFL|SHE,|SHE|ICN|SFO|BFL|
BFL|SJW,|SJW|DLC|ICN|SFO|BFL|
BFL|WUH,|WUH|ICN|SFO|BFL|
BFL|SZX,|SZX|PVG|SFO|BFL|
BFL|CKG,|CKG|PEK|SFO|BFL|
BFL|KMG,|KMG|PEK|SFO|BFL|
BFL|FOC,|FOC|HGH|DLC|ICN|SFO|BFL|
BFL|NNG,|NNG|CSX|ICN|SFO|BFL|
BFL|SWA,|SWA|WUH|ICN|SFO|BFL|
BFL|ACX,|ACX|CAN|PVG|SFO|BFL|
BFL|AQG,|AQG|CAN|PVG|SFO|BFL|
BFL|AVA,|AVA|CAN|PVG|SFO|BFL|
BFL|BFJ,|BFJ|CAN|PVG|SFO|BFL|
BFL|BHY,|BHY|CSX|ICN|SFO|BFL|
BFL|BNE,|BNE|CAN|PVG|SFO|BFL|
BFL|CGD,|CGD|PEK|SFO|BFL|
BFL|CGK,|CGK|CAN|PVG|SFO|BFL|
BFL|CGQ,|CGQ|NRT|SFO|BFL|
BFL|CIH,|CIH|PEK|SFO|BFL|
BFL|CNX,|CNX|CAN|PVG|SFO|BFL|
BFL|CZX,|CZX|SHE|ICN|SFO|BFL|
BFL|DAC,|DAC|CAN|PVG|SFO|BFL|
BFL|DAD,|DAD|CAN|PVG|SFO|BFL|
BFL|DEL,|DEL|CAN|PVG|SFO|BFL|
BFL|DIG,|DIG|KMG|PEK|SFO|BFL|
BFL|DLC,|DLC|ICN|SFO|BFL|
BFL|DPS,|DPS|SZX|PVG|SFO|BFL|
BFL|DXB,|DXB|IST|LAX|BFL|
BFL|DYG,|DYG|PEK|SFO|BFL|
BFL|FUG,|FUG|CAN|PVG|SFO|BFL|
BFL|FUK,|FUK|ICN|SFO|BFL|
BFL|HAK,|HAK|PVG|SFO|BFL|
BFL|HAN,|HAN|PEK|SFO|BFL|
BFL|HDG,|HDG|CAN|PVG|SFO|BFL|
BFL|HET,|HET|DLC|ICN|SFO|BFL|
BFL|HFE,|HFE|TYN|DLC|ICN|SFO|BFL|
BFL|HJJ,|HJJ|CSX|ICN|SFO|BFL|
BFL|HKT,|HKT|CAN|PVG|SFO|BFL|
BFL|HRB,|HRB|ICN|SFO|BFL|
BFL|HZH,|HZH|CAN|PVG|SFO|BFL|
BFL|JIU,|JIU|CAN|PVG|SFO|BFL|
BFL|JJN,|JJN|HGH|DLC|ICN|SFO|BFL|
BFL|JNG,|JNG|CAN|PVG|SFO|BFL|
BFL|KHN,|KHN|DLC|ICN|SFO|BFL|
BFL|KIX,|KIX|SFO|BFL|
BFL|KOW,|KOW|PEK|SFO|BFL|
BFL|KTM,|KTM|CAN|PVG|SFO|BFL|
BFL|KUL,|KUL|PVG|SFO|BFL|
BFL|KWE,|KWE|PEK|SFO|BFL|
BFL|KWL,|KWL|WUH|ICN|SFO|BFL|
BFL|LHW,|LHW|CGO|PEK|SFO|BFL|
BFL|LYA,|LYA|KHN|DLC|ICN|SFO|BFL|
BFL|LYG,|LYG|HSN|PEK|SFO|BFL|
BFL|LZH,|LZH|CAN|PVG|SFO|BFL|
BFL|MEL,|MEL|SYD|LAX|BFL|
BFL|MIG,|MIG|CSX|ICN|SFO|BFL|
BFL|MLE,|MLE|CAN|PVG|SFO|BFL|
BFL|MNL,|MNL|XMN|YNZ|DLC|ICN|SFO|BFL|
BFL|MXZ,|MXZ|CAN|PVG|SFO|BFL|
BFL|NAO,|NAO|PEK|SFO|BFL|
BFL|NGB,|NGB|DLC|ICN|SFO|BFL|
BFL|NKG,|NKG|DLC|ICN|SFO|BFL|
BFL|NNY,|NNY|CGO|PEK|SFO|BFL|
BFL|PEN,|PEN|CAN|PVG|SFO|BFL|
BFL|PER,|PER|CAN|PVG|SFO|BFL|
BFL|PNH,|PNH|CAN|PVG|SFO|BFL|
BFL|REP,|REP|CAN|PVG|SFO|BFL|
BFL|RGN,|RGN|CAN|PVG|SFO|BFL|
BFL|SGN,|SGN|HKG|SFO|BFL|
BFL|SHA,|SHA|PEK|SFO|BFL|
BFL|SIN,|SIN|NRT|SFO|BFL|
BFL|SVO,|SVO|URC|PEK|SFO|BFL|
BFL|SYX,|SYX|PVG|SFO|BFL|
BFL|TAO,|TAO|DLC|ICN|SFO|BFL|
BFL|TEN,|TEN|PEK|SFO|BFL|
BFL|TNA,|TNA|DLC|ICN|SFO|BFL|
BFL|TPE,|TPE|SFO|BFL|
BFL|TSN,|TSN|DLC|ICN|SFO|BFL|
BFL|TXN,|TXN|DLC|ICN|SFO|BFL|
BFL|TYN,|TYN|DLC|ICN|SFO|BFL|
BFL|WNZ,|WNZ|CGO|PEK|SFO|BFL|
BFL|WUX,|WUX|CAN|PVG|SFO|BFL|
BFL|XFN,|XFN|CAN|PVG|SFO|BFL|
BFL|XIY,|XIY|PEK|SFO|BFL|
BFL|XUZ,|XUZ|LYG|HSN|PEK|SFO|BFL|
BFL|YIH,|YIH|CKG|PEK|SFO|BFL|
BFL|YIW,|YIW|PEK|SFO|BFL|
BFL|YNT,|YNT|SHE|ICN|SFO|BFL|
BFL|YNZ,|YNZ|DLC|ICN|SFO|BFL|
BFL|YTY,|YTY|DLC|ICN|SFO|BFL|
BFL|ZHA,|ZHA|CAN|PVG|SFO|BFL|
BFL|ZYI,|ZYI|PEK|SFO|BFL|
BFL|BAV,|BAV|SJW|DLC|ICN|SFO|BFL|
BFL|CJU,|CJU|DLC|ICN|SFO|BFL|
BFL|DSN,|DSN|CGO|PEK|SFO|BFL|
BFL|HMI,|HMI|CGO|PEK|SFO|BFL|
BFL|INC,|INC|PEK|SFO|BFL|
BFL|KHH,|KHH|WUH|ICN|SFO|BFL|
BFL|UYN,|UYN|CGO|PEK|SFO|BFL|
BFL|XNN,|XNN|PEK|SFO|BFL|
BFL|ZUH,|ZUH|PVG|SFO|BFL|
BFL|YNJ,|YNJ|ICN|SFO|BFL|
BFL|DAT,|DAT|CIH|PEK|SFO|BFL|
BFL|JHG,|JHG|CKG|PEK|SFO|BFL|
BFL|LJG,|LJG|CKG|PEK|SFO|BFL|
BFL|LXA,|LXA|XIY|PEK|SFO|BFL|
BFL|YCU,|YCU|CSX|ICN|SFO|BFL|
BFL|LZO,|LZO|CSX|ICN|SFO|BFL|
BFL|MDG,|MDG|ICN|SFO|BFL|
BFL|NGO,|NGO|ICN|SFO|BFL|
