KRL|DTW,|DTW|FRA|TSE|URC|KRL|
KRL|DUB,|DUB|IST|URC|KRL|
KRL|FCO,|FCO|IST|URC|KRL|
KRL|GCM,|GCM|EWR|FRA|TSE|URC|KRL|
KRL|GGT,|GGT|FLL|MCO|FRA|TSE|URC|KRL|
KRL|GND,|GND|YYZ|FRA|TSE|URC|KRL|
KRL|GRU,|GRU|IST|URC|KRL|
KRL|HAV,|HAV|YYZ|FRA|TSE|URC|KRL|
KRL|IND,|IND|YYZ|FRA|TSE|URC|KRL|
KRL|JFK,|JFK|FRA|TSE|URC|KRL|
KRL|KIN,|KIN|YYZ|FRA|TSE|URC|KRL|
KRL|LIM,|LIM|MIA|FRA|TSE|URC|KRL|
KRL|LIR,|LIR|EWR|FRA|TSE|URC|KRL|
KRL|MCI,|MCI|ORD|FRA|TSE|URC|KRL|
KRL|MDT,|MDT|IAD|FRA|TSE|URC|KRL|
KRL|MIA,|MIA|FRA|TSE|URC|KRL|
KRL|MKE,|MKE|YYZ|FRA|TSE|URC|KRL|
KRL|MSP,|MSP|YUL|FRA|TSE|URC|KRL|
KRL|NAS,|NAS|EWR|FRA|TSE|URC|KRL|
KRL|PHL,|PHL|IAD|FRA|TSE|URC|KRL|
KRL|PHX,|PHX|SEA|PEK|URC|KRL|
KRL|PIT,|PIT|YYZ|FRA|TSE|URC|KRL|
KRL|PLS,|PLS|EWR|FRA|TSE|URC|KRL|
KRL|POP,|POP|EWR|FRA|TSE|URC|KRL|
KRL|RDU,|RDU|EWR|FRA|TSE|URC|KRL|
KRL|ROC,|ROC|YYZ|FRA|TSE|URC|KRL|
KRL|RSW,|RSW|MCO|FRA|TSE|URC|KRL|
KRL|SAN,|SAN|LAX|PEK|URC|KRL|
KRL|SJO,|SJO|EWR|FRA|TSE|URC|KRL|
KRL|STL,|STL|DTW|FRA|TSE|URC|KRL|
KRL|SYR,|SYR|EWR|FRA|TSE|URC|KRL|
KRL|TLV,|TLV|SAW|TBS|URC|KRL|
KRL|TPA,|TPA|EWR|FRA|TSE|URC|KRL|
KRL|UVF,|UVF|EWR|FRA|TSE|URC|KRL|
KRL|VIE,|VIE|IST|URC|KRL|
KRL|YAM,|YAM|YYZ|FRA|TSE|URC|KRL|
KRL|YGK,|YGK|YYZ|FRA|TSE|URC|KRL|
KRL|YQG,|YQG|YYZ|FRA|TSE|URC|KRL|
KRL|YSB,|YSB|YYZ|FRA|TSE|URC|KRL|
KRL|YTS,|YTS|YYZ|FRA|TSE|URC|KRL|
KRL|YYB,|YYB|YYZ|FRA|TSE|URC|KRL|
KRL|YZR,|YZR|YYZ|FRA|TSE|URC|KRL|
KRL|CAN,|CAN|URC|KRL|
KRL|URC,|URC|KRL|
KRL|CTU,|CTU|URC|KRL|
KRL|HGH,|HGH|URC|KRL|
KRL|XMN,|XMN|CSX|URC|KRL|
KRL|CGO,|CGO|URC|KRL|
KRL|CSX,|CSX|URC|KRL|
KRL|SHE,|SHE|HET|URC|KRL|
KRL|SJW,|SJW|URC|KRL|
KRL|WUH,|WUH|URC|KRL|
KRL|SZX,|SZX|CKG|URC|KRL|
KRL|CKG,|CKG|URC|KRL|
KRL|KMG,|KMG|CTU|URC|KRL|
KRL|FOC,|FOC|XIY|URC|KRL|
KRL|NNG,|NNG|KWE|URC|KRL|
KRL|SWA,|SWA|CSX|URC|KRL|
KRL|ACX,|ACX|CAN|URC|KRL|
KRL|AQG,|AQG|CAN|URC|KRL|
KRL|AVA,|AVA|CAN|URC|KRL|
KRL|BFJ,|BFJ|CAN|URC|KRL|
KRL|BHY,|BHY|CKG|URC|KRL|
KRL|BNE,|BNE|CAN|URC|KRL|
KRL|CGD,|CGD|PEK|URC|KRL|
KRL|CGK,|CGK|CAN|URC|KRL|
KRL|CGQ,|CGQ|HET|URC|KRL|
KRL|CIH,|CIH|DAT|TYN|URC|KRL|
KRL|CNX,|CNX|CAN|URC|KRL|
KRL|CZX,|CZX|TYN|URC|KRL|
KRL|DAC,|DAC|CAN|URC|KRL|
KRL|DAD,|DAD|CAN|URC|KRL|
KRL|DEL,|DEL|CAN|URC|KRL|
KRL|DIG,|DIG|KMG|CTU|URC|KRL|
KRL|DLC,|DLC|PEK|URC|KRL|
