FAT|TLV,|TLV|IST|MUC|SFO|FAT|
FAT|TPA,|TPA|LAS|FAT|
FAT|UVF,|UVF|EWR|DEN|FAT|
FAT|VIE,|VIE|ORD|DEN|FAT|
FAT|YAM,|YAM|YYZ|DEN|FAT|
FAT|YGK,|YGK|YYZ|DEN|FAT|
FAT|YQG,|YQG|YYZ|DEN|FAT|
FAT|YSB,|YSB|YYZ|DEN|FAT|
FAT|YTS,|YTS|YYZ|DEN|FAT|
FAT|YYB,|YYB|YYZ|DEN|FAT|
FAT|YZR,|YZR|YYZ|DEN|FAT|
FAT|CAN,|CAN|PVG|SFO|FAT|
FAT|URC,|URC|PEK|SFO|FAT|
FAT|CTU,|CTU|PEK|SFO|FAT|
FAT|HGH,|HGH|DLC|ICN|SFO|FAT|
FAT|XMN,|XMN|YNZ|DLC|ICN|SFO|FAT|
FAT|CGO,|CGO|PEK|SFO|FAT|
FAT|CSX,|CSX|ICN|SFO|FAT|
FAT|SHE,|SHE|ICN|SFO|FAT|
FAT|SJW,|SJW|DLC|ICN|SFO|FAT|
FAT|WUH,|WUH|ICN|SFO|FAT|
FAT|SZX,|SZX|PVG|SFO|FAT|
FAT|CKG,|CKG|PEK|SFO|FAT|
FAT|KMG,|KMG|PEK|SFO|FAT|
FAT|FOC,|FOC|HGH|DLC|ICN|SFO|FAT|
FAT|NNG,|NNG|CSX|ICN|SFO|FAT|
FAT|SWA,|SWA|WUH|ICN|SFO|FAT|
FAT|ACX,|ACX|CAN|PVG|SFO|FAT|
FAT|AQG,|AQG|CAN|PVG|SFO|FAT|
FAT|AVA,|AVA|CAN|PVG|SFO|FAT|
FAT|BFJ,|BFJ|CAN|PVG|SFO|FAT|
FAT|BHY,|BHY|CSX|ICN|SFO|FAT|
FAT|BNE,|BNE|CAN|PVG|SFO|FAT|
FAT|CGD,|CGD|PEK|SFO|FAT|
FAT|CGK,|CGK|CAN|PVG|SFO|FAT|
FAT|CGQ,|CGQ|NRT|SFO|FAT|
FAT|CIH,|CIH|PEK|SFO|FAT|
FAT|CNX,|CNX|CAN|PVG|SFO|FAT|
FAT|CZX,|CZX|SHE|ICN|SFO|FAT|
FAT|DAC,|DAC|CAN|PVG|SFO|FAT|
FAT|DAD,|DAD|CAN|PVG|SFO|FAT|
FAT|DEL,|DEL|CAN|PVG|SFO|FAT|
FAT|DIG,|DIG|KMG|PEK|SFO|FAT|
FAT|DLC,|DLC|ICN|SFO|FAT|
FAT|DPS,|DPS|SZX|PVG|SFO|FAT|
FAT|DXB,|DXB|IST|MUC|SFO|FAT|
FAT|DYG,|DYG|PEK|SFO|FAT|
FAT|FUG,|FUG|CAN|PVG|SFO|FAT|
FAT|FUK,|FUK|ICN|SFO|FAT|
FAT|HAK,|HAK|PVG|SFO|FAT|
FAT|HAN,|HAN|PEK|SFO|FAT|
FAT|HDG,|HDG|CAN|PVG|SFO|FAT|
FAT|HET,|HET|DLC|ICN|SFO|FAT|
