SPN|ISB,|ISB|PEK|ICN|FUK|GUM|SPN|
SPN|TAS,|TAS|PEK|ICN|FUK|GUM|SPN|
SPN|WUS,|WUS|PEK|ICN|FUK|GUM|SPN|
SPN|JMU,|JMU|PVG|NGO|GUM|SPN|
SPN|NDG,|NDG|PVG|NGO|GUM|SPN|
SPN|JXA,|JXA|SHE|FUK|GUM|SPN|
SPN|PUS,|PUS|SHE|FUK|GUM|SPN|
SPN|BKI,|BKI|SZX|MXZ|HKG|GUM|SPN|
SPN|AKU,|AKU|URC|PEK|ICN|FUK|GUM|SPN|
SPN|ALA,|ALA|URC|PEK|ICN|FUK|GUM|SPN|
SPN|ASB,|ASB|URC|PEK|ICN|FUK|GUM|SPN|
SPN|DNH,|DNH|XIY|CAN|HKG|GUM|SPN|
SPN|DYU,|DYU|URC|PEK|ICN|FUK|GUM|SPN|
SPN|FRU,|FRU|URC|PEK|ICN|FUK|GUM|SPN|
SPN|GYD,|GYD|URC|PEK|ICN|FUK|GUM|SPN|
SPN|HTN,|HTN|URC|PEK|ICN|FUK|GUM|SPN|
SPN|IKA,|IKA|URC|PEK|ICN|FUK|GUM|SPN|
SPN|KCA,|KCA|URC|PEK|ICN|FUK|GUM|SPN|
SPN|KHG,|KHG|URC|PEK|ICN|FUK|GUM|SPN|
SPN|KRL,|KRL|URC|PEK|ICN|FUK|GUM|SPN|
SPN|KRY,|KRY|URC|PEK|ICN|FUK|GUM|SPN|
SPN|LBD,|LBD|URC|PEK|ICN|FUK|GUM|SPN|
SPN|NLT,|NLT|URC|PEK|ICN|FUK|GUM|SPN|
SPN|OSS,|OSS|URC|PEK|ICN|FUK|GUM|SPN|
SPN|OVB,|OVB|URC|PEK|ICN|FUK|GUM|SPN|
SPN|TBS,|TBS|URC|PEK|ICN|FUK|GUM|SPN|
SPN|TCG,|TCG|URC|PEK|ICN|FUK|GUM|SPN|
SPN|TSE,|TSE|URC|PEK|ICN|FUK|GUM|SPN|
SPN|YIN,|YIN|URC|PEK|ICN|FUK|GUM|SPN|
SPN|ENH,|ENH|WUH|HKG|GUM|SPN|
SPN|ENY,|ENY|XIY|CAN|HKG|GUM|SPN|
SPN|WXN,|WXN|XMN|MNL|GUM|SPN|
SPN|BLL,|BLL|IST|ICN|FUK|GUM|SPN|
SPN|ESB,|ESB|IST|ICN|FUK|GUM|SPN|
SPN|SAW,|SAW|TBS|URC|PEK|ICN|FUK|GUM|SPN|
SPN|HAM,|HAM|IST|ICN|FUK|GUM|SPN|
SPN|HRE,|HRE|ADD|IST|ICN|FUK|GUM|SPN|
SPN|JUB,|JUB|CAI|IST|ICN|FUK|GUM|SPN|
SPN|SSG,|SSG|DLA|IST|ICN|FUK|GUM|SPN|
SPN|BGW,|BGW|IST|ICN|FUK|GUM|SPN|
SPN|EBL,|EBL|IST|ICN|FUK|GUM|SPN|
SPN|VKO,|VKO|IST|ICN|FUK|GUM|SPN|
SPN|MCT,|MCT|IST|ICN|FUK|GUM|SPN|
SPN|AYT,|AYT|IST|ICN|FUK|GUM|SPN|
SPN|SCQ,|SCQ|BIO|IST|ICN|FUK|GUM|SPN|
SPN|AAL,|AAL|IST|ICN|FUK|GUM|SPN|
SPN|AOE,|AOE|BRU|IST|ICN|FUK|GUM|SPN|
SPN|JNB,|JNB|IST|ICN|FUK|GUM|SPN|
SPN|LBV,|LBV|DLA|IST|ICN|FUK|GUM|SPN|
SPN|ADA,|ADA|IST|ICN|FUK|GUM|SPN|
SPN|ADB,|ADB|IST|ICN|FUK|GUM|SPN|
SPN|ADF,|ADF|IST|ICN|FUK|GUM|SPN|
SPN|AJI,|AJI|IST|ICN|FUK|GUM|SPN|
SPN|BAL,|BAL|IST|ICN|FUK|GUM|SPN|
SPN|BJV,|BJV|IST|ICN|FUK|GUM|SPN|
SPN|CKZ,|CKZ|ESB|IST|ICN|FUK|GUM|SPN|
SPN|DIY,|DIY|IST|ICN|FUK|GUM|SPN|
SPN|ECN,|ECN|IST|ICN|FUK|GUM|SPN|
SPN|ERC,|ERC|IST|ICN|FUK|GUM|SPN|
SPN|ERZ,|ERZ|IST|ICN|FUK|GUM|SPN|
SPN|EZS,|EZS|IST|ICN|FUK|GUM|SPN|
SPN|GNY,|GNY|IST|ICN|FUK|GUM|SPN|
SPN|GZP,|GZP|ESB|IST|ICN|FUK|GUM|SPN|
SPN|GZT,|GZT|IST|ICN|FUK|GUM|SPN|
SPN|HTY,|HTY|IST|ICN|FUK|GUM|SPN|
SPN|KCM,|KCM|IST|ICN|FUK|GUM|SPN|
SPN|KSY,|KSY|IST|ICN|FUK|GUM|SPN|
