PKB|LIM,|LIM|MIA|IAD|CLE|PKB|
PKB|LIR,|LIR|YYZ|CLE|PKB|
PKB|MCI,|MCI|CLE|PKB|
PKB|MDT,|MDT|IAD|CLE|PKB|
PKB|MIA,|MIA|IAD|CLE|PKB|
PKB|MKE,|MKE|CLE|PKB|
PKB|MSP,|MSP|CLE|PKB|
PKB|NAS,|NAS|ATL|CLE|PKB|
PKB|PHL,|PHL|IAD|CLE|PKB|
PKB|PHX,|PHX|CLE|PKB|
PKB|PIT,|PIT|YYZ|CLE|PKB|
PKB|PLS,|PLS|EWR|CLE|PKB|
PKB|POP,|POP|EWR|CLE|PKB|
PKB|RDU,|RDU|IAD|CLE|PKB|
PKB|ROC,|ROC|CLE|PKB|
PKB|RSW,|RSW|CLE|PKB|
PKB|SAN,|SAN|MCI|CLE|PKB|
PKB|SJO,|SJO|IAD|CLE|PKB|
PKB|STL,|STL|CLE|PKB|
PKB|SYR,|SYR|CLE|PKB|
PKB|TLV,|TLV|YYZ|CLE|PKB|
PKB|TPA,|TPA|CLE|PKB|
PKB|UVF,|UVF|EWR|CLE|PKB|
PKB|VIE,|VIE|YYZ|CLE|PKB|
PKB|YAM,|YAM|YYZ|CLE|PKB|
PKB|YGK,|YGK|YYZ|CLE|PKB|
PKB|YQG,|YQG|YYZ|CLE|PKB|
PKB|YSB,|YSB|YYZ|CLE|PKB|
PKB|YTS,|YTS|YYZ|CLE|PKB|
PKB|YYB,|YYB|YYZ|CLE|PKB|
PKB|YZR,|YZR|YYZ|CLE|PKB|
PKB|CAN,|CAN|PEK|YYZ|CLE|PKB|
PKB|URC,|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|CTU,|CTU|PEK|YYZ|CLE|PKB|
PKB|HGH,|HGH|PEK|YYZ|CLE|PKB|
PKB|XMN,|XMN|PEK|YYZ|CLE|PKB|
PKB|CGO,|CGO|PEK|YYZ|CLE|PKB|
PKB|CSX,|CSX|PEK|YYZ|CLE|PKB|
PKB|SHE,|SHE|PEK|YYZ|CLE|PKB|
PKB|SJW,|SJW|DLC|PEK|YYZ|CLE|PKB|
PKB|WUH,|WUH|PEK|YYZ|CLE|PKB|
PKB|SZX,|SZX|PEK|YYZ|CLE|PKB|
PKB|CKG,|CKG|PEK|YYZ|CLE|PKB|
PKB|KMG,|KMG|PEK|YYZ|CLE|PKB|
PKB|FOC,|FOC|PEK|YYZ|CLE|PKB|
PKB|NNG,|NNG|PEK|YYZ|CLE|PKB|
PKB|SWA,|SWA|PEK|YYZ|CLE|PKB|
PKB|ACX,|ACX|CAN|PEK|YYZ|CLE|PKB|
PKB|AQG,|AQG|CAN|PEK|YYZ|CLE|PKB|
PKB|AVA,|AVA|CAN|PEK|YYZ|CLE|PKB|
PKB|BFJ,|BFJ|CAN|PEK|YYZ|CLE|PKB|
PKB|BHY,|BHY|CGO|PEK|YYZ|CLE|PKB|
PKB|BNE,|BNE|CAN|PEK|YYZ|CLE|PKB|
PKB|CGD,|CGD|PEK|YYZ|CLE|PKB|
PKB|CGK,|CGK|CAN|PEK|YYZ|CLE|PKB|
PKB|CGQ,|CGQ|PEK|YYZ|CLE|PKB|
PKB|CIH,|CIH|PEK|YYZ|CLE|PKB|
PKB|CNX,|CNX|CAN|PEK|YYZ|CLE|PKB|
PKB|CZX,|CZX|SHE|PEK|YYZ|CLE|PKB|
PKB|DAC,|DAC|IST|YYZ|CLE|PKB|
PKB|DAD,|DAD|CAN|PEK|YYZ|CLE|PKB|
PKB|DEL,|DEL|EWR|CLE|PKB|
PKB|DIG,|DIG|KMG|PEK|YYZ|CLE|PKB|
PKB|DLC,|DLC|PEK|YYZ|CLE|PKB|
PKB|DPS,|DPS|SZX|PEK|YYZ|CLE|PKB|
PKB|DXB,|DXB|IST|YYZ|CLE|PKB|
PKB|DYG,|DYG|PEK|YYZ|CLE|PKB|
PKB|FUG,|FUG|CAN|PEK|YYZ|CLE|PKB|
PKB|FUK,|FUK|ICN|YVR|ORD|CLE|PKB|
PKB|HAK,|HAK|PEK|YYZ|CLE|PKB|
PKB|HAN,|HAN|PEK|YYZ|CLE|PKB|
PKB|HDG,|HDG|CAN|PEK|YYZ|CLE|PKB|
PKB|HET,|HET|DLC|PEK|YYZ|CLE|PKB|
PKB|HFE,|HFE|XIY|PEK|YYZ|CLE|PKB|
PKB|HJJ,|HJJ|CSX|PEK|YYZ|CLE|PKB|
PKB|HKT,|HKT|KWE|PEK|YYZ|CLE|PKB|
PKB|HRB,|HRB|PEK|YYZ|CLE|PKB|
PKB|HZH,|HZH|CAN|PEK|YYZ|CLE|PKB|
PKB|JIU,|JIU|CAN|PEK|YYZ|CLE|PKB|
PKB|JJN,|JJN|PEK|YYZ|CLE|PKB|
PKB|JNG,|JNG|CAN|PEK|YYZ|CLE|PKB|
PKB|KHN,|KHN|DLC|PEK|YYZ|CLE|PKB|
PKB|KIX,|KIX|SFO|CLE|PKB|
PKB|KOW,|KOW|PEK|YYZ|CLE|PKB|
PKB|KTM,|KTM|IST|YYZ|CLE|PKB|
PKB|KUL,|KUL|CAN|PEK|YYZ|CLE|PKB|
PKB|KWE,|KWE|PEK|YYZ|CLE|PKB|
PKB|KWL,|KWL|PEK|YYZ|CLE|PKB|
PKB|LHW,|LHW|CGO|PEK|YYZ|CLE|PKB|
PKB|LYA,|LYA|KHN|DLC|PEK|YYZ|CLE|PKB|
PKB|LYG,|LYG|HSN|PEK|YYZ|CLE|PKB|
PKB|LZH,|LZH|CAN|PEK|YYZ|CLE|PKB|
PKB|MEL,|MEL|SYD|LAX|CLE|PKB|
PKB|MIG,|MIG|CSX|PEK|YYZ|CLE|PKB|
PKB|MLE,|MLE|IST|YYZ|CLE|PKB|
PKB|MNL,|MNL|XMN|PEK|YYZ|CLE|PKB|
PKB|MXZ,|MXZ|CAN|PEK|YYZ|CLE|PKB|
PKB|NAO,|NAO|PEK|YYZ|CLE|PKB|
PKB|NGB,|NGB|PEK|YYZ|CLE|PKB|
PKB|NKG,|NKG|DLC|PEK|YYZ|CLE|PKB|
PKB|NNY,|NNY|CGO|PEK|YYZ|CLE|PKB|
PKB|PEN,|PEN|CAN|PEK|YYZ|CLE|PKB|
PKB|PER,|PER|CAN|PEK|YYZ|CLE|PKB|
PKB|PNH,|PNH|CAN|PEK|YYZ|CLE|PKB|
PKB|REP,|REP|CAN|PEK|YYZ|CLE|PKB|
PKB|RGN,|RGN|CAN|PEK|YYZ|CLE|PKB|
PKB|SGN,|SGN|CAN|PEK|YYZ|CLE|PKB|
PKB|SHA,|SHA|PEK|YYZ|CLE|PKB|
PKB|SIN,|SIN|CAN|PEK|YYZ|CLE|PKB|
PKB|SVO,|SVO|URC|TSE|FRA|YYZ|CLE|PKB|
