MLE|AYT,|AYT|IST|MLE|
MLE|SCQ,|SCQ|BIO|IST|MLE|
MLE|AAL,|AAL|IST|MLE|
MLE|AOE,|AOE|BRU|IST|MLE|
MLE|JNB,|JNB|IST|MLE|
MLE|LBV,|LBV|DLA|IST|MLE|
MLE|ADA,|ADA|IST|MLE|
MLE|ADB,|ADB|IST|MLE|
MLE|ADF,|ADF|IST|MLE|
MLE|AJI,|AJI|IST|MLE|
MLE|BAL,|BAL|IST|MLE|
MLE|BJV,|BJV|IST|MLE|
MLE|CKZ,|CKZ|ESB|IST|MLE|
MLE|DIY,|DIY|IST|MLE|
MLE|ECN,|ECN|IST|MLE|
MLE|ERC,|ERC|IST|MLE|
MLE|ERZ,|ERZ|IST|MLE|
MLE|EZS,|EZS|IST|MLE|
MLE|GNY,|GNY|IST|MLE|
MLE|GZP,|GZP|ESB|IST|MLE|
MLE|GZT,|GZT|IST|MLE|
MLE|HTY,|HTY|IST|MLE|
MLE|KCM,|KCM|IST|MLE|
MLE|KSY,|KSY|IST|MLE|
MLE|MLX,|MLX|IST|MLE|
MLE|MQM,|MQM|IST|MLE|
MLE|MSR,|MSR|IST|MLE|
MLE|TEQ,|TEQ|ESB|IST|MLE|
MLE|TZX,|TZX|IST|MLE|
MLE|VAN,|VAN|IST|MLE|
MLE|ULN,|ULN|FRU|URC|CAN|MLE|
MLE|HIJ,|HIJ|ICN|CAN|MLE|
MLE|VVO,|VVO|ICN|CAN|MLE|
MLE|ACC,|ACC|IST|MLE|
MLE|AER,|AER|IST|MLE|
MLE|AGP,|AGP|IST|MLE|
MLE|ALG,|ALG|IST|MLE|
MLE|AMM,|AMM|IST|MLE|
MLE|AQJ,|AQJ|IST|MLE|
MLE|ARN,|ARN|IST|MLE|
MLE|ASR,|ASR|IST|MLE|
MLE|ATH,|ATH|IST|MLE|
MLE|BAH,|BAH|IST|MLE|
MLE|BEG,|BEG|IST|MLE|
MLE|BEN,|BEN|IST|MLE|
MLE|BEY,|BEY|IST|MLE|
MLE|BHX,|BHX|IST|MLE|
MLE|BIO,|BIO|IST|MLE|
MLE|BLQ,|BLQ|IST|MLE|
MLE|BOM,|BOM|IST|MLE|
MLE|BRE,|BRE|IST|MLE|
MLE|BSL,|BSL|IST|MLE|
MLE|BSR,|BSR|IST|MLE|
MLE|BUD,|BUD|IST|MLE|
MLE|BUS,|BUS|IST|MLE|
MLE|CAI,|CAI|IST|MLE|
MLE|CGN,|CGN|IST|MLE|
MLE|CMN,|CMN|IST|MLE|
MLE|CND,|CND|IST|MLE|
MLE|DAR,|DAR|IST|MLE|
MLE|DLM,|DLM|IST|MLE|
MLE|DMM,|DMM|IST|MLE|
MLE|DNK,|DNK|IST|MLE|
MLE|DNZ,|DNZ|IST|MLE|
MLE|DOK,|DOK|IST|MLE|
MLE|DUS,|DUS|IST|MLE|
MLE|EDI,|EDI|IST|MLE|
MLE|ELQ,|ELQ|IST|MLE|
MLE|FDH,|FDH|IST|MLE|
MLE|GOA,|GOA|IST|MLE|
MLE|GOT,|GOT|IST|MLE|
MLE|HAJ,|HAJ|IST|MLE|
MLE|HBE,|HBE|IST|MLE|
MLE|HEL,|HEL|IST|MLE|
MLE|HRG,|HRG|IST|MLE|
MLE|IFN,|IFN|IST|MLE|
MLE|ISE,|ISE|IST|MLE|
MLE|ISU,|ISU|IST|MLE|
MLE|JIB,|JIB|IST|MLE|
MLE|JRO,|JRO|IST|MLE|
MLE|KAN,|KAN|IST|MLE|
MLE|KBL,|KBL|IST|MLE|
MLE|KBP,|KBP|IST|MLE|
MLE|KFS,|KFS|IST|MLE|
MLE|KHI,|KHI|IST|MLE|
MLE|KIV,|KIV|IST|MLE|
MLE|KRT,|KRT|IST|MLE|
MLE|KSH,|KSH|IST|MLE|
MLE|KVD,|KVD|IST|MLE|
MLE|KWI,|KWI|IST|MLE|
MLE|KYA,|KYA|IST|MLE|
MLE|KZN,|KZN|IST|MLE|
MLE|KZR,|KZR|IST|MLE|
MLE|LED,|LED|IST|MLE|
MLE|LEJ,|LEJ|IST|MLE|
MLE|LGW,|LGW|IST|MLE|
MLE|LHE,|LHE|IST|MLE|
MLE|LIS,|LIS|IST|MLE|
MLE|LJU,|LJU|IST|MLE|
MLE|LOS,|LOS|IST|MLE|
MLE|LUX,|LUX|IST|MLE|
MLE|LWO,|LWO|IST|MLE|
MLE|LYS,|LYS|IST|MLE|
