YKF|LIR,|LIR|IAH|YYC|YKF|
YKF|MCI,|MCI|DEN|YYC|YKF|
YKF|MDT,|MDT|YYZ|YYC|YKF|
YKF|MIA,|MIA|ORD|YYC|YKF|
YKF|MKE,|MKE|ORD|YYC|YKF|
YKF|MSP,|MSP|DEN|YYC|YKF|
YKF|NAS,|NAS|ORD|YYC|YKF|
YKF|PHL,|PHL|YYZ|YYC|YKF|
YKF|PHX,|PHX|YYC|YKF|
YKF|PIT,|PIT|ORD|YYC|YKF|
YKF|PLS,|PLS|YYZ|YYC|YKF|
YKF|POP,|POP|YYZ|YYC|YKF|
YKF|RDU,|RDU|ORD|YYC|YKF|
YKF|ROC,|ROC|YYZ|YYC|YKF|
YKF|RSW,|RSW|MCO|YYC|YKF|
YKF|SAN,|SAN|YYC|YKF|
YKF|SJO,|SJO|IAH|YYC|YKF|
YKF|STL,|STL|ORD|YYC|YKF|
YKF|SYR,|SYR|YYZ|YYC|YKF|
YKF|TLV,|TLV|IST|FRA|YYC|YKF|
YKF|TPA,|TPA|ORD|YYC|YKF|
YKF|UVF,|UVF|YYZ|YYC|YKF|
YKF|VIE,|VIE|YYZ|YYC|YKF|
YKF|YAM,|YAM|YYZ|YYC|YKF|
YKF|YGK,|YGK|YYZ|YYC|YKF|
YKF|YQG,|YQG|YYC|YKF|
YKF|YSB,|YSB|YYZ|YYC|YKF|
YKF|YTS,|YTS|YYZ|YYC|YKF|
YKF|YYB,|YYB|YYZ|YYC|YKF|
YKF|YZR,|YZR|YYZ|YYC|YKF|
YKF|CAN,|CAN|YVR|YYC|YKF|
YKF|URC,|URC|PEK|YVR|YYC|YKF|
YKF|CTU,|CTU|PEK|YVR|YYC|YKF|
YKF|HGH,|HGH|DLC|ICN|YVR|YYC|YKF|
YKF|XMN,|XMN|PEK|YVR|YYC|YKF|
YKF|CGO,|CGO|PEK|YVR|YYC|YKF|
YKF|CSX,|CSX|ICN|YVR|YYC|YKF|
YKF|SHE,|SHE|ICN|YVR|YYC|YKF|
YKF|SJW,|SJW|DLC|ICN|YVR|YYC|YKF|
YKF|WUH,|WUH|ICN|YVR|YYC|YKF|
YKF|SZX,|SZX|PVG|YVR|YYC|YKF|
YKF|CKG,|CKG|PEK|YVR|YYC|YKF|
YKF|KMG,|KMG|PEK|YVR|YYC|YKF|
YKF|FOC,|FOC|PEK|YVR|YYC|YKF|
YKF|NNG,|NNG|PEK|YVR|YYC|YKF|
YKF|SWA,|SWA|PEK|YVR|YYC|YKF|
YKF|ACX,|ACX|CAN|YVR|YYC|YKF|
YKF|AQG,|AQG|CAN|YVR|YYC|YKF|
YKF|AVA,|AVA|CAN|YVR|YYC|YKF|
YKF|BFJ,|BFJ|CAN|YVR|YYC|YKF|
YKF|BHY,|BHY|CSX|ICN|YVR|YYC|YKF|
YKF|BNE,|BNE|CAN|YVR|YYC|YKF|
