KSY|KRL,|KRL|URC|TBS|SAW|KSY|
KSY|KRY,|KRY|URC|TBS|SAW|KSY|
KSY|LBD,|LBD|URC|TBS|SAW|KSY|
KSY|NLT,|NLT|URC|TBS|SAW|KSY|
KSY|OSS,|OSS|IST|KSY|
KSY|OVB,|OVB|IST|KSY|
KSY|TBS,|TBS|SAW|KSY|
KSY|TCG,|TCG|URC|TBS|SAW|KSY|
KSY|TSE,|TSE|IST|KSY|
KSY|YIN,|YIN|URC|TBS|SAW|KSY|
KSY|ENH,|ENH|WUH|URC|TBS|SAW|KSY|
KSY|ENY,|ENY|XIY|URC|TBS|SAW|KSY|
KSY|WXN,|WXN|XIY|URC|TBS|SAW|KSY|
KSY|BLL,|BLL|IST|KSY|
KSY|ESB,|ESB|KSY|
KSY|SAW,|SAW|KSY|
KSY|HAM,|HAM|IST|KSY|
KSY|HRE,|HRE|ADD|IST|KSY|
KSY|JUB,|JUB|CAI|IST|KSY|
KSY|SSG,|SSG|DLA|IST|KSY|
KSY|BGW,|BGW|ESB|KSY|
KSY|EBL,|EBL|AYT|ESB|KSY|
KSY|VKO,|VKO|ESB|KSY|
KSY|MCT,|MCT|BAH|KWI|SAW|KSY|
KSY|AYT,|AYT|ESB|KSY|
KSY|SCQ,|SCQ|BIO|IST|KSY|
KSY|AAL,|AAL|IST|KSY|
KSY|AOE,|AOE|BRU|SAW|KSY|
KSY|JNB,|JNB|IST|KSY|
KSY|LBV,|LBV|DLA|IST|KSY|
KSY|ADA,|ADA|ESB|KSY|
KSY|ADB,|ADB|ESB|KSY|
KSY|ADF,|ADF|ESB|KSY|
KSY|AJI,|AJI|ESB|KSY|
KSY|BAL,|BAL|ESB|KSY|
KSY|BJV,|BJV|ESB|KSY|
KSY|CKZ,|CKZ|ESB|KSY|
KSY|DIY,|DIY|ESB|KSY|
KSY|ECN,|ECN|ESB|KSY|
KSY|ERC,|ERC|ESB|KSY|
KSY|ERZ,|ERZ|ESB|KSY|
KSY|EZS,|EZS|ESB|KSY|
KSY|GNY,|GNY|ESB|KSY|
KSY|GZP,|GZP|ESB|KSY|
KSY|GZT,|GZT|ESB|KSY|
KSY|HTY,|HTY|ESB|KSY|
KSY|KCM,|KCM|ESB|KSY|
KSY|MLX,|MLX|ESB|KSY|
KSY|MQM,|MQM|ESB|KSY|
KSY|MSR,|MSR|ESB|KSY|
KSY|TEQ,|TEQ|ESB|KSY|
KSY|TZX,|TZX|ESB|KSY|
KSY|VAN,|VAN|ESB|KSY|
KSY|ULN,|ULN|FRU|IST|KSY|
KSY|HIJ,|HIJ|ICN|IST|KSY|
KSY|VVO,|VVO|ICN|IST|KSY|
KSY|ACC,|ACC|IST|KSY|
KSY|AER,|AER|IST|KSY|
KSY|AGP,|AGP|IST|KSY|
KSY|ALG,|ALG|IST|KSY|
KSY|AMM,|AMM|IST|KSY|
KSY|AQJ,|AQJ|IST|KSY|
KSY|ARN,|ARN|IST|KSY|
KSY|ASR,|ASR|SAW|KSY|
KSY|ATH,|ATH|IST|KSY|
