CSX|PDX,|PDX|SEA|ICN|CSX|
CSX|PEK,|PEK|CSX|
CSX|PVG,|PVG|CSX|
CSX|PVR,|PVR|LAX|ICN|CSX|
CSX|SEA,|SEA|ICN|CSX|
CSX|SYD,|SYD|CAN|CSX|
CSX|YBL,|YBL|YVR|ICN|CSX|
CSX|YCD,|YCD|YVR|ICN|CSX|
CSX|YCG,|YCG|YVR|ICN|CSX|
CSX|YKA,|YKA|YVR|ICN|CSX|
CSX|YPR,|YPR|YVR|ICN|CSX|
CSX|YQZ,|YQZ|YVR|ICN|CSX|
CSX|YXC,|YXC|YVR|ICN|CSX|
CSX|YXJ,|YXJ|YVR|ICN|CSX|
CSX|YXS,|YXS|YVR|ICN|CSX|
CSX|YXT,|YXT|YVR|ICN|CSX|
CSX|YXY,|YXY|YVR|ICN|CSX|
CSX|YYD,|YYD|YVR|ICN|CSX|
CSX|YYF,|YYF|YVR|ICN|CSX|
CSX|YZP,|YZP|YVR|ICN|CSX|
CSX|YQT,|YQT|YWG|YVR|ICN|CSX|
CSX|SJD,|SJD|LAX|ICN|CSX|
CSX|YQF,|YQF|YYC|YVR|ICN|CSX|
CSX|YQL,|YQL|YYC|YVR|ICN|CSX|
CSX|YXH,|YXH|YYC|YVR|ICN|CSX|
CSX|YWK,|YWK|YZV|YQB|YYZ|PEK|CSX|
CSX|ANU,|ANU|EWR|PEK|CSX|
CSX|AUA,|AUA|EWR|PEK|CSX|
CSX|AUH,|AUH|IST|URC|CSX|
CSX|BCN,|BCN|IST|URC|CSX|
CSX|BDA,|BDA|EWR|PEK|CSX|
CSX|BGI,|BGI|YYZ|PEK|CSX|
CSX|BNA,|BNA|ORD|PEK|CSX|
CSX|BOG,|BOG|MIA|ORD|PEK|CSX|
CSX|BWI,|BWI|YYZ|PEK|CSX|
CSX|CLE,|CLE|YYZ|PEK|CSX|
CSX|CLT,|CLT|YYZ|PEK|CSX|
CSX|CMH,|CMH|ORD|PEK|CSX|
CSX|CVG,|CVG|ORD|PEK|CSX|
CSX|DFW,|DFW|YVR|ICN|CSX|
CSX|DTW,|DTW|PEK|CSX|
CSX|DUB,|DUB|IST|URC|CSX|
CSX|FCO,|FCO|IST|URC|CSX|
CSX|GCM,|GCM|YYZ|PEK|CSX|
CSX|GGT,|GGT|YYZ|PEK|CSX|
CSX|GND,|GND|YYZ|PEK|CSX|
CSX|GRU,|GRU|IST|URC|CSX|
CSX|HAV,|HAV|YYZ|PEK|CSX|
CSX|IND,|IND|ORD|PEK|CSX|
CSX|JFK,|JFK|PEK|CSX|
