DIY|CTU,|CTU|URC|TBS|SAW|DIY|
DIY|HGH,|HGH|URC|TBS|SAW|DIY|
DIY|XMN,|XMN|CSX|URC|TBS|SAW|DIY|
DIY|CGO,|CGO|URC|TBS|SAW|DIY|
DIY|CSX,|CSX|URC|TBS|SAW|DIY|
DIY|SHE,|SHE|PEK|IST|DIY|
DIY|SJW,|SJW|URC|TBS|SAW|DIY|
DIY|WUH,|WUH|URC|TBS|SAW|DIY|
DIY|SZX,|SZX|CKG|URC|TBS|SAW|DIY|
DIY|CKG,|CKG|URC|TBS|SAW|DIY|
DIY|KMG,|KMG|CTU|URC|TBS|SAW|DIY|
DIY|FOC,|FOC|XIY|URC|TBS|SAW|DIY|
DIY|NNG,|NNG|KWE|URC|TBS|SAW|DIY|
DIY|SWA,|SWA|CSX|URC|TBS|SAW|DIY|
DIY|ACX,|ACX|CAN|IST|DIY|
DIY|AQG,|AQG|CAN|IST|DIY|
DIY|AVA,|AVA|CAN|IST|DIY|
DIY|BFJ,|BFJ|CAN|IST|DIY|
DIY|BHY,|BHY|CKG|URC|TBS|SAW|DIY|
DIY|BNE,|BNE|BKK|IST|DIY|
DIY|CGD,|CGD|PEK|IST|DIY|
DIY|CGK,|CGK|SIN|IST|DIY|
DIY|CGQ,|CGQ|HET|URC|TBS|SAW|DIY|
DIY|CIH,|CIH|PEK|IST|DIY|
DIY|CNX,|CNX|CAN|IST|DIY|
DIY|CZX,|CZX|TYN|URC|TBS|SAW|DIY|
DIY|DAC,|DAC|IST|DIY|
DIY|DAD,|DAD|CAN|IST|DIY|
DIY|DEL,|DEL|IST|DIY|
DIY|DIG,|DIG|KMG|CTU|URC|TBS|SAW|DIY|
DIY|DLC,|DLC|PEK|IST|DIY|
DIY|DPS,|DPS|CAN|IST|DIY|
DIY|DXB,|DXB|IST|DIY|
DIY|DYG,|DYG|CSX|URC|TBS|SAW|DIY|
DIY|FUG,|FUG|CAN|IST|DIY|
DIY|FUK,|FUK|ICN|IST|DIY|
DIY|HAK,|HAK|CTU|URC|TBS|SAW|DIY|
DIY|HAN,|HAN|CAN|IST|DIY|
DIY|HDG,|HDG|CAN|IST|DIY|
DIY|HET,|HET|URC|TBS|SAW|DIY|
DIY|HFE,|HFE|XIY|URC|TBS|SAW|DIY|
DIY|HJJ,|HJJ|CSX|URC|TBS|SAW|DIY|
DIY|HKT,|HKT|KWE|URC|TBS|SAW|DIY|
