ACY|XIL,|XIL|HET|DLC|PEK|ORD|ACY|
ACY|HEK,|HEK|HRB|PEK|ORD|ACY|
ACY|KIJ,|KIJ|HRB|PEK|ORD|ACY|
ACY|LDS,|LDS|HRB|PEK|ORD|ACY|
ACY|OHE,|OHE|HRB|PEK|ORD|ACY|
ACY|HSN,|HSN|PEK|ORD|ACY|
ACY|DLU,|DLU|KMG|PEK|ORD|ACY|
ACY|SYM,|SYM|KMG|PEK|ORD|ACY|
ACY|ZAT,|ZAT|KMG|PEK|ORD|ACY|
ACY|LUN,|LUN|NBO|ZRH|ORD|ACY|
ACY|AOG,|AOG|PEK|ORD|ACY|
ACY|GMP,|GMP|PEK|ORD|ACY|
ACY|ISB,|ISB|IST|ORD|ACY|
ACY|TAS,|TAS|IST|ORD|ACY|
ACY|WUS,|WUS|PEK|ORD|ACY|
ACY|JMU,|JMU|PVG|ORD|ACY|
ACY|NDG,|NDG|PVG|ORD|ACY|
ACY|JXA,|JXA|SHE|PEK|ORD|ACY|
ACY|PUS,|PUS|SHE|PEK|ORD|ACY|
ACY|BKI,|BKI|SZX|PEK|ORD|ACY|
ACY|AKU,|AKU|URC|TSE|FRA|ORD|ACY|
ACY|ALA,|ALA|TSE|FRA|ORD|ACY|
ACY|ASB,|ASB|GYD|FRA|ORD|ACY|
ACY|DNH,|DNH|XIY|PEK|ORD|ACY|
ACY|DYU,|DYU|IST|ORD|ACY|
ACY|FRU,|FRU|IST|ORD|ACY|
ACY|GYD,|GYD|FRA|ORD|ACY|
ACY|HTN,|HTN|URC|TSE|FRA|ORD|ACY|
ACY|IKA,|IKA|SAW|VIE|ORD|ACY|
ACY|KCA,|KCA|URC|TSE|FRA|ORD|ACY|
ACY|KHG,|KHG|URC|TSE|FRA|ORD|ACY|
ACY|KRL,|KRL|URC|TSE|FRA|ORD|ACY|
ACY|KRY,|KRY|URC|TSE|FRA|ORD|ACY|
ACY|LBD,|LBD|URC|TSE|FRA|ORD|ACY|
ACY|NLT,|NLT|URC|TSE|FRA|ORD|ACY|
ACY|OSS,|OSS|IST|ORD|ACY|
ACY|OVB,|OVB|IST|ORD|ACY|
ACY|TBS,|TBS|SAW|VIE|ORD|ACY|
ACY|TCG,|TCG|URC|TSE|FRA|ORD|ACY|
ACY|TSE,|TSE|FRA|ORD|ACY|
ACY|YIN,|YIN|URC|TSE|FRA|ORD|ACY|
ACY|ENH,|ENH|WUH|PEK|ORD|ACY|
ACY|ENY,|ENY|XIY|PEK|ORD|ACY|
ACY|WXN,|WXN|XIY|PEK|ORD|ACY|
ACY|BLL,|BLL|IST|ORD|ACY|
ACY|ESB,|ESB|VIE|ORD|ACY|
ACY|SAW,|SAW|VIE|ORD|ACY|
ACY|HAM,|HAM|EWR|ORD|ACY|
ACY|HRE,|HRE|ADD|IST|ORD|ACY|
ACY|JUB,|JUB|CAI|IST|ORD|ACY|
ACY|SSG,|SSG|DLA|BRU|ORD|ACY|
ACY|BGW,|BGW|ESB|VIE|ORD|ACY|
ACY|EBL,|EBL|IST|ORD|ACY|
ACY|VKO,|VKO|IST|ORD|ACY|
ACY|MCT,|MCT|IST|ORD|ACY|
ACY|AYT,|AYT|IST|ORD|ACY|
ACY|SCQ,|SCQ|BIO|IST|ORD|ACY|
